"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NBR_endSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NIR_earlySummer","spectral_SWIR2_startSnowfree","spectral_blue_peakSummer","texture_NDVI_peakSummer","topo_eastness","topo_northness","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_changeSSES","spectral_EVI2b_changePSLS","spectral_EVI2b_changeLSES","spectral_NBR_changeSSES","spectral_NBR_changeESPS","spectral_NDVI_annualRange","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NDWI_annualRange","spectral_NIR_changeLSES","spectral_SWIR1_changeLSES","spectral_SWIR2_changeESPS","spectral_red_changePSLS","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
384.009842334035,118.514302366257,35.0543333534974,-347.616309242555,154.258032791679,2208.17916886138,351.756845391404,-329.784650307262,27.2179629723724,1329.01806273489,-132.884142227053,-1069.20625306109,460.458948199515,1312.27689341815,737.786931951905,326.179349986439,-87.8993343048986,-0.38668555021286,0.349360018968582,32.0399475097656,0,118.514302366257,68.8440403205825,6.3819947095099,20.1405601366344,4.17299845063797,-57.5238256438948,-48.1282248367768,842.35104692354,27.2179629723724,122.920915723726,2398.22431579599,7.30516066760341,15.5499312452013,-9.59681287154886,3.49252032224102,"nonveg_1145","absence",0,0,0,1,0
2478.6907018966,1654.10227502761,2451.90430041881,3123.92289602658,1448.19741649757,1521.78620768221,4566.9261144926,2985.885353078,-4796.93715541345,-4851.19258377081,-5540.41604423363,-5653.23831140221,-3961.87052732048,2283.47699405261,1384.93888865076,506.279595634022,-53.8217137469432,0.0127711159073644,-0.00416160016449996,0.836430700620015,0,2091.30136402151,2153.60216858371,21.3739726116313,-28.4016994664305,-37.1503758579012,5.44878584047949,-12.7699368990206,2184.75013886084,-5421.31778435775,-4728.22128064329,2984.83942516105,-16.5122290968793,-4.16087363431731,-11.0964976051396,-1.93398126373734,"USA.InteriorAlaska.AUFEIS","presence",0,0,0,1,0
2081.02453753909,1833.97632841964,2161.7829409521,2148.23908789941,1437.81264923781,1707.38523931199,3881.5201287428,2861.67415561017,-4044.23958213489,-4697.97411389657,-4618.36137735851,-4818.38625898126,-3390.9015893264,2160.40642746706,1411.67316802922,558.399043254652,-626.205800623458,0.0040837206877768,-0.0206734199076891,1.26217386722565,0,1751.67439775795,1721.37137172869,-11.4338937167869,-20.3559562107304,-73.6878209390382,-17.6469099876926,8.46625436687253,1576.39924682838,-4297.0467567319,-4215.36085077153,2835.85374605311,-40.8756015991509,-50.1652373282759,0.635508304119919,-6.83672313416235,"Russia.Tiksi.LichenTundra","presence",0,0,1,0,0
2657.27351538645,2191.6868408292,3036.5430676203,3438.79864246252,1829.69974716371,2906.02722374884,5434.87873789751,3885.59517383704,-5716.78909084686,-5954.20864548945,-6114.22497319997,-6376.16869464363,-4253.3239188421,2116.43312085315,1145.97407332855,414.755733528,-45.513017959217,0.00138538282610373,-0.0269049825767676,1.55138596031401,0,2996.50735295875,2839.53169763265,51.8551885386778,-42.3483316043597,-8.91996675293565,40.5402033547943,32.9985576367833,4077.62255846709,-5759.51051180234,-5717.04464688958,1830.49951477828,-1.24916959339791,6.63276070405382,2.44253429477835,-4.39807035157116,"Canada.DaringLake.Tower3-DwarfShrub-1","presence",0,0,1,0,0
2478.6907018966,1654.10227502761,2451.90430041881,3123.92289602658,1448.19741649757,1521.78620768221,4566.9261144926,2985.885353078,-4796.93715541345,-4851.19258377081,-5540.41604423363,-5653.23831140221,-3961.87052732048,2283.47699405261,1384.93888865076,506.279595634022,-53.8217137469432,0.0127711159073644,-0.00416160016449996,0.836430700620015,0,2091.30136402151,2153.60216858371,21.3739726116313,-28.4016994664305,-37.1503758579012,5.44878584047949,-12.7699368990206,2184.75013886084,-5421.31778435775,-4728.22128064329,2984.83942516105,-16.5122290968793,-4.16087363431731,-11.0964976051396,-1.93398126373734,"USA.InteriorAlaska.AUFEIS","presence",0,0,0,1,0
-60.2759544501125,378.683036008858,1050.39178130519,8.86182373693697,808.453753999128,-3073.82937368662,664.497552006094,1507.54094434853,-2237.07456853233,-1602.75617503863,-985.323745959788,-2464.52682664428,-444.994951901723,669.488932030162,2297.42503032261,459.335737161224,925.921877150698,0.00822595879435539,-0.0189105439931154,1.21331322193146,0,378.683036008858,437.222888120001,-41.3680813547258,69.4353305045504,-41.9817965810209,-106.848573160292,-4.38056999327191,1522.36575883326,-1602.75617503863,-1546.93525361535,2019.53187474256,-30.9255685145935,-28.9187003993896,-1.31949062450073,26.5059439055012,"nonveg_684","absence",1,0,0,0,0
582.092264766782,317.870287725112,716.753167576702,1240.36349424461,371.855737076084,-1884.84929460226,804.487219393376,442.60673954356,-2189.29645325324,-2508.44212706188,-2013.59305643721,-1042.78775621229,-2161.101834176,2629.70441004293,3350.60561618814,1779.5035138694,-784.286230356333,-0.00631324807181954,-0.00312321470119059,0.409684360027313,0,582.092264766782,645.786990277858,8.75985532044576,-30.8006074510534,-22.160159991755,4.28104872127966,41.6786220654649,1612.07686719459,-2161.101834176,-1983.04424542813,1465.65437084959,-17.9716792986787,-21.8021135445004,13.0867819751528,-18.5189217806073,"nonveg_767","absence",0,0,1,0,0
-875.192410203568,351.29014035126,432.557439089237,278.420278728242,7192.02005286105,905.68140034718,1192.2881674127,278.667766455482,-437.37539184876,-2931.580417573,-2903.57030133995,-2162.31087938867,2443.28722417812,1407.70100592352,1092.62279362544,450.16169534948,706.978567003163,-0.114275142550468,0.575887322425842,36.3343353271484,0,351.29014035126,1475.81910016524,-212.29506481749,4.97216646325791,-2.62152576574121,-99.6956441445972,-85.581672314795,4619.11768682432,-2162.31087938867,-1198.30995319445,5374.86764175111,5.48659214861013,2.69871491809113,3.9423330566135,-13.714328333707,"nonveg_1353","absence",0,0,0,1,0
400.74980592589,125.352966880406,-741.816375073837,-34.9645536312908,-271.061982774249,-218.284477167155,287.59386565158,-458.542200348952,731.289510943702,418.28976263641,-684.255724127012,124.761573212268,545.587777917536,1933.10469352073,1520.85241899709,1083.55993467212,359.952567457317,-0.492608666419983,0.143098205327988,31.0020389556885,0,-34.9645536312908,-104.348027734616,11.7861717315814,-64.2592564947769,72.2641118295202,-19.8911743426323,-13.4408994204561,1361.46254256162,418.28976263641,227.134580116581,1415.54523507071,72.5430408015817,62.6148935102537,-12.2951774362419,-26.1848132360476,"nonveg_592","absence",0,0,0,1,0
2805.44722835229,2016.17914159843,3139.67201651223,3284.88604036216,2099.12537919963,4472.86217976389,6159.82120197301,5171.0004600619,-5800.23359606255,-5416.90802310102,-5630.58178924642,-6303.92287610963,-4864.13416688693,1946.24534192123,792.947315969636,312.08772652595,211.068547680636,0.0273685716092587,0.0245712753385305,2.15205955505371,1,3153.43173949559,2865.16784588465,24.7967370578923,4.53131221466318,-28.498548096849,34.3733663363749,-21.3685345359288,1865.40310327145,-5245.03339986722,-5409.97286356813,1988.7047608831,-12.8887649667123,-3.71298960409844,-6.14691575393514,6.72114027578292,"USA.InteriorAlaska.4","presence",0,1,0,0,0
