"spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_peakSummer","spectral_red_peakSummer","trees_presence","spectral_EVI2b_annualRange","spectral_SWIR1_changeSSES","site_code","presence_absence"
3340.05491957484,2362.10735733088,-5834.9754029668,-6593.48120069715,542.016841878696,0,1810.80005432185,13.7164936292647,"Sweden.Abisko.VJ-BirchShrub","presence"
-56.9855231807417,-95.65431311699,-2411.6658790347,-1639.38109491496,1093.30669018136,0,972.65541304944,-17.8934430469481,"nonveg_616","absence"
2381.6447833254,1473.76058746337,-5560.76647023783,-6282.19268824764,470.583662474018,0,2395.04559783545,34.285549388985,"Finland.Javrresduottar.EC-Sphagnum","absence"
1117.24219411144,441.033706607975,-2212.83377179596,-2616.19845338507,1272.40164511992,0,1873.97290425328,15.7880453287341,"Canada.EllefRingnesIsland.Isachsen-C01","absence"
1192.58755328023,336.357320010974,-2347.94507680579,-2178.3135421466,1626.68720598048,0,1441.67037292511,43.584416014763,"nonveg_680","absence"
562.52957334765,788.653850358466,-2685.22841732535,-1607.94411195195,2034.43286144019,0,850.541102594895,-11.6968526221599,"nonveg_849","absence"
2388.93139292438,1396.52221124263,-4612.45563240113,-5742.77214336989,560.05839808958,0,1778.93166622787,8.72951822718106,"Finland.Javrresduottar.EC-Hummock","presence"
2475.0338718311,1312.27948926551,-5992.65057206503,-5373.11737282621,777.380671440014,0,2881.83734504644,10.7784123217434,"Russia.Yamal.Nadym-2-IH","presence"
2267.71044819772,1981.19720536323,-5791.6531662169,-6323.76158479972,725.800469754044,0,2705.32813494309,-2.08902697111264,"USA.InteriorAlaska.LOWERQUARRY","presence"
2537.00775361812,1905.28505945991,-6226.19159553515,-6229.37323510819,542.742929211877,0,1733.04158591188,-19.5376055036818,"Norway.Javrresduottar.EC-Hummock","presence"
148.475465505046,997.931630756166,-1019.3030843697,-706.692639896943,1175.45831952867,0,849.45616525112,5.26653338329173,"nonveg_958","absence"
-263.103900835894,-647.576412350452,6717.68714069451,7114.31457293659,87.4635179717428,0,627.586726268354,0,"nonveg_1695","absence"
3388.5248099026,2533.79186352729,-5737.94571767379,-6628.28188492955,606.972652334368,0,1450.47002253522,-12.7437024210254,"Sweden.Abisko.NT-MesicHeath","presence"
3156.79336425932,2455.45015106457,-6096.93866179819,-6927.6570760587,576.875020100664,0,1731.03058721351,7.85685151333874,"USA.InteriorAlaska.BLOWRIVER","presence"
1079.47089465495,1275.53278471942,-3783.61111096453,-4429.11264154701,844.203007267399,0,634.571886577245,-0.672865279954563,"Canada.BanksIsland.GreenCabin-C00","presence"
1359.42419427943,977.44965290041,-2793.50484203926,-3565.67641608125,1163.58326343833,0,199.466260871177,-7.81226705515055,"Canada.PrincePatrickIsland.MouldBay-C03","absence"
263.763008272626,362.162749180078,-1954.09931296736,-1745.74259360038,1080.44774925915,0,729.563007923841,-9.40847299952239,"nonveg_542","absence"
4120.156500255,2553.73819383709,-6316.74582833718,-7714.44300364283,338.354739290741,1,2495.92486387328,6.33312972945358,"Canada.ClearwaterLake.AB1","presence"
844.054483917815,541.410750333214,-2319.26226577374,-2544.46297515946,924.476721050192,0,1011.38312811317,-11.5578883175562,"Canada.Ivujivik.TP10","presence"
1485.37662690098,-192.18673999391,-2097.23603681923,-2118.07606549606,839.93130585329,0,1941.54980963123,15.8025368246192,"nonveg_648","absence"
-742.689302662211,1484.0085728713,-1430.31651691491,-1539.4206639539,1035.50740407257,0,2226.69787553351,-3.43696086816425,"nonveg_627","absence"
1582.58483519046,778.859537764448,-4577.02077300804,-4967.25893622606,876.576651015659,0,1031.8999690032,21.8328797673868,"Canada.BanksIsland.GreenCabin-C09","presence"
280.245361654101,615.580258332325,-1295.03751606452,-1504.33376859679,879.500555319965,0,593.325111274013,-29.4178057759266,"nonveg_972","absence"
3179.78161490095,2462.27123350296,-6081.51899048187,-6733.17247678893,623.919351812049,0,2877.71622929104,-14.1907732094954,"USA.InteriorAlaska.DEW","presence"
2743.46242234119,1552.07510156984,-5590.73700269186,-6670.11455217672,541.46690781426,0,2561.7589667994,7.21112451236705,"Canada.ClearwaterLake.LSA2","presence"
1921.34630307156,1706.0440141388,-5086.08087426088,-5451.46608343572,836.061440477098,0,1351.36570925095,-23.7377984704542,"USA.InteriorAlaska.BROWNSCREEK","presence"
2723.47592794422,2260.32119074055,-5167.7580422336,-5686.96963938987,916.419800223691,0,836.814849873858,1.97270988747858,"USA.YukonKuskokwimDelta.UB5","presence"
935.656710108147,602.965988373471,-1896.20351061505,-3330.99285258366,926.99626010525,0,661.938229424227,34.7984602050111,"nonveg_832","absence"
1616.98071635682,695.122771731756,-4265.19977063282,-5045.50264786035,765.019740176182,0,1458.54311697726,-8.737401531499,"USA.NorthSlope.Deadhorse-C16","presence"
2482.96257289388,2516.06200262915,-6115.48306981679,-6413.31821974692,680.640920773396,0,872.87756162995,0.656387420669907,"Canada.Yukon.SCHAR","presence"
4346.89113612186,2550.68755959854,-7192.25319416382,-7563.82718132756,249.743630076931,1,2220.36397431014,-13.3493795108686,"Finland.Kevo.4","presence"
2980.74335828874,2299.10306660117,-5808.40739591559,-6629.88143630474,498.146423605425,1,1159.89222476615,9.6802972156375,"Canada.LeRoyLake.TDA6","presence"
3340.05491957484,2362.10735733088,-5834.9754029668,-6593.48120069715,542.016841878696,0,1810.80005432185,13.7164936292647,"Sweden.Abisko.VJ-BirchShrub","presence"
2920.65307748734,1719.81900111691,-4938.87557299595,-5260.20015350235,874.919730266299,0,1838.17239783906,0.848506798883906,"Russia.Yamal.Kharasavey-2b","presence"
212.823810863148,86.6131170122479,-2537.27690728426,-1850.3942530785,788.654979584701,0,1317.9062398513,-22.7369982122804,"nonveg_874","absence"
2120.1300565897,1277.36979178661,-4194.95529757064,-5115.42718926542,726.665947605485,0,1448.95971615584,16.1934282390657,"Canada.PrincePatrickIsland.MouldBay-C06","presence"
-267.585629708084,170.274649565717,318.565038531443,-91.6125213200572,901.450163841546,0,1246.17213518838,18.5486935207337,"nonveg_1145","absence"
148.475465505046,997.931630756166,-1019.3030843697,-706.692639896943,1175.45831952867,0,849.45616525112,5.26653338329173,"nonveg_958","absence"
1056.46567180872,104.158343915982,-1997.32931540892,-2000.50096832794,1581.23121088568,0,952.307327892736,44.8399702185814,"nonveg_899","absence"
3307.49637819811,1881.3197100312,-5976.50082198661,-7272.30788421698,361.999172805689,0,2824.93307755838,-2.05311981477556,"Sweden.Abisko.VJ-Wetland","presence"
2017.41552139565,1612.2780332926,-4389.52989395416,-4667.06939153502,879.973507354735,1,817.773640760027,-3.64366681209563,"Canada.BonifaceRiver.LSA4","presence"
