"spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","trees_presence","spectral_EVI2b_annualRange","site_code","presence_absence"
4261.73287887372,2554.63192744051,5312.51411213028,-5422.59996477849,-5847.80165928271,-5578.72673464398,0,1516.01079552713,"USA.BrooksRange.6","presence"
1559.85016803323,425.226684877349,2197.39002693275,-1753.37523416637,-1674.64390027802,-2137.56132672901,0,1134.62348315588,"nonveg_575","absence"
173.592537517049,-181.860918387721,-121.622822891891,1342.80126549611,-501.859518913181,94.5864377415167,0,355.453455904771,"nonveg_1145","absence"
141.112306825463,-413.956000626683,-791.171393154062,9158.05220577951,5544.21026822885,4441.04001122486,0,630.971861999148,"nonveg_1344","absence"
1181.64799316446,568.62737484936,1952.40807492167,-2659.86678851728,-2853.32861918228,-1760.01195894491,0,1359.10645418182,"Canada.PrincePatrickIsland.MouldBay-C00","presence"
51.7025395502588,768.279288335869,2373.98834188679,-1942.41421593108,-2384.82462336553,-992.277820802082,0,1636.78636519421,"nonveg_674","absence"
809.477415872733,1420.8112566096,358.94603173677,-1722.39510565379,-1923.44209661394,-917.775195158339,0,1310.32134743895,"nonveg_902","absence"
-50.9939660413065,296.280011938108,1526.00175208366,-1025.67162481906,-2354.30232576055,-149.088639766922,0,678.882879755845,"nonveg_794","absence"
-208.598095709269,-473.525993899544,-452.551094404267,-721.947643546241,-1702.69198288373,-561.693065415869,0,766.392119077705,"nonveg_582","absence"
3316.63779316422,2400.05966592548,4280.027720537,-5215.74906242675,-5739.75279406067,-4508.9409440597,0,1146.42704912642,"USA.YukonKuskokwimDelta.6","presence"
1217.19457020493,336.956922180892,1744.97567247669,-2619.51298646067,-2649.11687843663,-1547.32345992146,0,2084.20052841422,"USA.NorthSlope.HoweIsland-C13","presence"
1291.91666044834,800.82725066987,2282.78295288222,-2607.4249198346,-3696.53941729808,-1566.45524751649,0,730.916183542169,"Canada.BanksIsland.GreenCabin-C07","absence"
875.820774552298,125.453187817247,-157.992936829414,-1514.44586423931,-2116.73019519742,-2027.67802380981,0,868.462299289927,"nonveg_855","absence"
3807.9677269609,2234.41535750496,4798.20515541369,-5879.44822205577,-6141.26940789008,-5046.9402791624,0,1769.46867302333,"USA.YukonKuskokwimDelta.15B4","presence"
4365.33449397037,2412.26039565655,6687.89603877154,-6266.19735683933,-6101.20654653452,-5335.35931940163,1,1376.28669752847,"Russia.Tazovsky.Burned44","presence"
3326.49230760108,1501.5576613525,4537.08965026187,-5603.12696288457,-6179.92368503723,-2894.83140142722,1,585.92577118572,"Canada.DaringLake.Tower1-SedgeHollow","presence"
3351.13522639883,1796.84193434297,5516.16609238841,-5632.90267314122,-6539.07311863885,-3462.20879862505,0,1919.89505544988,"Canada.DeceptionBay.BEGL1","presence"
3137.00444050165,2208.20306535571,4213.81268217053,-5097.51543766052,-5821.15988195749,-4739.15716935414,0,641.874884650312,"USA.YukonKuskokwimDelta.UB5","presence"
4022.91299684209,1980.68017627145,5264.08237728059,-5368.71277012559,-6358.8345798103,-4956.3733062843,0,1693.72077051678,"USA.NorthSlope.Oumalik2","presence"
-313.28094354012,-2452.72947927926,-3565.84616630723,7636.45004526362,6706.7201591568,10000,0,2517.90891526855,"nonveg_1797","absence"
421.19501742872,-152.432143886026,1251.97131083144,-1581.98524021134,-1298.49651383416,302.449761248849,0,735.666572427127,"nonveg_751","absence"
3950.68272091713,2333.433923813,5787.45178069381,-6362.21209612383,-6150.53682295751,-5126.20929956645,0,2268.28126929159,"USA.NorthSlope.HappyValley-C18","presence"
