"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","spectral_red_peakSummer","trees_presence","spectral_EVI2b_annualRange","spectral_EVI2b_changeESPS","spectral_NDMI_changePSLS","site_code","presence_absence"
655.758768332285,605.062637978369,1234.11490155759,294.719263659861,2024.49390538879,1180.73760373799,257.476532923596,-1882.40335612149,-1970.60797646007,-2106.23242170289,2198.94839929375,0,939.395637897729,6.84859295438153,62.5902591378658,"nonveg_861","absence"
2525.1564267092,2678.30741361691,2930.7184462417,1720.4192282639,5166.61403231182,5212.63342830797,3095.79059706716,-5179.23100043415,-5737.80900834878,-5797.90242132046,790.854125360853,0,1497.76533778019,14.1374308008117,-31.9238819411039,"Russia.Tiksi.DryFen","presence"
275.497684793677,750.162264527647,-74.6810025202856,-4.33725865374673,137.30415265023,139.426409451671,-6.31161415920108,-364.709692982191,-540.743092255016,-1560.39592030859,1490.98215951864,0,842.50998628914,-10.2179279598658,10.3822845181507,"nonveg_1234","absence"
756.055038167519,741.538264142356,837.450537392776,321.097067773207,1964.27745664746,2231.08980853156,596.053341163731,-2185.39562459383,-2559.48776064951,-2602.3620060451,888.7518103297,0,663.855637406037,10.1474510293956,-6.36411193703293,"Canada.Ivujivik.TP10","presence"
2352.27052620686,2267.36190523803,1365.76612945686,694.414381392122,2928.76228623908,3446.62768660539,2206.17836118113,-2456.73919819978,-3355.86163534559,-3329.8652508977,838.99100800231,0,1657.85614481473,-12.3501984236349,-124.765925112132,"nonveg_1177","absence"
2384.57072164541,2263.89429134646,3285.39633741362,2162.20803110829,6582.21276485112,6812.86151523752,4808.62161950714,-6162.98488593207,-6453.9022835272,-6106.16981252829,617.973462490945,0,1143.71095164043,9.28180509726474,94.0031584113593,"Finland.Javrresduottar.A-Hummock","presence"
441.774216257571,519.826326237499,-110.271067765061,-102.782947869475,856.881484139776,1632.48566132975,409.043287700664,-2295.54966710069,-2185.32209532978,-2601.62356406628,713.680764243002,0,630.09739400256,1.62114751224373,-39.1022045115228,"nonveg_913","absence"
686.909868742421,689.564430514157,1538.50725370307,-303.165061243695,3405.2446993661,3687.43526998572,-236.882357146837,-2798.38098437655,-3314.61346623472,-3245.8023768014,933.728721096129,0,1987.63857398822,36.9468016297077,-10.4090752472673,"nonveg_671","absence"
211.012337809136,26.6099354042055,605.854668318711,328.465434342731,1282.92668905179,2045.96641930412,-353.331583934203,403.509975101386,-126.630264119575,451.070458608808,550.120297842885,0,1022.36089863155,33.5183398490647,-20.0178449173824,"nonveg_1547","absence"
-1008.90722035364,519.175702699258,-286.63398257983,-682.570047601043,-2080.63009946497,-1051.56021759538,-4003.2997382618,10000,10000,10000,1211.84802798081,0,1528.0829230529,23.508950665126,0,"nonveg_1236","absence"
3242.50955134702,2138.13220116758,2976.96203905641,2039.68051031672,5369.40502284653,6656.19124413142,4168.14524495095,-5311.89843356743,-6272.4678140847,-6046.52062055929,625.797649922289,0,1772.64049172444,6.96000312807574,-113.736194737911,"Russia.Kolyma.T2","presence"
1027.93036387175,648.407444992122,917.044263106165,305.499195368713,1620.10957116241,1616.91885245005,723.002805021042,-1678.61693428626,-2218.63849758365,-1925.91424702475,1601.10110113257,0,722.431168503032,-3.84640451097293,25.3170202827165,"nonveg_899","absence"
3442.1253606486,2654.08596087326,3595.14617668344,2752.2047645853,5502.72018449153,6238.38637022851,4492.34105444168,-5551.70254457772,-5699.63619184004,-6094.88750007329,809.286754724733,0,1263.77238830917,15.2734146447497,-13.2138659298754,"USA.BrooksRange.6","presence"
842.452268926272,489.796427028468,713.502757445399,367.612619723585,1683.42525787974,1538.61056290609,773.029566084296,-939.817743067954,-1435.74084283603,-1674.92274708471,794.191774242634,0,474.839649202687,-7.51477641578774,23.9608350378174,"nonveg_979","absence"
647.44633139074,-92.5656641517894,-872.404400517547,594.352621745695,-676.091191017107,159.718244816268,752.237094856815,-639.608915561303,-814.381154719868,-1577.70515035112,1499.37540264847,0,1519.85073190829,-37.8159321773324,-24.8737659482829,"nonveg_670","absence"
1050.15758852526,1098.97833264585,991.319260732795,1075.26706774396,1558.81220498607,1515.80709138129,1559.55274794378,-1557.64589990888,-1524.16954576599,-1739.1239509349,1857.1689482785,0,140.471374577277,-2.77729183202069,13.5396590579464,"nonveg_543","absence"
2383.8711602961,2190.96459034979,2655.59797227021,1710.50361983497,5047.71988459895,5324.65625363042,3373.34026181346,-4790.08318535364,-4959.43584612777,-5283.47980212826,694.871676355889,0,1567.16911960702,18.8441706273869,8.00881694690438,"Canada.PayneLake.TD4","presence"
3135.19148173665,3062.47438579059,3839.83586107056,1818.79583313077,6704.8142042811,7492.22174254665,4114.08466043518,-6031.58545905502,-6010.22034834898,-7175.79490096215,384.63885667557,0,2598.60822001331,55.6518183183883,-47.8511908230931,"Sweden.Abisko.VJ-Wetland","presence"
962.212948433374,938.593759866417,1139.47922794666,899.711378337187,2014.47864215842,1796.86102177196,1387.69408887639,-2698.69688198436,-2219.93884657251,-2987.42048908851,1042.31753989309,0,239.767849609473,1.75619306336578,15.5780946435228,"nonveg_807","absence"
-527.546638864113,212.063046441191,337.616490879099,-757.100755159918,205.70907070349,-83.0994029334235,-2599.23583056544,-383.17639492143,-43.7012736164334,-582.247552190208,1086.09355996253,0,1094.71724603902,19.4093306855381,61.9024940991143,"nonveg_1642","absence"
