"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDVI_lateSummer","spectral_NDWI_earlySummer","spectral_green_peakSummer","spectral_EVI2b_annualMedian","spectral_NDWI_annualMean","site_code","presence_absence"
685.845016662176,1133.79098983098,996.874906439103,2019.77482463124,-1961.50935765493,683.816150207147,839.424922337163,-1746.94328343456,"nonveg_745","absence"
2179.02369339703,1997.21812157493,1546.17901820301,6554.42330642053,-5787.89260600789,518.773814258206,1669.99586247566,-5061.66608233609,"Canada.PayneLake.TDA3","presence"
-787.011557683119,1048.45274059691,-754.202281017725,-1895.08581041425,10000,1348.362868508,-754.202281017725,9927.54553060278,"nonveg_1236","absence"
2512.55199389218,2448.31220634861,1941.27048498089,5876.67980976657,-5304.24781798134,690.539564437575,2651.43560896969,-4881.86465531092,"Russia.Yamal.Nadym-2-H","presence"
3094.92298170509,2277.01756333785,1982.98309332008,5708.76972851057,-5728.2889800298,670.838709474834,2658.09039476236,-5779.30128744587,"USA.Toolik.S3","presence"
1463.63147413389,1692.86044394158,504.189484461266,4989.88001812394,-4910.51078982256,615.984036422339,1369.09443770291,-4890.74833355432,"USA.NorthSlope.13","presence"
2613.36271931017,2038.43827500775,1898.1851984363,5411.71700352903,-5878.81152496092,666.043686841158,2786.62592247487,-5500.79719528701,"USA.Toolik.S2","presence"
1977.10278338072,1649.1347015068,1288.60856534267,4915.02770499919,-4864.79822973098,631.668091953919,1966.81893768061,-4843.47929711979,"Canada.DaringLake.Tower1-SedgeTussock","presence"
3131.61821038665,3027.56197154543,2168.01495127432,6700.70441569556,-5866.65238249444,502.636900064396,3320.1245348197,-6032.71789981091,"Finland.Kevo.5","presence"
-240.202179370297,-498.025490878552,354.336189278947,454.832951430889,-1352.7875432758,683.972308372875,106.049479884311,-1144.60363533486,"nonveg_1499","absence"
3231.90917966833,2937.88083570583,2069.35753238486,7133.813414034,-6310.51686211653,474.664589589285,3163.10484983485,-6133.02372285169,"Norway.Javrresduottar.A-Hummock","presence"
2179.02369339703,1997.21812157493,1546.17901820301,6554.42330642053,-5787.89260600789,518.773814258206,1669.99586247566,-5061.66608233609,"Canada.PayneLake.TDA3","presence"
3405.63132448496,2357.19986094328,1894.14322153989,7116.53717568873,-5673.64664122251,423.516242037292,3423.88176848725,-6188.64312149377,"USA.InteriorAlaska.2","presence"
673.069616831448,823.159839863082,618.5505489648,1281.33062529839,-838.457659027127,826.917865663145,673.069616831448,-899.375829519904,"nonveg_972","absence"
