"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NIR_peakSummer","spectral_red_earlySummer","texture_NDVI_peakSummer","topo_eastness","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changeLSES","spectral_NBR_changeESPS","spectral_NBR_changeLSES","spectral_NDVI_annualMean","spectral_NDVI_annualRange","spectral_NDVI_changeLSES","spectral_NDWI_annualMedian","spectral_NDWI_annualRange","spectral_NDWI_changeSSES","spectral_NDWI_changeLSES","spectral_SWIR2_changeLSES","spectral_blue_changeLSES","spectral_red_changeLSES","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
450.662811865465,612.883979499073,-197.697166684606,475.699356544634,424.086459139343,793.307112214967,1016.91743135086,816.159524032431,681.992251523454,-1392.10497364872,-1096.58946496115,-2645.24978719371,-1359.90836328083,-1396.51263891276,1925.6916770331,1670.12212980183,164.290798431772,-0.0421525798738003,0,450.662811865465,353.127088072782,810.58114618368,1.15549359678792,405.29057309184,-1.58241849850563,656.052126329761,615.128968035976,1249.6489102927,624.824455146349,-1392.10497364872,1548.66032223257,0.191637620175609,774.330161116283,240.164375457343,219.246349811032,189.753461672907,"nonveg_768","absence",1,0,0,0,0
2702.54566493862,2706.64011943994,3002.52013952589,3083.59623739851,1513.8021899229,5414.81548629698,5469.55430641766,5965.58395238436,3570.81372649644,-5432.09535203444,-5824.18569362988,-6038.99378187063,-6245.88946273047,-4970.85682001805,2261.39112820522,665.629516271406,-49.9597520661711,0.00935949422419071,0,2650.34597575087,2327.53397398119,1747.02551556794,35.3485457280611,-15.5654294924111,38.7697431964703,-19.3891714983159,4898.75804477258,2854.0621080893,-26.7173649945967,-5485.87523223794,993.425369775347,-9.81773635663054,17.1090727721746,2.75453576021686,0.818053665979634,2.24408375238269,"Finland.Javrresduottar.A-Sedge","absence",0,1,0,0,0
-46.0899474693402,403.139668085185,-82.2724837026353,150.759377625069,279.645901525816,-237.709066176769,296.395224190207,32.0507130359626,188.867668638097,215.97651828837,738.644196703679,76.3559579527156,338.945638296504,1180.68554122362,1290.6979119014,1671.95707220165,-168.863553686174,-0.492608666419983,0,150.759377625069,141.036503212819,485.41215178782,-5.71466401745889,40.451012648985,6.36198194873147,95.2754035882461,-3.7814233564639,594.906880660025,49.5755733883354,338.945638296504,1104.3295832709,-16.9247197006184,55.1906865625803,37.2328554277108,25.8815503109176,30.2442070056169,"nonveg_592","absence",0,0,0,1,0
1191.99118866129,1403.70976687149,1659.64534175883,1456.31313593264,-285.037872669164,2691.60001345695,4111.21815031983,5045.35062439793,-2188.60512888976,-685.10781371301,-3679.23745760081,-4457.54471305239,-4983.22323154962,3990.36942816099,1210.88817276566,627.765677469635,663.178054511724,0.00410062447190285,0,1403.70976687149,1085.32431211102,1944.68321442799,56.8088100511713,-36.562224983905,-59.0793697780868,0.302059735187543,2931.1486689727,7233.95575328769,-126.423076465534,-3679.23745760081,8973.59265971061,-179.826047764385,111.186750778798,-6.97416311887712,-2.67425511031064,-2.30005315295651,"nonveg_1813","absence",0,0,1,0,0
438.459127981942,56.9814646636895,749.72319433423,-121.258183666296,-299.958251608983,2818.5154764599,2711.17470220829,3125.44949539031,1985.55546425578,-2167.81523429153,-3496.65688860416,-2871.78017420209,-3902.69564658512,-2212.34523613168,857.663145342051,1745.81694029965,546.610657711623,0.308656215667725,0,56.9814646636895,164.789470340917,1049.68144594321,15.3836954081443,-49.4815521193243,-36.5438753377324,-96.5800884317184,2927.22811021835,2009.8899485217,-91.7336221835141,-2871.78017420209,1734.88041229359,0.92770837166979,-44.6340510287193,-42.6491788435174,-1.18677991651206,-9.89266343231913,"nonveg_730","absence",0,0,1,0,0
638.97248230978,800.607249568493,838.591211769977,2025.79784684676,974.282809485255,1151.79941740696,1397.00858202087,2862.12098872459,1440.66161803483,-2470.68691057938,-2217.06230393377,-2407.68410297533,-963.161971055683,-1359.79047357053,3185.22042827903,1673.67009759563,250.019783772828,-0.00441957311704755,0,838.591211769977,1055.65031999605,1386.82536453698,-13.9712636323115,-2.92184324626797,95.3766627283522,6.23899813666575,1663.0871699639,1710.32157131763,-5.14128166241293,-2217.06230393377,1507.5249395237,-46.2873515420358,14.6632153108888,-3.37693597756316,1.77706951096046,0.155029811224617,"nonveg_540","absence",1,0,0,0,0
1817.36824889014,2004.68928573164,2048.28087668588,2546.30613383507,736.031353793975,3649.04824051821,4345.24107597877,4949.56830707463,1854.23588257568,-4352.81185288499,-4608.61148245259,-5435.84194837175,-5097.48918080973,-3272.89712522859,2178.40124119857,836.966297607325,407.102431678987,0.00268373116850853,0,2244.16786125542,2018.38996885958,2062.20693278129,45.2933904100369,-3.11263276911758,40.129575804479,15.9237998359219,4114.92349849365,3485.84475487284,2.93743902024471,-4015.19684433892,1724.86959906674,-13.7622122043065,77.3232426063375,22.175666057986,24.9545059344229,19.3666508163275,"USA.NorthSlope.Deadhorse-C16","presence",0,0,1,0,0
-308.295550460409,610.20665732578,881.279386819998,-32.5998944973856,180.879075423773,-337.09686514254,1110.28862281836,159.845143824489,221.665202591646,-1941.36410445529,-1112.68083889016,-921.288690744874,-2114.57066262535,-71.3286573624167,1275.14865862032,1362.48560706059,-113.08702093219,-0.0876672491431236,0,180.879075423773,266.293934922351,1189.57493728041,-15.2867070588807,-33.8840911867772,-7.41700170556432,-22.2354175479019,534.869024963828,1856.73988586973,-51.1692997386031,-1112.68083889016,2043.24200526293,-58.4386077216523,-23.9240185181605,-18.687276295285,0.746985650666517,-2.01978346043094,"nonveg_673","absence",1,0,0,0,0
1312.7103115814,837.539199413087,1247.66864771149,-36.6593849449689,1031.39393302419,2710.55348609173,2050.84091451972,869.679744619542,2125.25120770116,-1916.958733275,-2424.74825280593,-2078.77914318806,-3599.6946262953,-1917.73108807174,682.172294933508,1027.72325477183,-1205.29395520097,0.0224280748516321,0,1031.39393302419,878.530541357039,1349.36969652637,9.70056477783475,-27.3419632198935,-86.6697849639829,-51.1789583918118,2091.80996555566,1840.87374147219,-43.4589040217633,-2078.77914318806,1682.7358930203,0.0266329240254561,-23.0646073078585,-17.3542476053556,-6.82624548330246,-8.30400780668813,"nonveg_746","absence",0,0,1,0,0
452.708185762192,-765.555684895169,1238.04465931572,744.211817559893,1064.85561130817,524.628329136522,-74.7429736724909,593.21077490982,506.324256215291,-1231.14133912944,182.817653528977,-607.758038221481,-1417.86899939208,-862.542374267848,1749.95880442054,1249.50607909707,403.691337477276,-0.156711935997009,0,744.211817559893,546.852917810161,2003.60034421089,-38.2592140966237,-69.0896670417547,-13.0170731511056,-5.91675175131854,473.072421153078,890.684692848737,-30.7132652706461,-862.542374267848,1600.68665292105,-23.0374353038492,27.2612307500158,-18.8744861841003,-16.9992350190538,-22.5827064984073,"nonveg_571","absence",0,0,0,1,0
226.48364004601,382.470695164329,571.64407852431,787.816173944442,244.491551623606,629.553142352152,967.206205201323,1439.90549184122,645.925170095648,-2655.60919632264,-2542.82492077172,-2343.47714053246,-2096.71051826003,-2175.33832206851,2059.3842724485,1513.95275392138,-859.090437185524,0.00696096988394857,0,382.470695164329,442.581227860539,561.332533898431,-0.692611983753695,-47.2933458399953,36.2386995282355,1.78077133513654,973.263543217038,810.352349489071,-54.1303753483804,-2343.47714053246,558.898678062611,-18.471956702082,-49.8369450598154,-52.5273438716191,-13.9324502496083,-28.4068050479952,"nonveg_899","absence",1,0,0,0,0
165.776709904597,547.748527951263,56.5439890943353,654.652355494918,-201.756418541376,541.796274964047,982.578836985775,1273.64849365141,-46.4790844920848,-1191.59722597348,-574.505056359503,-1430.66176214761,-824.56091029278,-1322.61582242517,1301.69504585388,971.271085814428,360.58948050391,0.338920295238495,0,165.776709904597,244.593032780747,856.408774036294,12.2511042815324,27.2891410476071,11.216364525058,66.0672247437583,642.57630749566,1320.1275781435,28.9578789231456,-1191.59722597348,856.15670578811,4.36728654838979,47.5642614326728,13.4481468907034,14.1347616056277,13.1188310949184,"nonveg_709","absence",0,0,0,1,0
395.726392791064,288.364014228363,-24.0164060705388,824.117930274716,50.8239494629881,623.162339832163,604.796864219117,1145.94904865776,229.653960049582,-2370.86537577209,-2313.18650512579,-2884.04326181238,-1858.86041677057,-2772.77929979194,3836.98197713149,2842.83440946142,369.622056602616,0.384139955043793,0,288.364014228363,307.003176137319,848.134336345255,28.7418702773397,7.26466093718376,65.3470070907052,9.76016714677151,551.883920431376,990.091659259503,10.4404529028107,-2370.86537577209,1025.18284504181,33.4928270016545,13.2757385275952,-17.7290760684242,-1.7600697833346,-13.9568897181142,"nonveg_1309","absence",0,0,0,1,0
-355.587747592898,-98.4269112098688,628.136988181834,334.605929189564,-363.621521068907,-226.871085354506,2.31613296062508,865.125296129666,-575.128171840039,-1128.41769111749,-546.312209388802,-165.292946463526,-865.591728314603,-244.093946610038,1033.96093039075,875.608032001006,-182.32467875585,-0.206217885017395,0,-98.4269112098688,29.0213474999448,991.758509250741,0.182585760818381,-27.9447653612193,-0.358396986746139,-38.0256143657491,232.95436915432,1674.45784571589,-42.1928284967396,-546.312209388802,963.124744653965,-20.0982669206239,-14.6545870355875,-14.0988086273318,-3.1328741386097,-7.92281826086266,"nonveg_921","absence",0,0,0,1,0
