"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","site_code","presence_absence"
-548.590827710038,707.647196927744,932.600982945754,128.00614221439,-98.6022671345486,-1359.69443575117,-1347.95583683739,-1692.2238026569,"nonveg_714","absence"
3148.15267132262,2073.01593133518,4354.95052698162,1699.30851725495,6012.31737589707,-6299.8650207214,-6560.06350947666,-4500.26300449709,"USA.SewardPeninsula.19","presence"
-782.960265156676,144.434431095202,-232.148814216167,-633.381807125495,-1531.12248195263,6418.4572753623,2512.25179514464,10000,"nonveg_1720","absence"
55.9409315373894,342.741559922912,298.027560196379,-57.8208944605277,199.735737621831,-1666.09114578646,-1903.04178492732,-1412.73753754379,"nonveg_936","absence"
-401.07929480761,1093.58241459491,127.294763749561,344.866621719328,-327.182991068288,309.623746390956,-690.79500142458,294.572731986192,"nonveg_875","absence"
294.32968814243,-86.1756868731905,-458.651757649666,-766.864859143526,341.384868829536,-761.371130670401,-1033.65525104337,110.139723445012,"nonveg_1927","absence"
527.822697218031,715.726774200426,-186.068967762309,222.032995606372,1531.28333070745,-1516.61025876536,-2735.71293687233,-2302.52616879992,"nonveg_736","absence"
2216.59800989887,1915.05483916557,2649.37338592442,1567.75114594566,4198.27295590807,-5214.15319827987,-5466.17174352791,-4139.93481637679,"USA.YukonKuskokwimDelta.15B3","presence"
273.061991065621,-568.873772415252,426.159089526777,-265.259894790651,2690.22493742482,5227.4865528973,-946.069795551466,-886.772279045241,"nonveg_851","absence"
216.942221179238,20.9139643326906,-385.549585528312,-631.372330364847,71.5104432925554,297.846640591273,-279.546728800476,130.063863380402,"nonveg_592","absence"
2082.66412482186,1921.30094296557,2613.5064847088,854.125119427323,3979.25858316273,-4852.8028323219,-5080.44234041151,-3208.04427186522,"USA.NorthSlope.Deadhorse-C15","presence"
3130.64528568245,3250.35303542732,3737.79014046382,2419.27273972456,5287.06539481561,-6084.05198296167,-5783.11224453092,-4738.87919242977,"Finland.Kevo.1","presence"
1882.8502477825,2068.17285205373,2308.55535503455,1362.69521077868,3708.60821753495,-4662.16261826646,-4641.61678945011,-2943.9079282634,"Russia.Yamal.OstrovBelyy-2","presence"
509.613847866994,-832.73249277301,68.4412384900134,-377.394545503713,1086.3759647199,-2080.09045567429,-1725.84735402035,-1065.86033155565,"nonveg_616","absence"
1069.69887337947,421.614888313521,596.538357507443,903.673406091477,1772.46010300387,-3110.25740521937,-3680.68261499493,-1922.3428347286,"nonveg_807","absence"
1045.70235687068,299.89930613238,44.2467779627821,663.727549197059,1576.47310174493,-2602.22150650505,-3149.23824639597,-1619.01156151818,"nonveg_628","absence"
1793.12237855445,1542.9755216495,1673.34039610671,1144.1893826053,3754.74052920199,-3747.17655835757,-3897.8885322634,-2853.89406607543,"Canada.PrincePatrickIsland.MouldBay-C05","presence"
2947.97908113754,3126.78370032148,3841.88336769679,1188.7343490455,4122.72325583041,-6142.36289282633,-6289.4495821969,-2652.72080577778,"Sweden.Abisko.KJ-MesicHeath","presence"
1702.0153435646,2795.17554177772,2037.71439158869,835.637057430555,3224.39689460313,-2794.80729496463,-3362.28775297591,-2800.12447036595,"nonveg_1177","absence"
495.42546919221,264.474853759543,543.980473590035,961.986534765321,778.977956867495,-1908.5565568034,-1633.83268988228,-582.113370012117,"nonveg_568","absence"
1942.64177550623,2283.52560370643,2414.63040832823,1725.64354412036,4071.80250403842,-4845.44567706603,-5344.93080581398,-3462.35421089875,"Canada.PayneLake.TD0","presence"
497.412960434618,830.883227233854,376.292018375657,-48.8843972772203,1387.44079360918,-1009.23943256871,-2584.33159486564,-2223.25994068671,"nonveg_769","absence"
