"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NBR_peakSummer","spectral_NBR_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NIR_peakSummer","texture_NDVI_peakSummer","topo_eastness","topo_slope","topo_tpi","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeLSES","spectral_NBR_annualMedian","spectral_NDVI_annualMean","spectral_NDVI_annualRange","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NDWI_changeLSES","spectral_NIR_annualMean","spectral_SWIR1_annualRange","spectral_SWIR2_changeLSES","spectral_blue_changePSLS","spectral_red_changeSSES","site_code","presence_absence"
1652.69412959683,1646.66024987306,2428.82987851721,2490.43231826957,865.156255550654,2413.38775623565,-88.8861152142606,3351.52443019603,3731.0881326195,4841.03845570242,2037.23854340719,-4690.93453759542,-4980.47405951589,-5038.46146303247,-5438.90592268235,-3601.6191799721,2131.35787078702,592.905802673173,-0.000592496991157534,0.380286180973053,-0.000622192025184565,0,2034.74967893789,1920.83086820258,1327.02952789545,-14.8827068857532,2060.95429198066,3936.27972180227,2240.78230529366,-4589.77283200032,-4660.37568320975,66.0602948486695,1891.95295110029,235.074133331859,16.2934559558427,2.99976605765757,-5.83789994271158,"USA.NorthSlope.FranklinBluffs-C17","presence"
2746.04753095075,1172.42223353599,2688.45494818468,3544.68788384067,1814.14610059036,3558.90001267885,1154.9447132573,4487.83263676577,2521.23187834052,5729.42022315722,3087.92219054652,-5051.8463149107,-4555.60547067231,-5228.80828169953,-5845.58787390509,-4018.89094205331,2874.01901275408,-25.3238877482736,0.0182357363868505,12.6911305904388,0.514453852176662,0,2134.74751078718,2247.50721356341,3076.2902226073,-59.2880099994362,1606.33505784509,3918.91890181025,5149.90771854731,-4531.70394489162,-4815.13354435207,29.1505820855134,2304.01879819662,513.040019674022,4.95779301469382,4.14319345990969,-8.00831390585574,"Canada.KluaneLake.Ruby-MixedTundra","presence"
2697.12825522989,2642.36977686656,3075.44624701468,3291.14324955804,2109.07466597165,2888.43233470178,1844.63695395895,5145.9792164944,5131.54401281304,6056.43540094396,4188.46412659987,-5529.52120646534,-5804.22622050581,-6065.10726895103,-6113.68805495675,-4878.66421911296,2419.49550420142,179.792587440347,-0.000805304269306365,0.565639972686768,0.323012693060769,0,2508.2817136185,2278.42337499751,1225.47191268038,-37.694492278668,1606.97716959964,4569.08736461164,1986.87708060907,-5391.69156080863,-5351.10881044883,-14.8154063383184,1979.43359545809,584.326935840837,-14.2139919351604,5.64300439567382,3.61327032647002,"Canada.CoutureLake.TD7","presence"
1255.22002356518,-78.0492675752795,1062.00595417948,317.896315468831,621.569457436919,-1873.8042918961,-423.002693287262,2188.51624028315,-346.27898264015,943.120170226466,963.669379189265,136.707572399546,-1159.26159580164,-53.8657968324881,-1421.47404021883,153.028406352403,1330.3619917115,-34.2880311081796,-0.0916774719953537,20.7710285186768,23.57275390625,0,621.569457436919,635.728496615026,1333.26929114046,-43.8482777597983,-423.002693287262,1120.57628329699,2534.7952229233,-53.8657968324881,-468.973090820202,-42.5152230372751,1599.30996252676,538.056198396776,9.52993191639446,11.7130813314266,6.59156006375557,"nonveg_616","absence"
1182.11369783533,1142.81641377507,1317.08857553897,1305.98207507737,807.919697343063,112.020154801384,1073.2457573357,2155.26123010341,2216.35787858627,2396.79199495702,1478.41739781452,-2852.65044278374,-2680.20261295088,-3065.2301420669,-3481.33920993607,-1683.88744586218,2048.99177265426,149.26833607933,0.0342386350035667,2.1828387260437,1.09208684414625,0,1590.00161770496,1553.51427605691,651.577790245398,-23.3216554209966,1673.06905057036,3166.50922514317,1223.72613684454,-2863.3998721528,-3172.30750330258,18.4375141355351,2001.25336240836,1146.57648278758,-11.205960633972,56.7972490625286,-1.1501492437734,"Canada.BanksIsland.GreenCabin-C08","presence"
557.055103184676,-404.875245543088,743.704685649532,248.63971518366,128.791879893031,-2937.10183156088,-764.742879914347,729.855844157296,-285.249645316494,506.517936051724,-177.785736570082,52.699301350329,-1233.07337506218,-370.278154414561,-815.320812249425,388.668201384915,492.793341457474,-177.601012212564,0.0629073455929756,5.54349136352539,-0.2779381275177,0,248.63971518366,254.663227673562,1148.57993119262,-114.857993119262,-2200.24210835204,360.445647186358,1314.13948292584,-370.278154414561,-395.460967798184,-86.2795220647618,621.663323106736,733.270778397967,-36.6782367620699,18.2040119870483,-13.2067201114849,"nonveg_1213","absence"
3313.64296105015,2938.17806640045,3631.23511765195,3947.03096801381,2230.76190396632,4678.42352518329,2644.63647370521,5733.64950794491,5077.88501207702,6577.40893212565,4035.52405778164,-5502.20740818689,-6122.72344987299,-6259.74389208045,-6152.85259271924,-5170.02432603439,2886.82824246919,-257.17490717677,0.00965348725107365,1.08944988250732,0.943827516266279,0,3484.20349416147,3073.81523014285,2866.10161547997,-59.3967045098352,4127.9333172538,5348.93177769645,4109.11572480097,-6052.82927197036,-5984.98262785172,8.3800890618806,2511.23086092771,850.372637286151,-1.6431669531524,-9.84328384536089,8.80757543723919,"Russia.Kytalyk.T2","presence"
799.133451947032,967.736762347598,1004.63599180159,1156.25933679076,397.690254826987,599.849971419128,330.634351145745,1467.36077083292,1970.1502830367,2338.64931722943,760.495968767959,-2466.70037656581,-2518.22693014343,-2597.73861867596,-2332.22021873789,-1268.13397265671,1976.82985774316,176.238765007612,0.0194074560349691,2.04960989952087,0.202332697808744,0,806.364840937406,858.806991312807,2306.56057532151,-642.857568849828,-30.1163190600343,1635.75799830689,3559.90012276553,-2270.90922906793,-2132.53829030823,-766.465364472947,1917.47881446932,1340.87214870238,-194.526407495634,50.4777754562519,-0.38006313908639,"Canada.EllefRingnesIsland.Isachsen-C02","presence"
1784.15822081005,2229.67553604144,2549.66392459769,2173.28591705664,1367.06771599688,964.561111541525,1602.02495328268,3438.43183090097,4228.30414832537,4040.77542317236,2355.80337054854,-4521.25606672471,-4501.51862273871,-4675.30619446101,-5252.75369850938,-2942.36784133229,2224.15747045055,-266.980566079311,-0.0132356935905085,2.96038632922703,-0.823673844337463,0,2127.12229511021,2060.00088541168,1917.87875607149,-33.3720481435494,2024.31367985404,3828.58820341778,3220.51552672474,-3735.02516393348,-3590.36279415678,-17.4120436405343,2379.9941722062,1069.40509212536,-13.3052782859698,26.635383592529,-31.9139632714772,"Canada.Ivujivik.TP13","presence"
743.195964470831,394.547815398887,640.829838911528,580.719686373444,423.376117019638,-2358.84286484771,-2235.36133198686,2802.84328377368,757.923438343025,2791.1125996924,2133.74775982441,1245.27090664588,9317.47715863806,3674.99274723064,407.559399809625,1417.46272206615,878.349990414288,-165.658030166036,0.139873892068863,28.8310146331787,-13.4085483551025,0,580.719686373444,556.533884434865,348.648149071944,-11.1946374323928,-2296.60962867558,2265.81454888736,2085.52222446026,1417.46272206615,3212.55258687807,256.476564154882,806.372255388629,1198.79953836506,-30.4105922907618,5.73383163834974,1.08176118078826,"nonveg_991","absence"
