"spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDVI_annualMedian","spectral_NDVI_annualRange","spectral_NDWI_annualMedian","site_code","presence_absence"
2783.5455511728,2975.00509861706,1152.88427074675,-4982.65263585346,-5191.98446625672,4342.32980229232,3357.02490655497,-5127.17285920167,"USA.NorthSlope.14","presence"
435.384787160991,-143.076025830491,683.627648532289,-1225.9398938753,-1816.54795958486,861.72727808604,1506.61021425298,-1639.4280276474,"nonveg_674","absence"
173.070006221896,72.984023631625,181.662320460598,10000,8668.62586089203,-1101.3752003571,1129.76963988257,7650.75370168468,"nonveg_1695","absence"
-320.488311218501,442.66234365445,-370.042524403998,7212.01873073132,4793.43592950597,-1774.16069704869,2255.56623281915,8154.76763061109,"nonveg_1994","absence"
2714.99345468275,2697.38548924959,1223.36322268214,-5449.964975977,-5878.43735920526,5287.13596135748,1966.52249711328,-5597.91587288252,"Finland.Javrresduottar.EC-Hummock","presence"
1343.71325372694,816.603144178708,1019.81718181293,-3439.78054771623,-2338.72180949224,1958.18731351583,921.028701064652,-2668.99892649051,"nonveg_764","absence"
139.862655395832,691.800365440315,340.993397244891,-2628.2603398484,-3352.81202730849,1351.82309520887,676.244322855317,-2628.2603398484,"nonveg_986","absence"
707.824359283636,222.404648318745,456.470139563372,-1130.23679299956,-827.111413512982,895.325695647822,562.129482493365,-1089.21380270632,"nonveg_900","absence"
533.256032432613,-128.522275995924,903.67328036777,-1402.30678729845,-1181.96716954115,928.902567188908,1150.21095138526,-1402.30678729845,"nonveg_681","absence"
72.6838952483731,252.191705513623,288.451326091827,-294.556354975396,-1495.11523887511,1669.69138016776,522.794039701105,-1733.20728909415,"nonveg_1442","absence"
3649.66796262493,4572.80367453008,2315.18654863418,-5736.50422050972,-6491.03582190559,5593.61514417697,2712.10470892975,-6281.13671419201,"USA.YukonKuskokwimDelta.72B4","presence"
1378.66909058313,1415.39267346049,797.448524839543,-3026.63978348615,-3097.48203416142,2978.82038606037,2070.31678422958,-3150.10164227902,"Canada.BanksIsland.GreenCabin-C07","absence"
869.399930540348,609.481092642436,169.879469592477,-2518.15457395482,-1520.3445614001,1049.30699083614,1181.51758635378,-1520.3445614001,"nonveg_935","absence"
181.893738776579,-254.754034080508,-256.003033076109,4782.83191663761,7952.03640178702,42.3558679545447,2743.05652076493,5295.53679595363,"nonveg_1290","absence"
3530.74113297358,3686.10905316835,2284.0817784,-6019.91511465358,-6175.73687184482,5398.87524586253,2671.83663973524,-5942.37638728057,"Russia.Yamal.VaskinyDachi-2","presence"
2857.03348612952,3176.81554408353,1222.50365885725,-5204.32765841095,-5616.01897117915,4233.25886488583,3378.30826627692,-5369.89924467481,"Canada.DeceptionBay.TH6","presence"
1152.0466218019,1304.44976224811,625.679514318859,-3106.58026203725,-3621.69310163272,1588.02198277662,1824.78093612686,-3048.87469075919,"Canada.Ivujivik.TP12","presence"
732.844023478305,603.207852403429,-245.956978323057,-1410.2411908794,-2544.50611439893,3046.34906408611,5045.03173966148,-1410.2411908794,"nonveg_1626","absence"
2637.86532958723,3423.18899854377,2033.70391407855,-5501.04627510047,-5928.1023364653,4157.87046778608,1974.23913030948,-5407.48547295325,"USA.YukonKuskokwimDelta.UB5","presence"
-905.703073482131,502.667601109452,87.8927060400214,664.242974030947,-667.641803484535,-814.107198310401,2671.76640226714,-290.172861135491,"nonveg_593","absence"
827.001302946228,602.156309371452,837.185576612187,-2652.88951870893,-2396.19926924436,1112.06771127461,354.972569218765,-2652.88951870893,"nonveg_863","absence"
3071.35181977672,3145.2614397317,2151.0263611264,-5402.51793439844,-5526.25560051046,5082.96227368445,1150.40090283534,-5015.48864746222,"USA.YukonKuskokwimDelta.6","presence"
2524.07387345516,2658.77339185854,1509.58454229121,-5248.92200455059,-5379.08248148276,4573.9403806403,2187.2890004258,-5159.77807645011,"USA.NorthSlope.Barrow","presence"
1391.66874301442,999.483107936938,1438.55195136926,-1937.31776286989,-1689.61567876167,1840.33837612328,469.582031777773,-1714.80398408319,"nonveg_540","absence"
427.193789036684,1086.19745672303,-32.4544067038451,-2067.06262393349,-2523.51112735082,1899.80910552428,1314.873595998,-2067.06262393349,"nonveg_719","absence"
2929.91941356419,3954.54553905206,1577.42036920232,-4440.85305896594,-6479.06092521417,5199.67979490381,4407.67770511124,-4792.40910548707,"Canada.KluaneLake.Quill-ShrubTundra","presence"
3176.71653000538,3586.40455395068,2122.61720264148,-5956.22750034659,-6211.12621612115,4845.5994618594,4264.13663011283,-6248.086715312,"Canada.PayneLake.TDA2","presence"
2917.80038971267,3000.81686698249,1475.48878789577,-5550.09986404545,-5936.88966052727,5820.00539150418,2320.45955527766,-5443.45817311601,"Finland.Javrresduottar.A-Sedge","presence"
361.142974501246,664.52111616409,609.378397109751,-884.966190939984,-2148.44730310894,1288.6062416516,1201.29526868339,-1732.94297777567,"nonveg_968","absence"
715.01547886072,636.284993319227,124.419852684325,-1662.75687701841,-1808.31112008058,931.19226279248,1059.24229487386,-1808.31112008058,"nonveg_869","absence"
777.998621070086,215.978703893397,406.756757163409,-2203.36818491379,-1606.96969379543,972.394251717446,1273.00338226414,-2203.36818491379,"nonveg_816","absence"
110.356177223105,601.609555930481,537.164344523339,-1853.67889152918,-2333.91716172269,669.634616456273,541.001785569426,-1853.67889152918,"nonveg_637","absence"
-493.326347177739,368.003848934294,-254.758881896087,-368.976601757169,-940.086028049399,-46.9725838227214,1291.08354533448,-368.976601757169,"nonveg_689","absence"
1391.66874301442,999.483107936938,1438.55195136926,-1937.31776286989,-1689.61567876167,1840.33837612328,469.582031777773,-1714.80398408319,"nonveg_540","absence"
171.793894169804,920.396353843144,-348.469111541053,-3180.57775521969,-2925.98226579686,837.696997159448,1808.31831063926,-2645.99112684183,"nonveg_663","absence"
115.875604088301,525.037448084826,1156.65052133792,-1409.88479144819,-1862.68710146936,756.251169734621,2488.74550477812,-1409.88479144819,"nonveg_733","absence"
2605.25391617031,2588.71966324825,963.539399163915,-5332.94003326688,-5047.22758500422,5208.75020160481,4038.88109838599,-4795.27031291426,"USA.YukonKuskokwimDelta.4","absence"
2226.63464183859,3144.13965858912,1206.13918363586,-4892.72673493895,-5686.44519678422,3771.74400591337,2733.72653699668,-5145.31722068146,"USA.NorthSlope.16","presence"
4256.81032216904,4975.99261205496,1935.48512573932,-6175.53524179301,-7110.88594054623,6495.64818966866,4652.99935967831,-6113.41267544536,"Canada.BonifaceRiver.AB8","presence"
329.88477253529,504.804101982675,604.310789439717,-1569.41222711722,-2251.30090518398,937.314734087092,628.414149596616,-1790.63676912951,"nonveg_941","absence"
4657.06884112401,5002.70648567722,2590.00856010875,-6287.2477408341,-6852.96436910072,6341.08517597135,3298.67760740588,-6830.93186494164,"Norway.Javrresduottar.A-Sphagnum","presence"
872.256416220562,903.780263883191,382.887243393426,-2463.17609427598,-2667.30387674266,1068.01675835653,1053.08691747199,-2438.1243489676,"Canada.Ivujivik.TP10","presence"
2568.90042993102,2820.25630560695,1727.37133277468,-4798.79211467098,-4902.8383254934,4335.00953391804,1679.19035794721,-4405.36340274775,"Canada.BonifaceRiver.LSA4","presence"
3530.09413776265,3776.19631095604,1882.20614427638,-5821.7408153302,-5499.16018783799,7012.51633602211,4228.46495100646,-6223.20914534161,"USA.InteriorAlaska.17","presence"
3716.59160981821,3547.87443091198,2056.21506246089,-6299.19583495937,-6241.150866085,5544.45859821178,2419.90901569451,-6189.61349417851,"Russia.Tiksi.Bog","presence"
3009.46316847053,3220.35169684087,2080.89219763048,-5797.90070576773,-5988.07350858761,5714.95174053394,2562.35908647983,-5412.28143920588,"Russia.Yamal.OstrovBelyy-1","presence"
916.59904520796,818.821912608946,405.380760964366,-2321.59359201572,-1968.62260965267,1152.68439179201,717.24194268888,-2150.8772667511,"nonveg_975","absence"
384.077249189976,196.780597412579,213.716455812624,-1267.14991940447,-1414.59319304945,649.360993135856,426.396150619263,-1357.39501562917,"nonveg_956","absence"
132.317943651434,124.757721834002,-222.773458420626,-1288.35853857,-1074.00198925742,441.490911257473,911.917577463015,-1074.00198925742,"nonveg_842","absence"
870.502512554686,1307.42723576347,224.792318867217,-1557.07596527326,-1638.43476181278,1215.18296577896,1584.86297703357,-1557.07596527326,"nonveg_825","absence"
16.1102269447446,421.014616632212,653.839220034273,-1204.10086804162,-2537.01601903577,812.286115031164,1121.93109151274,-1659.23469897502,"nonveg_790","absence"
2102.11719108657,2098.1274191083,1218.15926564424,-4686.19815866484,-4835.39288989617,3961.69923921409,1598.48604140302,-4981.53097889462,"Russia.Yamal.OstrovBelyy-2","presence"
1752.31196756434,1550.71308670423,-394.481732040524,-2575.74256953521,-2928.06208533162,2880.50215140291,4008.79693659483,-2928.06208533162,"nonveg_671","absence"
3009.46316847053,3220.35169684087,2080.89219763048,-5797.90070576773,-5988.07350858761,5714.95174053394,2562.35908647983,-5412.28143920588,"Russia.Yamal.OstrovBelyy-1","presence"
4035.48212541323,4411.54413853147,1974.11380273384,-5981.32012419967,-6822.09390446818,7279.9527959577,3500.39137197583,-6335.11911946771,"Sweden.Abisko.VJ-SalixShrub","presence"
2292.46269960014,2452.35808756724,1416.20685800592,-4682.75377102776,-4924.40146623147,4449.73782740336,2154.53679276299,-4706.33691962043,"Russia.Tiksi.LichenTundra","presence"
2605.25391617031,2588.71966324825,963.539399163915,-5332.94003326688,-5047.22758500422,5208.75020160481,4038.88109838599,-4795.27031291426,"USA.YukonKuskokwimDelta.4","absence"
1343.71325372694,816.603144178708,1019.81718181293,-3439.78054771623,-2338.72180949224,1958.18731351583,921.028701064652,-2668.99892649051,"nonveg_764","absence"
173.070006221896,72.984023631625,181.662320460598,10000,8668.62586089203,-1101.3752003571,1129.76963988257,7650.75370168468,"nonveg_1695","absence"
-197.360922611778,513.057784350763,-444.764995910104,-618.489215461387,-1104.82420371816,207.297211502303,1374.03602802787,-581.164570091306,"nonveg_875","absence"
3469.68974287718,3948.78112313563,1917.62549015519,-5498.02516872065,-6061.19888808797,4134.55032091631,3383.76865680825,-5775.19467928,"Russia.Kolyma.OW1","presence"
561.251515959734,464.063478995802,383.440736247105,-2375.45123764997,-2152.10258661282,1559.76287313644,445.395146440062,-2196.62909999617,"nonveg_745","absence"
1232.97597172609,533.950193138899,1126.71009174931,-1032.57616666015,-2095.5629613832,2262.42708678625,2264.4889360041,-2095.5629613832,"nonveg_746","absence"
-122.475151047718,707.782283381805,148.328242844502,3988.20548207883,3073.99386029304,-1200.18411545115,2421.06785478171,3240.52839212828,"nonveg_1854","absence"
1301.57246256864,1232.8417101111,346.542613017646,-3108.5640838916,-2952.83012395554,3073.29495012101,2220.69430598554,-3075.34833278288,"USA.NorthSlope.HoweIsland-C13","presence"
3508.34921039012,3802.97914585219,2177.31901068086,-5975.23229168832,-6204.83068803212,4923.86232830782,2538.64164224716,-6262.91658132694,"USA.NorthSlope.HappyValley-C19","presence"
992.74469138694,1379.5813760313,1025.86431510051,-3500.40159768856,-3657.64747793222,2737.19017220099,915.383015183616,-3257.02752967138,"nonveg_996","absence"
479.488700752588,457.629537089986,-51.484561168539,-1220.1898917183,-1174.87047386127,578.570209989901,2200.33506782288,-1174.87047386127,"nonveg_1834","absence"
1405.0684444663,-367.5239709483,-850.065611129465,-198.537302086191,-1760.9384609353,538.339035826214,3413.45647643573,-1760.9384609353,"nonveg_623","absence"
2281.88427404623,2938.21719276613,1676.39582258576,-4538.87998844676,-4964.53787179696,2328.06139142097,2679.58559606054,-3930.06988489921,"Canada.KluaneLake.Gladstone-MixedTundra","presence"
2364.85514344108,2611.71820389204,1309.06628849835,-5645.1043421078,-5367.42322457422,3902.75283937679,3136.50338407991,-5145.8819675139,"USA.YukonKuskokwimDelta.15B7","presence"
1398.73581264812,548.213342546229,730.079462576097,-2536.31041737059,-1944.64017830358,895.229819949292,927.260621805785,-1944.64017830358,"nonveg_880","absence"
904.14028203829,754.311452109305,546.825058846789,-2756.56012705374,-2586.69755144549,1791.6200099308,919.824390141365,-2586.69755144549,"nonveg_957","absence"
3379.1096303114,3579.84558817793,2309.45695597481,-6001.79650508844,-5701.49579788101,4617.54765417245,1551.89149404509,-5730.31416854358,"USA.YukonKuskokwimDelta.UB6","presence"
395.34804129925,136.904055499494,-463.394121022305,-1612.23678674391,-1321.08141927137,610.697741796552,1784.0062085354,-1612.23678674391,"nonveg_794","absence"
-65.6704221908195,967.769230121784,373.988778744712,-1971.32682611036,-2951.13053641161,825.994624460701,1388.20874393044,-1876.25930148799,"nonveg_1968","absence"
