"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDVI_peakSummer","spectral_NDWI_lateSummer","spectral_green_lateSummer","trees_presence","spectral_NDWI_annualMedian","site_code","presence_absence"
3681.526427539,3421.32943097272,2422.90728405478,7117.52563271887,-6545.11436939601,660.922829529373,0,-5982.9280214828,"Norway.Javrresduottar.A-Betula","presence"
330.064703388242,705.032895654664,-746.021491039277,1321.01931735881,-2669.27456596649,342.333411270709,0,-1397.93582768293,"nonveg_608","absence"
2774.80123368867,3097.7294317918,1719.97121350203,5732.48751283275,-5778.62867166299,739.139237849615,0,-5089.54361041547,"Russia.Tiksi.GraminoidTundra","presence"
142.398171578092,602.886315041273,-136.731035452571,684.918907832979,-1036.03323783665,1786.04714365465,0,-1302.50318514286,"nonveg_907","absence"
929.62666801637,625.319500838705,161.526888869722,1869.52802715428,-1185.18520174891,1361.70824492756,0,-538.41343248617,"nonveg_897","absence"
3060.17281390615,3066.0614552434,2163.48704369658,7894.29722889497,-7503.75143637792,268.94161614583,1,-6761.7039236611,"Finland.Kevo.6","presence"
3922.80861409788,3851.63133394461,2663.61557940839,7992.72425973615,-7144.28466044357,629.825566389581,1,-6045.87588471789,"Canada.ClearwaterLake.AB1","presence"
2773.92691860727,2687.50481455636,1733.70076639606,6291.84715310209,-6066.44117365456,583.076811189254,0,-5696.62579737108,"Finland.Javrresduottar.A-Sphagnum","absence"
2327.57535270069,2232.42885077787,1714.12745290547,5642.61252827805,-5369.60035919585,642.284194015976,0,-4922.66994266825,"USA.YukonKuskokwimDelta.15B7","presence"
3284.61838613772,2111.22960523398,2241.25842432043,7582.46212880075,-6973.89576742771,341.689390727059,1,-5970.52481451732,"USA.InteriorAlaska.17","presence"
2392.52510712473,2739.19232153237,1677.08234010055,6431.24860663228,-5750.24532105286,741.213229507154,0,-5677.30760895797,"Canada.DeceptionBay.BEGL2","presence"
4046.36514474331,3149.24797525652,2683.19249008717,6640.53815428017,-6765.6210973939,699.714783091245,0,-6037.368029045,"USA.YukonKuskokwimDelta.2","presence"
2258.12115828876,1644.95003208681,1069.33543254167,4612.7310471706,-4795.881178422,749.270020415884,0,-4624.75231819824,"Canada.BanksIsland.GreenCabin-C11","absence"
2966.83008606519,3101.09758534061,2089.36391674746,6216.80031072036,-5612.56685648122,783.803399666087,0,-5405.24101717238,"Sweden.Abisko.NT-BirchShrub","presence"
3185.82479062753,2697.20545903622,2379.83601379063,7085.63753888128,-6858.64525303769,447.466552119929,0,-6175.45249298407,"Sweden.Abisko.NF-BirchShrub","presence"
2812.28338281606,2614.31356373903,1904.43895644453,6080.56427503056,-5894.79881357193,695.069243163916,0,-5884.63571568463,"USA.NorthSlope.Sagwon-C18","presence"
2197.753497739,1829.72649216462,1306.12886490338,5206.92348396425,-5124.59982311542,843.213312319178,0,-5118.7951915343,"Russia.Yamal.Kharasavey-2b","presence"
3498.37805775296,2921.64360000419,2613.5538285741,6824.48884471946,-5729.75968103347,752.003616562677,1,-6221.89020569899,"Canada.Yukon.SOUTHSTONEBOY","presence"
2561.05163631006,2980.78697139581,801.567126895344,6604.01030405948,-6530.1197102876,453.400049851575,0,-6126.02161286504,"Sweden.Abisko.KJ-BirchShrub","presence"
2794.23614091058,2797.19129738097,2009.74528681337,5762.61481877345,-5933.46717375932,669.271382230478,0,-5142.99043194865,"Russia.Yamal.Kharasavey-1","presence"
1049.53390704029,973.089011915957,622.253814248561,1557.11015916571,-2873.95013153582,1557.02893953292,0,-1535.84520373653,"nonveg_767","absence"
5.85916827149606,659.400376899746,648.554588140978,888.230783183706,-738.481104574742,1123.75595962851,0,-738.481104574742,"nonveg_958","absence"
2728.04910555194,2693.63379550812,1755.72204320794,6853.41178970769,-6459.91314121204,513.628302300466,0,-6279.20622174668,"Norway.Javrresduottar.EC-Sphagnum","absence"
555.23512530155,-24.2331746426664,-11.3538294328603,1615.13609031901,-2116.06957054554,856.684723743865,0,-1744.81584355871,"nonveg_871","absence"
3759.25437098134,3209.20178508901,2452.92834789888,7289.26250447991,-6697.65238063961,637.166863854421,0,-6317.01323381699,"USA.InteriorAlaska.DEW","presence"
517.719110846605,118.42265622521,271.211005006719,459.337176259196,-1362.17252542873,1142.37351004349,0,-1942.7931624515,"nonveg_953","absence"
3053.29477503236,2757.4006249357,2152.70412055399,5603.46896972222,-5819.72433148062,796.915606579441,0,-5789.36252245444,"USA.YukonKuskokwimDelta.U","presence"
2282.79082991433,2492.57722108425,1846.93627059754,5610.62844265851,-5421.44874410757,679.364788881464,0,-4879.00268334148,"Canada.PayneLake.TD2","presence"
3544.69244000455,3463.26482547092,2603.90165035895,7451.50434141513,-6686.85207304879,533.340490747207,0,-5852.67474869248,"Sweden.Abisko.VJ-MesicHeath","presence"
944.924092193613,964.991214799171,-165.893879278633,7708.06833070282,-5860.44061658703,189.012088418652,0,-5338.03035099779,"nonveg_1607","absence"
2112.88704183196,2222.43714963634,1177.18040051651,6591.42358329015,-5469.88807146988,614.827770758452,0,-5262.95269671784,"Finland.Javrresduottar.EC-Betula","presence"
757.919948863429,250.133107519864,421.039989205034,832.59227995177,-983.298449523207,1616.19053567195,0,-1345.38432580202,"nonveg_922","absence"
2654.70540232739,2798.78973661319,2008.58059664976,5256.09046670935,-5669.12682781091,720.241915295637,0,-3943.57845342343,"Russia.Tiksi.ShrubTundra","presence"
746.823006514183,575.729287640502,521.132182226065,1654.38329953465,-2735.21136725084,1323.52532345449,0,-2330.66304124624,"nonveg_540","absence"
3532.66659949187,2933.53302343901,2156.05124941138,6642.12986154808,-6677.98863154813,581.624293764345,0,-6448.27517245369,"Russia.Yamal.Laborovaya-1","presence"
56.0766035892992,811.879349228058,153.539441277659,2835.98724328315,-2605.31148062921,359.961812803651,0,-1677.35021677925,"nonveg_1626","absence"
291.235629706237,85.7087566014537,132.773614330901,1066.64005834766,-341.60147366588,809.029437642371,0,-100.80544957802,"nonveg_1089","absence"
3471.7148758048,3470.89328126275,2184.11050200552,5556.45361152267,-5372.99773082586,941.793459966072,0,-5178.9978025315,"USA.YukonKuskokwimDelta.UB6","presence"
468.666566007534,-182.834159889228,384.46217718948,1511.20707466195,-1534.58023055829,1047.54209983266,0,-807.195151695623,"nonveg_1473","absence"
392.029188589662,1140.45484863108,755.479690043215,1504.49252863344,-2028.04953788445,773.706327848158,0,-2123.20797224924,"nonveg_648","absence"
839.587559005626,1224.0848483205,318.923862930674,1627.36982538945,-2907.53728753738,1142.07272213006,0,-2823.00943080293,"nonveg_680","absence"
2047.95656095995,1571.31924997426,1186.76885155627,5378.80918666786,-5295.39035131117,571.484933466209,0,-4772.59587663037,"Canada.DaringLake.Tower2-SedgeFen","presence"
