"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_EVI2b_annualMedian","spectral_NDWI_annualMean","site_code","presence_absence"
2760.36229600255,3500.08396808985,1610.4584333502,5463.42528167544,-4839.57637239157,-5126.53617108512,3226.94015738261,-4981.41676671401,"Canada.DeceptionBay.BEGL2","presence"
2699.17038199325,4508.20478263194,1963.7030773452,5856.35038775319,-5486.51381193122,-4528.65984102496,3101.41259004584,-5236.42350046175,"USA.BrooksRange.8","presence"
3112.85777293979,4474.34836242382,2884.88574519825,4876.56898361772,-5307.45501489203,-5286.06375685578,3131.90831770974,-5417.09747250877,"USA.YukonKuskokwimDelta.UB7","presence"
290.347438776649,433.767304852949,300.40580720788,660.814361867828,-1326.87088336665,-1272.81662836961,300.40580720788,-1137.14292524425,"nonveg_900","absence"
2200.24227174331,3449.01619096362,1889.49167170192,4219.6612218807,-5644.03655048285,-5399.94863754289,2868.46804404604,-5585.88515154326,"Canada.DaringLake.LowBirch","presence"
527.586301291232,664.810418293109,271.2816952533,1478.60617046787,-1089.422342767,-1700.93960670806,356.737144184225,-1516.75203717564,"Canada.Ivujivik.RTP13","presence"
672.4980580594,1053.45758068961,364.503424041503,1331.84912256371,-1378.80386222375,-1802.32990448991,672.4980580594,-1681.63363593663,"nonveg_861","absence"
-139.897925394388,529.658258959363,231.660905201069,838.967580504045,-1659.38181367057,-2168.93138215711,231.660905201069,-1816.37837597435,"nonveg_871","absence"
521.282178005289,899.185747485013,793.09795495487,410.549720695433,-1583.82584181292,-1428.32453002505,521.282178005289,-1201.5833930037,"nonveg_733","absence"
2653.10045451154,3380.18854368395,1846.50304046074,4837.29390168778,-5225.77185614616,-4997.64375708532,2708.47422232928,-5287.6997676296,"Russia.Yamal.Nadym-2-H","presence"
3041.14439832391,3541.24893392361,1666.4177093782,4452.96190246407,-5160.85088726573,-5640.74401694219,3267.00942484271,-5673.11500450141,"Russia.Tiksi.FloodMeadow","presence"
383.397055648593,387.869399079516,1455.81940840701,1632.40734519797,-637.112954671278,-1600.1530630782,387.869399079516,-1364.65623554911,"nonveg_700","absence"
2473.10290565811,3463.71316255212,1944.46030445165,5074.1632520211,-5960.52683617424,-6136.19064168842,2623.1062873341,-5995.64321330397,"Finland.Javrresduottar.A-Hummock","presence"
481.845551568986,337.869459450542,-265.042994904502,1312.75579630388,-1965.08657074889,-2648.92471408047,416.690600038165,-2387.06383713071,"nonveg_804","absence"
3163.35431197102,3877.74031751025,2169.49011622262,5576.85022648327,-6025.43418593453,-5931.35639975566,3504.27741628855,-5738.51660434806,"Sweden.Abisko.NT-BirchShrub","presence"
1467.7777564677,620.901889834039,799.096447993655,1312.0643937077,-1816.06338237531,-1548.01532039959,719.115376186047,-1874.45768704432,"nonveg_663","absence"
2544.5109693973,3337.5949991049,2226.68217397438,5287.10444649999,-5278.76289272541,-5449.78954088713,2794.76120900806,-5433.47002253522,"USA.NorthSlope.Sagwon-C19","presence"
2304.62423890698,4544.97141468986,1598.6510345652,5198.70082302028,-7087.05976862064,-5453.52749276458,2663.09817138403,-6230.40903463839,"USA.InteriorAlaska.2","presence"
2760.36229600255,3500.08396808985,1610.4584333502,5463.42528167544,-4839.57637239157,-5126.53617108512,3226.94015738261,-4981.41676671401,"Canada.DeceptionBay.BEGL2","presence"
2428.18786172729,4064.69352271044,2006.53690174949,5329.63182813032,-5589.42999146221,-5418.94206205087,3138.1051906364,-5710.25872630841,"USA.NorthSlope.Oumalik2","presence"
1399.12424917681,481.091739810677,357.025440063765,1439.60268799642,-1192.008365463,-198.050569022254,851.55745573437,-1064.29526257367,"nonveg_695","absence"
-213.65762107067,-369.771054511845,-682.66519650365,725.473352441029,2497.95227039647,3701.03681148029,-213.65762107067,3102.96949537536,"nonveg_1646","absence"
-243.984993139139,454.197944645888,-425.622896707566,-437.998298495338,-882.80915407466,-658.304128772247,-243.984993139139,-419.61652078006,"nonveg_689","absence"
-390.980468806311,907.742466355862,863.803544189263,464.682013666763,-1298.45089030715,782.321822021511,863.803544189263,-693.569966730856,"nonveg_571","absence"
-12.5566455948136,-197.443644666371,-12.7519750521822,1076.60334890532,-853.633728190411,-1857.91501152279,-12.5566455948136,-1314.32171480979,"nonveg_578","absence"
1357.37819362648,5242.37394269657,1340.0865296502,6009.78494209396,-6198.06560080717,-3613.24731898205,2843.94044881245,-5111.95367617438,"Canada.KluaneLake.Outpost-ShrubTundra","presence"
4571.75364510793,4896.31305090115,2748.04748116753,7748.64842328393,-6913.55816554967,-6372.32895270062,4779.67028689246,-6712.33902420922,"Finland.Kevo.9","presence"
-139.897925394388,529.658258959363,231.660905201069,838.967580504045,-1659.38181367057,-2168.93138215711,231.660905201069,-1816.37837597435,"nonveg_871","absence"
2628.85818235561,3494.67029660064,2352.61661103224,6424.11652133997,-5379.33247664205,-5387.74945816048,3195.65703604722,-5678.37143564359,"Russia.Yamal.Nadym-1","presence"
2376.30415984231,3222.10447950178,2202.17892194419,4722.3117586759,-4661.32539185564,-4703.62708998171,2727.33197751224,-5335.30460772365,"Russia.Tazovsky.Unburned28","presence"
2473.10290565811,3463.71316255212,1944.46030445165,5074.1632520211,-5960.52683617424,-6136.19064168842,2623.1062873341,-5995.64321330397,"Finland.Javrresduottar.A-Hummock","presence"
1481.25559639647,2195.1172422214,998.408404365889,3005.37144576854,-4114.9858243044,-4051.35214027249,1610.49860573859,-3890.63798530498,"USA.NorthSlope.WestDock-C14","presence"
1366.94754490477,2050.9705002013,1147.8969216437,5035.31666909078,-5285.16672371306,-5185.75190530646,1576.17405726531,-5465.61533339584,"Canada.ChukotkaRiver.TH5","presence"
1922.45220120287,3091.33086772199,1273.82630831125,4499.88387666691,-4304.9104723378,-5223.6529858039,2156.0260424139,-4496.01085107462,"USA.NorthSlope.14","presence"
-179.934074383262,53.214779789703,20.5827656875084,116.303964095679,-638.523957187308,-1253.91180155639,20.5827656875084,-561.086275096264,"nonveg_842","absence"
594.247484704723,971.850154515468,470.974420044398,1264.62210134722,-2051.41133152355,-2181.18465303079,793.041417425919,-2068.50056927528,"nonveg_998","absence"
1105.70684986234,287.657378822194,141.170959032137,629.861328319221,-1719.36466654929,-1142.13171158306,287.657378822194,-1521.11427686394,"nonveg_637","absence"
209.923141982509,-175.037925827241,135.837267949482,1263.759506823,-528.051373728263,-1610.63944480137,209.923141982509,-1480.0399330633,"nonveg_1654","absence"
2733.35029480237,3555.39833824052,2047.65603958183,5195.09971168761,-4831.12576619841,-6009.14475833194,3897.92221594136,-6166.64657634648,"Russia.Kytalyk.T3","presence"
2035.97074493911,2982.84916079896,1723.94241298148,4768.9352471421,-4750.67599355981,-5602.65366066272,2621.01076560298,-5300.96322735291,"USA.YukonKuskokwimDelta.15B7","presence"
3431.55020421113,4039.1778244139,2311.25973514168,4623.6176976909,-6798.93661941744,-6077.8734321889,3294.8102590139,-6423.5560766726,"Sweden.Abisko.VJ-MesicHeath","presence"
-925.965422158801,-318.115132798636,628.246569885196,-1341.64013695775,2561.03707912654,3246.2971899766,-318.115132798636,3199.17856799927,"nonveg_1854","absence"
1416.45241024958,2820.54741816661,1299.04132882175,7030.29838857174,-5305.35518415544,-5731.46752410198,1456.792320708,-6143.52509223814,"USA.InteriorAlaska.1","presence"
1407.72862821249,1397.57454042415,957.532282509964,2043.0167250526,-2873.68418145246,-2419.14100402402,1281.80612582574,-2841.27656780512,"nonveg_701","absence"
-27.1799009624155,178.258506951335,258.979061377457,639.238294152575,-1791.40811336773,-595.301811044751,108.50534127528,-1427.60906894099,"nonveg_988","absence"
789.512365552046,1097.33234539363,942.775969293488,1127.86791519223,-1792.86741620629,-2291.36488779918,942.775969293488,-1832.96633165739,"nonveg_880","absence"
2784.49190402925,3681.7496452681,2002.39703946082,5305.31687039213,-5078.29111580939,-5789.09408629897,2199.68970618731,-4986.74097001998,"Canada.PayneLake.TDA2","presence"
2688.37144421464,4304.45425886584,1725.32356920906,5989.14644735306,-5790.12014211429,-6020.54592317443,3741.08989820792,-5781.88511385929,"USA.Kougaork.GraminoidShrub","presence"
