"spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_blue_earlySummer","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_changeLSES","spectral_NDVI_annualRange","spectral_NDWI_annualMedian","spectral_green_changeESPS","site_code","presence_absence"
3080.95378652453,3259.74456817944,1783.9517335753,3494.49907354098,-5636.08857012779,-5649.96199020572,-5981.46272714848,-4435.19655340399,586.245933934712,0,2512.70890167157,21.8541637815306,1553.18813946228,-5111.58835364898,-2.50086966872056,"Russia.Yamal.Nadym-2-H","presence"
3692.32884712534,4334.94154994887,2283.94037336137,4647.47283166799,-6341.16626537223,-7083.55598013678,-7012.34665818871,-4712.87153391741,473.078881907712,1,3166.43518526756,-29.724512530671,1858.02979864915,-5891.40279599746,-6.49698399557574,"Sweden.Abisko.NF-Wetland","presence"
-112.887137371554,-560.598223782704,110.332021640509,-60.6706796693668,253.805240336687,-93.3840770723043,-942.48756374401,696.415577683823,576.850729170311,0,-112.618752535744,8.86135439979915,646.910421327136,-3.00670097664005,-12.5372904810105,"nonveg_536","absence"
3746.7713376312,5485.1370286134,1136.80761651595,2548.06785835668,-3696.17452954543,-5795.87938288857,-6958.4704909567,-3769.71898288934,436.074468343319,0,4045.26861987029,-94.468382034253,5817.12207514132,-5893.75120913947,0.755804964102014,"Canada.KluaneLake.Outpost-ShrubTundra","presence"
118.806647681886,-56.7240100171256,250.334308193956,482.136468742287,-1884.92745927413,-2213.73872590191,-2367.19534184429,-1095.3697167367,1045.68649412519,0,250.334308193956,32.9319485871801,679.091747094016,-1884.92745927413,-10.5866060552755,"nonveg_984","absence"
3179.97143465294,3868.82824378387,1684.50374731884,2917.62164494082,-5057.5429967288,-5778.182366883,-6245.31405799788,-3594.07583937824,608.348452764376,0,2142.72497317772,-38.2815608685713,3875.58846321152,-5641.02745166876,21.2190151383399,"Canada.Yukon.SPRINGRIVER","presence"
3028.42206233531,3617.08402408223,1733.67248114186,3391.06496125337,-5276.0445193289,-5743.5301182087,-6077.7308580119,-4646.30024520181,505.217422973276,0,2573.80632544841,-34.9545275322879,1731.89429078687,-5153.01302624522,1.43826807560605,"USA.Toolik.S2","presence"
937.280889334852,1201.44868119341,371.573825276575,1170.19700752341,-2054.24683130895,-2270.41292729905,-2132.4025733067,-2206.08800063207,724.431466776129,0,937.280889334852,-4.64548605507694,1478.70468803411,-2172.54826721428,1.47580764958397,"nonveg_575","absence"
2613.20683060998,2984.99754188026,2216.74986004359,3734.19631505422,-5286.63751811493,-4975.73345835099,-5566.71381728258,-4347.14247467719,648.482714510592,0,2068.81912546104,-5.20935267939682,1486.18111055025,-4637.51512956643,-16.4511463026673,"Canada.Yukon.UPPERPALDO","presence"
282.153089456139,365.933789557011,596.745132942302,1067.38120884366,-1674.03169238187,-1928.80046433728,-1820.89413751605,-1523.47043261009,900.154021537884,0,365.933789557011,28.2538822085391,388.770122928395,-1820.89413751605,-5.91316118704923,"nonveg_953","absence"
4991.44833617882,4688.348342343,2519.32485639334,5500.15311377072,-6983.60450778094,-7070.92799242435,-8053.97171609359,-5910.53395480893,369.793562784157,1,3913.91534127462,-98.3827588014056,4579.25206913043,-6861.29050634036,-0.87663649443844,"Finland.Kevo.9","presence"
226.186091445539,692.889351446169,-497.108417441796,-733.86295143572,-60.2906396036813,-620.931853989976,-459.452897857066,-395.410498274165,876.208255088179,0,226.186091445539,4.0054062316682,2025.03785700285,-459.452897857066,-2.5826746933362,"nonveg_921","absence"
1350.53833196026,1455.19404102146,816.375446099848,1282.46332744353,-2797.44631445304,-3320.20708107596,-3233.227231994,-1001.3907353115,948.662472813586,0,1069.75009725833,-25.059245356145,991.142861082618,-3138.41720556139,0.458298020708467,"Canada.Ivujivik.TP12","presence"
