"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","texture_NDVI_peakSummer","topo_eastness","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changeLSES","spectral_NDWI_annualMean","site_code","presence_absence"
2659.74962578944,2443.38005302602,1875.90922328398,-4315.35141173678,-4343.27869592847,-4960.58513057565,-4812.72391197966,-3837.13210691006,319.1700472597,0.00911860323200623,2474.85706855823,2356.29620278449,28.2606431533147,-36.8905760252721,-4859.07364924707,"Russia.Tazovsky.Unburned28","presence"
432.62607860643,266.789804043045,141.447991426722,-508.466267018591,-583.755175646639,-1191.73557713674,-1547.8743953971,-726.376907928629,739.880191773936,0.244417130947113,141.447991426722,751.488446618201,8.08828019943632,19.5921408049174,-911.64166462554,"nonveg_703","absence"
3299.77580306338,3129.78771407569,2312.78676594671,-6037.89643218941,-5884.09668367466,-6467.017869205,-7008.14174988298,-5130.32132326941,-14.4155501110884,-0.0183754798312293,3378.52584200659,1992.35933726646,34.6563997947854,-62.4638709825993,-6250.1484927004,"Sweden.Abisko.NF-BirchShrub","presence"
51.5478025672465,1323.92436543898,703.325405656931,228.209158922116,10000,3190.5373868476,308.452338930889,1829.12536856525,-273.623096457273,0.139873892068863,513.322385627588,1272.37656287174,-36.2098668383158,46.0248256960269,3111.26485065317,"nonveg_991","absence"
360.902180314255,344.248423671371,361.652793573399,-976.364061438037,-1013.93541648166,-881.378166144574,-746.937854337528,-401.319010685227,-321.500071327267,0.024918157607317,361.652793573399,270.338216589942,-0.0278004910794144,-24.4285446515358,-803.986901817406,"nonveg_976","absence"
2901.77912804491,2430.82563518653,1843.93302462803,-5573.09963839929,-5336.80777579883,-6042.13884353137,-6397.80440973798,-4205.1094784765,215.507663196343,-0.0229689665138721,2969.28083517844,2811.15291449708,50.3220660156447,-44.1494872506488,-5654.83727202318,"Russia.Kolyma.OW1","presence"
3959.52643163106,3580.90931950839,2733.7865776092,-6605.60713952501,-7036.07531960442,-7332.91747504809,-7449.46070658021,-4026.30379090704,101.754379910629,0.0987336445185873,4168.43931884619,2763.96170810205,33.662346951138,-51.7492040145377,-6012.23518984623,"Canada.ClearwaterLake.AB1","presence"
3940.36046097591,3430.7179223803,2314.77090852118,-6061.02149691285,-6447.65819968648,-6792.19845739921,-7293.66723214529,-5164.22058769328,-137.274744659794,-0.0084225345402956,4128.92800554807,2395.72055310587,48.6620394149761,-64.3552578214103,-6141.05898230567,"Finland.Kilpisjarvi.16","presence"
470.142361058912,-354.823408293595,244.253460333102,-841.391819587937,-1379.69154408631,-1783.75660390301,-962.443804825328,-227.876230112351,-554.110677753418,-0.0613148063421249,244.253460333102,1530.82545412781,6.84511820381241,-13.1175883735029,-1039.03200050299,"nonveg_1340","absence"
1882.01599641448,2144.36165291975,1405.81430350969,-4303.04064077888,-4742.27452994372,-4778.58711699261,-4838.7250649978,-3535.47535666758,-11.8187490682718,-0.0134423634140856,1956.02629031937,2218.29033481793,44.4327004906964,-80.1462981725812,-4545.53963124606,"USA.NorthSlope.Atqasuk","presence"
