"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NBR_lateSummer","spectral_NBR_peakSummer","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_green_peakSummer","spectral_green_startSnowfree","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changeLSES","spectral_NBR_changeESPS","spectral_NDMI_changeESPS","spectral_NDVI_annualMedian","spectral_NDVI_annualMean","spectral_NDVI_annualRange","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NDWI_changeESPS","spectral_NIR_changeESPS","spectral_NIR_changePSLS","spectral_red_changeLSES","site_code","presence_absence"
2682.50840744099,2127.9410583941,3061.04322728984,3625.42882452394,1809.2085852078,3408.62132836506,4005.66482139691,4788.34221456683,4089.1880172834,5410.45313940155,6098.81032087348,3453.01253087612,-5436.56864241732,-5673.36688152075,-5957.69751107323,-5968.93007102984,-4965.4890301709,712.485381905449,678.03663052066,0.652561724185944,0,2714.18580415994,2748.61485317635,2279.71057328934,23.8497307153395,-32.0252893212182,41.9116054247657,31.9698551405947,4812.38553393735,4864.62422620983,3097.03448659963,-5515.51803967853,-5519.52546909669,-4.89589591555139,15.8389105663426,-26.6384452592972,4.17606402299452,"USA.SewardPeninsula.18","presence"
3226.6231909864,3066.66952437004,3682.31288436916,4492.92664781526,2804.67075070986,4433.95432718068,5197.45254164887,5040.761335081,5217.0584735017,5731.48563341097,6711.94913319213,4485.28890871666,-6179.10519340175,-6151.4748303438,-6732.61676364422,-6441.09163537498,-5408.45570328162,738.999093143932,802.331268898324,1.22824764251709,0,3181.64365913093,3415.23681333501,1588.02743488623,-3.80328903393474,7.22623368879671,38.5078918888386,33.0568139591194,4962.05660483344,5388.93604152542,2062.2788367356,-6350.60202957279,-6220.65269531597,0.906810447367851,14.990503918319,-29.6103708430397,11.3806502102962,"USA.YukonKuskokwimDelta.72B2","presence"
2039.86823007892,1601.33417691274,2346.82320016372,2545.00692914853,1096.5859014562,1994.43948365808,2312.94961756706,4027.91702338524,3521.58240760645,4625.13657944202,4902.3426975871,2559.13464274232,-4396.5927669777,-4417.77554884056,-4919.66475885708,-5363.95786785434,-3550.00910616821,674.813418407587,719.604330965609,0.536810158328577,0,1839.94324491339,1771.89472896956,2189.75401589893,45.562109179812,-53.0749288669767,-0.657361434825218,-1.07412952464697,3733.85515363711,3680.99931314279,3533.48872167926,-4569.5906523781,-4780.02781249739,-42.4170139478994,-0.14222198337101,23.7273560230214,-4.9256428030566,"USA.NorthSlope.FranklinBluffs-C15","presence"
3862.61348439353,2948.60497739325,3978.32778379308,4804.82708003501,2477.47112399949,5910.39973151415,6889.51836918412,6982.3561817387,6102.54958219005,7136.55353727993,7974.95883735027,5220.95613002512,-6045.02663436058,-6464.70335378083,-6591.32756082405,-6362.30334828429,-6225.95146300808,602.996897484311,489.165661829847,0.0892741444210215,1,4070.03488721837,3751.24532747432,2888.43036484281,47.390651063051,-52.247665411348,35.3697374213827,24.3942967026561,7377.45030353296,6976.45761014883,3776.11232175,-6102.8256021432,-5887.96911824747,-2.43853363764588,15.133191867977,-27.7000118807727,-6.49513730203991,"USA.InteriorAlaska.21","presence"
2907.37775065263,3110.07363735196,3273.47029892757,3591.75904593523,2204.96337549493,3822.13696333433,3951.38702698199,5553.82854772477,5509.85657059613,6178.35571801877,6562.33967514328,4416.28389466907,-5873.89291212573,-5922.05032293486,-6398.49378782326,-6443.14343346944,-4850.00898623476,559.441464169225,649.448786903535,7.12527780532837,0,2928.96498716333,2952.04570278964,987.645758942728,13.7018955177417,15.4787336942314,1.47217036021115,-0.299585767342285,5360.07116137912,5224.8707055362,1553.24057322696,-5302.74453772174,-5456.15438196982,-25.9398862659014,-0.761979829956437,-13.0225074222659,66.9768274855017,"Sweden.Abisko.NT-BirchShrub","presence"
718.410099360802,790.406969409449,1195.23971309183,860.586988931983,248.829723244603,497.315259156132,-265.098397862767,823.856117006023,914.619069978786,1525.44754727195,1008.18137116458,153.021868885326,-1887.47267376522,-1773.0468212586,-1411.34059139927,-2142.96515914377,-1815.20431310945,2417.97925381441,2768.5546629544,9.20244216918945,0,790.406969409449,762.694698807734,946.409989847227,18.0607836967769,-33.7360619735318,-11.2670236364787,-11.2813035092435,914.619069978786,885.025194861333,1372.42567838663,-1815.20431310945,-1806.00591173526,-9.82663405302112,-5.59494106459822,14.8448668383108,-9.33291144661556,"nonveg_855","absence"
1606.67443346341,1184.28965836502,1276.61478161494,1553.1981626181,898.970491685516,31.4618117940916,469.080888150945,2849.11744439752,2080.07534546899,2329.44713084997,2846.00614244325,1457.54584726543,-2119.57966283419,-2976.97469316225,-3353.08062836734,-3201.99557052742,-1476.4975764298,1085.03279422727,1372.64582833193,4.22318997383118,0,880.517008177868,1122.80984898501,1092.31816317455,45.8588036886199,13.5402773978709,-14.2796047234297,-13.3974020870861,1649.38000703219,2054.54823243071,1916.98654288565,-2871.38439441488,-2765.08350637736,-31.0466397828692,-5.17268306805522,-68.974726849485,17.6674186453224,"Canada.PrincePatrickIsland.MouldBay-C04","presence"
542.923451508581,-333.725879444391,1008.37643012353,592.918773689409,1179.72463826596,1503.89515717009,1172.96389052967,653.221824542912,540.790369206342,488.570956243017,377.556570701519,670.059402015973,-1086.75264080244,873.957262684668,-975.339914589811,-1660.01211663121,-678.695559171741,1073.86009052069,1330.82132082482,19.3761386871338,0,592.918773689409,598.043482828617,1513.45051771035,-39.8000741723359,-46.2793899851007,-34.2059586656354,-35.2686680329779,540.790369206342,546.039824541953,292.502831314454,-975.339914589811,-705.368593702108,-33.7211456369864,0.709284569144476,-2.47692189738868,-11.4504184218993,"nonveg_571","absence"
613.839884130388,1492.23563370488,348.278297340821,556.478766650614,1180.51940842364,-2607.36328012148,-2277.10198511811,1029.09327048747,2216.59288152791,713.099250530264,987.068692282824,1697.97824968797,-2139.6322257235,-999.61972934142,-2541.30068617633,-2275.37289898466,-1191.87330061304,1484.01217457469,1980.87077310285,0.690925061702728,0,613.839884130388,838.270398050068,1143.95733636406,-17.1721067967651,285.989334091015,-1.89656861071174,-2.96837015076776,1029.09327048747,1328.76646890329,1503.49363099765,-2139.6322257235,-1829.55976816779,-4.11335373518665,-6.23443668737729,-47.7586692590642,132.474196581482,"nonveg_543","absence"
28.1784371707088,-73.2011904657527,890.017555730088,956.911461992942,360.525245549258,-2866.90924816553,-2851.05153324194,307.020277532372,236.900426726132,1388.16698025362,1580.73809670138,517.165878195344,-1615.17925560348,-1582.24594441427,-976.995247302528,-1030.02779924947,17.0535355949619,965.042704133507,1473.37345699546,21.2400760650635,0,360.525245549258,432.486301995449,1030.1126524587,-9.77490612878086,-56.6599262468141,20.9694619510282,19.5966386207006,517.165878195344,805.998331881769,1343.83766997525,-1030.02779924947,-1037.47894219496,16.7186130386859,13.3529703843002,0.458503233682771,-1.86776394515617,"nonveg_923","absence"
