"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_green_peakSummer","spectral_NDVI_annualRange","site_code","presence_absence"
900.420743936663,821.776773910177,1186.80959876148,2512.8972070431,-3057.67306292096,-2183.02585291244,815.941145719059,925.676278440838,"nonveg_996","absence"
1301.43798581495,53.160046658271,355.483808848259,218.661480372322,-472.53461072346,153.548637331126,889.496534703687,1039.17879427991,"nonveg_1089","absence"
242.91893254676,720.189294417773,237.394129597794,1447.57025842175,-1790.59890806503,-1202.97842241439,866.360433172459,913.906462578483,"nonveg_935","absence"
-672.193113590256,82.8339863215397,-394.940763200295,339.396850014417,-2073.47590440137,-773.916853029986,1006.16835174256,1925.54839219783,"nonveg_673","absence"
1383.13572256656,1641.15529196635,1512.96137399461,3609.08204461335,-3672.50867461119,-2324.40184151249,842.596361062929,856.134596997272,"Canada.PrincePatrickIsland.MouldBay-C05","absence"
2091.44653876087,2342.80876854746,1174.26249372212,4670.31165247612,-5211.43712514106,-4030.94440894458,686.162212501566,2094.45117475773,"USA.NorthSlope.9","presence"
-613.267158085714,518.07717072408,-131.346699908606,389.519405125317,-486.259521832108,496.343854683984,1290.6276307887,1302.8180736656,"nonveg_1161","absence"
578.556494076245,1205.51850719656,359.834438160924,1984.57066335403,-2777.9193109711,-2034.7312121037,1191.8739677789,1250.67038346474,"nonveg_899","absence"
-12.0385194231725,621.313581124685,305.086902920355,1162.01559209401,-2451.91519318301,-1928.83770529078,1126.05965105194,968.318485116591,"nonveg_814","absence"
2790.5635620887,3490.79649876752,2310.1148881803,6247.09112111335,-6418.5370852631,-5750.53906317695,614.213665251198,2375.08505311105,"Russia.Tazovsky.Burned28","presence"
516.076572424743,304.346157423875,134.44459528485,477.567956925543,-1252.04442758501,-981.543526619055,1282.43846841998,875.352605623131,"nonveg_560","absence"
2472.93137390624,3617.78982880845,2007.7180645796,5841.20712727402,-6400.01625059952,-4955.17381868195,646.400390737621,1399.37414357361,"USA.NorthSlope.Oumalik2","presence"
3226.32935143748,4043.31091310361,2547.87914038284,6274.09837481658,-6646.55136683718,-5396.6229631881,680.218470397537,3183.46759181547,"USA.YukonKuskokwimDelta.72B2","presence"
32.8586515397116,-149.285826252495,-593.565916865716,604.541320133439,-2484.56133660219,-1251.20179639756,495.755365198418,2382.18244245792,"nonveg_608","absence"
1020.73296931468,1194.56157230827,935.793740488432,2626.29451951105,-2239.59176342879,-2026.93762420823,866.498545304671,1021.51402822796,"nonveg_746","absence"
313.809616217833,435.771527147303,292.840509671986,965.656161729585,-1556.34530087313,-1400.27304224117,1251.4307133645,269.185935304914,"nonveg_682","absence"
547.8086586463,823.883413014243,320.044851198267,1944.53469751491,-1196.94910885671,-274.784691572693,964.853341477133,1314.83013016512,"nonveg_792","absence"
974.347228008936,3828.34913604907,931.395602490937,6240.97773962689,-6891.71161914175,-2842.18293704839,622.792675128068,6348.27815719726,"Canada.KluaneLake.Outpost-ShrubTundra","presence"
217.967584126101,777.970736207558,424.97610461962,2805.31796157921,-1887.50698849388,-1691.85605898133,677.317934637674,1309.57678660223,"nonveg_1442","absence"
1559.47096827109,2335.14291421779,1040.12409370526,4345.14408716161,-5018.24832338347,-3813.52736557643,753.758986514177,2132.98171224347,"Canada.BanksIsland.GreenCabin-C10","presence"
290.018015336576,491.810743300608,185.818108366686,1348.23356983267,-1180.78971941863,-382.281179490798,903.395784089623,1503.36838332402,"nonveg_779","absence"
209.615531684698,99.5394506575336,-105.486952914545,1420.23905500539,-1314.3966282245,541.939181062093,67.4998799518883,1672.17495451336,"nonveg_1889","absence"
1910.90145990911,3450.1808703924,2207.80579744206,5234.71001422756,-6200.71731599368,-3517.33181106288,788.227639135152,4910.19405469109,"Canada.KluaneLake.Outpost-MixedTundra","presence"
2153.5663748968,3291.17190757502,1730.46946908172,7100.20699481482,-6485.08562405332,-5269.37131952579,503.137459018823,3925.36440225483,"USA.InteriorAlaska.5","presence"
