"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NBR_endSnowfree","spectral_NBR_lateSummer","spectral_NBR_peakSummer","spectral_NBR_startSnowfree","spectral_NDMI_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NIR_endSnowfree","spectral_NIR_lateSummer","spectral_NIR_peakSummer","spectral_NIR_startSnowfree","spectral_SWIR2_startSnowfree","spectral_blue_peakSummer","spectral_green_earlySummer","spectral_green_endSnowfree","texture_NDVI_peakSummer","topo_eastness","topo_northness","topo_slope","topo_tpi","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changeESPS","spectral_EVI2b_changePSLS","spectral_EVI2b_changeLSES","spectral_NBR_annualMedian","spectral_NBR_changeSSES","spectral_NBR_changeESPS","spectral_NBR_changePSLS","spectral_NDMI_changePSLS","spectral_NDVI_annualMedian","spectral_NDVI_annualMean","spectral_NDVI_changeSSES","spectral_NDVI_changeESPS","spectral_NDVI_changePSLS","spectral_NDVI_changeLSES","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NDWI_annualRange","spectral_NDWI_changeSSES","spectral_NDWI_changeESPS","spectral_NDWI_changePSLS","spectral_NDWI_changeLSES","spectral_NIR_annualMedian","spectral_NIR_changeESPS","spectral_NIR_changePSLS","spectral_NIR_changeLSES","spectral_SWIR1_annualRange","spectral_SWIR1_changePSLS","spectral_SWIR2_annualMean","spectral_SWIR2_changeLSES","spectral_blue_annualMedian","spectral_blue_changeESPS","spectral_blue_changeLSES","spectral_green_annualRange","spectral_green_changePSLS","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
4530.35341386401,3200.34035738536,4400.16853490285,5381.2997867446,1719.69657423959,3794.67205679965,5343.0253065926,6251.79668006658,1341.97926240738,-1379.48540126083,7266.01262215395,5444.67535317254,7268.11715112354,8085.87841641844,3479.5058612698,-6091.52392006387,-7058.99426718509,-7194.97032025517,-7196.72049318077,-5333.49615549665,2540.08586841088,3128.12357260411,3617.83512156623,2064.07745944171,1228.28954656902,407.348857269165,704.783608398375,500.55456211361,187.498794293897,0.0221522748470306,-0.0767109766602516,5.56926512718201,1.22418330609799,0,3802.16190272438,3586.43207127187,4173.69791718456,69.7230033945956,48.1497999548253,-40.9406030407595,-78.0572286506817,3912.72518481615,78.9217622192747,68.5964645679351,-19.8639868102117,-14.8508825749259,6185.90069738869,5774.54611644717,104.219809401051,55.151935720687,-24.0766611790269,-133.74203737132,-6551.4971685,-6409.02447135639,3043.17929428771,-55.6367209167637,-5.38725118726436,10.3689333881384,-47.9503091989494,2885.60076916327,23.215910482979,-18.8971589429997,-34.0378579299808,563.873255031603,-1.76490008472153,1139.96165278291,-16.6292288631109,465.409325996163,0.869258273013159,-11.1717359453956,357.02067507919,-0.238853388461332,"USA.Kougaork.TallShrub","presence",0,0,1,0,0
3071.88938825222,2475.84573944921,3267.0485092376,3827.07681367615,2254.66457672017,3068.26077782554,3908.38032057543,4389.42809130134,2356.19243679259,-321.738367649052,5352.28389173685,4665.44823131051,5555.22573698468,6280.11397901501,4173.29804477813,-5885.28004088609,-5984.12906350488,-6540.02084230359,-6506.42417702789,-5183.35322178862,2273.48211838447,2592.55567282882,2841.45927133798,2196.82827226268,1290.63969148618,414.467498174621,640.243087676571,622.386477261027,67.7485556801621,0.0336717620491981,-0.0376552633941174,2.9089729309082,-2.13674511909485,0,3080.82147094619,3012.30992529107,1108.39734554566,29.5985584356619,8.33463836371549,-21.9466870780514,-18.8088077813003,3674.23249641146,32.8624391417474,13.5854540947587,-17.0502754956795,-13.3143599836053,5283.50723101269,5227.78813155718,42.0518717512045,7.30502418394826,-26.9523124625207,-17.3757559992224,-5812.61779064443,-5976.76127578521,1905.99649998846,-21.164770911972,-43.0739381180424,2.68700202603891,41.7564123425553,2511.51796171565,1.64833453471166,-9.53472915728366,-6.22296497408629,307.611645052255,-1.71204306048364,1183.1558251393,9.71170107532084,477.078547611789,-6.31080348931467,6.26355758077282,192.101268446276,-0.533691294563208,"USA.NorthSlope.HappyValley-C20","presence",0,0,1,0,0
3144.40787235673,2376.02020962852,2765.09018223273,3638.77551399385,2281.45185692922,5062.89553141686,4450.30925886902,6066.33117549122,4187.18901637128,1299.80618189735,6936.74302872133,6396.05095621736,6467.45467601208,7658.50672943381,5606.06168653373,-5682.01424611555,-5832.87173690878,-6629.95890265678,-6121.81964233147,-5446.94402657627,1568.57794934404,1738.93529379017,2233.28809013695,1680.88765091985,762.980810680435,352.904211216328,507.109775464969,458.564992673915,264.014701669925,-0.00102935816782216,-0.00702410470694303,0.424908171097437,-0.0586197121689717,1,2505.4754365204,2792.00707317452,1716.6663474983,26.4396993244651,10.0103062909418,-42.7696266820388,-16.4257646110059,4376.58909308748,35.9083898588271,15.4019190298063,-90.7896251115456,-60.8385538470037,5988.2348376962,6536.79314503344,42.7010254389921,13.1580307292538,-64.850115619188,-7.15524597174813,-5818.75480400156,-5952.43124366312,1831.47531907835,-0.753861317793053,-14.103606537437,-43.1735887146338,24.3518636492061,1714.35736370731,3.42480755530433,-25.0288410405109,-7.36950208716372,581.369183872345,-16.2949887261383,687.341367663729,2.39644073232948,353.079155233598,-0.809466533797793,2.13719668973574,228.592368755634,-6.94400983952907,"USA.InteriorAlaska.22","presence",0,1,0,0,0
2600.99816704264,3033.94392633665,3579.48441289543,3957.57483453408,2168.78349772574,4116.31446666636,4376.41473225516,4622.50525580761,2217.85159746332,-739.895950043632,5024.74887561543,5720.60177094806,6581.63121873917,7127.30225634197,4263.49766480583,-6715.27069600081,-6018.69124041281,-6317.71639242634,-6253.81933747343,-5471.17912799633,2297.54191879176,2506.44473243049,2691.24120276406,2052.0203254938,1161.86662177606,497.148268897829,412.548175801299,589.739340248936,-409.3285404406,-0.0318873875774443,0.0412036530673504,3.23171725273132,-0.473315531015396,0,3610.27645098479,3505.90243735666,1668.43827693382,28.7856450237048,5.19362051310311,27.0964446853029,-30.0876136706349,3886.88724957446,35.9330193361344,4.40225233214425,60.0087126470057,51.1134248068014,6363.56057545237,6222.73363061871,48.2531296310973,0.65199162307887,46.3082278953949,-45.988756589428,-5974.57448177423,-6023.85518527261,2164.36437851183,-26.0980650589676,-38.327300928409,64.3897853557915,11.3076808014116,2570.98932777089,1.30227339839221,17.5994716756383,-12.8836108755471,378.731780644655,18.9365890322327,1184.63101414617,-1.27868816432986,550.28621576835,-8.61156780424084,0.750899057597093,294.212644486673,14.7106322243337,"Sweden.Abisko.NF-BirchShrub","presence",0,0,0,1,0
631.854395867578,472.715208265137,555.427687029036,638.473018210137,673.301631879658,29.0772564707138,-16.7245611462521,-77.8930811938403,985.30427921739,-687.789365415471,962.112409532867,796.660236638655,895.503323574253,996.0898508915,1021.95700611198,-1176.22531790305,-1567.704580295,-1446.37411332301,-1312.01208813451,-873.46590791682,2015.35175061398,2188.2370922789,2346.63190666446,2284.49331802401,2017.87255958904,1305.68158521813,1791.03263300189,1428.4611934953,631.994627375125,-0.00417868373915553,-0.00659457920119166,0.59255313873291,-1.12418723106384,0,631.854395867578,594.354388250309,200.586423614521,-1.80205373965569,0.275775930939962,-16.6090662362201,-16.5424957527797,-16.7245611462521,-64.0445290777965,17.0761170157537,12.2337040095176,-10.0492033249361,962.112409532867,934.464565349851,-2.60193898170052,1.4157267232764,-20.1173054634495,-19.7686173871196,-1312.01208813451,-1275.15640151448,694.238672378181,-13.1634526080969,-5.6577820929774,-26.8724050377,-24.2660933943992,2284.49331802401,-7.22981874176528,-31.6789628771138,-34.5770683329824,957.932911865802,-58.5895292850249,2298.09208426305,-49.209961295778,1305.68158521813,-4.80776299020782,-16.1853152111984,362.571439506587,-19.5900362710035,"nonveg_955","absence",1,0,0,0,0
2879.50332465971,2504.74160952014,3146.79624827171,3224.95571245155,1855.14178197235,3335.36911272718,3680.04638215637,3443.15080025146,3625.09419444988,943.499308589006,4873.63046406589,4495.31467590714,5316.65608702287,5375.94884775681,2885.8544170054,-5211.85157107193,-5913.10440944311,-5688.90022004289,-5949.97743725929,-3758.60428619767,2483.82819630261,2666.52600220487,2637.04749251309,2494.58883350059,1176.60516244776,471.378213512434,856.967590399854,667.70475670535,37.3122369736382,0.00574812507256866,0.00313774626702071,0.383577597141266,0.128365202248096,0,2695.6678993239,2624.59115960926,2301.84031669438,51.0007659655135,37.5315539073471,-52.8081556282339,-31.8797753768258,3410.84103511248,14.5493305622245,33.8431578707634,-64.9683128216021,-66.8201726689119,4611.20426925559,4444.03615283382,100.152996219959,57.755977031993,-80.4867344743729,-32.2133549068614,-5439.63804690181,-5346.1074296636,1724.00595969991,-45.4715743180646,10.416110327523,-58.0402782818447,6.53755601774798,2552.96759178615,11.2553262737993,-24.5129682612861,-2.13118221615547,1195.37865610102,-36.7885068284856,1199.37943915149,-1.69690845715872,614.017586041119,2.14733558447858,-0.169197668924119,366.639460534501,-13.6018546942383,"Russia.Yamal.Kharasavey-1","presence",1,0,0,0,0
184.524694000579,1131.11460906081,-79.2690776808671,462.785650794953,674.765164719367,-1596.75477072839,-3952.6174877318,-2972.69920903009,-2318.95287855192,-3043.57515792989,1089.89423514831,2519.53182494629,902.406901921754,1527.02021987606,1690.83008638055,-2328.55418453725,-999.905114464932,-2558.56584847571,-1928.59609045742,-1739.36802804791,1613.77983418918,641.804715773406,1099.61332431121,1320.29526381111,2181.97571164495,722.678686137055,705.553144465345,1051.48252296463,220.6997722196,0.116400212049484,-0.385829389095306,23.9406795501709,3.90344953536987,0,462.785650794953,474.784208178969,1210.38368674168,-32.6826980479191,17.3913097996484,-30.11415158199,67.2435381523155,-2972.69920903009,-72.4117550995789,27.0268747509696,-54.439904372317,-44.6775186759862,1527.02021987606,1545.93665365459,-40.0623900821498,27.3203740454844,-34.7007398863501,89.8402735013634,-1928.59609045742,-1910.99785319664,1558.66073401078,-39.2790770992894,24.9973808799895,-34.998319889905,86.5922630005986,1099.61332431121,12.2029127757841,-25.4338115854335,53.998617689765,963.514403228879,-20.4753891481894,2076.37881122144,33.3217096131851,722.678686137055,6.79789162344908,22.6484781882757,420.83882983777,-9.79932152113197,"nonveg_736","absence",0,0,0,1,0
2666.99321495991,2546.19157193531,3131.38059206612,3307.87932054993,1975.38971456701,2699.13555927357,3496.91673842894,3406.45242401899,1592.81440118069,-746.176704550113,5440.45823739658,5368.82462776334,6304.74199209015,6582.84360465023,4212.0510252858,-5608.88592016387,-5681.33957388916,-5935.09029717578,-6215.50663233819,-3960.84900768409,1993.8116840072,2206.6325979555,2276.90701212782,1887.20100943074,1461.15818936562,451.973395662104,622.650975448521,576.868835386071,-210.287557233473,-0.0291508396880494,-0.00141837339227398,1.68810576862759,-0.33577213022444,1,2688.50086903899,2623.44482655584,794.930203734813,8.20590703813871,12.1769186986514,-11.5267632990548,8.35379285585569,2360.75463726485,-6.96963539486323,23.7153340085555,-6.66286698738391,-7.0646596483421,5636.61221448245,5450.69398032955,13.7132465684708,23.5899626876544,-17.8506388650994,12.1409259066524,-5945.98314931071,-5646.98240152497,2767.94171511741,-52.6748999075426,-18.2979645826473,6.23640785176667,59.4155706012063,1947.77965146699,3.77313447946382,-5.4741771362076,10.3816803711486,470.284188561987,-3.08120695488779,1271.2357567205,15.2025233378411,454.867563321579,-2.5638335451523,10.9502648715463,269.906488792698,-0.698807235083016,"Canada.LeRoyLake.TDA3","presence",0,0,0,1,0
-296.26741572854,466.268253118565,-98.3987404478577,8.01693464464373,-238.590029825932,2199.93727529375,1875.64668425487,2116.09950871866,2204.26295797175,1666.91444690471,289.013404075632,-59.1382963924566,389.433663225422,1149.98075245329,-995.274566644322,2112.22562425048,4423.78313033653,3039.94892924359,1965.53903024122,4665.60374516295,595.331360286759,57.1593907843197,114.67314834702,347.532530251883,107.600090139967,123.737560743191,158.175012673876,435.973791700023,-13.3454868941408,0.00237452331930399,0.0214613433927298,1.23961627483368,-1.71130108833313,0,-98.3987404478577,-31.794199647824,762.535668847105,-2.88386929513039,15.2142175186592,-4.83707614056825,25.6666815257465,2116.09950871866,-25.0456463053453,20.6374738426909,-10.9296738392632,0.848570102143221,289.013404075632,154.802991343513,64.2143985359977,43.0483674188829,-34.5703222376304,-20.3896345280854,3039.94892924359,3241.42009184695,2700.06471492173,-127.668906045623,-7.33432970046283,48.8368135910168,62.9015545951337,114.67314834702,4.6349966040169,-2.61426170739546,24.4623622501109,437.652010908454,-0.825494714202042,96.8359768111467,12.1894762475432,187.59377605254,-0.888100442579727,13.2707468522228,566.709261038443,1.84272668733627,"nonveg_1646","absence",0,0,1,0,0
222.737044239555,272.458561878293,-44.8418807213017,73.4269171359718,139.708947453816,5964.31053256393,6968.80277065048,7029.05682478064,4057.19616803261,398.034111458274,197.803306622348,-449.814633549288,-31.8288754474663,405.99777764693,-690.963312920782,999.413655159141,1268.40128094879,740.204805327877,714.418969361075,1314.00425131216,470.157510855787,208.12689461647,290.970493230807,380.800876183052,103.115450103956,217.718809403706,270.239493994755,287.496485387622,591.425746707918,-0.000661461090203375,-7.42374822948477e-06,0.0454504862427712,-0.0888238549232483,0,139.708947453816,132.697917997267,317.300442599594,3.95371889455899,-7.11000605255157,-8.44777127551953,22.6643173285425,5964.31053256393,79.366011822915,62.1511623079436,-4.30386100929698,-4.19275457624371,-31.8288754474663,-113.761147529652,42.3222199782443,9.91402242974197,-31.2733323638854,-29.8561255787016,999.413655159141,1007.28859242181,599.585281951089,-14.9805045787154,-13.5711755141936,1.84184542620013,37.7283196872077,380.800876183052,-6.08597771513802,-5.91739990102408,18.7164725885226,205.058512059816,-4.64103718319924,91.2378770106116,8.15360549529079,251.105755395268,-2.25794191064192,6.9350870143006,88.4729473688352,-2.00057936616102,"nonveg_1509","absence",0,0,0,1,0
