"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_red_peakSummer","spectral_EVI2b_annualMedian","spectral_NBR_changeESPS","spectral_NDVI_annualMean","spectral_NDVI_annualRange","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","site_code","presence_absence"
1906.22730241489,2550.22049836959,3279.8077349969,1309.34543937376,-4901.78443559492,-4988.08550769688,-5626.98725345859,-5526.90008680675,832.769772854869,2452.51340366784,53.7021909863959,4468.84230824385,2942.50500621834,-4905.15459745534,-4899.78725432663,"USA.NorthSlope.Sagwon-C15","presence"
1911.30919740319,3011.65164259007,3841.26051817433,2434.76261282248,-5532.8883765888,-6114.53454355666,-6093.06486407506,-5720.27954150836,756.232894432821,2898.79170345176,50.9538176235433,5198.68086640328,2345.76471205225,-5723.41967856832,-5480.79270281403,"USA.NorthSlope.10","presence"
-105.617251297355,-213.651900489381,-266.626911316299,18.5970097487349,-11.3140931876149,-74.9397522121594,-254.657148358393,-471.989197405155,478.909965366728,-117.809280635633,-21.632769634488,-266.440822011446,288.054818895772,-74.9397522121594,-52.6611302908756,"nonveg_536","absence"
922.957204826634,1066.48743827013,1515.1738125197,1081.53079532477,-1386.54114904655,-2078.0082328392,-1984.06297611808,-1424.69825305658,2335.25925191661,1081.53079532477,3.34498546595378,1705.13489863658,791.95874462567,-1570.8858248801,-1688.8392871881,"nonveg_508","absence"
414.100729558967,250.610734517021,821.548397214095,266.774831736964,-2729.85095691151,-1935.39380013744,-2684.7854544935,-1594.9039143618,878.014521818413,266.774831736964,38.9069371417305,1163.29948516958,1398.09509822749,-1935.39380013744,-2093.35020943209,"nonveg_769","absence"
534.680579554915,621.36973548123,-122.43301488017,366.726228958524,-1183.27424768849,-283.593637390506,-1057.17157907717,-1930.01956389687,586.982331039694,366.726228958524,-87.2727335660266,721.323575395841,1401.75929793294,-1057.17157907717,-824.937892782666,"nonveg_1469","absence"
3140.26230310625,3917.3231249132,4358.63087311456,1589.2315492393,-5394.63989237151,-6107.82128107176,-6250.81497292173,-6422.73098444317,620.560695852486,3349.90028876723,32.1287688398112,5671.84342591256,3628.30414509171,-6251.1270066284,-5797.61793159482,"USA.YukonKuskokwimDelta.15B2","presence"
494.855467101877,111.533140237034,88.5757285619233,-94.7807948716087,-286.281141451096,-665.005612523082,-1464.88817467723,-1573.93120005815,585.510630322365,111.533140237034,-36.5503933246888,632.211343522265,1341.62196611495,-791.883628403287,-956.397951422569,"nonveg_932","absence"
1692.97443400174,1481.64309024849,1067.47720352888,887.819009944637,-2841.23041458452,-2366.64301511372,-3213.59351297664,-3957.50252776134,1010.59243443739,1481.64309024849,-42.3837226037569,2637.50450907222,1284.62544043435,-2841.23041458452,-2964.75022448898,"nonveg_632","absence"
3449.58869145091,3909.16558308925,3963.94609436273,2602.74874903651,-6596.70857594112,-6622.68916323655,-6869.70475535309,-7213.12385729592,341.625094720209,3337.2903409219,5.69020646736343,7065.95902684979,2685.97246676447,-6563.23156324817,-6673.76962784283,"Finland.Kevo.7","presence"
