"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NBR_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NIR_earlySummer","spectral_NIR_lateSummer","texture_NDVI_peakSummer","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_NBR_changeLSES","spectral_NDVI_annualMedian","spectral_NDVI_annualMean","spectral_NDVI_annualRange","spectral_NDVI_changeLSES","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NDWI_annualRange","spectral_NDWI_changeLSES","spectral_SWIR1_annualRange","spectral_SWIR2_changeESPS","spectral_blue_changePSLS","spectral_blue_changeLSES","spectral_red_changeLSES","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
958.645803705326,75.0759833014748,674.988484907547,72.6293707241007,539.651466051161,-1633.52643567892,2425.77091457846,1977.98215746851,811.456335077076,1572.89639156543,-1139.13770472118,-3218.66506683796,-1813.52601117834,-3152.6464185862,1417.92396025696,1190.00614588561,-483.219439572043,0.164485394954681,0,539.651466051161,464.198221737922,886.016432981225,-191.070192179089,1572.89639156543,1513.36785761358,1647.03742520006,-171.321238298588,-1813.52601117834,-2222.00937286419,2079.52736211677,-200.734150808518,991.988383021434,-23.0627027132374,58.5228440940176,-58.4436955830329,-53.5452529849426,"nonveg_760","absence",1,0,0,0,0
585.285580838191,280.169670686032,900.912776621377,837.119668046637,-34.4884223830359,-3272.05617190152,1537.28312279124,2054.80522912831,2001.71622694995,468.944445743304,-1906.8770370303,-2408.24070402967,-1835.04264676362,-2010.32657577111,1198.88142971785,1385.27308665431,-610.594216178831,2.00368094444275,0,585.285580838191,513.79985476184,935.401199004413,-55.0024471895102,1537.28312279124,1455.46824863816,1585.860783385,-70.0177508791912,-1906.8770370303,-1995.14982516387,592.978541805002,-47.766504772171,506.113824431641,1.30024815117156,3.65668750675762,-11.1884510317618,-13.8407420010844,"nonveg_882","absence",1,0,0,0,0
2851.43049732929,3252.81125128504,3905.79475837405,4370.5763436301,2127.25093810649,1953.76701114346,5500.08399251282,6977.65863736488,7613.8075694379,4187.34995832191,-6878.16440689108,-6411.41535088844,-7199.11754101744,-7139.70790577648,2109.52034810563,2607.23328278842,168.622228561841,0.491874206066131,0,3377.60784264937,3369.23623357648,2624.784822552,-67.3247101566837,6271.93635254883,6255.70195439379,4067.08850758684,-83.4802680749346,-6212.25692797722,-6279.48880147696,2385.76645090936,6.28791798284718,433.715391962006,-2.69023636313314,13.475571488024,-3.74321031798683,1.65118365248424,"Finland.Kilpisjarvi.16","presence",0,1,0,0,0
868.151318986843,1142.50788938251,52.9539559769649,851.579698563416,1222.18439609901,1267.55040037517,1251.20623050574,523.55587307531,1377.88347272694,1393.8823764614,-1228.53743989787,-1111.39624086194,-2381.85831538144,-1861.77805114054,2548.56393431371,1645.61663339785,46.6442459618846,1.79573464393616,0,868.151318986843,827.475451801749,1169.23044012205,225.820906990093,1377.88347272694,1234.79266364816,1103.87949239611,110.387949239611,-1228.53743989787,-1268.22640401543,2624.2963425861,127.046207451951,397.832331700115,-1.07698945792106,-9.44599930536612,46.1162431813011,42.4901835104324,"nonveg_637","absence",1,0,0,0,0
444.676706681857,504.295631415953,744.022801519446,480.186030824621,615.648940586855,367.75326690939,738.002314146879,1227.7935105523,870.588434789502,939.850950867115,-2241.29215697423,-2160.94353567547,-1881.20468445847,-2319.19956408011,2474.01561633569,2256.58382538794,-292.768873109539,2.18370985984802,0,504.295631415953,557.766022205746,299.346094837589,-13.6556914758245,939.850950867115,945.487708819372,489.791196405417,-39.5128824016042,-2160.94353567547,-2016.80332236867,837.822893425034,-39.9626930309997,796.804743981694,-22.1553093694668,10.5884143054174,-24.8526268211753,-31.272755837626,"nonveg_940","absence",1,0,0,0,0
64.6460210164615,985.401475969892,34.2976573346946,487.12324873585,383.351834636204,-2282.89211263524,1968.71860617119,2097.85064022064,2676.05681179895,2084.54689854455,247.469958967274,10000,2783.09320260171,269.926768527248,657.681641697572,500.448685298584,92.7005896438861,28.8310146331787,0,383.351834636204,390.96404753862,951.103818635197,274.924798637276,2084.54689854455,2062.28363984519,1191.8115693083,-27.8911544422721,1358.60741262638,2931.81946854452,9752.53004103273,328.041218063559,617.003113426767,4.84367181191666,-4.12053711697188,0.0601828500021058,6.147974444028,"nonveg_991","absence",0,0,0,1,0
1299.3137995742,1146.90895693517,1385.08104993103,1586.63703610817,867.59900822924,980.128073976725,2399.05786059355,2649.42576069138,2974.74119527085,1612.69999187612,-2865.99520550771,-2948.74075922339,-3261.20936390435,-3216.92050888808,2179.60403619803,2014.48856268812,-1.72991475312528,2.69272572994232,0,1168.35693122671,1216.00415120111,592.427958730808,-17.6925769553138,2242.50244745659,2253.67173917207,1147.55952115222,-40.8125377792077,-2926.88094349937,-2854.82288841671,1694.52865983395,9.75800383295184,356.600710349199,3.62223189056583,13.6586294854877,-3.98892222816057,-8.51776343057666,"Canada.BanksIsland.GreenCabin-C08","presence",1,0,0,0,0
345.679502644143,194.076704449988,254.152846035873,489.986892373772,-56.0004677222043,-108.904007886479,579.345915159829,492.540249382726,797.485727345819,46.4961441923091,-1650.60942752286,-2029.5958281584,-1945.78898366876,-1558.15338237021,2310.31703286139,1967.33491276665,-349.889786760147,0.59255313873291,0,254.152846035873,245.579095556314,545.987360095976,15.9528484876847,492.540249382726,467.968379731711,750.98958315351,-13.7132773609705,-1945.78898366876,-1853.3114409674,524.256200746562,-16.7613688979274,1189.41329831716,-13.8092910183496,-29.2130821232842,-14.1306391378132,-25.8836891873285,"nonveg_955","absence",1,0,0,0,0
2678.69556845743,2255.8665278206,3436.64416719798,3680.82970022952,1840.88645759022,3188.03456240393,5818.95593554712,7365.94965829939,7409.86596743061,4754.12949101214,-6408.59790422066,-5600.43067042892,-6015.11655263395,-6784.06216725802,1852.99901037089,2171.42734725794,-769.869692592985,0.217862104376157,1,2538.93980045078,2813.89118356653,1513.75372284906,-44.6643687018131,6303.89195777016,6293.07730734465,2511.31974074049,-51.616808834121,-5716.78238902361,-5903.50093433806,2310.12805190939,20.1350920317309,318.448212937216,-0.0689819253427771,6.17227095959228,-0.489488308722182,0.307149720803256,"USA.InteriorAlaska.5","presence",0,1,0,0,0
486.848803454289,605.693888529448,50.0773181869473,703.97064735443,352.915884247682,683.290659070142,958.500955782225,524.775321702454,1333.97425942659,782.909498845408,-2338.21473653939,-2270.70785279779,-2979.28570251965,-2198.9212182973,2009.34454046115,1493.74761562891,742.079804358892,1.37796580791473,0,486.848803454289,439.901308354559,653.893329167483,212.25019850006,958.500955782225,969.877707531032,809.198937724133,181.113295049007,-2270.70785279779,-2366.05893745646,936.120525391485,177.144462430466,822.122335853809,-10.02487122919,-65.7805254211353,42.466947706825,32.0610044510298,"nonveg_899","absence",1,0,0,0,0
