"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_red_changePSLS","site_code","presence_absence"
1848.86592636977,1883.74532053529,1413.84946698503,2727.59834172262,-3768.05605297154,-3910.90290737346,-3952.18166590037,14.1118656250167,"Finland.Kevo.3","presence"
2542.36745183465,3502.72113715221,1821.70299951562,3047.91296930898,-5703.86821342343,-5081.02117476674,-6011.46399602192,-9.98358356490406,"Russia.Kolyma.WT1","presence"
554.636855031523,538.923312565826,688.660614094458,1031.827413674,-2019.12186990796,-2085.99314314209,-2186.56649534448,-60.337183232383,"nonveg_940","absence"
1424.38355122172,1626.40567708084,622.107731903263,1033.04323243946,-3293.39547765192,-2540.62001921476,-2899.78953953505,12.7804111657382,"Canada.PrincePatrickIsland.MouldBay-C04","presence"
2640.30699179551,3564.88563297396,2003.18387198247,3761.13919730167,-5741.18094718655,-5818.24952734332,-6176.06106105175,-3.37248521353106,"USA.NorthSlope.HappyValley-C19","presence"
2713.01564319065,3100.12404395633,1373.32285481725,1940.07713356647,-4972.6229605217,-4587.34318926835,-5136.6160800842,13.4017533317385,"Russia.Yamal.Kharasavey-2b","presence"
3489.98114848793,3799.81242245978,2317.42808137182,4413.51330560182,-6306.30916936898,-6032.03849045045,-6699.57078705847,-7.77430949521375,"Sweden.Abisko.NT-MesicHeath","presence"
-311.221170897699,152.491080816906,-322.994933374668,-20.8553717767254,-1230.83018862729,-1371.11316642606,-795.356497788833,7.40095659302331,"nonveg_870","absence"
399.986071065628,-105.671708556917,-235.031040559009,-2036.09936545809,-105.060283070831,122.993834304326,-483.459388417178,-11.9938049191401,"nonveg_1642","absence"
1165.86155722102,1208.84774275437,848.891026009461,1393.23856962098,-2493.04807201391,-1644.90373870665,-1712.121292995,37.1730151486116,"nonveg_863","absence"
3332.67021974575,4269.24140422631,2085.00515322511,4310.03503471056,-6582.01476204189,-6272.94895389623,-7166.23036087142,-9.47055255897281,"Canada.BonifaceRiver.AB8","presence"
132.593444194578,257.679667398587,-356.840294347915,-345.235662161849,-1621.19615501923,-1369.35283964181,-1567.71433971663,-4.06295639627789,"nonveg_794","absence"
3697.29283699409,3877.10108425451,2497.40352978988,4577.98388817808,-6047.61480976365,-6031.85004941595,-7087.05506794437,-15.9101973420799,"Norway.Javrresduottar.A-Betula","presence"
247.667836908544,137.309972806782,-586.909478965726,-2482.48386686694,4121.46289887057,6523.91070578679,4810.25216234446,-4.98875527787049,"nonveg_1720","absence"
248.617555450446,-18.0278640801766,-29.9947733535111,480.384887759907,-1312.8319446365,-2107.95834848757,-2712.97476485495,-13.9570744139695,"nonveg_968","absence"
2667.94337475333,3291.22389935034,1817.56485494749,4208.6986868559,-5012.89317315172,-5702.52189651652,-5976.37174580359,22.0124503413217,"Finland.Javrresduottar.EC-Salix","presence"
1205.59261635393,2664.16901315,1314.75844044395,2575.11066504261,-5165.93425009842,-3464.30733292922,-5491.29057129294,7.29714404439067,"Canada.KluaneLake.Quill-MixedTundra","presence"
1165.86155722102,1208.84774275437,848.891026009461,1393.23856962098,-2493.04807201391,-1644.90373870665,-1712.121292995,37.1730151486116,"nonveg_863","absence"
1165.86155722102,1208.84774275437,848.891026009461,1393.23856962098,-2493.04807201391,-1644.90373870665,-1712.121292995,37.1730151486116,"nonveg_863","absence"
2368.73313338765,2653.86127529339,1515.83107853031,2773.91008036872,-4558.05587669281,-5198.16829955483,-5192.71254576168,29.169433962479,"USA.NorthSlope.Barrow","presence"
844.722674430328,802.503860465728,612.617410049851,1347.51367842301,-2097.80790982474,-1767.84006386135,-2118.3868776581,0.673685465952204,"nonveg_913","absence"
247.667836908544,137.309972806782,-586.909478965726,-2482.48386686694,4121.46289887057,6523.91070578679,4810.25216234446,-4.98875527787049,"nonveg_1720","absence"
324.957695099287,292.469265032731,867.509528276552,1106.99515934546,-1038.36898099648,-1337.85774771346,-1378.91873814387,26.7344088483148,"nonveg_912","absence"
534.082134210639,606.165486617201,-47.934849650585,-31.3958873527874,-843.231415337645,-284.124481928839,-1070.65834532259,-22.9418066815761,"nonveg_1469","absence"
638.276489993035,878.533372080397,175.632031709724,880.587094181241,-2714.70251419363,-2647.09365086175,-2625.4633713363,-6.33680119902376,"nonveg_957","absence"
669.42369290488,460.142857090989,47.5263548045607,1002.64721138917,-2617.32138762881,-2479.15571389669,-2900.15290161948,-8.35061734301646,"nonveg_648","absence"
-50.7104713025166,29.7906094757621,-451.102211344913,1030.37090241213,1871.52529573134,5226.42606875591,2269.42391330872,-2.4677651465704,"nonveg_1880","absence"
