"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NDWI_changeLSES","spectral_blue_changeLSES","site_code","presence_absence"
35.4417564352217,1117.76075112409,687.46587192821,2085.63826970396,1351.44595429195,-2068.92489358855,-1203.66106812065,-609.313084077225,1.21331322193146,0,687.46587192821,1082.31899468887,-6.49220447444489,-73.4435903388206,-17.0208365915167,"nonveg_684","absence"
1252.78201541732,1928.48925302893,665.072644820489,7731.8369143189,4574.20801023344,-5085.20554845969,-5569.92726929783,-270.544784005941,0.340450137853622,0,1252.78201541732,1515.11385301834,7.27613937936023,6.07360456843642,-5.92074468336297,"nonveg_1607","absence"
468.427866341681,-759.463164367946,-56.1212457965999,482.632896248254,-38.07959064596,-492.475983812735,-1801.57982691777,-673.857811293837,20.7710285186768,0,6.37321544137467,1227.89103070963,11.5443175795472,68.6100185054317,19.97916245711,"nonveg_616","absence"
-323.931633860724,-15.3812261312157,-43.2000511772123,749.210930298603,-32.266324570343,-2029.92351429826,-1022.15212914951,-1016.91007329945,3.63399982452393,0,-15.3812261312157,757.519411662211,7.77688245262162,-63.1419097429842,-19.2047796879204,"nonveg_976","absence"
208.315985242657,364.510248771837,36.0146441984117,-309.625504326528,-1575.05729448471,4242.76570889016,2640.60729509538,3764.50985266776,0.148143708705902,0,61.0474207964635,339.61892818154,1.19203698085961,24.6984728769857,-0.944165855075435,"nonveg_1854","absence"
2016.19888091365,2232.74253961202,1538.69807502711,4465.85516743488,2752.42407049901,-4580.67722541922,-4479.21855601285,-3190.61963111958,4.47286743587918,0,2841.96677554215,1346.39614169201,4.4565375854412,-1.19047439294206,-2.48067924703689,"Canada.BonifaceRiver.LSA2","presence"
1257.65874030349,286.661027829926,883.114529051353,865.320943899188,1387.23722350004,-870.781970772492,-1822.91249126274,-103.20878869468,8.26713180541992,0,883.114529051353,970.997712473566,4.8748831439074,1176.98701485018,341.468263375516,"nonveg_645","absence"
35.4417564352217,1117.76075112409,687.46587192821,2085.63826970396,1351.44595429195,-2068.92489358855,-1203.66106812065,-609.313084077225,1.21331322193146,0,687.46587192821,1082.31899468887,-6.49220447444489,-73.4435903388206,-17.0208365915167,"nonveg_684","absence"
2521.27428046153,3672.56501781058,1936.35931745142,6974.89444387975,3192.58929154924,-5289.75675375189,-6468.07812964677,-3050.11744664312,5.81751002205743,0,2490.51700935572,2014.86416655872,3.73324193978622,40.5290335807014,7.47830017668581,"Canada.DeceptionBay.BEGL1","presence"
2925.69453336754,4053.82867262216,2496.10703903779,6867.30596935871,4306.02071037147,-6034.63698689984,-6619.02324114844,-5587.05215068149,2.19560813837581,0,3635.53691463096,2607.77914063927,54.3159899886075,44.0315472614995,6.67936450807066,"USA.NorthSlope.Ivotuk1","presence"
453.212449686877,33.8610642018862,523.309415422642,1499.25221319341,1098.21329574811,119.9290209698,-812.05411757761,-980.14106111611,25.4955310821533,0,453.212449686877,1475.82287232125,-74.4010062341042,58.0043134743739,5.54950055489857,"nonveg_988","absence"
874.519918992218,749.425185376052,-172.671725275594,5.16746671689157,-300.946585787824,-790.178269251407,-2242.24819784542,-502.714661244725,6.91941452026367,0,299.230044297718,1047.19164426781,14.746930299166,36.4990870303621,18.3394566096482,"nonveg_673","absence"
80.8545259109314,-945.03661128627,833.766599237796,641.76282021817,1039.6489244962,-1650.8771751555,-2156.1878104863,-59.1230581335575,14.9154071807861,0,80.8545259109314,1778.80321052406,-4.21224315876426,35.6840938593707,6.45462531334693,"nonveg_608","absence"
532.923845965548,796.446762460799,21.7043858065122,1991.02585291108,785.485658342113,-2793.89101710256,-3173.98570127454,-2332.83097969054,2.7245466709137,0,538.544925459342,1088.48694684961,32.0143219661649,-1.43765530956889,0.339940469412394,"nonveg_612","absence"
3231.70060575251,4135.46582619801,2005.83077863766,7635.94728294898,4277.52532657956,-6655.63690265768,-7084.60476161565,-5192.17103173831,0.487291187047958,0,3643.3554976308,2869.33959450332,43.0965129459697,84.6316718059501,12.51995196051,"Norway.Javrresduottar.A-Salix","presence"
1924.04011044148,3328.84889589357,1683.94852869762,6282.43850043144,3031.89448887323,-5857.53938100097,-7005.61538196152,-4355.7381031234,0.849750737349192,0,3033.97733863901,3110.16628089108,66.7751271366371,-44.5949205795413,-7.30688169057309,"USA.BrooksRange.8","presence"
308.959817901923,624.355901422935,1141.52770028382,2602.62187520098,2509.92037492993,-3534.63678483991,-2346.63372916949,-1802.13928637453,2.43069458007813,0,624.355901422935,832.567882381892,-26.1036273133537,-80.0700012460381,-28.7725251156847,"nonveg_985","absence"
3114.558574867,3492.63522341412,1857.0502774423,6200.99373830247,3405.57023002484,-5461.68660779995,-6067.58831102118,-4515.83449566113,0.523900166153908,0,2908.62124593777,2942.14407259044,58.8083395782656,13.605027327599,-2.19461523169398,"Russia.Kytalyk.T3","presence"
532.923845965548,796.446762460799,21.7043858065122,1991.02585291108,785.485658342113,-2793.89101710256,-3173.98570127454,-2332.83097969054,2.7245466709137,0,538.544925459342,1088.48694684961,32.0143219661649,-1.43765530956889,0.339940469412394,"nonveg_612","absence"
