"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_lateSummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","topo_eastness","trees_presence","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_NDWI_annualMean","spectral_green_annualRange","site_code","presence_absence"
-373.216336876955,166.769505545906,-440.483885416976,-95.4228413038225,21.4230171285784,-562.867087177563,-241.793324997362,-969.87412345686,2079.27148017724,-0.00313713634386659,0,-202.601772353834,607.253390962882,29.8866518648183,425.543080301768,"nonveg_1642","absence"
263.572536791044,-22.9942408573082,-250.072839635324,23.1730910537805,21.8868234092578,356.020076861861,-361.626495894399,-928.277504253711,332.052671254282,0.00517040630802512,0,69.6601226968908,584.694905767586,37.6773306699859,474.259563759121,"nonveg_822","absence"
1985.40230295042,2544.63792201084,2595.60443002158,1097.18882059366,4903.70283023276,-5169.19636631745,-5441.16986098638,-5766.53901347045,-3464.8166897891,9.22600229387172e-05,0,2094.30868769412,929.821103464328,-4899.79308579623,364.405473999003,"USA.NorthSlope.14","presence"
142.993447854073,62.8760820919941,-87.9973816615946,-115.797253682208,264.037003147301,-1319.94972767191,-1532.07943876703,-1815.23822628555,-1127.29632749608,0.024918157607317,0,35.7147503102924,292.296110631406,-1410.26372856233,536.61080769662,"nonveg_976","absence"
1718.7342414819,1708.37240832499,1691.08182463247,1259.37179271974,3669.27918395731,-3538.46585603219,-4017.55824653002,-4183.83094117681,-3242.42839158122,0.00491824541758332,0,1515.93158403703,998.54027206787,-2989.28485631406,404.655889401707,"Canada.ChukotkaRiver.TPO5","presence"
2178.14045873419,2912.6586792022,3315.47354807736,2130.72781912711,5366.35953648762,-5777.1696529756,-5983.43596248722,-6058.80672362294,-4230.29702587961,2.752827713266e-05,0,2486.07118247554,1159.21279286565,-5293.52189937576,216.095069910094,"Canada.DaringLake.LowBirch","presence"
-148.749002201176,554.57842341161,835.071407820528,-429.289668148325,832.607877600325,-861.304322221305,-696.164948780691,-757.759696706666,-913.20920486854,-0.240644454956055,0,216.498765323128,1264.36107596885,-836.509062156053,846.96907554846,"nonveg_670","absence"
429.439755109238,248.588879810965,251.720194020852,-195.561177691038,502.9930173545,-1065.29968105598,-1490.71578128281,-1543.73131354018,-1414.35813961084,0.209692567586899,0,276.28396866278,842.793369754922,-1248.59006137751,346.512935582232,"nonveg_997","absence"
1536.10038067242,2770.2039255996,3418.8670466468,1614.61374726674,5418.74490814144,-4564.19362199817,-5467.36716017188,-6175.92275845555,-4388.73052049894,-0.00238468781268846,0,2627.21368518229,2185.50501514284,-4867.77692152015,462.073609519551,"Canada.KluaneLake.Quill-MixedTundra","presence"
2586.55689487749,3537.34911620937,4110.19762117743,2417.45557442579,7011.00575521103,-5891.29194296473,-6288.2238400886,-6282.70846271306,-5378.83158873986,-0.0100890202447772,1,3298.65235235075,1840.79709905303,-5849.78045666227,280.855756069039,"USA.InteriorAlaska.20","presence"
962.826135757021,725.882503277345,903.117696034764,533.40205148705,1725.29661412516,-2603.48264772414,-2926.40282859051,-2824.90622599856,-1125.34276197652,0.0222522402344531,0,659.924210051698,1138.77292021771,-2337.59337098326,499.684251316124,"Canada.EllefRingnesIsland.Isachsen-C01","presence"
