"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_green_lateSummer","spectral_red_peakSummer","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changeESPS","spectral_EVI2b_changePSLS","spectral_EVI2b_changeLSES","spectral_NBR_changeESPS","spectral_NDVI_annualMean","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NDWI_changeSSES","spectral_NDWI_changePSLS","spectral_NDWI_changeLSES","spectral_NIR_changeESPS","spectral_blue_changeESPS","spectral_green_changeSSES","spectral_green_changeESPS","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
1928.33392998816,2101.48594141332,2422.34540819435,2302.14916207106,1304.48437010629,3520.11418398004,3736.65073885493,4343.42357837039,2203.01369718327,-4373.84486280409,-4512.16789960764,-4644.94378718883,-5049.59286569673,-2702.72538796914,778.279417858129,770.956776996425,3.81574913859368,0,2095.76067772658,2175.24602320484,1307.88585391867,27.0197725452312,20.4975853459806,-60.4070964047574,82.4076777653057,23.0009659352027,3680.80870169673,-4351.45013231955,-4132.58161789498,-100.754373962321,-65.0423827707439,175.108074158574,10.0624039249163,-3.75039855771603,-13.0120673291306,-1.72968069298161,"Canada.PrincePatrickIsland.MouldBay-C06","presence",1,0,0,0,0
-135.386729902725,954.871464814335,1078.38893311202,438.709965462254,-72.2449390143387,300.852311760023,1707.9133959729,1228.05810553622,242.109267782087,-2717.22199691712,-1062.11760308761,-1489.91145228562,-2551.98603766727,-2020.94762912557,1199.09915096054,1080.37381235695,1.70424664020538,0,438.709965462254,452.86773889431,1213.77566301475,-1.54004368020454,14.0023584235361,20.634805408057,-3.9844344612157,24.0722328560725,1101.60303544333,-2020.94762912557,-1968.43694381664,-16.9823016534522,34.2604704961824,13.7998015870325,6.86656779431716,1.66341553843559,-4.47582745508415,1.66220382589452,"nonveg_1968","absence",0,0,0,1,0
-374.310715919229,363.624639566407,-74.3893418954417,861.450494212946,-373.265553452091,-228.27867723257,273.566366437231,1169.78939802528,-342.201817822122,-909.349320362718,204.140752830312,-616.603506431862,-14.4659240332245,-486.659156759616,726.715927745988,1107.83165732411,31.5680522918701,0,-74.3893418954417,80.6219045025186,1235.76121013217,-0.0435484361307488,51.4900504221739,-49.2547282162309,23.0533674453605,47.43931932208,191.533677846455,-486.659156759616,-364.587430951422,-17.6120901501292,-31.6914517051914,43.1970662769565,38.8035358653737,14.7321287098376,-4.86081686378682,13.4072280483061,"nonveg_1089","absence",0,0,1,0,0
1074.12855715063,1133.75644373536,1093.63832581007,1312.94263395336,548.470474573995,1956.25311547068,2102.55738896631,2449.47699341499,932.072578760074,-2347.52685129481,-2545.28653131503,-2986.27721623803,-2635.57231143865,-1893.17299047792,1125.66662187118,1425.21743041129,1.95342802206675,0,1085.17122695324,888.356636393504,686.970776720461,29.86829464002,-2.4657896215934,4.34893630769037,-59.5431482777935,-16.1302466793242,1662.45953176392,-2773.1879074642,-2604.20213779112,-11.8027003730389,20.275527884784,-42.7622867663722,-6.4936458755465,-7.44910810587383,-3.59057466041496,-7.06518898641853,"Canada.PrincePatrickIsland.MouldBay-C00","presence",1,0,0,0,0
3455.00173366723,2692.46980812147,3739.1328617432,4241.2503700245,2540.0504636334,5473.63514862957,4714.58435534665,6395.53636268276,4022.8309214844,-5498.51801822306,-5668.1366871861,-5776.61682861871,-5861.54754808644,-5624.39642602418,799.566746966611,873.974950476557,1.46955156326294,0,3371.67869953155,3301.49196396599,1822.09470613815,24.1378443691496,29.4531763996194,-31.8981368369701,-32.4358461672385,51.3461707453602,5183.93869814025,-5695.20314344428,-5768.67428793821,-2.15730319868135,-28.7519638212606,17.4574209455146,17.7634445492148,4.47094862961491,2.43929578159355,4.30402046913051,"USA.BrooksRange.6","presence",0,0,0,1,0
1572.19767016926,1610.6560142543,1561.38244873074,1873.5943579298,1190.8326787791,1503.59507356078,1605.2285753255,1982.15014843833,948.26088901393,-2209.28200156281,-2649.75150319376,-3005.81249333412,-2618.0494552362,-1299.88131126537,556.831710380766,741.400099244956,13.2748689651489,0,1572.19767016926,1561.73263397264,682.761679150699,15.2545996556067,11.592180298482,-39.0264886498824,5.47484061372931,-0.492591107176955,1514.66259626519,-2618.0494552362,-2356.55535291845,-36.3760276118979,-48.4703797622389,39.562332237817,5.02821948154213,-2.3559207983857,-2.17624027270841,-1.49139904420151,"nonveg_706","absence",1,0,0,0,0
2084.18732340643,2224.87572144995,2796.58864058152,3368.95010218554,1292.43236531299,3822.18906584285,4244.60104664932,5553.80180784689,2723.893543768,-5297.3464943053,-5134.72869031007,-5267.31759686735,-5118.55608853764,-4872.35273286389,761.302036044338,972.14529518108,0.873459060986837,0,2270.18088361904,2315.12745652482,2691.43779652927,30.8642300983471,27.057089617134,-21.2271467106099,-21.4711924051093,37.349189425284,4305.69726168871,-5170.11169909513,-5226.38643823431,-3.53545371312072,-4.53482893887924,4.79348815769286,13.4784186885925,3.34123455593077,2.99814228855662,2.9878849534613,"USA.YukonKuskokwimDelta.5","presence",0,0,1,0,0
2357.27584396417,1579.60062522084,2518.87347214429,2946.57378093011,1405.51892767828,4434.07140963345,3587.36897466726,5503.12002426714,2937.38048451474,-4830.11098121508,-4915.98642676803,-5328.44866625028,-5838.12355704682,-3940.55405069778,642.830937855334,688.733345605772,0.858598383267721,0,1760.24270420576,1964.66067104556,1605.63931722129,11.2900085656142,28.8689964461928,4.68853995726849,-69.8104050965779,67.9634270873251,4033.07480378979,-5514.63262305926,-5047.14146495854,-57.6869327483636,57.7259941452503,-42.9539119413519,11.0197299764287,0.466789095754359,-4.02115382414973,1.21975571490128,"USA.InteriorAlaska.AUFEIS","presence",0,0,0,1,0
-135.386729902725,954.871464814335,1078.38893311202,438.709965462254,-72.2449390143387,300.852311760023,1707.9133959729,1228.05810553622,242.109267782087,-2717.22199691712,-1062.11760308761,-1489.91145228562,-2551.98603766727,-2020.94762912557,1199.09915096054,1080.37381235695,1.70424664020538,0,438.709965462254,452.86773889431,1213.77566301475,-1.54004368020454,14.0023584235361,20.634805408057,-3.9844344612157,24.0722328560725,1101.60303544333,-2020.94762912557,-1968.43694381664,-16.9823016534522,34.2604704961824,13.7998015870325,6.86656779431716,1.66341553843559,-4.47582745508415,1.66220382589452,"nonveg_1968","absence",0,0,0,1,0
507.704846084697,-664.702882723011,714.92392569733,788.844016482676,1.73439655568467,1332.92665628166,-87.4795283399927,2169.18128936533,259.049198698497,-1442.73069820952,-2489.6295025331,-2438.87664822538,-2982.07829763662,-272.065238312319,767.238206832448,765.028500680666,1.45060038566589,0,507.704846084697,269.700860419475,1453.54689920569,16.3216274041617,8.78559907493685,-3.89053109396557,-68.9813404210171,13.0557707609757,1121.03853774922,-2438.87664822538,-1925.07607698339,-37.7634019321679,28.5895604953281,-2.53764271538587,-0.0988612751285984,-5.3102584000955,-1.84073717110878,-4.27581814319343,"nonveg_532","absence",0,0,1,0,0
