"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","topo_tpi","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NDWI_annualMedian","spectral_SWIR1_changePSLS","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
379.857131334405,405.081040663778,-84.9430800447585,186.179661362407,-386.880155906381,1165.23601510296,-1061.09759081284,-881.191253954751,2.53532361984253,0,186.179661362407,791.961196570158,-1372.97022239486,-7.62235645806855,"nonveg_794","absence",0,0,0,1,0
3404.44213006688,2616.07342005095,3930.95104609586,4577.2499767288,2028.28186958886,6280.10065471779,-6379.08388265989,-6184.41982470346,0.785140123632219,1,3796.43716320794,3074.27694773644,-6743.88526957764,-12.7430031433693,"Canada.ClearwaterLake.AB2","presence",0,1,0,0,0
819.826052846319,220.653057013335,1295.73155954211,835.004253001883,1133.07060756833,779.866688755628,-1313.80916456413,-1786.05967996405,0.380667895078659,0,835.004253001883,1075.07850252878,-1313.80916456413,17.0152075399181,"nonveg_700","absence",0,0,1,0,0
2902.25571390525,3236.72657709005,3850.75901962742,3945.54212605847,1197.53341850378,3855.45879153218,-6631.1491700194,-6368.17827559287,0.818812141815821,0,3450.36124398218,3323.12120259028,-6134.59842270419,8.78173284426495,"Sweden.Abisko.KJ-MesicHeath","presence",0,0,0,1,0
-179.083294059421,201.300909684886,661.404245743261,325.677255146463,698.336264717443,152.271646382387,-2457.05833675772,-2254.60072756528,-4.51276350021362,0,325.677255146463,877.419558776864,-2254.60072756528,15.0763378514721,"nonveg_941","absence",1,0,0,0,0
833.917251136565,464.914982294175,595.981166780524,922.506004323964,335.433923302687,1543.59592724241,-1653.4275802518,-2578.55556562073,5.82091283798218,0,595.981166780524,587.072081021276,-2143.85430091344,-61.7493040885852,"nonveg_954","absence",1,0,0,0,0
-229.697543379683,243.197835012501,184.366057458721,466.501144897757,-288.12919417701,246.879333247867,-1464.70417503533,-847.063971110574,-0.311715692281723,0,184.366057458721,754.630339074766,-1464.70417503533,-9.32628700766386,"nonveg_1340","absence",0,0,1,0,0
573.304851189698,838.918160563988,654.948035981412,572.815727668631,133.580620964871,869.379605159243,-1050.98425632075,-842.835255517557,-12.7397108078003,0,573.304851189698,705.337539599117,-1095.1642687182,5.16461941907221,"nonveg_936","absence",1,0,0,0,0
1453.25263401237,1215.6388764625,1106.31377187524,1323.89808580317,1326.89196392315,3077.41355479483,-3342.1367969346,-1628.33258038231,-10.7886552810669,0,1323.89808580317,346.938862137131,-3342.1367969346,-8.3331570609225,"nonveg_1132","absence",0,0,0,1,0
2815.47605805436,2613.71696826277,3254.53754091746,3432.21852882167,2278.94311760414,4586.09876436017,-5257.98157472655,-5515.20231288381,-0.0912347907821338,0,2906.07805667088,847.317828535521,-5659.27217797029,2.19574383024695,"USA.YukonKuskokwimDelta.U","presence",0,0,1,0,0
1126.44104559363,152.048457820494,47.748357838244,373.072616307263,91.4489527578849,1787.47584777714,-724.387090012917,-1919.92581593008,3.50233316421509,0,152.048457820494,1078.69268775539,-1840.82786999854,-7.51972517199018,"nonveg_659","absence",0,0,1,0,0
2466.79954720421,2393.1700644328,2817.27936044453,2757.75695256701,1841.46411045437,4607.47404188222,-4976.71215777836,-5161.13699914737,-0.369373145699501,0,2668.4759833208,939.592764027628,-5072.65860946615,17.8551617006943,"Russia.Yamal.VaskinyDachi-3","presence",0,0,1,0,0
3178.46678809756,3001.06652651999,3631.12332764784,3919.4734092685,2624.08925123289,6155.40982658969,-6083.78531430357,-6256.03395822275,0.540376042326292,1,3070.1445081143,1263.7595043707,-6848.84142803343,-0.292685797319188,"Canada.LeRoyLake.TDA6","presence",0,0,0,1,0
395.462133908369,206.18350258486,254.825517790431,171.372338330506,245.305018447693,716.251422881835,-1146.19756901793,-1435.38532126671,17.2095584869385,0,245.305018447693,224.089795577863,-1435.38532126671,9.17183415115951,"nonveg_997","absence",1,0,0,0,0
344.372507982106,203.714199013195,144.384853499842,-280.966263089516,172.022751611686,-501.535720332817,3264.23321170656,4238.72303034628,-0.102744892239571,0,172.022751611686,625.338771071622,3308.43091599509,5.91787760294478,"nonveg_1854","absence",0,0,0,1,0
659.303144843515,1353.39927181464,1384.0843073405,849.997200237215,1964.41084405357,1257.66920286,-3742.18820122179,-2494.94026260517,3.61614418029785,0,1353.39927181464,1305.10769921005,-2643.7809885406,34.5556211768461,"nonveg_701","absence",0,0,0,1,0
1405.27804192603,808.92978851839,359.589124298293,1503.58089936718,1143.23226293394,2913.63144666056,-1702.4594700331,-2538.44632603016,0.753548502922058,0,1143.23226293394,1143.99177506888,-1966.09575718904,-31.0791645528313,"nonveg_600","absence",0,0,1,0,0
2508.93619941133,2416.15335245884,3028.91142265904,3520.19728207538,1994.7102711395,4652.72113798015,-5388.75454898541,-5584.59059531544,0.239133507013321,0,2378.57081505563,1495.74779317842,-5681.84218398131,-27.7457442172628,"Russia.Yamal.Nadym-2-IH","presence",0,1,0,0,0
