"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_EVI2b_annualRange","spectral_NDVI_annualMedian","spectral_NDWI_annualRange","site_code","presence_absence"
2747.18021779263,3700.08476964889,2143.10036253175,-5049.28759431483,-6295.72213885861,1685.97671812428,5356.61227579561,1752.9018174218,"Russia.Kytalyk.T2","presence"
3324.68179873446,4092.83000532335,2406.95214001291,-6186.51357537809,-6323.97105050977,2229.44482485806,6478.19923037243,3029.44907997041,"Finland.Kilpisjarvi.16","presence"
1861.55742201206,3477.36114155651,1476.0448511594,-5700.49961046842,-5955.48314270786,2389.49461922841,5401.00848710219,2853.6930773523,"Canada.DaringLake.MediumBirch","presence"
1076.73814230312,449.594497596064,652.438225741546,-2066.51997245776,-1369.48458369826,627.143644707052,918.738761460562,953.084002887731,"nonveg_902","absence"
1055.3286620914,-69.2818859134008,-420.918725575792,397.073791868066,1490.77392492182,1521.92161333586,-226.628869480355,1857.63128620236,"nonveg_592","absence"
904.851533659117,538.057783405401,255.081003675745,-1840.70819182692,-1657.87376854152,649.770529983372,1099.4248565678,897.784754358784,"nonveg_1309","absence"
2274.20304983938,3111.97098935009,1627.77749109226,-4937.98318217841,-5125.55156714909,1376.62275351017,4572.01730261288,843.28548805909,"USA.YukonKuskokwimDelta.15B5","presence"
2257.63850511573,2911.24960731013,1719.21239679179,-5542.99966569583,-6055.69092082232,1577.26267842866,5371.0809101508,1474.34138280999,"Finland.Javrresduottar.A-Salix","presence"
3491.73590205189,4496.70890417941,1970.54839168224,-6406.70870022034,-6132.72624922015,2521.71199166702,7679.73991988635,2077.61188225281,"Finland.Kilpisjarvi.15","presence"
3010.84666811333,2927.54292987243,1728.66249747036,-5007.49697588523,-4528.69387349544,1431.43030766613,5374.98686558907,2014.10495205657,"Russia.Yamal.Nadym-2-IH","presence"
164.283577437962,559.577264395156,821.633244043295,-1946.64583814945,-3259.86067082389,1381.83228891602,1902.5948221939,1919.47143180851,"nonveg_600","absence"
288.096846374308,192.24069766068,179.143721054938,-761.535341823756,-954.259397447115,225.449770747375,487.591471124989,1411.9014341145,"nonveg_761","absence"
3491.73590205189,4496.70890417941,1970.54839168224,-6406.70870022034,-6132.72624922015,2521.71199166702,7679.73991988635,2077.61188225281,"Finland.Kilpisjarvi.15","presence"
321.943711503776,395.30521858077,4.5947959058657,-644.793367162099,-907.413562150888,446.905120121191,494.794803771498,972.737722084365,"nonveg_1234","absence"
712.66552822387,1327.90245237353,172.097226212526,-1637.62636746286,-2139.34888924732,1155.80522616101,1252.24734734494,846.088321657171,"nonveg_628","absence"
474.276482107705,553.430742221822,754.976681759509,-1159.0847360584,-1386.97105601658,280.700199651804,1172.06706111648,612.695374834702,"nonveg_790","absence"
195.93412520359,-177.189782828974,-47.5374738123388,-2115.63836285489,-1312.41300059886,511.439304899139,76.7336955429791,1064.42990588921,"nonveg_973","absence"
1444.04794490759,840.280272662148,-526.090420222446,-1648.58852421922,-911.795210869281,1970.13836513003,1112.5320115858,1795.93320915434,"nonveg_624","absence"
296.585230365349,915.557105135418,-138.762863992692,-2181.60435878555,-2637.35825975032,1196.4999249799,965.060963861411,3358.84237821172,"nonveg_1672","absence"
2990.26331747095,3681.89647294641,2142.84197309402,-4609.43300692427,-3709.40271627019,2268.3833147239,4996.82804671714,1142.12351165588,"Russia.Tazovsky.Unburned28","presence"
2963.0643959383,3382.1275692683,2665.39597178138,-5684.27107527064,-6110.96429814167,1373.91919340044,5618.18173542591,907.470234982829,"Sweden.Abisko.NT-BirchShrub","presence"
589.1318168489,224.056669195237,208.928936224932,-1675.10422390299,-1297.50044164341,652.368687097588,552.218943214535,1045.16526743169,"nonveg_922","absence"
204.438004721057,98.1789981107948,-163.093067488221,181.09538660243,-50.4649852743224,872.406809863952,26.5721048714647,2511.30430738319,"nonveg_1642","absence"
590.80064391081,-358.277562022042,-367.14601972322,-1952.5273949622,-1006.60784716318,1320.78426042509,482.54034296061,1579.53158565512,"nonveg_785","absence"
