"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NDWI_annualMedian","site_code","presence_absence"
3669.24566173451,3775.00844163259,4745.22157110985,2030.72924751034,-6426.25639004213,-6720.60254840157,-4256.95054334774,-5909.71398548538,"Sweden.Abisko.KJ-SalixShrub","presence"
4339.96339888878,3842.57841030957,5549.27715320853,2469.45538009941,-7572.4925753916,-7457.19572318341,-4482.62449221224,-6708.94572424763,"Canada.ClearwaterLake.AB1","presence"
165.967886535326,492.372504058256,111.021587942293,22.0052011146659,-2682.60075576525,-2977.54206122807,-1744.24178588792,-2682.60075576525,"nonveg_719","absence"
455.048411535661,296.007989378474,1379.04638833228,1065.9124056313,-1857.21384351722,-1482.9590779042,-1753.2377538158,-1857.21384351722,"nonveg_915","absence"
-131.870555646512,849.241786030195,709.769128554268,334.236300186896,-1880.17742502466,-2205.78300178333,-1501.78038373139,-1880.17742502466,"nonveg_1968","absence"
2309.38611508614,2475.34771670732,2877.11308665565,1470.28564952775,-5304.04312327862,-5467.52795075211,-3507.15378523152,-5532.22817007208,"Finland.Kilpisjarvi.18","presence"
1314.269646464,1632.76174402814,1726.99365750752,724.550428696051,-4817.35833413131,-5968.05809947844,-218.293430135546,-4751.392585543,"nonveg_1607","absence"
3130.24915224194,4038.53181525981,4308.92933077271,2125.38107734156,-6564.5590397965,-6742.58752938507,-3682.81691005538,-6552.36349430177,"Sweden.Abisko.VJ-BirchShrub","presence"
627.884628731825,433.174980043434,812.380897621774,851.293198484014,-995.087491322291,-2042.45978414031,-664.719717951574,-1851.54510020452,"nonveg_882","absence"
744.051524125098,183.122861625881,1130.10459921615,346.014553395639,-1860.43807396223,-1096.2502274331,-1496.8387318947,-1496.8387318947,"nonveg_674","absence"
897.794591728011,1231.05720816539,1023.2558309163,1268.18455777828,-2933.46442271515,-2094.10334737486,-1316.88620678768,-2094.10334737486,"nonveg_508","absence"
1981.98430491492,2141.93355617564,2350.86394306245,1621.00664609486,-4666.29591575084,-4860.59242965355,-3127.33334642654,-4799.9024055741,"Canada.BonifaceRiver.LSA4","presence"
809.790682297301,879.729577094811,948.454363250424,210.667187539124,-1464.64768018026,-1902.14685740639,-2018.9803194951,-1902.14685740639,"nonveg_663","absence"
-137.687749929817,268.7569990625,880.847441982789,-227.958086289926,-1218.50749802655,-586.26338188205,-2641.61537628409,-1753.71243048312,"nonveg_768","absence"
3776.80680972785,4400.11328939632,4914.36963738708,2729.61665940554,-7236.21754567485,-7638.2621641916,-5636.16179435776,-6714.93823813313,"Finland.Kevo.4","presence"
3668.33278728113,3808.15141880849,4849.269575014,1903.47973656049,-7514.5640720985,-7630.19139863492,-5221.99903392267,-6409.66933460123,"Norway.Javrresduottar.A-Salix","presence"
2013.42063546893,1368.9433529172,2556.42831402176,1258.41175297226,-5345.70271320981,-5168.14912939285,-3941.2385430038,-5268.16495204403,"USA.NorthSlope.9","presence"
3120.01923382832,3325.88465654922,3791.85126553868,2248.51229152567,-7111.43460241283,-6942.02384093011,-6144.96493810559,-6723.28682569908,"Finland.Kevo.6","presence"
456.081780997308,459.975556881942,746.658222181989,423.810131803145,-808.608239317758,-901.184162491696,-583.152987698367,-901.184162491696,"nonveg_775","absence"
294.228789546286,89.0890964237999,699.799579174719,766.304908048123,-186.936450534973,-324.774226638088,-129.21616437693,-324.774226638088,"nonveg_1316","absence"
2436.3089818625,2552.10452107817,2832.23188160174,1722.74974449116,-5323.49832303231,-5534.25529062963,-4142.54694813826,-5664.54669314912,"Russia.Tiksi.ShrubTundra","presence"
2044.07838465209,1253.46064180383,2285.44566042419,1363.09584202522,-4723.62086210453,-4885.40701851449,-3251.1851816917,-4453.88068492659,"Canada.BanksIsland.GreenCabin-C11","presence"
1297.39650664328,787.538331724198,1112.70778269931,911.616579743616,-1228.18301034624,-1313.3133277415,-1054.10329910987,-1228.18301034624,"nonveg_643","absence"
704.512384253598,1001.4272352339,932.996244533485,873.310641492518,-2686.66289602553,-2637.0447489438,-683.587533407601,-1919.19106241763,"Canada.EllefRingnesIsland.Isachsen-C01","absence"
3366.74644188686,2819.46166069494,4625.26589330736,2116.0114728459,-6703.83892844803,-7260.49617787138,-4482.88414616405,-6429.91577922954,"Canada.ClearwaterLake.AB2","presence"
2905.07490366083,1956.710120046,3061.2269687079,1897.78079214598,-5506.32819856528,-5972.66861804132,-4476.0229232027,-5985.51436259641,"Canada.ChukotkaRiver.TPO3","presence"
3524.69748185172,2034.27117433601,4574.90534346694,1977.31778899179,-5680.44794911436,-6188.11834715909,-3799.61795821976,-5586.33082844005,"USA.BrooksRange.8","presence"
915.563013956185,-24.5318907721519,509.798818174968,344.699059213952,-1440.39587604996,-2856.62489084872,-1006.67119179131,-1757.67238456214,"nonveg_666","absence"
354.882004167747,104.612413752324,232.558328600791,-578.001967426035,-54.1247226587391,-473.104514185147,1473.29590995794,-38.3318392114129,"nonveg_1547","absence"
2751.49149602518,3094.06697698359,3498.23678776576,1761.90293532131,-5831.2537597049,-6312.31733358415,-4170.31327106848,-5784.68245203161,"Russia.Tiksi.GraminoidTundra","presence"
969.89817263124,1267.21010516403,929.179288061104,775.027881381062,-1369.51991196468,-1790.68728758214,-1633.97826773406,-1633.97826773406,"nonveg_902","absence"
160.180601629708,-171.223469407002,-177.938429949248,-243.524146975209,-240.506664309619,-748.273592806394,-333.462527751786,-333.462527751786,"nonveg_822","absence"
623.019189591977,97.899377334838,345.537141589007,-72.0157216883486,-1443.00281166993,-922.75577181919,-394.409091685545,-922.75577181919,"nonveg_1416","absence"
255.258668443936,663.004320958363,371.164893174241,356.409048859815,-1913.49346100002,-2300.31983750853,-1022.80397215793,-1699.86455446623,"nonveg_935","absence"
-179.530494966994,-576.491460685066,-516.624904441761,324.277125682557,7467.94903796232,6205.53483621864,5810.26810086885,5810.26810086885,"nonveg_1290","absence"
2656.50055709894,2318.66988933523,4074.39323095743,1907.41094948523,-6045.1719969529,-6389.2290324749,-4104.37068905558,-6185.62194398955,"Russia.Kolyma.OW1","presence"
2685.29454515077,2633.58613363942,3751.1558927875,825.884512952004,-5833.63055323616,-6880.42430573285,-1826.90172513647,-5646.16574822681,"Sweden.Abisko.KJ-MesicHeath","presence"
867.6247655417,205.179503130115,957.530159946797,446.850658154996,-2938.69730512767,-1695.85684385257,-1438.67279256194,-1695.85684385257,"nonveg_576","absence"
1651.67899590113,1910.05229456246,2089.95972152872,1309.41498243324,-4559.02044410117,-4991.04826655632,-3597.21929599458,-4180.85320579595,"Canada.LeRoyLake.TD4","presence"
437.086725452275,401.271257748694,548.691543721013,646.230830825629,-1341.62483524676,-1588.30729984176,-1321.50620528451,-1560.27279339253,"nonveg_695","absence"
3143.61971061045,3096.44312558113,4065.44202093912,2200.6026602218,-5953.23849879348,-6379.47047487877,-4595.39722369553,-5536.3115142171,"Russia.Yamal.VaskinyDachi-1","presence"
2617.50643297186,2658.01382962337,3284.02860366392,2044.5741563376,-5619.22165858676,-6195.77767911699,-4229.85933859137,-5093.02991643166,"Russia.Yamal.Nadym-2-IH","presence"
395.248481398037,773.117658095692,380.787806852004,301.153739011835,-1916.78711736257,-1584.4249146054,-847.839087346463,-1213.17198044077,"nonveg_874","absence"
3216.10642259196,2760.34030336109,4287.80923683398,2321.40476122298,-6478.22470210861,-6629.60372848142,-5300.0229135304,-5951.66453921376,"USA.YukonKuskokwimDelta.72B4","presence"
1989.92210325246,-531.590338095028,-584.264451091183,134.664303135582,-1277.07950572869,-1943.15979148152,-442.206456075042,-1181.04552582922,"nonveg_670","absence"
814.98681932496,689.289495426068,1614.02545467613,-566.9477490939,-3212.33545551796,-3320.86456426528,-1388.36404033642,-3212.33545551796,"nonveg_671","absence"
294.228789546286,89.0890964237999,699.799579174719,766.304908048123,-186.936450534973,-324.774226638088,-129.21616437693,-324.774226638088,"nonveg_1316","absence"
128.882710253779,531.952452847169,1522.68734008317,854.410321092026,-227.809770856479,-757.391119947589,-1233.21863069553,-1233.21863069553,"nonveg_624","absence"
531.653247182082,801.636659877391,-356.556754254926,-296.196940463486,-803.806421566435,-2354.03040409825,-2262.87186830893,-1046.40902504606,"nonveg_972","absence"
2934.65036750851,3152.60046702973,3715.96291852465,2159.33776828664,-5995.18267743989,-6174.51681771554,-4166.42754122849,-6209.34669419973,"Sweden.Abisko.NT-DryHeath","presence"
3453.05631192882,3167.62260764599,4681.85825419943,2136.34511796693,-7512.42698258733,-7187.77489258625,-5669.12718779512,-6913.99581270881,"Finland.Kilpisjarvi.15","presence"
68.3624890540296,211.51754217867,278.127523276635,123.464281432183,-385.826987281811,-929.613874745801,308.051215212662,-385.826987281811,"nonveg_921","absence"
501.613143102029,369.093779604132,588.023019634947,319.084476690751,-2522.76634627106,-2612.36298879719,-1694.21462809896,-2498.61409784699,"nonveg_855","absence"
273.423803450007,76.423296695901,495.193042292255,149.959344524522,-956.035681035756,-1549.52329338578,-1740.99576777608,-1740.99576777608,"nonveg_955","absence"
3453.05631192882,3167.62260764599,4681.85825419943,2136.34511796693,-7512.42698258733,-7187.77489258625,-5669.12718779512,-6913.99581270881,"Finland.Kilpisjarvi.15","presence"
2320.69503115311,2545.17148908421,3161.06562442085,1835.57439639043,-5966.98767634506,-5938.76397915516,-4444.99468775631,-5614.80529857535,"USA.NorthSlope.12","presence"
652.008716317505,949.27070477546,855.150196771489,-942.850310989834,-1520.86526892771,-929.606347501423,-905.965392019467,-929.606347501423,"nonveg_897","absence"
970.581741826959,1041.48278960949,1128.3341678762,580.042801234174,-2928.64808081645,-2945.14647554461,-1417.3675975377,-2552.25372430794,"USA.NorthSlope.HoweIsland-C12","absence"
3143.61971061045,3096.44312558113,4065.44202093912,2200.6026602218,-5953.23849879348,-6379.47047487877,-4595.39722369553,-5536.3115142171,"Russia.Yamal.VaskinyDachi-1","presence"
-229.937005372452,663.903356959093,-662.221960095916,-1885.096007963,10000,10000,10000,10000,"nonveg_1236","absence"
65.4731407928691,226.000757178095,-183.993009225188,-158.768421928663,-685.545553184434,-1885.70595818102,605.01059625012,-528.040616009342,"nonveg_842","absence"
3491.83985372607,2539.69038017948,3991.44951371131,2713.67761126247,-6200.64862950835,-6360.5042431903,-5233.16006118749,-5461.0130569797,"USA.BrooksRange.6","presence"
1936.72654375622,2153.72030523738,2515.30347741297,1686.75235108834,-5274.13271061434,-4919.75042551931,-2619.18694110465,-5591.32330702241,"Canada.Ivujivik.TP13","presence"
795.376888552934,273.065546860957,267.319647420711,196.726812967133,-1606.55889317946,-2470.80180457226,-582.512020738024,-1606.55889317946,"nonveg_792","absence"
1210.39517304115,1998.27869003186,2228.59292277221,659.356646931046,-2896.59057077235,-3159.38805317248,-2987.50668747441,-3159.38805317248,"nonveg_1177","absence"
686.181321638444,376.775001557381,548.281030649639,236.157049948341,-1592.87580060515,-1521.52347727184,-235.087297380146,-728.093478309268,"nonveg_1340","absence"
3621.85949190431,2855.1119314554,4705.13587578679,2537.13568482583,-6502.32898332749,-6578.46987389719,-5541.21470005981,-6393.22300603832,"USA.NorthSlope.Ivotuk1","presence"
735.023426116959,1006.29633353699,963.031256528095,554.38501881466,-2839.9682789543,-2701.54121297612,-689.474579372503,-2862.22119571533,"Canada.Ivujivik.TP10","presence"
634.450581211941,-106.804939541379,437.619128048378,297.977011646111,-1203.22120925471,-1235.57185446049,-596.23369873167,-1203.22120925471,"nonveg_997","absence"
2957.60255117923,2436.38876062855,3338.74523577862,2330.81339701792,-5721.14516919262,-5628.55153544337,-4630.00985674795,-5494.0821347203,"USA.YukonKuskokwimDelta.UB5","presence"
3452.43139173809,3033.34200431263,4644.42394607682,1859.00841037989,-6688.49564765064,-7100.25153247524,-3639.57647761953,-5356.83765387975,"Canada.ClearwaterLake.LSA2","presence"
567.990736736596,250.002804083952,543.337345092625,-145.686608825911,-513.131698101785,-392.324614816525,4205.906426267,-513.131698101785,"nonveg_1888","absence"
3668.33278728113,3808.15141880849,4849.269575014,1903.47973656049,-7514.5640720985,-7630.19139863492,-5221.99903392267,-6409.66933460123,"Norway.Javrresduottar.A-Salix","presence"
1559.12770844847,740.842991947489,1386.99897726297,1992.11753318043,-3154.23184938412,-3339.46173756409,-2721.16257254186,-3154.23184938412,"nonveg_1132","absence"
904.08912403902,331.347385884558,567.304747288604,365.51379312204,-2403.7041842371,-1877.68330160112,-1575.94700076547,-1877.68330160112,"nonveg_968","absence"
112.593374053609,-306.626709068151,73.0370757645828,-78.0965005519103,-575.305936877606,-703.439690215698,647.606851738559,-575.305936877606,"nonveg_558","absence"
491.30341565375,504.538682416479,259.284508957701,652.696691005711,-1574.72312859694,-1967.32423012531,-233.847225870564,-1397.63746629152,"nonveg_936","absence"
2905.07490366083,1956.710120046,3061.2269687079,1897.78079214598,-5506.32819856528,-5972.66861804132,-4476.0229232027,-5985.51436259641,"Canada.ChukotkaRiver.TPO3","presence"
273.423803450007,76.423296695901,495.193042292255,149.959344524522,-956.035681035756,-1549.52329338578,-1740.99576777608,-1740.99576777608,"nonveg_955","absence"
1022.17329066545,1046.96779379221,1178.85534379682,672.793731237292,-2538.98081501715,-2792.21656075895,-1589.38892075327,-2556.22532820724,"Canada.PrincePatrickIsland.MouldBay-C00","presence"
2979.97089117482,2902.96107183258,4803.59753575298,1403.10696610825,-7074.8707174815,-8066.96987250591,-4735.13493978949,-6079.51728493335,"Finland.Kilpisjarvi.17","presence"
499.235904852344,-69.779782664421,606.855886283488,63.0279248814779,40.1448943537987,-812.779733248772,-1376.41061484602,-812.779733248772,"nonveg_931","absence"
148.427779574223,244.416912752386,7.29835483275309,428.03277569675,-1021.37406334676,-1857.36569926176,-1232.77637612614,-1232.77637612614,"nonveg_682","absence"
1108.79227301825,632.863308510975,420.841115669808,77.3659000734424,-1430.01777315936,-1608.5874976575,-2216.31488715739,-1430.01777315936,"nonveg_757","absence"
3064.26751661014,3250.22344860662,3919.32483757339,1656.36799862257,-5887.39728855903,-6146.3588452931,-3545.57096158159,-4905.55891469388,"Sweden.Abisko.KJ-Snowbed","presence"
4003.33864683651,2957.0373680769,4897.68258635279,2047.3207982081,-7502.85325642743,-7710.02498868256,-4828.94964126086,-6519.51909878099,"USA.Kougaork.TallShrub","presence"
595.829085902153,653.258179518884,-120.107135052551,20.76830442231,-1594.86055981676,-2367.59207194024,-285.546061860469,-1384.58482042508,"nonveg_659","absence"
744.051524125098,183.122861625881,1130.10459921615,346.014553395639,-1860.43807396223,-1096.2502274331,-1496.8387318947,-1496.8387318947,"nonveg_674","absence"
1022.17329066545,1046.96779379221,1178.85534379682,672.793731237292,-2538.98081501715,-2792.21656075895,-1589.38892075327,-2556.22532820724,"Canada.PrincePatrickIsland.MouldBay-C00","presence"
370.200869674049,727.538515572658,778.845011788976,529.479694385596,-732.099400077148,-1096.68723330428,-670.920667810239,-1096.68723330428,"nonveg_984","absence"
648.446575631843,-97.3916341050444,424.119939488876,438.455372957488,-1446.52425391978,-1895.43258485635,-1155.60213004079,-1446.52425391978,"nonveg_916","absence"
825.269409030889,778.313725510207,656.841393634338,372.615686928839,-2425.4189608222,-2228.04652174556,-2128.49291982651,-2128.49291982651,"nonveg_926","absence"
2895.38467074432,2750.33163144236,3830.14988535031,1935.30223719057,-6300.5095699282,-6259.8031615409,-4336.38075275355,-7106.10404863444,"Canada.BonifaceRiver.AB1","presence"
3047.89690447993,2958.25740159723,4052.3187341882,2248.82596760562,-6735.58380228935,-6294.21162061955,-5164.67514004411,-5862.79484376785,"Canada.LeRoyLake.TDA6","presence"
611.769876502252,1224.59494748285,688.148612744575,1003.53785809881,-1213.35013373095,-1652.03262151702,-603.141013923525,-1213.35013373095,"nonveg_714","absence"
195.408267091888,59.103294244783,622.635338724208,1252.14973207531,-962.213260844429,-1081.23785381317,1621.46790726285,-962.213260844429,"nonveg_1473","absence"
969.89817263124,1267.21010516403,929.179288061104,775.027881381062,-1369.51991196468,-1790.68728758214,-1633.97826773406,-1633.97826773406,"nonveg_902","absence"
-229.937005372452,663.903356959093,-662.221960095916,-1885.096007963,10000,10000,10000,10000,"nonveg_1236","absence"
995.93672780164,1208.04510721931,1289.1711162282,533.019086456928,-2953.01551111969,-2980.66956642182,-2360.97953343114,-2694.36705805032,"nonveg_507","absence"
186.283334937813,-748.841302714814,173.782052154124,-256.116644538043,-518.150427559593,-361.391956899775,653.053893917915,-361.391956899775,"nonveg_1927","absence"
798.520270472808,263.854368333138,-170.765398744831,104.091599182532,-1258.79516687635,-2232.53161066434,-1343.64029740681,-1343.64029740681,"nonveg_715","absence"
3516.05847620508,2732.76665816748,3879.87547027843,2124.71106790768,-6317.41847518173,-7116.8259361561,-4459.71167508073,-5748.23602051272,"USA.InteriorAlaska.2","presence"
