"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_red_peakSummer","spectral_EVI2b_annualRange","spectral_NDWI_annualMedian","spectral_green_changeESPS","site_code","presence_absence"
2079.13109882619,2837.5148369707,1895.87595107173,5780.42510059289,496.2903488232,1613.60435568921,-5932.42326305343,-4.10623907808805,"Canada.PayneLake.TDA3","presence"
-832.647176714175,518.93963411772,513.144725294278,1022.84789117731,1070.45340918628,1634.88322971035,-1745.55054395299,-21.2272739219702,"nonveg_571","absence"
2540.45952182043,3511.76576284137,2813.71996513268,5930.57435326645,895.154443077251,1900.6798451301,-5176.08710734516,2.31747047349974,"USA.BrooksRange.6","presence"
1109.11036837933,-73.478408952477,508.348522593156,-740.799945007791,1225.68718866863,1690.51408498681,-1931.7560966079,-2.00263605560056,"nonveg_673","absence"
1260.88548889278,1572.22984893649,970.311995151008,2312.6321086049,1140.35259825779,821.452399115989,-2722.93119712901,1.16948879149462,"Canada.PrincePatrickIsland.MouldBay-C03","absence"
3217.03456892895,4057.11649123123,1803.99479253718,5159.52492911535,571.289077256074,2376.64323738495,-6577.33662655918,-3.18844074082947,"USA.YukonKuskokwimDelta.15B2","presence"
302.293614586401,-20.2201935019455,132.865636868446,-181.366529331601,1321.46796275403,628.386846006196,-482.937511505683,-2.85324212459992,"nonveg_875","absence"
2620.2954477696,3091.29237320591,1573.86681648839,5743.75610563965,608.39597485191,2001.93524903795,-5631.72670303556,4.30992732383108,"Finland.Javrresduottar.A-Sedge","absence"
2589.57636236294,3263.2413262498,1616.52898845825,3905.13572228752,767.141662966526,2026.56297607271,-5665.94842168591,-8.17118950491551,"Canada.DeceptionBay.TH8","presence"
2284.72550443048,3314.88169099903,2019.07839190542,5143.76934040254,818.401948405301,1850.74848453738,-5593.34700659773,-3.15172044426326,"USA.InteriorAlaska.AMSUMMIT","presence"
1813.51122076471,2996.82214195989,1959.2544657801,6130.31021235753,421.103977490818,1900.31718696096,-6132.73259232089,0.141906423205148,"USA.InteriorAlaska.4","presence"
1912.60168693246,2799.75684321086,1511.76432937693,5616.50630592398,490.825677034751,1867.03853889972,-6263.06633982949,-1.01182575556534,"Canada.DaringLake.MediumBirch","presence"
600.696609667869,1002.7963837691,1002.05194223911,2238.01604579237,669.613515911024,700.576602600923,-2358.50297042875,-7.09877309364046,"nonveg_746","absence"
337.791520854227,-0.0115958722689413,82.8958421289229,-156.903508462802,1055.23095562773,441.76523049629,67.8248241189481,2.67534324317934,"nonveg_1642","absence"
534.297053731822,764.939804974101,660.026880015289,40.9656991483947,1815.5678705462,810.787333168776,-920.810945427421,-2.77083899441182,"nonveg_994","absence"
2366.46177794047,2749.96429624405,1420.32602133821,5024.33751877713,604.874934950189,1104.70642323659,-5504.92786903752,-4.78749596974409,"Canada.CoutureLake.TDO4","presence"
2199.66017295033,2656.1122222685,1885.55909631621,4934.27739916394,817.802391795207,857.947239505845,-5439.09611499662,-10.0280243682161,"Canada.ChukotkaRiver.TPO3","presence"
2802.25680408287,3643.37138838829,2570.45016443036,5465.8254393665,717.653650130574,2159.10082420516,-5427.93979938841,-3.98287374382227,"USA.YukonKuskokwimDelta.72B1","presence"
133.095777968321,611.210962814308,492.869645383873,999.883864037218,756.251377278241,478.115184845988,-1456.84462973692,-7.72021703307449,"nonveg_757","absence"
764.507058078291,75.4087509226272,822.630551068421,855.204222513599,1262.47492481818,906.451104741079,-390.689074328056,6.76088991086,"nonveg_958","absence"
2244.87982414969,3633.87426647062,1997.74524300096,4930.67032953013,788.564546521905,2596.5425916088,-5548.43633692072,0.996116361335569,"USA.InteriorAlaska.24","presence"
1196.70534453065,2608.80692197478,1176.49864498332,4486.65756782408,568.537675629473,2668.88073265412,-5316.1448891212,0.604870526634373,"USA.InteriorAlaska.23","presence"
1753.52092823352,158.426591976815,280.95358625384,590.582791657753,458.389409202021,2284.22273650214,-2771.91315286957,-5.6903498824775,"nonveg_666","absence"
2636.04541373848,3800.37174441019,2672.02817074329,5991.24222266939,652.534475147337,1967.10114909859,-6010.72789792219,-1.79638832851498,"USA.BrooksRange.7","presence"
1684.86595409656,2485.53061935176,1142.29851843947,3721.38523785743,750.673845914999,1411.9730337359,-5566.37810221962,-3.38807701383684,"USA.NorthSlope.16","presence"
2788.42189360371,3093.20328075056,1836.58505944945,5459.68521341163,561.194526601672,1756.7811931423,-5891.16262290278,2.1889805371806,"Norway.Javrresduottar.EC-Betula","presence"
2525.83591229824,3102.17985364376,1563.18115051594,4618.73201366432,798.030220731849,1876.193129778,-5510.44059601815,-1.06395414410853,"Russia.Yamal.Nadym-2-IH","presence"
1044.41702587056,1560.91148650107,964.013047491369,3080.11433562693,1126.38436335304,809.748195880747,-3600.24937246012,-7.14742948498526,"nonveg_898","absence"
2326.35376181681,2937.38652025963,2081.43683416693,6729.1571984966,255.119286499557,777.520788685922,-6934.42344219099,-0.908567611737781,"USA.InteriorAlaska.22","presence"
369.709844632148,498.045334887675,279.956550323038,1158.79613438625,896.344254224702,867.203636789161,-1682.61113529589,-10.8007444177451,"Canada.Ivujivik.RTP13","presence"
605.295760865185,1281.58395815589,1218.41472606738,1569.40812012811,736.403555296291,883.794228155113,-2716.77896614946,0.183536336704074,"nonveg_612","absence"
2833.95991691376,3354.65018341569,2595.7625659402,5431.0118754257,550.544677595281,2829.93634932702,-5808.12288156086,-0.963528248587813,"Finland.Kevo.10","presence"
