"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NDVI_annualMean","site_code","presence_absence"
946.773692791388,1040.2343193582,708.022277655729,-2862.42422766688,-4425.75335650157,-5596.97592387149,-2001.63707166017,3198.48195411217,"nonveg_856","absence"
2209.6186858222,3049.19756579986,1451.22253791735,-5989.51977875986,-5843.35342346931,-6197.78409474861,-4610.92438948588,5368.64483482493,"Finland.Javrresduottar.EC-Betula","presence"
1501.40307107277,2151.26665977973,-458.65444454406,-3592.22692395313,-3910.21825898083,-4364.26293058896,3835.7378421744,3101.79309119477,"nonveg_1813","absence"
3184.44448316516,3589.48141873683,1734.15412353634,-5861.93571852906,-6060.23291820541,-6344.78305981435,-4021.36257208316,5427.70745293526,"Sweden.Abisko.VJ-DryHeath","presence"
782.590073233588,745.883176847629,1.93066528611499,-512.97614994965,-1149.21085251703,-842.644399960263,-172.377091183358,360.799624684346,"nonveg_1234","absence"
1660.28877223477,2497.16374285109,1021.57612130229,-5047.7768742381,-4944.69549360343,-5405.16761446215,-4043.16204403366,3970.09141545078,"USA.YukonKuskokwimDelta.1","presence"
191.95188641888,608.390018900077,133.568266560212,-701.50933726049,-516.699708589306,-494.909232743572,392.922289791658,532.856308992785,"nonveg_1213","absence"
2407.68478390422,3235.17906953657,1022.06274066537,-4930.02918223912,-5878.32443677248,-5967.19443968492,-2745.32163524247,4739.64659410409,"Canada.DeceptionBay.TH7","presence"
2660.78073239033,3217.0243985586,1597.86163156404,-5771.06654969567,-5937.62416098294,-5918.11623319584,-4835.3236441575,5525.93460887701,"Norway.Javrresduottar.EC-Sphagnum","presence"
614.89210868667,92.7748164995393,267.472630813193,-753.904043990698,-1500.2502648341,-1902.54374955819,-580.229230550863,863.927021440686,"nonveg_542","absence"
1486.13908107275,1537.5541220782,581.466512821818,-2946.06471077317,-3302.09603271098,-3360.58685862935,-2757.19014787698,2469.33430184841,"Russia.Tiksi.BareSoil","absence"
2209.6186858222,3049.19756579986,1451.22253791735,-5989.51977875986,-5843.35342346931,-6197.78409474861,-4610.92438948588,5368.64483482493,"Finland.Javrresduottar.EC-Betula","presence"
2393.3965165815,2631.14080775994,1473.40747757995,-5159.81823750327,-5230.00426575524,-5393.34852037199,-3456.81486296549,3802.18998621626,"USA.NorthSlope.Barrow","presence"
798.469361097185,1119.22956736248,445.777179352584,-2681.95559464684,-2741.11192017478,-2228.19737971018,-836.45630485869,2172.65209748152,"Canada.Ivujivik.TP10","presence"
657.137540935027,798.253587480849,725.534541889037,-2362.46807479559,-1976.30768273952,-2293.40126586847,-1899.89265275252,1773.52498429383,"nonveg_986","absence"
2157.91950193443,2670.05362207297,1631.59001778597,-4693.06258606125,-5187.90821247275,-6270.74319851461,-3899.56266307966,4066.4663180924,"USA.NorthSlope.11","presence"
1490.65869569837,1324.46820145386,602.099597590117,-1487.15992674702,-2611.64270321515,-2397.29732687868,-2423.46563906909,2416.02534914734,"nonveg_758","absence"
412.705782919091,-336.772354650602,436.87574775921,-651.864307770308,-1316.43380832415,-2283.65263446069,-1221.82036227592,823.486851246697,"nonveg_682","absence"
3631.04041136776,4309.53257269926,2146.11343973906,-6137.67062035628,-7115.02218856735,-7326.92538129423,-5098.76094113198,6264.34991111944,"Finland.Kilpisjarvi.16","presence"
2536.95215201717,3882.98029266745,1320.46508876089,-5907.24940727817,-6558.15325690742,-7001.54257045667,-4828.72561023165,5463.32545682245,"USA.SewardPeninsula.19","presence"
1510.97155850047,2153.1119140246,1184.86621380487,-5138.59689494597,-5348.30072656107,-5831.99807700146,-4367.10634159938,4604.42962335629,"Canada.ChukotkaRiver.TH5","presence"
49.3127869199773,134.106981807887,715.408009294725,-1938.27674682078,-1241.30726720161,-2184.00005125355,-858.867131471178,914.354453742875,"nonveg_871","absence"
2950.60704974265,4415.59105845087,1688.60150766934,-5614.58959454431,-6617.75279372234,-6614.63217734116,-4821.54267294016,5609.18317131382,"USA.Kougaork.GraminoidShrub","presence"
1490.65869569837,1324.46820145386,602.099597590117,-1487.15992674702,-2611.64270321515,-2397.29732687868,-2423.46563906909,2416.02534914734,"nonveg_758","absence"
2418.28944465953,4107.34858783086,1917.66486756884,-5350.11616525443,-5953.04996113233,-6341.84675171616,-4101.40240565659,5048.36889247294,"Russia.Kolyma.OW1","presence"
2291.55206645288,2848.6447856215,1336.83513380822,-6015.27992338665,-6032.22137776594,-6234.01187033586,-4583.28252140997,5199.65279732827,"Norway.Javrresduottar.EC-Salix","presence"
3030.17203770902,3987.88972176836,1899.85059276365,-6067.16835941655,-6637.68548846764,-6283.39216286772,-4395.07988196632,5837.5608135744,"Canada.PayneLake.TDA0","presence"
2575.79272170097,4176.27846869634,1962.18242643281,-4799.16350487303,-5310.78427199717,-6470.16870391466,-3949.7025282272,5171.12584523133,"USA.BrooksRange.8","presence"
592.465165234271,196.060322474795,658.711915441881,-1989.93363919897,-2490.72051486034,-2526.47190399089,-2126.60770025964,876.156829956417,"nonveg_1309","absence"
1322.30490162774,-18.9067896981076,748.132456914045,-1539.73482312425,-3058.38466219171,-3617.83107873493,-1653.404692432,1219.76736127198,"nonveg_540","absence"
608.616272872888,625.022783514344,202.747136399895,-1780.67750388089,-2597.25798947656,-2384.55487088699,-2409.47653218612,721.020770478621,"nonveg_606","absence"
2465.1902341676,2949.20391992415,1631.13712433701,-5099.57274741628,-5659.96518428619,-5776.64515820099,-3480.14542979323,5060.81751960864,"Canada.CoutureLake.TDO4","presence"
1322.30490162774,-18.9067896981076,748.132456914045,-1539.73482312425,-3058.38466219171,-3617.83107873493,-1653.404692432,1219.76736127198,"nonveg_540","absence"
1314.55969307116,3316.34842886485,1339.96360286351,-5410.41327861553,-5348.32640419246,-5156.90653864474,-3916.30669657095,3914.74635786355,"USA.NorthSlope.15","presence"
1421.45773657553,731.108483436548,838.01549258439,-1399.64556273432,-1946.04476234066,-2491.65930183922,-1902.26298590101,1528.82039687554,"nonveg_508","absence"
1051.45525276161,1200.87206366721,602.667101084442,-2532.77053987744,-2775.89634489511,-2770.16912435225,-1601.91514277449,2092.76459695304,"Canada.PrincePatrickIsland.MouldBay-C00","presence"
2648.71938818634,3313.04571563131,1892.42072238595,-5507.72705696121,-5706.04967208583,-5785.15952688465,-4297.04946390087,4760.72769145813,"Russia.Yamal.Laborovaya-2","presence"
1482.7883067319,2507.51837091888,1126.72885737041,-4412.19775740118,-4730.80927726539,-5598.21371214084,-3558.03817583231,3786.2544765418,"USA.NorthSlope.FranklinBluffs-C16","presence"
2358.75833895743,3287.85845691693,1872.58928108676,-6344.05234260718,-6049.87481521525,-6241.33139069633,-4608.08036665306,5727.12500415663,"Norway.Javrresduottar.EC-Hummock","presence"
810.131090090472,1307.79784012638,699.09186750539,-1293.55598864801,-1362.01313824549,-714.214611243946,-807.207639562746,1118.09266055448,"nonveg_916","absence"
-632.970642616274,-79.8784425348267,-166.581393557144,5624.33417919608,4661.46593765615,2667.7967267421,10000,-1402.21783022211,"nonveg_1720","absence"
330.267372361308,744.977554488681,68.6210452292013,-1823.81483251797,-1828.08042376734,-1949.0898912291,-728.237480890112,892.306229429097,"nonveg_869","absence"
2335.03766138343,3040.88246598214,2078.94231542698,-5426.85043868562,-5541.17587769292,-5908.43617277849,-4861.56349558519,4389.771375223,"USA.YukonKuskokwimDelta.UB5","presence"
2109.03261728922,2834.322229832,2013.05383005795,-5648.96788825841,-5386.95292702128,-6506.44116043351,-4204.26115110373,4784.43176530256,"Canada.ChukotkaRiver.TPO3","presence"
2044.9975018922,3273.74653727502,2212.09373515671,-6394.0472898843,-6614.66952029748,-6768.95722685349,-5755.46563799017,5904.66574639792,"USA.InteriorAlaska.22","presence"
508.294575104299,-204.812769976022,51.9502058124933,-2600.91739547026,-1704.3274303141,-3594.80317459774,-1772.47076500909,2346.806044622,"nonveg_648","absence"
2406.53159202498,4152.09222002504,1980.37622235529,-6213.41072554059,-6319.266459067,-6971.10592468007,-4658.46976404188,6526.98402479169,"Canada.ClearwaterLake.AB2","presence"
695.083382023067,340.476215780601,760.992325230121,-1396.89149521915,-1619.85849663466,-1853.68621187937,-1311.90250430813,1002.73824921917,"nonveg_953","absence"
820.576080769378,686.267367309551,293.478224066444,-1798.86771015743,-1401.31538745553,-2339.53536597819,-1849.76718816951,1891.30809709808,"nonveg_913","absence"
254.04446182962,153.015603313708,-153.342296467008,-1076.8209558313,-1228.96456870534,-1676.46262990634,889.155478937518,554.361685003116,"nonveg_721","absence"
879.197199628553,-159.821169537375,890.906366204935,2242.02011631742,786.267586844094,-1053.71574375109,2354.4696011905,298.86871310565,"nonveg_593","absence"
2243.43231960009,4215.00115589626,1993.19262720089,-5694.02976823384,-6259.74054936075,-6152.59759501892,-3918.09110442265,5123.66642968403,"Russia.Kolyma.WT1","presence"
2209.6186858222,3049.19756579986,1451.22253791735,-5989.51977875986,-5843.35342346931,-6197.78409474861,-4610.92438948588,5368.64483482493,"Finland.Javrresduottar.EC-Betula","presence"
2198.32826271756,3671.00417556232,1885.71565923222,-6014.75938334468,-5858.38641548767,-6319.99780244304,-5437.05910116507,5250.01976769673,"Russia.Kolyma.T1","presence"
2235.81695881198,3859.94484645865,1849.56256719583,-5373.62470926193,-5871.7016765948,-6564.00604973521,-5863.52239011017,6808.71784071124,"USA.InteriorAlaska.17","presence"
782.590073233588,745.883176847629,1.93066528611499,-512.97614994965,-1149.21085251703,-842.644399960263,-172.377091183358,360.799624684346,"nonveg_1234","absence"
963.100111796179,-163.512867470954,-382.2638556491,-1134.93929738442,-558.48826198409,-2641.98387172938,-2367.05304815463,781.880837360012,"nonveg_674","absence"
735.836226836822,944.628665175228,655.614646491323,-256.82939376281,-1441.27811816897,-64.5262681870208,-246.87748910414,719.368075871331,"nonveg_1316","absence"
329.117194740986,621.50012751808,78.9780920055992,-1679.87678512108,-1576.71393142083,-1350.1564497531,-1891.21813626508,657.995801989772,"nonveg_876","absence"
368.539635577866,969.495557273399,23.0461817526545,-1206.55584375284,-1918.002500945,-104.366009902083,-889.925699448704,620.949754084761,"nonveg_729","absence"
1446.10635483142,1346.93338558665,1003.83326607472,-2365.59714824111,-3241.08022075067,-2614.40127779931,-3022.98129877508,2080.07156515132,"nonveg_701","absence"
2887.55761000451,4645.47711398126,2445.87165952379,-6529.17108398478,-6553.21004534299,-6672.21641668182,-6287.4815039905,6436.99837036418,"USA.InteriorAlaska.21","presence"
3549.03904228493,4727.10295263321,2771.74372279795,-6706.24982909873,-6909.88316815069,-7126.15096434509,-5279.8864180314,6087.41427685286,"Norway.Javrresduottar.A-Sphagnum","presence"
3263.41985033181,3928.94809551989,2269.15127226366,-6289.45359494231,-6408.91882403661,-7173.79951724884,-4200.87292369072,4826.91119899568,"Sweden.Abisko.NT-SparseVeg","presence"
232.021561606715,-392.575337637531,-2655.91036530958,9089.67707779186,8323.57755228574,6622.4319541989,10000,-3961.68310551985,"nonveg_1797","absence"
2358.75833895743,3287.85845691693,1872.58928108676,-6344.05234260718,-6049.87481521525,-6241.33139069633,-4608.08036665306,5727.12500415663,"Norway.Javrresduottar.EC-Hummock","presence"
-112.014592635099,705.22733457517,549.557719544962,5163.80360810235,2400.89020545584,1896.14829782563,2702.93033227515,3217.28647107086,"nonveg_1880","absence"
