"spectral_NDVI_endSnowfree","spectral_NDVI_startSnowfree","spectral_NDWI_endSnowfree","spectral_green_earlySummer","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","site_code","presence_absence"
982.957053141295,-140.44736478825,-1993.87182250792,1373.44553982622,0,378.608401920878,1187.64549310068,29.9361618340827,"nonveg_941","absence"
772.829001725874,202.221024295339,-3033.32915953977,1512.44547512044,0,281.49619685919,1199.8558811605,40.8259343626038,"nonveg_954","absence"
4075.8290264968,3142.83849004883,-4978.06514033362,838.423111615102,0,3451.2468571434,2360.08710124844,60.2167046540209,"USA.InteriorAlaska.BROWNSCREEK","presence"
354.670322535747,123.782833890802,-907.125510269183,1117.2042054326,0,95.9274567911246,1314.14676457864,-11.1863784944505,"nonveg_1469","absence"
1589.40364606265,1485.93360976979,-1635.71797437118,1724.60116221122,0,1015.34998582903,368.420393605546,-7.73359724925568,"nonveg_543","absence"
1990.00570606713,1184.49294149688,-1566.06587758256,1586.1029132526,0,903.347465813656,544.348005972384,6.06964695102207,"nonveg_540","absence"
5458.83145734003,5298.07534835404,-5389.01120313923,162.453057043371,0,1354.77136073384,1559.51782912057,-22.1725081815102,"nonveg_1607","absence"
1930.14547525261,-223.532074425747,-863.182168197862,1778.29179318142,0,601.337815420196,2515.05270567258,18.3065014453048,"nonveg_602","absence"
4808.52832613288,2541.35576232052,-6336.15115577838,740.828932161717,0,2574.49158192523,3269.54422990233,33.1531930965463,"Russia.Tiksi.WetFen","absence"
2424.64493997877,1872.99348205553,5419.0390789684,296.418954409484,0,295.726003925924,1111.09189410638,7.16286631679247,"nonveg_1880","absence"
2981.19576204184,1909.23104124997,-2912.16606737224,1058.34613677159,0,1562.37072782752,848.653437750502,4.74560705823245,"Russia.Tiksi.BareSoil","absence"
4132.57636021427,-413.859601591125,-3687.87528873264,1496.85016828604,0,210.249431399657,7625.97203381105,-200.683474573975,"nonveg_1353","absence"
1052.605916572,-88.5977510148656,-1637.5825381407,1244.2370997811,0,512.000445039447,808.455489892422,29.9427959219415,"nonveg_984","absence"
-728.261914644269,-129.166951435636,5551.65483209724,438.875453562904,0,219.775770074987,1099.52173065539,43.9808692262157,"nonveg_1736","absence"
1189.51070034423,649.93797581921,-1892.6810122967,1558.35351125295,0,535.638675449707,790.558991544344,9.04914346767049,"nonveg_935","absence"
3330.5612134053,1949.18978265204,-3442.27353387744,901.982244164746,0,1414.02835372964,3491.60655179806,47.1426285616223,"Canada.KluaneLake.Gladstone-MixedTundra","presence"
2376.50584670416,1719.88412972175,-1285.76791050401,941.864873586472,0,1106.83690572301,371.85268408214,8.97482490024802,"nonveg_745","absence"
1385.64284149213,448.411623300801,-1314.67103180443,1980.22087318531,0,695.856730864999,623.890434002269,4.26572639294841,"nonveg_861","absence"
283.716502422362,-308.162892815312,-1394.69142818249,1374.78664256168,0,75.0141507409531,836.888579965584,27.8962859988528,"nonveg_572","absence"
4916.47067200311,3530.78318105393,-5189.05838205697,782.374186131369,0,2637.78112218194,1270.04497877569,10.0536674727115,"Canada.PayneLake.TD2","presence"
1273.36523768539,586.375854898846,-753.310897655434,1596.01195898615,0,353.012626167538,891.817346878259,5.2835359237787,"nonveg_956","absence"
1544.82790763282,533.537710112643,-1476.96619849913,970.766159635316,0,520.561913391969,714.293313992698,1.95245242040018,"Canada.Ivujivik.RTP13","presence"
214.963431071887,482.047513940506,-2296.9947237621,2133.49092433041,0,540.540081602998,570.814463055758,8.24749274219559,"nonveg_916","absence"
5675.9353550916,4552.83878489944,-5940.59496732521,615.366462445485,0,3584.68958575981,1392.2052104113,38.6723669558695,"Sweden.Abisko.NF-DryHeath","presence"
5286.24531385474,3385.32353283096,-5584.93392307378,751.243534116517,0,2672.40483296037,1812.43360191309,35.8052336240206,"Canada.PayneLake.TDA2","presence"
3440.62505175319,1135.8025886434,-4313.85450562527,912.660349895343,0,1350.19628547233,2003.95987789279,32.7607505291247,"USA.NorthSlope.WestDock-C14","presence"
3392.27720233432,2558.84970873299,-4441.01454625635,714.527617404399,0,958.143483390686,232.639151381715,3.74326359792742,"Canada.ChukotkaRiver.TPO5","presence"
4009.32717403193,2431.17652123887,-3459.91899324544,770.439004619315,0,1502.22003771398,1513.86426637015,31.9611581416661,"Finland.Kevo.3","presence"
1237.17271161853,470.134733501941,-1417.31744181399,615.713980194772,0,389.580355794521,1110.00203637248,-29.2323309515371,"nonveg_659","absence"
4032.32969563705,3764.31724085399,-6423.37367351101,808.960621390103,0,3358.9322828935,3619.19303535628,38.7298016089679,"USA.YukonKuskokwimDelta.B","presence"
4501.47744969024,3516.98484676382,-5314.38839559609,726.897869336408,0,3059.3309803045,1692.35774663102,28.1817483675361,"USA.SewardPeninsula.18","presence"
3081.62080011838,1807.38185033888,-3136.42812329882,1555.53770249397,0,153.104730373461,810.547937919662,16.8864153733263,"nonveg_730","absence"
5167.78313252561,3486.35749301875,-5310.60533367156,746.922164015468,0,2608.84474424698,1056.55930622532,-0.0166915587404262,"Finland.Kilpisjarvi.18","presence"
4150.53261747896,3629.90490421991,-5781.041457997,811.121383328258,0,2826.29522324919,1560.19234922515,17.9620628652988,"USA.YukonKuskokwimDelta.U","presence"
1025.86611454158,-51.4013325821925,-1334.7810337081,2174.37269796028,0,406.326696724574,555.808400517822,-8.94214471781982,"nonveg_1473","absence"
5498.7140939928,4508.32482927422,-5568.48669841193,645.907241535693,0,2933.35441167478,1305.04529979663,13.0756234340669,"Sweden.Abisko.NT-BirchShrub","presence"
