"spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","spectral_red_peakSummer","trees_presence","spectral_EVI2b_changeLSES","spectral_NDWI_annualMedian","site_code","presence_absence"
3056.41920206316,1774.77797679362,-5846.3094433011,-6287.75990369954,706.780785960729,0,-52.1664631218297,-6519.94307429367,"Russia.Tiksi.GraminoidTundra","presence"
9.24556923605456,-568.420590415944,5191.14366218649,4155.25826241267,271.980776328571,0,10.1524323657781,5191.14366218649,"nonveg_1810","absence"
244.895411783591,-520.129466020372,-2256.52709007944,-3228.02013587561,194.486092845304,0,-17.5344400011504,-2256.52709007944,"nonveg_1626","absence"
2838.54697743105,1972.43031807867,-5830.32564896227,-6024.12960440331,839.676565143669,0,-39.5514072533123,-6040.45693484356,"USA.YukonKuskokwimDelta.15B1","presence"
2590.2417852838,2438.19881137673,-5693.69258304095,-6381.20519223835,759.93744484414,0,-47.8444342031295,-6292.09668293169,"USA.InteriorAlaska.FRYINGPAN","absence"
4071.5761263334,2772.67551042254,-7303.5952339328,-7807.60015297835,282.074352120733,1,-42.541589729962,-6549.46701376656,"Finland.Kevo.2","presence"
1292.84575540812,758.545126383161,-1129.81143253045,-1637.8702918304,2334.44723679153,0,32.1300545543214,-1637.8702918304,"nonveg_902","absence"
1035.17393574101,879.273575069154,-1176.04665174889,-2784.59784042735,658.59082004523,0,104.576404368227,-2216.30036520953,"nonveg_867","absence"
2315.71631742664,2046.88212339439,-5569.86840678401,-6045.06433353304,734.004392806328,0,-21.0258563081523,-5377.79297332613,"USA.SewardPeninsula.18","presence"
611.237727929287,-345.648552493657,-607.970059819777,-1684.98948779132,1289.80567162604,0,60.9768224014833,-1254.5815569249,"nonveg_976","absence"
3246.07666522534,2492.86832577107,-6161.7252437273,-6928.72314513059,397.934353494796,1,-23.0372027900809,-6474.09367466832,"Canada.BonifaceRiver.AB2","presence"
1211.8609797398,1618.56079421065,-1632.1917204161,-3905.40258577593,553.218436443602,0,-9.62099956412888,-3102.75261379047,"nonveg_1132","absence"
2530.28162975162,2288.37647209578,-5603.05539525758,-6470.28494511691,755.987599404282,0,-13.484346944296,-6172.62116831253,"USA.NorthSlope.Ivotuk3","absence"
225.833866657485,2.92704119849372,-1635.13777934808,-1536.47342751291,955.589811830032,0,240.627201328706,-1635.13777934808,"nonveg_785","absence"
580.574722292382,180.199795471706,-1216.64492949241,-1771.3000464241,427.206398542641,0,17.0103660574817,-1216.64492949241,"nonveg_1654","absence"
2292.47482304012,1488.24236219695,-6372.82225976125,-6278.67795195242,520.457746964419,0,-60.7866625647331,-6314.6693551145,"Norway.Javrresduottar.EC-Sphagnum","absence"
828.360612403906,1472.48003777074,-2206.73587289522,-2553.46434876686,1947.44329239187,0,-11.1132347012277,-2096.38602481331,"nonveg_508","absence"
1266.55375174469,33.5020372410509,-1104.53223333669,-1941.07101322899,1390.63653568657,0,35.1749799219723,-1941.07101322899,"nonveg_606","absence"
2530.28162975162,2288.37647209578,-5603.05539525758,-6470.28494511691,755.987599404282,0,-13.484346944296,-6172.62116831253,"USA.NorthSlope.Ivotuk3","absence"
2948.7579769773,1953.09145129857,-6729.13731359344,-7050.61678579803,446.355217882913,1,-66.8388531091212,-6252.47357489458,"Canada.BonifaceRiver.AB8","presence"
1199.00759778836,545.921632011401,-2794.62527979351,-3310.56791473013,948.224436532404,0,-30.3705210464948,-3046.85377024646,"USA.NorthSlope.HoweIsland-C13","presence"
1036.47327120468,216.728683908582,-1607.54248866184,-1586.67513033177,1911.56050078168,0,128.828176677353,-1607.54248866184,"nonveg_543","absence"
-2.65325565648897,306.138474535436,-2288.91063018267,-2127.11243553208,2688.36660785089,0,-122.425670087481,-1608.52877882724,"nonveg_674","absence"
1586.43750893139,787.427759990518,-1891.07223840602,-2454.52859644619,1251.76704529037,0,136.888292648033,-3009.06664301118,"nonveg_764","absence"
-661.245925030931,145.598104779208,-1007.53824316069,-852.215196658514,895.604025839783,0,-41.4734468572829,-1007.53824316069,"nonveg_931","absence"
4454.28941013345,2732.89897259814,-6206.85839613247,-7624.73549625543,366.413369529186,1,-37.7143612869405,-6583.89987039208,"Finland.Kevo.9","presence"
2402.87247383865,1495.28744342427,-5011.56094540638,-5361.60255529509,896.317196042012,0,-12.9734786860541,-5043.24453566508,"USA.YukonKuskokwimDelta.5","presence"
361.217196794265,-306.172954227703,-1416.85535621184,-1292.50143498194,1457.26059962591,0,1.83926039143141,-1292.50143498194,"nonveg_1473","absence"
2216.46712462724,1975.67973727379,-5675.48537575803,-6092.66132509556,694.458522273999,0,-63.4037670459867,-5864.45351794294,"Russia.Kolyma.OW1","presence"
2698.31278241188,1625.02911279338,-4608.53350758831,-5078.93099410468,852.020490333189,0,-56.0428634093061,-4925.53764194148,"Finland.Kevo.12","presence"
