"spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_lateSummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_EVI2b_annualRange","site_code","presence_absence"
2682.99456515655,3418.53032866785,1902.21395638746,5126.19891500476,-4963.46850930714,-5964.53929923179,-5749.33241201023,1195.36618235988,"USA.NorthSlope.12","presence"
1374.19730975189,668.238948597373,-439.9582111447,3010.01233367402,-2655.70346588783,-1522.49714103311,-2693.80008106099,1814.15552089659,"nonveg_666","absence"
2960.45802667781,3108.07744113894,1360.82577903426,5271.07497632405,-4650.75139711688,-5390.07783053901,-5914.38844196182,1995.88032789475,"Canada.DeceptionBay.TH6","presence"
169.407685846061,-472.267971607941,-186.693255151588,534.433535013762,-412.233862268245,-1142.97208449167,-2385.59521753843,1248.19549090254,"nonveg_616","absence"
1411.47921423318,736.375594227325,530.252676919185,1643.78491928388,-1321.45346961325,-891.026503962984,-1475.4117179942,881.226537313999,"nonveg_677","absence"
2967.17894307395,3368.42391904973,1473.39660375237,5282.57260971523,-4713.82401672673,-5214.36402510088,-5438.88991754742,2299.52711305617,"USA.NorthSlope.11","presence"
3834.97670179805,3835.07031597224,2126.27793679434,6881.82365814179,-6579.83107831571,-5883.26467640847,-6320.79103004184,1820.98046548352,"Sweden.Abisko.VJ-DryHeath","presence"
3507.62828461317,3920.08938079131,2170.77314575292,5904.7451531619,-5881.50121448224,-6220.77596466059,-6415.885786335,1569.31760384208,"USA.NorthSlope.HappyValley-C20","presence"
159.596527949689,75.1573609584147,234.428298848536,571.558375895074,-1057.70792034264,-1403.1281676684,-1591.17339867707,368.771707419998,"nonveg_932","absence"
2257.05811560231,2851.64950392037,1322.25148058137,4618.93055953373,-5711.97436892834,-5704.36646845345,-5476.79840223819,1468.75924282285,"USA.NorthSlope.14","presence"
3644.66454205436,3753.80375583189,1421.12368338423,6187.31667975861,-5722.26552016208,-5799.70292080955,-5969.66935737033,2798.42005981125,"Russia.Tiksi.FloodMeadow","presence"
3799.03456765803,4030.9753439698,2238.32934305349,6080.37229052829,-5721.42165028816,-6061.79408695634,-6489.85302517092,1780.0276753314,"Russia.Yamal.VaskinyDachi-1","presence"
4042.84265374531,4297.45360093799,2479.24150153648,6735.00206262918,-6207.99314018213,-6415.71599620776,-6870.78686261412,2275.97535678706,"Sweden.Abisko.NT-MesicHeath","presence"
4065.98980401476,4746.15749633506,1660.53822219983,7279.36175630494,-6008.01044339456,-7372.77410339769,-7550.70644891766,3899.61676660357,"Finland.Kilpisjarvi.19","presence"
169.407685846061,-472.267971607941,-186.693255151588,534.433535013762,-412.233862268245,-1142.97208449167,-2385.59521753843,1248.19549090254,"nonveg_616","absence"
353.849500556858,-274.05962858355,270.058243521658,745.627162485971,-1211.06076264689,-701.745487360165,-1957.00158860982,1590.67430035114,"nonveg_931","absence"
353.849500556858,-274.05962858355,270.058243521658,745.627162485971,-1211.06076264689,-701.745487360165,-1957.00158860982,1590.67430035114,"nonveg_931","absence"
