"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_NDVI_earlySummer","spectral_NDVI_peakSummer","spectral_NDWI_earlySummer","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_blue_endSnowfree","trees_presence","spectral_EVI2b_annualMean","spectral_EVI2b_changeSSES","spectral_NBR_changePSLS","spectral_SWIR2_changeSSES","site_code","presence_absence"
2288.80766128372,2822.1574511928,3281.60111885444,4448.31053942611,5262.9363528928,-4886.44538251887,-5371.4468490621,-5537.04713126969,-3909.95243998242,584.532692320818,0,2759.80913515457,25.7611518324293,10.8921450706421,9.62730979875616,"Canada.Yukon.TOWYK","presence"
4727.84210343814,4802.86629969772,4547.98673815561,7988.14155345442,7881.91219481408,-6590.62206157047,-7399.77380758898,-8257.55207384882,-5509.32898359173,528.403781980971,1,4005.95947109878,29.8984130532028,69.0527917196524,-9.31412066015185,"Finland.Kevo.9","presence"
662.469793635077,721.991272383551,1002.92696508053,1084.84842230182,1501.75266368386,-1677.19400652401,-2196.83271079508,-1718.42894601136,-1253.5267773485,1508.09097629413,0,699.903881991816,12.9948761266249,-32.7571008609165,13.0375494395112,"nonveg_861","absence"
2637.78796100024,3158.19047746921,3490.46227755795,5753.43207848935,6803.43687024255,-5739.74998452032,-6426.09750987673,-6566.87899766808,-4203.61355781533,447.941256725693,1,2825.43621567272,31.4856175701682,43.3873166659409,-3.56352938075398,"Canada.LeRoyLake.TDA3","presence"
2140.74189836751,3103.82556456487,3849.56830917809,6242.04527874041,7681.84139602302,-6035.85449498211,-6586.07981511511,-6489.98349918955,-5020.910474106,316.116478143209,1,2683.46414738857,21.7329233684456,34.7631618279005,-3.38911432978728,"USA.InteriorAlaska.5","presence"
2420.61658378097,3630.16796226801,4151.79113410686,4982.40886912734,6622.86653125291,-5413.99937379058,-5778.2751466095,-6269.13765199118,-3822.58948247346,548.538434027685,0,3103.62599216545,44.9380428822928,-55.4711036048001,-3.23419262918787,"Russia.Kolyma.OW1","presence"
3024.11393417273,4086.91981360834,4819.14479986511,6154.71406290091,7738.32261382642,-5623.15068676788,-5935.51213544197,-5670.303528551,-4628.11445116491,528.114497432867,0,3657.85923857153,44.7560670138321,-74.1225017534209,0.244963036666223,"Russia.Yamal.Laborovaya-1","presence"
442.17489346664,472.281369753606,586.925880218354,1931.14371334797,1819.08562057652,-1719.84164209778,-2279.7911782323,-1969.66600010163,-2157.85281973142,528.06092380159,0,517.117984457071,10.2551845426954,-66.0073732392156,13.0796950669002,"nonveg_760","absence"
2831.7184350137,3588.65833914581,3554.36586541482,5020.91437628123,5516.95325201772,-5199.1542543728,-5934.13407396043,-6457.00031243994,-4873.07099527421,611.158401392372,0,3298.70197502154,31.3626113870343,28.5344330187152,3.70424813680633,"USA.YukonKuskokwimDelta.UB7","presence"
373.040120746423,318.923919441706,222.920471107601,1427.13595163275,745.092456143369,210.369865521551,-1469.90656564623,-1739.09283944152,-172.170169540953,924.489759439735,0,246.182991921533,33.8085816422095,35.1850954497402,17.249011397321,"nonveg_751","absence"
3230.82997382701,4329.82741076825,4944.83769181082,6212.99931026831,8102.94914929584,-6580.64069149963,-7054.87623884072,-7380.28302851549,-4789.78403304272,395.21223001869,1,3584.08208840016,28.5681962216707,-1.06058565148147,-7.61177419270153,"Canada.BonifaceRiver.AB8","presence"
268.837927079908,0.487969395379309,177.925032274655,2199.63131282736,638.11478345864,-366.721807827465,-2208.26005424677,-2094.46039682413,-1603.32466156398,774.78329810315,0,468.627931617597,33.8767179318772,-13.1853187912294,14.1181852979575,"nonveg_695","absence"
2660.72843215513,2908.26649141084,3122.02900554689,5309.48131149658,6742.82770766409,-5775.33892417965,-6549.07035979335,-6607.69680969914,-4590.00667326611,468.761562883803,0,2452.4481204184,-8.62330528465882,-83.7505553064629,-32.1431238839626,"Finland.Javrresduottar.EC-Spring","absence"
-581.012453242875,168.738095288998,694.850543835541,-434.681327257406,655.593655177434,-347.171905285215,30.1315831956191,222.630376588271,425.701867714527,270.803002982828,0,-7.59988933027108,4.40841989257245,-25.4121118442419,11.2423039270123,"nonveg_1161","absence"
775.151884288492,762.331868961068,908.875930647424,2123.65883468862,1236.88552050868,-97.3474524736985,-1178.51911847922,-1009.74593568969,-1398.62262076581,1675.7230770364,0,917.809483789824,50.1317249235662,-25.9624702345788,17.5845971263143,"nonveg_876","absence"
1482.02867347673,1602.68697919563,1626.46794092675,2451.57042399959,3051.11018602947,-2819.08157242734,-3187.81690426521,-3307.93449861032,-1828.00365002078,939.072242678949,0,1290.02218069583,30.2447341783043,-76.5044955526168,7.14522176832244,"Canada.PrincePatrickIsland.MouldBay-C03","absence"
2445.0993340506,3583.90518103619,3890.41083186833,4250.74049992312,6347.5661207456,-5103.18487192311,-5656.42595907179,-6077.19206869566,-3128.76686574437,559.031389670296,0,2932.46101175697,33.8350697480612,-11.82231738508,-2.01876104617163,"Canada.DeceptionBay.TH8","presence"
