"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NDVI_annualRange","spectral_NDWI_annualMedian","site_code","presence_absence"
3078.36283390545,4259.72387940632,2275.03078187312,6922.87949356792,-6626.47044170678,-5049.55702305705,3006.54256189086,-6422.02080782927,"Norway.Javrresduottar.A-Sedge","presence"
1433.28922577147,651.481609049413,1354.27647414588,2856.45380320832,-3053.65201504351,-912.979550898057,822.943165056752,-2261.18302539811,"nonveg_612","absence"
1792.00302753079,694.598212406717,-410.441203931136,934.677851881793,-1616.63348734781,-2400.72194670324,3089.2178831517,-1750.28052441601,"nonveg_674","absence"
2544.03902668132,4228.98580848427,1990.3484511516,6726.88231777476,-6983.469312379,-4493.89955782165,2666.77774281684,-5649.69867542835,"USA.Kougaork.GraminoidShrub","presence"
841.030239692489,272.863179713525,-228.927619885969,474.961791655878,-1140.11762233262,-818.350765306234,1438.63732180545,-929.145665468065,"nonveg_1499","absence"
3317.91808925722,3743.21396753719,2392.10973804377,5798.71961763209,-6277.83084992913,-4956.5210631153,3260.66073704883,-5701.5777961326,"Russia.Tiksi.Bog","presence"
2917.93842697488,3519.7308001316,2160.68014357617,6232.18675297077,-5062.48549673764,-3592.67342322728,2235.00165215078,-5554.36895604944,"Sweden.Abisko.NT-SparseVeg","presence"
-75.492695100213,227.203342638842,-230.043969291082,325.846806544909,-1742.77805357872,1007.26669300799,2147.28861061067,-1420.93273683973,"nonveg_1834","absence"
2607.59711124932,3377.38017259815,2034.93700402308,5271.06581157729,-6045.56821169517,-4478.34217202656,2468.99568995284,-5754.2780755027,"Canada.DaringLake.LowBirch","presence"
2120.53033919754,2440.29778059927,1592.76711337653,4351.95788366233,-4612.53143380634,-3233.84699703711,1811.78402686772,-4675.27344859738,"Canada.BonifaceRiver.LSA4","presence"
451.340004872821,720.458671692524,-179.825380358838,1653.95073344075,-2975.5909299195,-2389.29930557965,1623.64635746996,-2930.09328358223,"nonveg_957","absence"
1552.52776793205,2186.91205202671,1089.7915084154,5173.51341673133,-5767.54633818645,-4559.24644637748,1569.45536665064,-5351.84269743885,"Canada.ChukotkaRiver.TH5","presence"
2063.27897603543,3798.30144772024,2092.01084090012,7170.08282054732,-6614.72823414695,-4552.55426581195,3985.69039116439,-6044.76655590224,"USA.InteriorAlaska.5","presence"
994.819092399487,1279.76734733959,555.50712691328,1688.14554978685,-1593.06404023181,-2319.30037310721,905.948199804898,-1678.6075640923,"nonveg_915","absence"
2270.13378332142,3048.0011963782,1542.93491521641,5074.03695867182,-5558.52478561343,-4332.09313469337,3426.90131208278,-5159.6767961999,"USA.YukonKuskokwimDelta.15B7","presence"
507.867657174568,738.298792077608,235.565775761396,1291.97478070097,-1744.52272555321,-1205.74633293679,941.558750505288,-1744.52272555321,"nonveg_935","absence"
365.867938299628,-93.4454846775429,581.170235298234,1514.25053102305,-2464.92273186415,-1410.32388676616,1217.30449246535,-1608.60374893837,"nonveg_695","absence"
-234.46670346824,170.890474117766,182.778061591063,-730.957973672019,2768.86784783726,3893.44181276661,2018.17478518802,3334.14426363876,"nonveg_1854","absence"
2919.96352646656,3939.02766097377,2186.16862820292,6865.65651446924,-6300.51887406003,-4144.59265445084,2210.79416264518,-6547.81389056227,"Canada.PayneLake.TDA0","presence"
2904.13544834534,3260.77202775838,2400.773431049,6020.07213518731,-6517.06726064048,-4860.34357068101,2171.58673818378,-6072.88024074148,"Canada.CoutureLake.TD7","presence"
-793.620487555654,207.593156284474,-32.6496781837288,-143.973215642314,404.488563567489,820.534125530722,1209.3752373832,227.955466727458,"nonveg_592","absence"
1652.77910167574,2446.74687915599,830.61152122637,5234.65486373995,-5380.97326259521,-2573.7910022766,2704.92699780068,-4917.82491830957,"USA.NorthSlope.13","presence"
2594.91794372075,3801.13779671992,2535.36230474697,5666.56355093444,-6361.982061767,-4809.92109269001,2848.61012816195,-6049.30682870637,"USA.NorthSlope.HappyValley-C18","presence"
2953.33285992602,4693.98421345736,1903.73972279622,7831.29928025836,-7376.09635971336,-6037.34431624513,2560.68620713378,-6466.92721196591,"Finland.Kilpisjarvi.15","presence"
235.92751945565,552.834887898704,456.3764620397,1206.3121465727,-1797.74003509701,-1076.4592890682,670.066165674975,-1689.22003794066,"nonveg_922","absence"
3174.68008639515,3297.99147962959,2076.66966053883,5598.3965609254,-5252.62473302555,-4880.20471086423,1842.57604670196,-5126.1812382343,"Finland.Kevo.10","presence"
-704.175345009224,584.399215406922,779.552193830954,1053.63073014958,-195.974143894463,2226.12978694325,2402.83822252503,528.333172492268,"nonveg_593","absence"
3069.20045428616,3384.61496214325,1994.28673673073,5546.63673578116,-5852.59171836492,-4068.56293425719,2429.27559112502,-4988.24559010984,"Russia.Tiksi.DryFen","presence"
2475.52418077026,4126.47718632654,2338.10427230559,5996.41203908721,-6454.84710168035,-5167.83087457589,2194.87324842619,-5971.54753915614,"USA.NorthSlope.Ivotuk3","presence"
2578.42221561259,3309.40414001782,1977.49642724185,5622.38342193424,-6097.86076031655,-4915.62611385276,2644.55574915542,-5562.60481649662,"USA.NorthSlope.Sagwon-C18","presence"
836.23151999367,805.445097686068,524.449203995519,2218.5825672401,-2271.84930979862,-914.206831219211,2821.01224436081,-1840.77502688561,"Canada.EllefRingnesIsland.Isachsen-C02","presence"
3099.48821731998,3604.85529116714,1652.4691506951,5726.01269406506,-6029.15553732015,-4065.41311943759,1728.01703047471,-5924.69720333371,"Russia.Tiksi.GraminoidTundra","presence"
52.8221009382318,346.121885579416,560.855343636711,1292.2541309279,-1947.51947254769,-73.2714949332488,4388.72281259368,-1069.05037804645,"nonveg_547","absence"
2722.96598448316,3273.96899180256,2083.99853531175,5297.15750446221,-5907.58424193166,-3315.36455067192,1859.41203400187,-5471.10116369233,"Russia.Yamal.Kharasavey-1","presence"
2561.67966400092,3916.42700617064,2336.60508153936,5569.27540809295,-6431.002449751,-5128.24250567782,2660.43855580057,-5765.93856337647,"USA.NorthSlope.HappyValley-C20","presence"
