"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_peakSummer","spectral_NDWI_lateSummer","spectral_NDWI_startSnowfree","texture_NDVI_peakSummer","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NBR_changeSSES","spectral_NDVI_annualRange","spectral_NDWI_annualMedian","spectral_NIR_changeESPS","spectral_green_changePSLS","site_code","presence_absence"
3095.87362864505,3218.6436977513,1942.50307910652,5431.6445421563,-5257.74949578547,-5065.61387325216,623.01344775106,0,3105.45534235654,1122.90820251521,33.2619311323028,1823.38667319917,-5196.63497615051,-6.76617873770471,12.2637405941751,"Finland.Kevo.10","presence"
2037.10269486624,2556.14184588238,1571.22226261669,5583.54318236824,-5486.26857452072,-3889.99397366995,59.6722081425127,0,2090.45063974558,1960.8436101267,13.6803431205876,2470.0220222988,-5318.65186411875,22.6208799280608,-10.4373593536875,"USA.NorthSlope.Sagwon-C16","presence"
1384.374884912,1504.88295710372,804.260031159911,3677.24252758802,-3635.83799197585,-2781.40769127487,-215.12220820826,0,1180.44182854358,1495.29737073467,79.6441662510098,2828.98680338333,-3038.32152926865,6.58580886365623,-28.2772531605585,"Russia.Tiksi.BareSoil","absence"
493.498991775983,389.813487521766,-292.219433887221,1939.91086689145,-3727.54754397606,-294.468582525246,306.657889274859,0,321.68140859957,785.718425663204,-111.7769477353,2260.90040162236,-3020.82418121825,-11.6077206106317,9.43395993701412,"nonveg_804","absence"
1591.17350077107,2347.17952212041,1184.67847398143,5328.55720893876,-5191.13357916639,-3109.33779212621,-9.26369859610927,0,1777.7667687703,1016.64995125776,3.27965677629729,2077.86228581704,-4384.47064238143,-8.9147302367555,-1.49150617888891,"Canada.DaringLake.Tower2-SedgeFen","presence"
2877.05284450409,2870.53385861617,1668.44058149059,5305.25023924892,-5593.69037603432,-4156.3486122629,160.665566817317,0,3233.92771157289,2433.98805735772,75.64168064088,3954.01329908782,-4789.73855497696,-1.68474855662964,26.3755454327349,"Russia.Tiksi.ShrubTundra","presence"
-26.168222248817,179.901872572973,-347.370576465916,3184.05387643267,-3568.06932846719,-2270.28039284772,311.475236842031,0,-26.168222248817,750.766026990745,16.8096764797741,1353.43002568098,-3568.06932846719,-18.2260270964181,5.35917525573902,"nonveg_730","absence"
2337.00255361285,3541.59473375244,2281.30062296775,6480.64355791002,-6130.06480838462,-4995.30195371464,-4.96779899242618,0,3474.17271388902,2550.34612476838,33.7381971002436,3402.36846857909,-5934.64746442301,10.4297446836554,-4.17995705430544,"USA.NorthSlope.HappyValley-C19","presence"
3013.29256659206,3900.41551607862,1656.08440631924,7283.4551214872,-6647.06175719607,-4240.97777342938,11.1281343071341,1,3423.25967286199,2662.00428947169,37.0802539403483,3812.88820789528,-6488.34156488587,22.0351124025585,10.5193286021601,"Finland.Kilpisjarvi.19","presence"
1357.31117895837,3331.12883455728,1579.66756711338,6952.32932624809,-5764.98609211576,-3244.61424680773,-453.086611045963,0,1507.96857124775,2794.45333647751,10.1947966318686,4202.85366996314,-4484.56911590545,15.2761236464143,7.32953048396943,"Canada.KluaneLake.Quill-ShrubTundra","presence"
241.560260933133,45.8092344672002,10000,249.271133830929,-877.71414587925,815.384435471912,407.437543150389,0,45.8092344672002,10346.1063759136,-124.575458611099,958.318985971853,-671.31271975851,-19.3783863427823,-9.80631072320274,"nonveg_1241","absence"
2819.87077961177,3277.06042786001,2469.13840900506,6653.45319220246,-6276.51648165005,-5442.77677316546,12.6789693431226,0,2966.5784754785,1400.97932446046,-16.1007291999282,2441.74773106491,-5909.67923829375,16.7010689722219,5.32556747936994,"Russia.Tazovsky.Burned28","presence"
513.322994659176,-41.1852925617558,358.014207945576,894.015499094434,-2139.58037242479,-696.463870051739,114.106340607701,0,461.969337682209,604.466785777269,-50.9483568058126,857.358224913895,-959.973325172312,-9.61408424771458,-21.0416634458,"nonveg_775","absence"
1907.54361961083,2467.84919634951,1411.68092390907,5253.55259236211,-5623.81818275086,-4162.07483570671,94.0361906251776,0,2588.16786747737,1564.98952959981,-2.20720692431416,2155.1570757755,-5378.74484446729,7.74895670179787,-0.884011876851455,"USA.YukonKuskokwimDelta.4","absence"
2262.36755762666,3211.34778396163,1980.79653049012,6317.24468953998,-5728.20354259969,-4295.06722125094,244.869712226732,1,3361.6696637484,2293.49835300967,57.3165472594854,3420.96099337902,-6323.93735580232,15.972928745572,2.91623771387326,"Sweden.Abisko.NF-Wetland","presence"
1157.74799498702,1393.11006497311,952.344011119851,2932.03501342793,-3336.3352246089,-1513.60038906426,116.177110507338,0,1304.94347818213,529.313241991171,-2.70259229706021,1066.17320385305,-2991.17726542917,-10.0201427377628,13.1181119419376,"Canada.PrincePatrickIsland.MouldBay-C04","presence"
2608.2599148136,3915.08360071618,1371.86757186062,6925.02687189781,-6333.10116608624,-5006.05163061394,99.4029682711762,0,3346.58524404939,3929.75209276764,89.288900076832,5151.13105659653,-6285.81090115513,29.6008809752679,-0.468163827832561,"USA.Kougaork.GraminoidShrub","presence"
2780.93062291054,3435.02468823276,2021.0719527206,5636.7711290994,-5821.61813458191,-4701.49431360765,180.338873572772,0,2989.11375924643,2644.08503050586,39.4281434468804,3767.35521517894,-5377.3219331405,10.3771878491795,-10.5491821477545,"USA.YukonKuskokwimDelta.15B1","presence"
