"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NBR_peakSummer","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NIR_startSnowfree","spectral_blue_lateSummer","topo_cti","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changePSLS","spectral_NDVI_annualMedian","spectral_NDVI_annualMean","spectral_NDVI_annualRange","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NDWI_changePSLS","spectral_blue_changeSSES","spectral_blue_changeESPS","spectral_blue_changeLSES","spectral_green_changePSLS","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
405.494818352347,178.156805445083,985.848555297215,-34.0567221075133,-359.282169493757,-3001.60322771543,718.01391507735,471.641092353695,1674.2150936489,157.69169011661,-576.790446953533,-1070.4307783174,-1639.84768086046,-793.698325712606,-2116.34821493137,-730.407919624383,1954.85266433109,1169.97511886551,-2.70447039604187,6.91941452026367,0,178.156805445083,235.232257498675,1345.13072479097,23.8992808701908,127.488159675591,471.641092353695,488.954268848604,2251.00554060243,-1070.4307783174,-1270.14658388924,165.331236152346,-16.8437535249972,-13.641256898913,-23.0824688370016,50.4050628556442,"nonveg_673","absence",1,0,0,0,0
4127.80295933779,3300.2354259753,4373.15261879828,5108.37904846778,1872.58398356146,6277.00843691433,6695.24592127108,5759.5991814031,7315.99166027953,8112.7424251349,3410.85935571673,-6407.57115248686,-6569.13868898654,-7290.37946333596,-7390.06839298124,-4456.18016020568,2334.84507796951,341.541692008645,-2.98819899559021,9.17270147800445,0,3672.87660431535,3490.33932401894,4137.54213537584,72.1650828799056,-76.912723346268,6345.64520856964,5698.49391737606,5397.56129056093,-6787.5478856451,-6509.6489861675,-30.4349052290185,-6.75123659306422,0.481939117292694,-1.17007461577938,-8.46729785858852,"USA.Kougaork.TallShrub","presence",0,0,1,0,0
2726.46459224776,2515.05093913656,3061.52880328577,3246.16007729356,1850.22883344488,3478.17578608335,5031.80941404922,4737.80534114515,5412.83966373329,5569.32275356975,3539.27668893832,-4945.01121247008,-5483.23104120148,-5723.65598787221,-6130.73131274852,-4613.43014939286,1955.21425376879,504.751005445507,1.20269993940989,0.10163414478302,0,2815.00575168335,2672.14460357079,1497.62004732421,28.7357341657749,-8.481276693466,5161.23490071471,4787.42578272898,2187.35921547193,-5610.48902407219,-5315.973267491,22.7014049271404,20.4783308781131,-29.2006547630922,-14.2646295952835,19.4960752950796,"Russia.Yamal.Nadym-2-IH","presence",0,1,0,0,0
839.199516032413,818.16264882879,710.857078327591,993.559615145258,-73.4621485465111,-622.255743650995,1404.02154168414,1523.29022688583,1394.26250341154,1727.82791287814,104.145210105723,-959.683585325299,-1347.5116712004,-1691.0849160356,-1305.43043417896,-1379.62391503572,1546.34606259289,951.686969573675,-2.03243017196655,12.7060670852661,0,818.16264882879,657.663341957508,1067.02176369177,36.506466583157,-28.2702536817667,1404.02154168414,1230.70947899307,1623.68270277242,-1347.5116712004,-1336.6669043552,-38.5654481856642,-0.110369951218836,-10.7540922940892,8.63651487963198,-14.9571049327528,"nonveg_941","absence",1,0,0,0,0
708.17833275397,-377.702070835059,260.017378761785,324.424252536686,897.452573789614,-2115.32962209072,1444.27899353887,-478.492598799792,657.392578685048,947.356207656047,1607.14301897976,-685.471208818122,546.810435565235,-925.74058615289,-1330.42005132347,-317.080562559837,1933.84363117079,814.51896457874,-3.49027800559998,25.6608963012695,0,324.424252536686,362.474093401399,1275.15464462467,-12.6182827357096,-2.14689579249667,947.356207656047,835.535640011986,2085.63561777955,-685.471208818122,-542.380394657817,13.4893155056861,-14.6005683616852,-18.0637295635518,-6.86766024026481,2.66905450077102,"nonveg_594","absence",0,0,0,1,0
638.476653298215,100.196099956479,67.6714351503841,68.1902431348728,-98.4913982810445,3751.33674489694,3961.15253236468,2382.1639300341,3653.86188210845,4248.48289150103,1428.21049502351,2625.30676949957,5380.57787153216,2308.11936255045,1245.41178409014,2040.94497956986,94.3833749721722,210.472358516244,0.71236777305603,1.11918592453003,0,68.1902431348728,155.208606651781,736.968051579259,26.3202875564021,-0.0225568688908144,3653.86188210845,3134.77434620635,2820.27239647753,2308.11936255045,2720.07215344843,46.2046773243614,9.14781952056843,-7.90311833684398,1.20113304449363,0.769538070463698,"nonveg_1880","absence",0,0,1,0,0
1075.2593580843,1027.20858615602,1203.75883841973,1452.89091406423,736.518415644541,1275.20844003213,2140.55830324516,2388.90908680343,2593.56852104827,2874.3075807236,1465.80606010343,-2476.37621436995,-3032.41477376563,-2868.73383421937,-2619.11421733037,-1187.85886657386,1530.35066309234,809.897677128233,-2.34227257966996,1.56329137086868,0,890.271335482214,911.021415271078,945.512784722857,11.2577000707571,-84.2518739004961,2149.10593527131,1993.87895790566,1694.51055589702,-2606.92149010264,-2448.84277405219,-83.6332968664659,-1.37847846245036,1.64970237647726,23.8407400454054,-28.4841276982543,"USA.NorthSlope.HoweIsland-C13","presence",1,0,0,0,0
621.706020965138,319.971712716258,1541.37379055821,545.085458547797,841.819684181475,-2961.25312972723,1763.9115813173,1398.231397375,3133.58002860293,1851.59751867704,1293.24443203046,-2581.55357573754,-3094.08010493926,-1683.01790718334,-3075.52396698715,132.781825593825,2066.07942701515,911.417952882562,-1.20591700077057,6.23371505737305,0,621.706020965138,773.991333393776,1221.40207784195,-4.15308798521391,49.8144166005207,1763.9115813173,1888.11299160055,1840.33559657248,-2581.55357573754,-2060.27874585069,69.6253029901902,-22.6043941242021,-1.42563677372747,-14.2962628588462,15.4797629974676,"nonveg_619","absence",0,0,0,1,0
3400.96626272479,3591.97127300852,3903.77067795351,4088.58067768913,2438.3295638089,5718.86229107259,6653.88466471487,7450.66934838264,7626.77435078359,7642.48215790186,5380.13867960574,-6853.92652562489,-6506.63548891646,-6951.79636071021,-7203.66272113398,-5843.38647780997,1942.71172283887,322.492026238919,-1.96183564662934,7.03417272567749,1,3995.48925031971,3717.00981584578,1776.98509919998,28.1257631833011,-21.4251419672972,7725.1078149368,7208.53423003909,2436.72214542561,-6776.09864381589,-6383.09260963706,-0.0172540656159299,-2.86863837428624,2.76504173984542,10.1450279909356,-1.9243025127296,"Finland.Kevo.7","presence",0,0,0,1,0
27.2783684335441,839.895355195869,674.546285122816,1366.80599937111,412.401304025904,-911.437335117997,142.787206878375,1233.69178661284,1025.7357441327,1939.44846347741,609.559040461203,-3312.72810684217,-2191.03932209741,-2517.41897122647,-1626.59810967657,-2481.44146013882,2494.28813552694,1407.25325262992,-0.119851022958756,0.621461749076843,0,674.546285122816,664.18546242985,1339.52763093757,-12.0350917372612,-49.4471224463071,1025.7357441327,990.244448312507,1796.66125659904,-2481.44146013882,-2425.84519399629,-63.6300615392785,-10.4211761837422,19.4576818358908,8.12144050180815,-24.1786292380141,"nonveg_508","absence",1,0,0,0,0
