"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDVI_lateSummer","spectral_NDWI_earlySummer","spectral_NDWI_lateSummer","trees_presence","spectral_NDVI_annualRange","site_code","presence_absence"
950.389996664305,787.608073766076,785.379909366583,1972.31980123758,-2286.1780798691,-3201.69459173531,0,372.654301924951,"nonveg_985","absence"
3260.27779451475,2242.4272871486,1980.59518083296,6214.97538771381,-5792.21842861153,-5898.74054686902,0,2982.18174937248,"USA.InteriorAlaska.LOWERQUARRY","presence"
1407.23337588322,1610.37981173643,1421.69014997167,3917.61092409418,-3988.77773882625,-3899.40149160045,0,775.171979535261,"nonveg_529","absence"
-329.283051107052,918.280913144859,-198.005166288233,747.942343338029,-882.564968169976,-857.618113717008,0,1384.8560311119,"nonveg_1234","absence"
3035.82392442846,3171.87896443696,1547.79287090585,6323.41384216695,-5468.6345029965,-6219.28691097476,0,3885.40583900328,"USA.YukonKuskokwimDelta.15B2","presence"
-459.710839416558,231.194994746253,-697.01566136197,2668.75407891335,-3265.32770548726,-4161.87982388222,0,1841.37708289933,"nonveg_730","absence"
2904.16330527491,2290.14777783377,1421.54505874886,5147.01267040838,-5098.62016767422,-5859.39554470729,0,1997.31823034485,"Canada.ChukotkaRiver.TH1","presence"
3219.65875175343,3435.17693337628,2355.14187660618,6407.38980053287,-6308.92061609676,-6711.14236434936,0,3029.60997746478,"Sweden.Abisko.VJ-BirchShrub","presence"
2377.07624827246,2044.68880606023,1303.54823058666,6021.59976573927,-5175.40592638176,-6038.86434343178,0,2968.51977936734,"Finland.Javrresduottar.EC-Salix","presence"
2649.68984280653,2295.08762258095,2040.8159896309,5374.65718154444,-5302.17804264545,-5833.13182494717,0,2967.63317353729,"Canada.DaringLake.Tower1-MixedTundra","presence"
127.839855431176,-4.00838379309249,690.580876298991,776.352416556364,-2127.52677738274,-1835.9235921596,0,1054.03108517183,"nonveg_953","absence"
1817.03800349813,2264.90712772431,1156.32350218092,5004.85841029856,-5219.65661591844,-4895.95282829772,0,3001.30085307198,"Russia.Yamal.Kharasavey-2b","presence"
1428.1998593147,1673.83932794619,1268.87030870936,3986.51344037303,-4985.2139312564,-4794.84398056037,0,1973.48416156312,"Canada.BanksIsland.GreenCabin-C11","presence"
-244.242579983525,-60.0140445406766,-205.596712332684,-704.350826014352,-654.278569363936,-1238.96067663973,0,930.854467564925,"nonveg_822","absence"
