"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_startSnowfree","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_changeLSES","spectral_NBR_changeESPS","spectral_NDWI_annualMean","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
3463.17455832121,3789.96739136372,3748.78351244044,2399.20277805197,5788.51032787746,-5932.55329910837,-6322.75883564377,-6173.6044878322,-3857.52248908045,0,3343.21461168274,-16.6378699760515,28.2790433082001,-5838.31032348073,"Sweden.Abisko.VJ-DryHeath","presence",0,0,0,1,0
3043.17875359261,3668.51219558042,3779.94980046662,2162.55382119056,5893.35351786158,-5485.97187192,-6137.37932166082,-6108.99630026109,-4938.90782398545,0,3698.80048061859,0.372729740737755,27.8702364861482,-5525.90255725444,"Sweden.Abisko.NT-BirchShrub","presence",0,0,0,1,0
2170.04541820659,2407.01597578209,2394.41506042241,1354.55362926497,3807.47705561313,-4529.88352775948,-4002.48575307591,-4716.47460272116,-3504.07242287394,0,2073.8199896504,7.96254393735381,-24.3775671524121,-4241.93070824595,"Canada.BanksIsland.GreenCabin-C10","presence",1,0,0,0,0
3013.68876762469,3348.2169456271,2746.45264662567,2317.78938164064,4831.64432820825,-5289.59328798264,-5142.2223809571,-5077.85384183917,-4585.90739039708,0,2552.12653142169,-86.7032403208645,7.4952805267891,-5472.6450699455,"Finland.Kevo.10","presence",0,0,0,1,0
577.730626555662,-219.987243092008,196.601533288327,654.463354226371,915.698954411945,-2497.08335164178,-1688.26506759157,-2733.60660283216,-1764.6216561997,0,196.601533288327,44.3176594248706,12.0822040497918,-2188.65637889401,"nonveg_736","absence",0,0,0,1,0
1355.0169140174,1409.49780423182,1447.59458812252,770.062363152787,2454.84140446552,-2747.67269776521,-3010.0049231385,-3469.65508479689,-1862.1733133404,0,1138.31785027091,22.5997408820661,-35.1099863647561,-3266.07709437884,"Canada.PrincePatrickIsland.MouldBay-C03","absence",1,0,0,0,0
1706.72096614142,2501.90961252704,3033.44033113901,1521.62397953205,4370.21009572128,-5003.32889265632,-4763.95246569816,-5467.23889015706,-3867.08796323147,0,2020.90449543925,-44.5754575840236,33.7447960004227,-4979.33199955622,"USA.InteriorAlaska.AUFEIS","presence",0,0,0,1,0
524.133904436008,1033.61225089686,705.951769805587,636.829868061344,610.178601382361,-2588.71232935322,-2090.12148735158,-1571.99373740479,-1375.09981121192,0,636.829868061344,-28.3043525811587,12.3149098130132,-2001.12778084149,"nonveg_849","absence",0,0,1,0,0
505.15419956172,1153.08947657194,1304.64486948009,1037.18763550234,1362.97502384818,-2036.29736538099,-2307.69686127868,-1451.85011297567,-651.246463127555,0,1037.18763550234,-64.7935277010216,35.9802039817548,-1535.98910884845,"nonveg_576","absence",0,0,1,0,0
564.683478305848,-244.075645092277,-112.723717326056,-117.719324907034,194.713836359567,-1101.29058138702,-809.514312917911,-1636.58139876321,-441.095546561251,0,-112.723717326056,67.3965936165104,-8.45420104072081,-1075.87066534332,"nonveg_1416","absence",1,0,0,0,0
