"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NBR_peakSummer","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_SWIR2_earlySummer","topo_eastness","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeESPS","spectral_NBR_annualMedian","spectral_NBR_changeESPS","spectral_NDMI_changeESPS","spectral_NDVI_annualMean","spectral_NDVI_annualRange","spectral_NDVI_changeLSES","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NDWI_changeLSES","spectral_NIR_changeESPS","spectral_SWIR1_annualRange","spectral_SWIR1_changeESPS","spectral_red_changeESPS","site_code","presence_absence"
2808.18607306494,3084.64450299562,3562.4152125078,3823.7267322907,1139.56327724069,4141.59092045728,5333.87442281309,5843.22414070517,6451.23248262725,6800.31376253199,2157.11765273943,-5264.46681694333,-5679.22827680569,-6291.091800411,-6494.90857919296,-2473.64108846128,1059.01969702747,0.0217273681579779,8.57849256197612,0,3418.15752999653,2782.30526599515,3767.13265108673,50.6769603959968,4227.63890141896,12.7174568883098,2.98263923836332,4733.87473287265,6641.60866868206,-42.6361294681118,-5453.35442489736,-4532.63915065232,54.3476476113842,-1.7492587763244,561.063820452477,13.2594471653942,-24.0610176305832,"Sweden.Abisko.KJ-BirchShrub","presence"
2500.69469443751,2770.37522642528,2938.88704613013,3203.76693723255,2074.69328013464,2765.57041692514,4859.54144657975,5314.88501613048,5554.66156920331,5908.62722435105,4132.6796024226,-5664.7387533837,-5594.80619246718,-6173.31364046304,-6110.5731917282,-4916.60915962228,1370.5486749543,-0.00103117282398873,0.581321120262146,0,2957.26648774753,2641.31953020616,1270.83553278866,24.9639453501479,2573.5847607922,39.2433846501476,32.0150770640791,5051.85064295635,1942.75196979402,-10.4951606396673,-5967.3954130399,-5727.62383541442,34.1104105130753,13.0088011233331,389.737038461368,6.15686282955392,1.77780978787172,"Canada.CoutureLake.TD7","presence"
2006.90442248428,1728.2265348619,2283.83010701298,2228.52109376806,1594.5800871827,1228.67283838,4263.12780247382,3905.9025939076,4816.66836169512,4759.29901335705,3440.36906396013,-4177.76981751329,-4505.96422151689,-4582.48451544441,-4944.89879327592,-3288.15545054407,1685.79418435053,0.00917820839418305,1.6457448999087,0,1620.77178563321,1819.63590403518,1445.76790741693,-4.66420946782487,822.028319586773,-1.27039162601026,-2.96574669037451,3979.51971248209,2319.19562601816,-85.6849644011812,-4508.01846519418,-4538.05318855057,-28.8548924842,-6.32203067440628,947.310230511036,-13.8493164036353,-8.49087118207907,"Canada.LeRoyLake.TD4","presence"
2139.14073431626,2212.86660616013,2846.09556031478,3101.72211053845,1613.54613249335,3920.22934591949,5040.24803150642,5011.92097823814,6138.68074127985,6608.39701544645,3957.59774046198,-5500.09974861648,-5823.98198392511,-5804.24683928255,-5853.2496817999,-4150.4879366561,1079.77921464166,0.0532391890883446,3.1360827088356,0,1941.65761126298,2220.16042533012,1241.37571457321,31.8438373618846,2139.63643813773,71.8217358151567,60.6538009884767,5194.57218543522,2324.36580912828,-97.5561254735167,-5638.88993434273,-5396.10153106635,-31.9428811195845,14.9632981233483,1000.05344487766,5.63951099167214,4.67388130554605,"Finland.Javrresduottar.EC-Salix","presence"
3368.46695731356,2092.81205123185,3348.55000625928,3727.5087238135,1961.40560263603,4550.99312843857,6255.89937990494,4083.76487825316,6259.61868954431,6804.88536974481,3859.11461591867,-5611.77994713371,-6159.26213928072,-5995.98809348076,-6354.14963809319,-5267.33105976366,1297.08379933093,0.0241140071302652,1.66447007656097,1,3376.1471400236,2970.02720855576,2114.74043734539,18.4635428181743,3941.01997709652,30.0990678031165,23.8011430978452,5556.10157226458,3342.58353704712,-131.856856065533,-5718.61881780766,-5776.32852198299,-43.5859460897146,6.12089235942703,684.587684267235,-2.23571586874732,-3.64034279241011,"Russia.Kolyma.T1","presence"
899.999344952023,1417.20827979204,1437.37847306649,613.580578335966,1332.63175252328,-1365.98048481877,1460.50110258787,2126.22769451957,2171.99702064088,1191.97161705487,1864.4606151145,-2131.79202270858,-1416.52041761828,-1630.27008619011,-2796.66373411803,-894.540944689891,2791.01942471568,-0.00441957311704755,0.340886503458023,0,1332.63175252328,1140.15968573396,823.797894730521,-11.934115275669,145.996964508803,-26.0082945568499,-23.0967999186626,1763.03160998354,980.025403586011,-3.52071739394709,-1630.27008619011,-1773.95744106498,16.4422821978328,-13.6069552642208,625.017121764675,-12.045391600608,-9.18176882375731,"nonveg_540","absence"
2360.76201519848,2205.45655235547,2671.65508640022,3302.13394547137,1804.93477245188,4156.70176793262,5881.29338031665,5596.89672712902,6372.69849146439,7036.19377293368,4243.17518906046,-5728.17467747229,-6002.53982383593,-6505.6820844399,-6617.29902306995,-4757.87602290235,1120.69310553963,-0.000909009481094674,2.81762215826246,0,2495.03279161624,2781.92676950367,1856.14873075311,53.0328208786603,3886.03969946978,67.4640575927393,59.6506848827132,6288.70616716811,2836.87377367726,-84.4521490824514,-6326.26493407248,-6245.1490749002,-7.62816849780306,27.2998188952839,630.231908684624,11.3796457751008,1.99502425937881,"Canada.PayneLake.TDA3","presence"
-236.390908389646,-246.584052820414,138.052323022672,464.60660226788,-169.491309949918,6712.48528014316,432.212878169019,548.19279037126,1461.78140499866,1993.14732036594,-320.974930818033,-401.090899326937,-114.531527328991,-467.885830133153,-544.762670009644,485.164801101294,0,9.97915922198445e-05,0.0584703125059605,0,-169.491309949918,-9.96146917388525,711.190655088295,21.9061722080477,5341.99330173824,42.8278743251537,33.5814994011104,822.871892617369,2314.12225118397,-53.7405067427882,-401.090899326937,-208.621225139486,20.7855472237743,15.257417631931,299.272945774399,9.35227955544996,6.0977877515054,"nonveg_1889","absence"
46.3598389194121,760.500464266754,607.843313560595,60.5838320477066,170.127573593883,-2761.09519482857,638.38554855222,2121.64320637811,1846.42878352942,787.856257483925,848.911124588114,-3237.57005352581,-1642.05755665041,-1967.97275820632,-3180.35346329916,-2636.04734991967,1478.88504805088,0.00241452804766595,0.164485394954681,0,170.127573593883,329.08300447767,714.140625347341,0.444499785259202,-2337.12722733324,19.4461279029647,7.36826998032669,1248.64498410636,1483.25765782589,39.3163461212416,-2636.04734991967,-2532.80023632027,46.5593145079874,0.0625731395391185,760.153608489515,-5.93486291430253,-0.0420788689557341,"nonveg_760","absence"
2591.4183595033,2188.25146391886,2903.17745360923,3122.37110360524,1604.04952559769,3192.60200460961,4593.68211104117,4136.02778309022,5097.65091127288,5439.96603045732,3137.46147886702,-4655.35975758917,-4688.21295182353,-5208.28407466642,-5564.48875413618,-3903.86185047954,1610.49243715477,0.0128332803025842,1.47098650932312,0,2528.28484643105,2373.05957850226,1988.63811216749,-24.8859316068348,2466.72271807277,-14.7584480261054,-18.3827169163581,4382.53226616272,2612.13264784601,-50.8885928838304,-4913.54886044583,-4874.50923342538,17.9670593067858,-26.0332275932849,838.635192185328,-27.0527481350106,-18.1305919077945,"USA.NorthSlope.Sagwon-C16","presence"
3359.84598588705,2986.10094807016,3792.14921848783,4060.99058767348,2104.79958675033,4868.84068187285,6354.04269135853,5786.62622038426,6900.0750540774,7190.70415112157,4037.58348432417,-6047.93834012045,-6553.12814998366,-6839.95903852746,-7332.33849214728,-4233.0353248446,1015.92322068458,-0.0433817733493116,6.67022948794895,1,3508.31804336816,3456.54334119424,1344.3213407065,12.9644733512044,4599.82701593876,-1.16399108924952,-6.89229404075136,6463.91251175409,2084.23678766416,-28.8610638874821,-6783.26997641246,-6649.11095548743,25.27699423257,0.382851783750323,887.727489656468,-22.1931872414117,-7.89946087841505,"Canada.BonifaceRiver.AB2","presence"
1880.99748978024,2025.8357696364,2430.1296332744,2232.68966734671,1468.60818095122,1118.89049342289,3634.53955883671,3856.81753844124,4324.69483600261,4183.44538766181,2561.44712625207,-4289.82690089871,-4732.72581549402,-4702.43108977645,-4973.39533995499,-2780.28681359743,1756.54997837758,-0.0127699644201332,2.93235103289286,0,2170.24036421905,2285.12627513186,2582.92736055018,19.1308861845533,1461.55902771164,11.3254933983187,10.0608056021991,4031.55721516808,4577.90320087112,-167.415228021656,-4946.32821836186,-4796.14450721831,-118.081747870786,6.27688965786796,1430.17492008388,7.30117995194621,-2.74148788620676,"Canada.Ivujivik.TP13","presence"
2504.79375870267,2504.02494197113,3024.4602015948,2982.82429543657,1939.12440446825,3934.82393892396,4883.97703677274,4921.58773085296,5715.56797278781,5636.7298597701,3993.42903949485,-5462.49806541594,-5589.52699018909,-5706.72439190995,-6099.26082220311,-4550.85329514996,1024.0447381319,0.00379370832039664,0.934182333449523,0,2958.72343968177,2852.19285588966,1610.24016588959,21.2936215895107,3287.32750985276,29.6955437773937,21.2594278086714,4984.4787303971,2337.97865009018,-94.0287542010389,-5638.23151160035,-5756.13063018993,-30.8646282652676,7.93902920214053,537.831464490342,0.484728262996425,-2.01087876868846,"Russia.Kytalyk.T1","presence"
2500.69469443751,2770.37522642528,2938.88704613013,3203.76693723255,2074.69328013464,2765.57041692514,4859.54144657975,5314.88501613048,5554.66156920331,5908.62722435105,4132.6796024226,-5664.7387533837,-5594.80619246718,-6173.31364046304,-6110.5731917282,-4916.60915962228,1370.5486749543,-0.00103117282398873,0.581321120262146,0,2957.26648774753,2641.31953020616,1270.83553278866,24.9639453501479,2573.5847607922,39.2433846501476,32.0150770640791,5051.85064295635,1942.75196979402,-10.4951606396673,-5967.3954130399,-5727.62383541442,34.1104105130753,13.0088011233331,389.737038461368,6.15686282955392,1.77780978787172,"Canada.CoutureLake.TD7","presence"
1120.31120114745,1202.3681224687,1326.68594123314,1306.51853627072,506.327704788305,1068.04208930381,2191.60956408356,2620.75105122504,2747.1753926865,2688.87136069233,1161.84296631278,-2459.35926808962,-2762.6280451504,-2745.77708180693,-2852.92240392123,-1472.74746731645,1631.07761095217,-0.023342404892901,1.51361458748579,0,909.979219575939,922.746707842925,678.475717006476,0.157783868659641,490.542774130769,7.4735219042514,-0.951860681913307,1998.74021138467,1439.68513584131,22.5117164335237,-2599.81431686945,-2457.20165657842,31.7982317029127,-4.58407753755621,339.283094642028,-7.22127593488792,-5.20398725675728,"USA.NorthSlope.HoweIsland-C12","absence"
3098.37020581249,2457.29429002105,3626.89471206355,4261.73625230835,1754.00137745145,5187.48635813234,5094.45010242766,4418.47970171031,6020.89711472377,6843.97529173437,2901.63843599862,-5302.73672785877,-5220.33712884049,-5736.84342087218,-6043.17375975636,-4416.10297031192,1460.73260842485,-0.0229689665138721,1.35831093788147,0,2926.38613855287,3071.6203343875,2839.6124038996,47.4401928116664,3246.14193843275,88.5024388271456,62.1723536542121,5126.22858029535,4611.25947749474,-94.0116131154669,-5142.66351462789,-5261.47824529889,0.302084387066729,21.6407136476555,357.494914661403,6.85517968026441,1.41253545526603,"Russia.Kolyma.WT1","presence"
470.2484983382,28.282991273358,-158.795226878,188.991252782725,-290.390944912689,-3078.95400802371,1296.71153739647,604.078151820632,477.777273423326,1120.57826108029,-248.584143187772,-899.16143804568,-1556.2250377219,-2313.82919934067,-1924.36875637755,-1200.10978085289,2064.80875813281,-0.26887845993042,30.4646530151367,0,28.282991273358,47.6673141207188,760.639443250889,-8.5229468350144,-3078.95400802371,-17.8057348031258,-19.1115925203987,650.112216106588,1545.29568058424,4.67781031101132,-1556.2250377219,-1578.73884246774,28.0594133932879,-9.26124754207833,552.247112012567,-6.98102940273564,-8.71554725109191,"nonveg_794","absence"
523.735175323748,537.439947877938,441.185487578171,399.304317671324,408.795118304147,-1094.01232649155,792.769276142498,856.344265655002,739.886199700957,706.934405269786,492.740692026455,-781.368177562411,-915.700397629147,-1136.41901723326,-1205.45777011951,-504.53111214216,2135.30915920132,-0.176463574171066,21.8847503662109,0,441.185487578171,462.092009351065,138.135630206614,-4.7858022174009,-951.720462588782,-0.236666677468607,-0.728600694169857,717.73496775894,363.603573628547,16.6368665648636,-915.700397629147,-908.695294937298,31.5312313720158,-7.51228558501202,289.333469804106,-6.15396699641519,-6.70081514659456,"nonveg_994","absence"
649.326398122016,706.364849901629,851.424717509613,780.424591325542,666.774907748459,-794.734360853087,1508.70125761558,1583.13453090593,1883.41689805135,1773.50041502425,1407.74194079762,-2979.65761474923,-2489.54150976785,-2594.00457400197,-2929.88636073684,-2363.99929015571,1561.43439693848,0.113934069871902,6.64162302017212,0,706.364849901629,730.863092921452,202.098319387597,7.28323295575145,-479.176292665594,-16.6816723004467,-12.6046055698827,1631.29900847895,475.674957253724,-23.0986436265708,-2594.00457400197,-2671.41786988232,8.03562032570202,2.66763809934426,245.438821432107,8.95943099736295,0.149522518139886,"nonveg_832","absence"
