"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_NDVI_earlySummer","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","spectral_EVI2b_changeSSES","spectral_NDWI_annualMedian","site_code","presence_absence"
3135.61947015942,3995.41641454075,6368.92473831912,-6307.57524690757,-5962.88997666347,-7054.33849138961,61.0936140001178,-6378.15963427046,"Sweden.Abisko.VJ-SalixShrub","presence"
2393.72803298572,2707.94226691573,3348.96508165025,-4733.49812000481,-4181.89223764686,-5581.29218958999,29.0458594263646,-4805.9184313268,"USA.NorthSlope.13","presence"
440.889882058209,542.413289455784,214.764298679919,-2221.84115610091,-1758.92431790897,-1400.32964817809,-35.88063677606,-1688.66041851804,"nonveg_674","absence"
1775.75250039486,2645.7536597099,3731.73888763317,-4725.99626393445,-4524.44848230243,-5209.37198160241,27.8733743375375,-4594.36670860379,"USA.NorthSlope.9","presence"
293.820324122509,167.826253278618,530.903904838358,-876.529975103712,-562.350281008656,-662.42583556041,-12.5354333139281,-662.42583556041,"nonveg_870","absence"
-471.003155097821,507.36143214689,742.855572503819,-786.95851798785,-1906.10487987437,-671.230421485605,10.1151868526959,-786.95851798785,"nonveg_932","absence"
394.693793821415,631.562038202404,2358.68143702183,-1436.4368636302,-591.112393576858,-1551.09497595415,-21.9988560303239,-1339.77028110712,"nonveg_547","absence"
85.4583867470237,868.830398827515,387.720773970835,-926.547093090222,-1299.04509466642,-1463.38111614465,3.40871021176687,-926.547093090222,"nonveg_1416","absence"
1775.75250039486,2645.7536597099,3731.73888763317,-4725.99626393445,-4524.44848230243,-5209.37198160241,27.8733743375375,-4594.36670860379,"USA.NorthSlope.9","presence"
3390.29930324426,3510.29559130104,6961.24359528946,-6614.26628665819,-6418.62449125395,-7090.75120978535,22.1981766081003,-6634.030315946,"Finland.Kevo.6","presence"
-1180.70566543707,-88.4669759448211,-976.500012417042,1198.62508235205,527.186708323969,778.686810326206,-8.72482734210198,1198.62508235205,"nonveg_1677","absence"
453.946850595464,362.8376999529,898.753451499199,-1425.62177124276,-1163.53382808557,-1577.18919203967,-12.4920413013556,-1425.62177124276,"nonveg_874","absence"
239.481077670651,658.636317874002,1865.80247964754,-1577.8841913995,-2109.01711495215,-1803.07617176583,11.6014185417529,-1803.07617176583,"nonveg_736","absence"
2504.72391617253,2912.02272763866,4968.87360090271,-5330.1036029448,-5381.56100715573,-6069.30982075163,12.6199477917099,-5780.72448611389,"Canada.ChukotkaRiver.TH1","presence"
3134.14262103376,3430.18926209893,4814.05133012455,-5059.45851032488,-5697.95154848505,-6074.32102568364,24.1780745427214,-5385.36589962996,"Russia.Tiksi.GraminoidTundra","presence"
723.329864677714,1258.78658673953,1491.57628420481,-2831.27454603835,-2590.65697731048,-3022.08288656736,-16.3022372511996,-2590.65697731048,"nonveg_807","absence"
2804.26926441602,3299.55710735053,5844.18324102486,-5449.15808262567,-5466.61910572585,-6512.77319222226,37.1763872681694,-5509.10770015008,"Sweden.Abisko.KJ-BirchShrub","presence"
2616.73609218597,4052.72516261677,6269.8320412244,-6245.21346575661,-6167.87288347777,-7173.29313019268,26.0435513514501,-6566.81135267039,"Canada.ClearwaterLake.AB2","presence"
2169.79313697994,2709.62535521519,4863.66032359345,-5366.39645746406,-5603.51067293786,-5800.28571911275,19.9492927355488,-5411.46049866368,"Finland.Javrresduottar.EC-Betula","presence"
949.507496743943,273.796096193595,1124.9673737395,-998.623412315922,-799.576076294699,-1753.06869972254,32.8574360505561,-1200.97910842682,"nonveg_752","absence"
2907.08382952823,3220.61071001719,4815.34999956471,-5416.51874956804,-5296.20615928718,-5520.47987693606,-2.69652956977154,-5435.56912628311,"Finland.Kevo.8","presence"
1090.85702251111,2778.57682198268,4172.71527826069,-5148.00640648038,-3739.16956824645,-6734.62947888045,2.6750378940067,-5592.83468720597,"Canada.KluaneLake.Quill-MixedTundra","presence"
-416.368572359121,215.9662105689,983.203746215752,-775.995848361645,-2276.37382593569,-2008.40194776912,18.3541531513606,-2008.40194776912,"nonveg_1654","absence"
953.302198411297,853.443419071723,734.832062275389,-2943.75498406438,-1628.31864264628,-2116.4927964534,-26.6704402892491,-2052.93107759378,"nonveg_913","absence"
706.871248125638,850.963838464289,1721.01695675463,-2113.04669008605,-2897.19805911047,-2780.21051123959,33.079547118114,-3373.32058109739,"Canada.EllefRingnesIsland.Isachsen-C01","presence"
2404.83875700259,2836.93275265759,5238.21077004821,-5275.23375711337,-5664.42007185117,-6330.90879604771,18.5551510418126,-5507.95879014567,"Finland.Javrresduottar.EC-Sphagnum","presence"
693.868415485066,296.248127733991,955.69627057501,-1413.1091198532,-881.867574956511,-2652.62949217084,11.0639052550795,-1892.64522321812,"nonveg_790","absence"
1966.51191056031,2295.69298194752,4737.78560987868,-5214.8775982128,-4529.84745773787,-5391.0499262884,6.14534331214898,-4119.10265561027,"Sweden.Abisko.NF-Wetland","presence"
451.398248570072,759.023443893238,1850.95418515866,-933.883717777535,-1718.81711777427,-2435.54905096243,4.12073525781577,-1561.41677073393,"nonveg_693","absence"
284.30513935984,-99.7506497447568,847.839643446924,-1559.36784362318,-1983.80017497593,-1448.05262488751,14.097824830965,-1559.36784362318,"nonveg_984","absence"
-86.5133405136157,106.302492198826,2550.30961541201,-571.93178201793,6109.15947527274,-1090.61292325148,15.9661626369741,-687.622951673671,"nonveg_851","absence"
150.789139701102,71.2159103379067,303.528073425269,-1113.19913921592,-1072.05326666512,-1133.94959291675,1.39922950318097,-1113.19913921592,"nonveg_1499","absence"
2416.96958907888,3579.80716661956,4928.85723176899,-5464.40929968272,-5350.22058586106,-6426.28405625982,34.8418654146604,-5552.66699763885,"Russia.Kolyma.OW1","presence"
2132.57970505417,2806.56714730272,4272.44929468437,-5123.37841088579,-5511.19189207746,-5696.76376183126,5.25426512502871,-5406.65714070028,"USA.YukonKuskokwimDelta.15B7","presence"
304.701015247779,611.521738498039,762.065005971779,-1327.93908456092,-1690.04955545833,-1946.86382428178,7.01014879145083,-1633.02423458307,"nonveg_700","absence"
558.375126915818,637.020442439671,1031.30149516863,-833.384692116564,-566.351341045015,-1595.1281818606,1.90924727016147,-833.384692116564,"nonveg_1340","absence"
478.301658348967,-77.8651935995712,529.200411448017,-788.139919974102,-333.603956102988,-838.731572222173,-10.8573309124898,-788.139919974102,"nonveg_1469","absence"
1094.69635048793,1390.05386945204,2061.33345084562,-2993.81720043107,-2772.19792598308,-3120.26653149323,28.7692616614465,-3877.56352526363,"Canada.BanksIsland.GreenCabin-C08","presence"
2830.13430044157,2855.14806585344,4529.47361507027,-5520.4302165299,-5647.66883761652,-6103.26304313689,34.9471464032608,-6139.19801813737,"Russia.Yamal.OstrovBelyy-1","presence"
2068.7653747541,2229.36306798603,4027.27584124021,-3822.77724460697,-3990.57812260927,-4880.00886902394,9.6717767843331,-3842.75242082974,"Canada.BonifaceRiver.LSA2","presence"
798.488371084169,-316.008534849967,2007.13800427639,293.428210614742,9911.46773097049,1076.93345045413,-0.114146513405735,1076.93345045413,"nonveg_991","absence"
-147.175892170974,242.187215718314,284.483014328047,-545.153275935766,-1069.41999365966,-920.197549535477,21.666544375943,-920.197549535477,"nonveg_995","absence"
2052.42580939274,3113.56051748518,4865.44390233113,-5629.02168248755,-5905.11373438171,-6146.58690306109,23.4000177607816,-5964.28235760978,"USA.NorthSlope.Sagwon-C19","presence"
202.506407578946,216.996271290165,1245.70186584337,-466.400820213132,-1105.61264436905,-1454.03222093102,21.2935916300702,-1105.83754102761,"nonveg_596","absence"
3182.91795572778,3538.19765900268,5254.69211398757,-5876.30323491986,-5588.40841538472,-6570.38015556194,12.2679981472176,-5457.56704289851,"Sweden.Abisko.NT-SparseVeg","presence"
-182.186684401902,436.18503489955,315.156034442291,-255.596467669059,-587.65727357987,-634.032609190786,-11.3556390289324,-255.596467669059,"nonveg_689","absence"
3562.00580758459,3823.13692452601,5879.9932605893,-6323.84729380847,-6133.89244023614,-6900.41941351088,24.8482276928289,-5925.40984779628,"Sweden.Abisko.VJ-BirchShrub","presence"
