"spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDVI_lateSummer","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","site_code","presence_absence"
-137.211965428896,265.7758680605,474.423673559064,-525.997457647227,-1844.77154923456,-1572.17758212289,118.072124367713,932.953900625808,"nonveg_907","absence"
-216.208799302431,-34.2042539366147,1940.03624899992,-348.731643581437,-1445.15664509852,-1567.15410990313,463.684789587361,1255.0582084686,"nonveg_547","absence"
3098.45212285168,1932.04418908575,7606.50994340889,-6054.13157744967,-6114.22171833968,-6319.89179390958,3452.38510151328,2433.04285726489,"Sweden.Abisko.VJ-SalixShrub","presence"
1342.92445013516,-1292.44018185992,1019.23652692994,-1452.51639410028,384.51064163681,-548.738902406439,248.257794103603,2635.36463199508,"nonveg_670","absence"
2684.3913269653,1708.32178585911,5730.44060213389,-5601.12991667102,-5928.45021166668,-6519.96623733781,2400.87292043422,1570.1046221137,"Finland.Javrresduottar.A-Hummock","presence"
-259.765885536306,-257.581786176687,-421.657401239055,174.222633347071,-321.653215421534,-388.534398752278,-257.581786176687,295.415142811628,"nonveg_536","absence"
508.639549329921,-44.335313665241,1263.61640326537,-1154.14874536383,-1625.99199268142,-1835.71478530147,525.192429605763,971.227891692242,"nonveg_869","absence"
2749.56234577866,2339.71546319456,6167.49643287287,-5792.81364793847,-5337.70661067821,-5730.14992186372,2842.57693576102,1295.98746203551,"Russia.Tazovsky.Burned28","presence"
2142.1630546228,2283.76956781475,6599.51527968129,-5960.34222210091,-5780.02599482793,-6670.39586924506,2851.57030746827,1711.21745992019,"USA.InteriorAlaska.17","presence"
-540.386297064643,-1351.13621012786,102.792108513546,291.842073221969,-349.466664192158,470.027935715451,-540.386297064643,1610.22575682093,"nonveg_592","absence"
1185.99000950946,1468.85422894875,4347.63402433155,-4721.58157155231,-4212.68136803741,-4977.24182686025,1500.28106066548,2524.6342552334,"Canada.KluaneLake.Ruby-MixedTundra","presence"
1413.01645908213,283.704968393352,1679.33114240046,-3217.84465640745,-3554.81782534865,-4732.78492764492,1413.01645908213,1436.65270789746,"nonveg_662","absence"
3075.68438039467,2217.55790643026,6354.26860852213,-6212.40297980278,-6326.50642950527,-6460.57769775462,3309.15874736976,2566.69128225507,"Norway.Javrresduottar.A-Sedge","presence"
2417.90770756601,1519.74065926511,4755.14009532991,-4589.90367129152,-5185.6106923602,-5315.09622130517,2156.76371874028,974.0144355129,"USA.NorthSlope.Barrow","presence"
2322.3819625304,1784.25825020995,5612.82274655116,-5570.47794412708,-5962.71475035613,-5952.14795797293,1522.18078835865,643.489152915219,"Russia.Kytalyk.T1","presence"
-9.02242081946758,186.824105260204,817.022225129132,-1288.5667296802,-1612.17289521782,-1177.52084264337,289.693176544889,432.257328805311,"nonveg_900","absence"
508.639549329921,-44.335313665241,1263.61640326537,-1154.14874536383,-1625.99199268142,-1835.71478530147,525.192429605763,971.227891692242,"nonveg_869","absence"
2374.54412404774,2007.33913229593,6330.32379912776,-6232.5845868486,-6264.60376688753,-6274.3836457528,1985.650263914,2285.4847131768,"Canada.LeRoyLake.TDA3","presence"
-131.256901861463,-339.294134001993,1371.76664479066,861.493593854539,-305.334753656193,201.843816233764,63.5825360239475,1022.71541237633,"nonveg_1547","absence"
570.445919162561,1078.563035523,603.093755816925,-1238.38852473625,-1882.12383549139,-2198.16852400494,572.546904493995,874.723044225267,"nonveg_602","absence"
2440.09047840932,2114.0175693301,5876.46314956144,-5777.98262900511,-6012.11021124634,-6229.27465373369,3024.94304083649,1816.66106700662,"USA.NorthSlope.HappyValley-C19","presence"
2957.98262607026,1986.71076488414,6672.917320949,-5988.9918303232,-6108.70003204233,-6913.36909914207,3406.18378028329,2269.82581632899,"Canada.ClearwaterLake.LSA2","presence"
349.096640757166,131.617851317791,1277.96737151787,-825.903626137782,-1082.01377368501,-1085.77661610443,349.096640757166,666.566074329026,"nonveg_923","absence"
-216.662761971107,-1784.85185438088,-4053.80318925902,8094.13865285322,8612.73546473579,6773.4609053234,-666.358911548045,1722.01693560942,"nonveg_1797","absence"
2831.14298970085,2450.85868769696,6068.09330014417,-5939.33653807589,-6081.64687321058,-6423.57436248277,2833.12245124995,1476.70971420857,"USA.YukonKuskokwimDelta.72B1","presence"
693.803223552101,113.786465604672,1441.13861969625,-2247.64033688922,-1878.7956775478,-1629.06080247947,500.603780461714,799.591440230614,"nonveg_940","absence"
1843.42393507131,1734.22741080437,6321.84281183639,-5649.88518940296,-4986.81703340597,-6535.82071163135,2008.88601753426,630.17285662055,"USA.InteriorAlaska.1","presence"
198.369948549401,-630.710600565823,-65.0838396806254,3079.42085077683,4139.01309759425,2638.26370550841,198.369948549401,1244.33513827992,"nonveg_1646","absence"
3186.37521181015,2220.68385358695,6513.28401036104,-6285.33443209323,-6373.84345527481,-6701.35052551749,3433.9115991358,1604.94079912455,"Sweden.Abisko.NF-SeasonallyFlooded","presence"
-540.386297064643,-1351.13621012786,102.792108513546,291.842073221969,-349.466664192158,470.027935715451,-540.386297064643,1610.22575682093,"nonveg_592","absence"
725.516046798723,759.188459204673,1008.09237941912,-1538.57214912924,-1759.00582813678,-1976.83689559454,759.188459204673,647.102433190504,"nonveg_902","absence"
-125.354157196147,563.3583902477,396.662329895198,-1798.19031152076,-2151.20200780431,-2298.33274253365,18.8593886775295,688.712547443847,"nonveg_871","absence"
223.878098342054,189.160995716495,-198.244691085339,303.197055578997,-33.2208582674378,-422.437486634616,189.160995716495,283.112492266121,"nonveg_1642","absence"
2741.78761397912,1820.20593062694,5618.56667375718,-5616.68547427274,-4978.65260283304,-6002.70628648005,3083.08999724987,2126.52880773772,"Russia.Tazovsky.Burned12","presence"
1029.12746303016,416.257033067913,1060.61257270734,-267.144363501091,-110.707590309439,-1319.70790072984,693.848645173838,612.870429962242,"nonveg_790","absence"
2631.62981646598,1250.32991898682,6352.78419979781,-4956.64157692682,-5699.84580032428,-6172.87822073744,2589.78220142123,2971.53407538639,"Canada.CoutureLake.TDA7","presence"
3185.44216697794,2445.18322769635,6575.6139493146,-6434.41321294472,-6779.04115454376,-7330.74160785132,4145.50565303637,2619.95351587721,"Finland.Kilpisjarvi.16","presence"
