"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_startSnowfree","spectral_blue_changeLSES","site_code","presence_absence"
670.286608399584,471.012525090442,1013.99040094441,759.81574030699,-2210.4969971264,-1479.26416543748,-1266.73432680147,-44.1291656206594,"nonveg_940","absence"
2930.70191110895,3211.14427580229,3874.13052167632,1542.91386150741,-5942.86944170738,-6086.84536609002,-3792.83022269344,-26.0059497191664,"Sweden.Abisko.KJ-SalixShrub","presence"
-301.941269519254,-25.4206826587814,-314.367445823615,-332.071079729764,5154.29419535981,3964.43872727896,8623.06369064821,16.7934527471685,"nonveg_1810","absence"
2088.0954473758,2108.09116206914,2490.44117909016,1777.12920451611,-4934.84393276061,-5069.89615178492,-3617.47141604281,-11.28294133074,"Canada.LeRoyLake.TD7","presence"
149.484284086612,672.969362134384,-201.117437163219,-428.537587533734,845.968392784474,-1515.92400951704,6269.26815446674,17.8680653193983,"nonveg_1794","absence"
2609.96515279957,2809.5600438249,2998.79856653866,2167.56242977348,-5328.26047211397,-5738.26032586196,-4595.85208777747,16.4536067391789,"Finland.Kevo.8","presence"
-664.525817291647,-257.5492193172,153.807195990171,-374.822024611615,-1211.59262893492,-703.950250456758,-1231.51445155211,-28.1406414298519,"nonveg_995","absence"
954.713524344277,450.838482778399,373.110514363055,317.554427744489,-2354.33938957611,-2507.90312891763,-2296.937364922,7.63506566717895,"nonveg_760","absence"
608.231469819802,167.464799081166,73.5889126115301,364.626492712069,-908.779430713845,-2119.81892679662,-347.600207892102,0.439465996062712,"nonveg_547","absence"
940.879654697443,1483.59028471548,1450.45914774504,-214.963909087144,-3608.09188071114,-4643.85638017918,4052.7807982741,11.0051303404005,"nonveg_1813","absence"
2740.96814370911,2576.1052795803,3125.39455989818,1900.15670628991,-5550.41767020362,-5583.0125349782,-4198.48096850867,-10.7248146210141,"Russia.Yamal.Laborovaya-2","presence"
770.392111263038,671.49269316196,716.887237792366,-54.2690913289334,-1395.06972447639,-1304.33900012786,-1558.52844914898,-6.36535975280208,"nonveg_984","absence"
2289.57170177258,2340.4440874281,2354.95954769056,1497.31220169208,-4880.43423712243,-5586.29280139654,-2985.93947430368,-3.96589130980149,"USA.NorthSlope.14","presence"
678.903391396467,1075.20693382886,1056.48611599061,929.887592752253,-2202.63290672376,-2595.71100542075,-1858.96339061572,3.32243303816977,"nonveg_758","absence"
932.527172390096,499.862534321867,867.952609528814,55.6788666389339,-2607.28930067758,-2591.98016476887,-1769.65309916171,2.61571269689418,"nonveg_648","absence"
2293.66281224771,2483.04010656341,2624.01795403439,1947.32363167146,-5816.35085822637,-6204.68071432126,-3981.91985438671,4.74994636730885,"Finland.Javrresduottar.A-Salix","presence"
2047.87887027449,1643.9487722639,1821.02488788767,576.428173520567,-4946.13030784149,-5611.49780572071,-3066.17328776061,-13.8765563662728,"USA.NorthSlope.13","presence"
416.732618442891,53.5883632173304,-36.8678045158148,-220.343108831018,-1690.33958640707,-1806.69491690135,-1884.79002441397,5.59580161004419,"nonveg_912","absence"
