"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDWI_peakSummer","trees_presence","spectral_EVI2b_changeSSES","spectral_NDVI_annualRange","spectral_NDWI_annualMedian","site_code","presence_absence"
-1060.76376432434,203.810505570509,-2068.53392751657,7764.97719152417,0,47.9890553901063,6385.73691245605,7764.97719152417,"nonveg_1797","absence"
813.386351578464,625.07061214043,319.114292451413,-2353.79815549655,0,23.5367647203358,901.153832823204,-2353.79815549655,"nonveg_986","absence"
506.155962129926,942.328306538966,403.359150691916,-1854.09197073802,0,3.95372351684654,1177.3324555833,-1549.08044483578,"nonveg_855","absence"
2742.04377241167,3622.06006263016,2223.3162737306,-6691.33105691793,0,27.6153744172367,2134.89457579632,-6239.83178152739,"Finland.Kevo.5","presence"
3291.42963347717,2367.26550564633,1939.21779747683,-6546.36824975867,0,37.79325012995,3076.35804443996,-5778.94024211545,"USA.InteriorAlaska.LOWERQUARRY","presence"
-1.66021525174145,-384.692538881998,-1164.04615519459,6593.81589494152,0,24.2163737488093,2895.15022466522,4881.60962395919,"nonveg_1290","absence"
3664.48464219103,2899.44772568222,2498.95731908606,-6625.49438019645,0,42.9641361056773,2449.13174006064,-6394.81055063763,"USA.NorthSlope.Ivotuk1","presence"
3747.60286460877,3698.95260676354,2433.8617041472,-6671.16252632752,0,28.5883282769858,2835.06795708485,-6605.59000248268,"Norway.Javrresduottar.A-Sphagnum","absence"
856.421136331864,718.20192856863,409.600684880276,-1206.73109283309,0,18.6175188104828,1316.7171201786,-1597.60831154392,"nonveg_767","absence"
652.44298395236,-868.005917968536,1244.49528957135,-1177.18484823473,0,-37.0032691011872,1030.10804240813,-648.523413038518,"nonveg_571","absence"
1429.65677448206,643.908263681819,1121.29093972817,-3450.64867726654,0,11.4209568427368,967.958252284611,-3450.64867726654,"nonveg_996","absence"
3349.79544853669,3576.0428497387,2274.78579169676,-6679.21916487164,0,33.3158259548851,2607.2493997124,-6832.09132660916,"Sweden.Abisko.VJ-DryHeath","presence"
1937.18468768166,1711.26046583217,1441.5202588749,-4168.17277459793,1,14.1674462681849,2154.27522053877,-3128.95932858763,"Canada.ClearwaterLake.LS1","presence"
1443.22891006229,2089.43628920487,979.725051215932,-3950.82921776818,0,20.1523416889719,1566.48789782576,-3284.56971611617,"nonveg_898","absence"
