"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","trees_presence","spectral_EVI2b_annualRange","site_code","presence_absence"
-85.2048117855304,432.113109762533,-66.239744392332,-2203.75251232475,-1627.30497829918,493.982437615176,0,517.317921548064,"nonveg_751","absence"
-510.990726704313,437.632363821611,-453.950011417634,46.850792321958,-3041.25250142215,-2156.89682997105,0,948.623090525924,"nonveg_623","absence"
2608.78114500887,3324.95852954038,2305.34400416957,-5808.02644499971,-6118.00824574496,-5108.25835447348,0,1602.7101496854,"USA.NorthSlope.HappyValley-C18","presence"
-273.82568606443,-74.8380346959303,-107.964070473638,-355.860652215649,-609.842710204248,-253.591265419718,0,905.397610258527,"nonveg_1089","absence"
4185.92362266545,4564.41925362255,2450.28414554871,-6273.54854648031,-7564.98854137245,-6103.68086590803,1,2161.19369690759,"Finland.Kevo.14","presence"
2676.55658892568,3449.24908118204,1806.83581768188,-5211.54595135909,-5468.41117227354,-2927.56757562146,0,3042.39878441844,"Canada.BonifaceRiver.LSA6","presence"
3253.41998168507,3377.52741220005,1522.56360138377,-5507.73268882895,-6203.95223872883,-3990.28708308884,0,2130.58125513158,"Russia.Tiksi.GraminoidTundra","presence"
1899.80593652828,2953.31881031019,1903.13037308975,-5904.33171405367,-5664.36865572129,-4788.45400975333,0,1318.99513694186,"USA.NorthSlope.12","presence"
2865.75115833276,2482.99938309744,449.0822712301,-2719.78695965677,-2956.54339287022,-3211.02374537263,0,2416.66888710266,"nonveg_1177","absence"
274.257876107046,967.893277012725,198.387154257257,-2226.53318874266,-2908.54721343549,3736.5803598615,0,1106.04820344882,"nonveg_1626","absence"
108.51702814464,-2.30418643039954,223.840895005209,4043.50141032619,2022.60335919361,5157.15769440121,0,226.145081435609,"nonveg_1646","absence"
