"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NIR_endSnowfree","spectral_red_peakSummer","texture_NDVI_peakSummer","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeLSES","spectral_NBR_annualMedian","spectral_NBR_changeLSES","spectral_NDMI_annualRange","spectral_NDMI_changeSSES","spectral_NDVI_annualMedian","spectral_NDVI_annualMean","spectral_NDVI_changePSLS","spectral_NDVI_changeLSES","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_red_changeESPS","spectral_red_changeLSES","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
459.515685969729,413.238401724222,22.3130479219864,93.5637232118717,-118.936717947558,777.949036522211,716.465235613069,29.9055533633891,154.613843499451,-287.06160430016,-819.828389429598,-849.025934487023,-2003.7967017186,-1973.59262418978,-1295.52389550366,1983.39220760711,1561.47780933937,-296.321488183273,1.25127553939819,0,93.5637232118717,173.93882817605,578.452403917287,35.5386685274759,-107.173783137242,97.8600598289386,1152.13183549737,9.48136160148262,154.613843499451,278.374412939592,-11.3371172850966,62.4145165681527,-1295.52389550366,-1388.35350906573,-12.2378528272779,24.0031638914077,"nonveg_806","absence",1,0,0,0,0
-333.106737388594,579.499724367388,538.461537084301,502.040805551719,-896.39209555462,27.4490514487683,950.938901394081,1205.7388012264,1419.54688791121,-1756.20697921663,-212.430163210954,499.238279382066,37.7500963665454,-168.051665108704,1112.87983837372,887.215716021443,366.8698054638,1096.84944167435,0.472099512815476,0,502.040805551719,78.1006468120388,1475.89181992201,2.27989929350486,3917.45032238404,10.497484588118,1005.17372184554,-40.2069488738217,950.938901394081,369.493332552767,-11.878227038045,-14.1555499906846,37.7500963665454,253.877277160534,4.99418455139043,8.59930435371543,"nonveg_1547","absence",0,0,1,0,0
2945.59344794219,2849.35164733315,2784.3289374844,3097.173238329,1910.09819110167,4934.59419199575,5036.51298709447,4786.99395119008,5263.0912060942,3200.5953626911,-5106.74215770436,-5692.64510432331,-6356.73629461843,-6021.92293684262,-4552.18589842419,2522.83661406317,773.132956572064,-760.071398691783,0.113885889947414,0,2246.64751602943,2575.07663729961,1749.70761443439,-5.02322946750625,3785.31769875539,70.1886395760204,1493.80428753286,42.2658640927933,3806.45959221904,4353.47506815556,-132.646203415348,3.60210969126703,-6380.75093471967,-5871.04059629498,-21.2664593198554,7.75130090898525,"Russia.Yamal.OstrovBelyy-1","presence",1,0,0,0,0
631.312243706371,325.145399208369,818.614587328647,596.770189298283,834.460051141231,933.79837968472,604.311425190845,1172.09126343317,920.184275504065,1116.85852640687,-1334.54149240234,-1838.63150265247,-1311.51102637027,-1572.9905843399,-729.092372872949,2339.47428687643,2138.1283324252,-977.544696290713,1.57385766506195,0,631.312243706371,641.26049413658,509.314651932862,-54.829909791142,-1637.61219422992,-98.2930869579941,957.035804404663,-16.1485199104783,933.79837968472,949.448774043934,31.4883734911381,-63.0866486935917,-1334.54149240234,-1357.35339572759,-4.83461238941223,-18.5051732047283,"nonveg_568","absence",1,0,0,0,0
2086.57630983265,2125.7682182822,2666.3614376434,2678.83489054566,1648.93106117651,4286.56169325298,4263.12079220575,5363.41266860557,5273.7483920258,3180.49297864499,-4659.77928362528,-5302.60596275023,-4882.27843193513,-5257.87554996001,-3550.83334736191,1925.78905910291,726.968233475554,78.7557552993559,1.60728622807397,0,2180.90340562133,2167.50000989137,1356.5162978227,-15.4083583372215,1253.19122272622,-28.2735276676629,1428.54831143183,14.8674880993424,4425.82302612513,4375.59605864489,-22.2029470999314,-30.8061947252964,-5183.54424435542,-5012.18620965871,-0.79446452377681,0.198776707632343,"Canada.PayneLake.TD2","presence",0,0,1,0,0
-403.672186607041,312.827898502839,528.534845563218,118.916090466986,405.386636560194,-315.12645897176,874.79477214263,1133.06252257083,595.253024020698,-515.01870175726,-1098.08852160898,-1468.29212092368,-1234.93261624764,-1616.68038694086,721.377274652896,1214.31761253237,1337.83078971652,-527.324366312381,25.8555126190186,0,312.827898502839,192.398656897239,932.207032170259,-17.9755789216982,-394.009551758411,-75.4308464969299,7935.90741338717,-139.496196634232,595.253024020698,354.593031601027,48.8917725954665,-21.5223125356833,-1234.93261624764,-939.323274213654,-15.7425123555149,-21.2322223248038,"nonveg_1473","absence",0,0,0,1,0
926.522098444711,585.080869603426,706.054685483,1098.73490644689,842.116230042969,2255.85331778861,1867.085163951,2018.84305547725,2626.99426512305,1778.43650785023,-2681.6460788772,-3046.70672688914,-3199.20879475385,-2786.04540326627,-2010.11941930035,1040.89470795353,830.992790550941,-608.984946557228,12.3717584609985,0,842.116230042969,831.701758004199,513.654036843462,-4.83895263518297,-2024.02151407978,0.954137726215176,768.217626398188,-10.5092800023815,2018.84305547725,2109.44246203803,-25.3396337352419,-6.07031566105006,-2786.04540326627,-2744.74528461736,-1.84030822168457,-0.0293051255875707,"nonveg_758","absence",0,0,1,0,0
3308.59574642421,3027.7493007756,3827.21628712523,4199.9612717704,1957.02944931513,6330.70192950697,5865.0425180043,6997.07596205469,7552.63963940443,4014.04468790027,-6228.67438709729,-6103.80801252342,-6807.04667010906,-7094.06065771378,-3671.90717324587,2234.73078009406,344.572205029165,-56.5373022423954,9.71359757014683,1,3158.97300478088,3380.24964948269,2091.79650558226,-48.8624064079823,4042.0442640167,-44.2674877057969,2241.4682561779,-9.1107656413756,6140.54260634042,6394.03073547962,-54.0000641811415,-68.4294027591921,-7263.84853181983,-6514.46130694674,0.470749845920957,5.05616702417072,"Finland.Kilpisjarvi.19","presence",0,0,0,1,0
2785.94334536583,2776.90969943775,3418.57669148546,3740.65451589138,670.372190415117,5327.27296449929,5477.26337098819,6315.53511691911,6733.48517391864,1002.27542282947,-5120.92847384279,-5920.73231448722,-6361.14497674008,-6628.05732912892,-1069.00737161574,2262.1606350334,351.407561251723,118.105980988208,7.87551434834798,0,3499.00789704559,3143.38748638693,4028.60169931754,18.5053048797888,4882.32884831642,60.5839343998207,1788.38563026976,-28.6158348334117,6363.9629362574,5434.22158459051,-146.911662654763,33.9987657436504,-6168.55221988889,-5171.93780683524,-13.0768185557073,19.0450688821625,"Sweden.Abisko.KJ-MesicHeath","presence",0,0,0,1,0
-322.709541469103,-145.569772640503,671.312740319484,-93.2253474774724,-28.8842107507671,-109.770663589448,281.875445044379,2253.83472611142,1920.15691742605,-2356.41951730019,356.58774963167,119.892012940373,-742.044156958008,-1847.13808231201,6623.77640542147,329.507239714672,255.170235558298,870.022386930912,0.0862445905804634,0,-93.2253474774724,16.1847735963278,994.022281788587,-38.8991672838089,6349.85197565168,-24.2335750645207,2723.60472045947,48.1867169856715,281.875445044379,397.935381538442,15.8894194612081,-93.9028229079541,119.892012940373,902.214785744699,-1.65302011636388,-7.03936617228803,"nonveg_1794","absence",0,0,0,1,0
828.930101774364,775.153479945984,850.525609138594,1032.80905075443,329.153445581144,1566.70435696578,1643.37174549725,1823.76686684839,2174.28382127345,593.973606036977,-2317.66789563198,-2900.72297269402,-2835.78542652653,-2572.94019084391,-1228.02676705246,1754.83212105075,1302.88518295361,-151.663185072789,1.9378893772761,0,893.009180282693,613.317706024118,1322.81182957009,-38.0475791893011,-54.1205497080825,-75.8087864617701,945.612666755128,7.16604584222075,1740.75825181396,1305.42812880624,-19.6703897221873,-64.2101234975549,-2612.3576880785,-2546.13296488748,-3.23674433922056,-15.5737472137656,"Canada.EllefRingnesIsland.Isachsen-C02","absence",1,0,0,0,0
-32.206408542599,140.936449503908,151.625257848011,182.288028394673,-398.045326738284,-79.4781958595576,482.00344153754,372.808612514161,370.790426821379,-289.46906605886,-303.314461163919,-463.399202337702,-605.124637029491,-554.77030429219,212.21846956921,2609.5745573801,1938.79438574304,-250.926225456724,13.8185033798218,0,140.936449503908,8.91960009314177,580.333355132957,-1.06888083441023,-1511.58596532925,44.3777982893509,3494.27761293108,-67.0003056091065,370.790426821379,171.331043790933,0.224242854753615,10.9194829023379,-463.399202337702,-342.878027050818,-31.0994421332811,64.6699341672158,"nonveg_558","absence",1,0,0,0,0
4115.41795404686,4422.15735474272,4618.13147634241,4766.80252924206,2467.02068875021,7075.51330380037,7676.02825924191,7843.40563372041,8048.70706918959,5352.615765302,-6837.93117235086,-6944.7105794591,-7228.60310987572,-7203.77659192865,-5681.73037434431,2755.56394167247,450.375630602034,-21.38847646284,8.26197185516357,1,4114.70951741687,3811.7433823136,1877.86152387266,-21.224834091869,5572.87153534114,12.7784065542226,2630.51680041134,64.8032431043002,7153.52793648493,6828.72184409966,16.2231860364308,-7.72902400565432,-7192.81798970586,-7081.95262280676,-10.0986134656101,2.1983697548169,"Finland.Kevo.11","presence",0,0,0,1,0
488.166731515346,-192.623049306342,221.477041629473,629.983882078925,396.49696438382,1117.51676745712,-76.0477445687324,669.34840055641,1367.8208482612,938.461298210243,-1226.1502951319,-841.62138811795,-1166.85591007474,-967.387486600125,-1168.94543059392,705.575674203908,947.364228725471,-405.683101374412,25.4955310821533,0,396.49696438382,308.700314060245,822.606931385268,-15.3370404050302,-2480.47906325318,0.911751711277045,542.073055420567,2.6615690906816,938.461298210243,803.419913983248,-26.8643249117228,-27.6072646342645,-1166.85591007474,-1074.19210210373,-7.52543670945116,-10.4567596467647,"nonveg_988","absence",0,0,0,1,0
2702.48687114711,1851.00081422989,3674.74027411429,3467.39145874528,1988.09455669452,5645.37820688114,4757.42734322238,7358.92071979222,6519.94117676437,4891.68261305246,-6589.24280357365,-6053.21885616817,-5786.80966360206,-7531.19119154467,-4626.79353561021,1463.68969227896,248.041920067618,-441.301254403923,0.707173506418864,1,2789.35289293623,2892.24057771595,2028.05553060982,-75.1131678003637,3959.38197487579,-142.340847090837,3168.60738387154,-47.5317165476636,6259.39328807548,6185.26827968201,65.4305682564922,-112.860092261494,-5732.42411246422,-5702.66583150352,-1.56141440118848,-8.11424558613563,"USA.InteriorAlaska.2","presence",0,1,0,0,0
