"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_EVI2b_changeLSES","spectral_NIR_changeSSES","site_code","presence_absence"
-564.745171751831,597.598109491295,-1068.72346391323,-327.832926346705,-1195.03660504315,-2593.16063562783,-97.0957250322393,-12.0076021615244,"nonveg_623","absence"
2832.41476929561,3711.5417023147,2353.66433155476,4939.90311516524,-6206.62579394649,-6261.21551666109,-20.2173475183755,-0.565431130492594,"USA.YukonKuskokwimDelta.15B4","presence"
-510.674894756873,490.786568458199,-297.965936046534,420.564191181913,-852.143972695907,-1045.29930803064,-35.1396888535941,-9.48306213655378,"nonveg_670","absence"
3564.13934642485,3890.30685928944,1917.70847890978,5338.87919540196,-6269.00706230426,-6123.92220693391,-14.724018137736,-4.30180366123664,"Sweden.Abisko.NT-DryHeath","presence"
2775.82258219936,3489.49365800057,1947.29459498499,5241.51527562621,-5952.84451091018,-5777.34183986034,-76.904052454367,23.440402291199,"Russia.Kytalyk.T1","presence"
-3.45778234312715,544.750591391081,163.971220667183,-201.379862956386,-1606.61759206964,-1164.0276351216,-15.1940680903705,-39.9828757599131,"nonveg_1473","absence"
1839.72590278454,2266.77918158858,1309.24796345502,3664.02879455992,-5245.90914127658,-4821.08172098566,0.109179661133605,18.2555542011083,"Russia.Yamal.OstrovBelyy-2","presence"
440.714810382143,-231.751292977582,783.207765009744,771.855570036027,-1572.47553018871,-2361.01743963216,29.0390366217442,-6.72936163875397,"nonveg_958","absence"
1012.54178153467,1104.96072566362,640.179674767249,2134.72203991931,-2314.15337707118,-3101.86841956427,-24.9012811294157,0.0555123200884537,"USA.NorthSlope.HoweIsland-C12","absence"
2742.02668469824,4456.82499171172,2300.50655645591,5816.00849127705,-6606.09626459457,-6868.04412293652,-64.5685939611441,-2.65264915835526,"Canada.Yukon.PAGE","presence"
2408.62773964111,2571.21836835486,1438.40876632892,4190.13849192591,-5371.30283165471,-5466.30817411363,-62.9404005580018,15.3266182588489,"USA.NorthSlope.Barrow","absence"
2729.69949827957,3187.01615796671,1838.87423921869,4992.2877840411,-5757.7088855267,-6173.10018081003,-47.9531444878844,14.076076954197,"Canada.PayneLake.TDA2","presence"
2928.49330402941,4293.36456077527,2438.28702171146,6047.48224564784,-6540.80639246287,-6775.25232469427,-42.7924639279022,4.59847339300457,"Canada.ClearwaterLake.AB3","presence"
-349.484249069108,334.24296085151,-181.062955780897,-469.183979439772,-1204.144951142,-347.98907307587,-6.09143749130104,-37.5438005232232,"nonveg_558","absence"
400.265278886562,-322.231973562919,-284.086360496281,1217.66327806447,-1903.09283797229,-2583.48116502839,16.2546791338951,5.52592479152098,"nonveg_659","absence"
1969.97234093806,2442.24577915876,1451.55304553151,3950.06106502788,-4697.06772991434,-4507.98165838321,0.92880892870172,0.436741372229844,"Canada.LeRoyLake.TD4","presence"
3050.88086698952,4978.95309507669,936.207197184169,5644.88507267195,-6156.14108237985,-6681.23811280555,-78.6872691570995,24.2531940950787,"USA.InteriorAlaska.BABBAGE","presence"
224.85024308735,-213.74384264675,824.910215788117,443.195821072019,-840.73992386909,-1656.45982149869,-15.1024654615802,-22.0036303995324,"nonveg_596","absence"
13.6611170234017,599.926856726137,265.694098112208,1264.1932306643,-1825.26875786803,-1342.79136805377,-15.8429751032477,-9.88398823189281,"nonveg_673","absence"
2637.36659043621,3263.41739024858,2220.94135005246,5366.28335808764,-6085.33831670808,-6128.8642380396,-39.4036409417515,7.15304092501742,"Canada.CoutureLake.TD7","presence"
2881.10918900102,3750.43506078383,2299.74079974113,6850.43143290772,-6706.79052912597,-7015.56461481242,1.91763485562231,20.3813282405399,"Finland.Kevo.6","presence"
2832.41476929561,3711.5417023147,2353.66433155476,4939.90311516524,-6206.62579394649,-6261.21551666109,-20.2173475183755,-0.565431130492594,"USA.YukonKuskokwimDelta.15B4","presence"
388.951067256898,-91.3798011237483,-108.203558410492,-436.444345720448,684.766593954761,-191.507818595027,0.651798347617193,-18.0331241153217,"nonveg_536","absence"
-96.0122681248399,-597.546546099108,-602.886299917339,-2273.71117485713,4625.28996741974,3445.09265474757,-25.2089191490189,10.4150240589501,"nonveg_1810","absence"
4392.6753995956,4871.00465605597,2783.30758001308,7242.39193047563,-7325.27386919361,-7236.69960081048,-24.3620749707647,1.91887778179932,"Finland.Kevo.11","presence"
1241.49175060475,470.847968971015,1226.37598475054,860.779684756876,-2398.69657915559,-2845.82345267034,34.2643795685311,-19.2193251834812,"nonveg_508","absence"
2710.19469506066,4329.26111055258,2076.53809368303,5972.69345692475,-5946.15170902708,-6439.15070121496,-108.52335127809,36.3028793516157,"Russia.Yamal.Laborovaya-1","presence"
-374.332649082759,-243.796295218227,579.982864547788,1134.47206366351,-1197.46954486679,-1917.69252109055,-13.8613299542647,-0.0292738646695499,"nonveg_931","absence"
345.285664617792,696.872365710931,336.297943816733,1042.13737353961,-1876.52272776287,-1647.1394282263,-5.87171897426632,6.38721888887279,"nonveg_814","absence"
-224.939927872638,-91.7138366426374,737.339464761548,900.833419416394,-1958.79924488511,-2113.03229244276,-31.859135792214,-11.7444109528203,"nonveg_997","absence"
2219.75835311637,3889.82626428613,1524.58508572115,5514.53454491453,-6462.43126240846,-7032.5738093285,-63.2556898309728,5.88470998434601,"USA.SewardPeninsula.19","presence"
2472.77783811283,4014.625882569,2314.57958070837,5405.70348842776,-6158.09460714007,-6392.68642292296,-36.7312576650365,17.2245377206998,"USA.Toolik.S1","presence"
2083.94686246832,3002.06966503046,1484.43612125738,4238.74999298267,-5475.98847038743,-5559.00392886004,10.5468499628441,-0.0939829138182348,"Canada.CoutureLake.TDO4","presence"
922.835216227999,368.571286664734,237.173296474255,1618.92583394056,-1680.68073859027,-2526.01499479816,-17.6634088589247,18.6087211599616,"nonveg_543","absence"
2637.36659043621,3263.41739024858,2220.94135005246,5366.28335808764,-6085.33831670808,-6128.8642380396,-39.4036409417515,7.15304092501742,"Canada.CoutureLake.TD7","presence"
3164.35914033595,4870.91908236867,2538.73222649319,5639.64300628672,-6694.75373011894,-6748.4885107683,-23.6656094433157,-4.3177571942381,"USA.InteriorAlaska.BLOWRIVER","presence"
2832.61441757738,3627.20705672155,1696.98731049156,5368.40169354872,-6211.34840306106,-6277.95093244551,-59.9631354257512,-0.991349698968128,"Finland.Kilpisjarvi.20","presence"
365.531474502617,534.150308537705,212.981652920157,1510.10362798447,-1627.54434943583,-1020.96407837874,15.159370863404,74.7276886585215,"nonveg_900","absence"
3024.85249410453,3407.78796326411,1717.31822020801,4429.28036480575,-6211.37398865038,-6204.24463823607,-21.5034736977568,14.0671323278138,"Russia.Tiksi.GraminoidTundra","presence"
513.956300192254,120.744166167065,-40.2215785108475,726.422016349014,-1222.01587276952,-2405.89333316166,-27.6334559598681,-14.0685090760584,"nonveg_779","absence"
440.714810382143,-231.751292977582,783.207765009744,771.855570036027,-1572.47553018871,-2361.01743963216,29.0390366217442,-6.72936163875397,"nonveg_958","absence"
2450.48754254019,3429.62021695902,1789.94244659826,5091.99012379287,-5422.16146837606,-5780.72584962091,-5.75428552476554,-2.98633549493107,"USA.Kougaork.LowShrub","presence"
-328.159794795622,247.320721349862,766.108019453066,1820.57544388252,-816.921761877451,-2060.60632587208,-33.1835010588607,-12.2512358942088,"nonveg_919","absence"
3154.09585524228,4364.97666918795,2035.22820960754,5861.13923811413,-5967.4796925109,-6316.65555515232,-54.3534805728252,-22.946261169445,"Sweden.Abisko.KJ-Snowbed","presence"
162.966816764964,536.400508144783,-501.203281934173,331.378300551498,-431.880414903669,-237.078163265736,-18.957674045524,5.58375707719287,"nonveg_875","absence"
2075.91287011582,3588.30406863674,1434.39879431321,5845.11685972137,-6821.96438504935,-6876.03422798372,-56.7750705133139,7.93496287704589,"USA.InteriorAlaska.5","presence"
901.471409275999,1427.31567139925,895.683344560192,2288.69554455218,-2610.21650015818,-2220.17788111255,-5.86367361133772,1.95525580825221,"nonveg_758","absence"
108.775006109242,262.290242808267,139.984636941602,580.010625904011,-747.690838027573,-558.627641950454,1.95258884928121,5.41596094539259,"nonveg_1268","absence"
1332.57211659763,1368.4085045939,740.910377074502,2283.15892169121,-3457.21645543118,-3647.03586503681,8.26018418939932,5.50107720398078,"Canada.PrincePatrickIsland.MouldBay-C03","absence"
3116.31610876662,3796.69287364987,2305.58654344526,6770.4971462713,-6272.29911828024,-6823.83146740128,9.8917800624104,23.0326556093541,"USA.InteriorAlaska.20","presence"
-342.269365503546,5.21790639933857,6121.33458859545,1877.99567256891,-3243.46442424194,-2471.57463188324,-15.3085704688518,1.62934957898884,"nonveg_1353","absence"
3398.13665691943,3740.02061313991,2423.52977461532,5296.28613874843,-6144.99629319408,-6330.40886490829,-18.1513689270538,36.476542669673,"Russia.Tiksi.Bog","presence"
982.673494498662,304.239064755645,847.701558929328,847.932729920542,-1941.84580541119,-3003.27006452744,2.20275496185574,-26.8949034602941,"nonveg_725","absence"
3556.06870940938,3528.1216901334,2307.24010300541,5528.63654116128,-5796.46487319442,-6439.03750955479,-14.3377889926314,21.6576339268261,"Finland.Kevo.1","presence"
1760.17424426565,1873.70391916465,1178.59638102038,4001.8532470346,-4115.28342628949,-4498.80647024515,11.3949049635434,-0.0693190324055953,"Canada.ChukotkaRiver.TPO5","presence"
1781.37235449355,2166.55485026377,1531.96891019245,3959.84665442273,-4737.42998766844,-5056.98170915501,-1.67887510954374,4.95699833739257,"Canada.LeRoyLake.TD1","presence"
2770.90889647257,4004.28137931947,2192.33707622301,5388.63825726476,-6280.16872009259,-6439.51733846818,-68.5704140208253,1.30404867696267,"USA.SewardPeninsula.QuartzCreek3","presence"
2775.82258219936,3489.49365800057,1947.29459498499,5241.51527562621,-5952.84451091018,-5777.34183986034,-76.904052454367,23.440402291199,"Russia.Kytalyk.T1","presence"
642.848885064278,245.178777678488,645.537751163389,651.458926668667,-1217.31065758096,-2063.69078706828,3.31259176641576,-8.87691899979812,"nonveg_790","absence"
1522.88610520165,1197.948270557,126.182232805332,2179.34261541364,-2882.99876111379,-2797.89509055731,40.2214509589156,34.4468014663784,"nonveg_680","absence"
2429.20629489174,3259.08021336245,1738.69825013318,5802.09336714162,-6600.77461756673,-6691.30036284895,-11.01616290731,9.06495781838543,"Canada.PayneLake.TDA3","presence"
2399.26023120453,3385.60381212199,1975.94004906127,5015.18837591365,-5800.73199740934,-5876.09194371528,-35.0914077142254,-7.62433655361009,"Canada.DaringLake.Tower1-MixedTundra","presence"
2532.87047110754,4324.07573964876,2036.75454940612,6412.98039358685,-6746.09894267093,-7031.17124680833,-38.228525306436,1.61689278067095,"Canada.ClearwaterLake.AB2","presence"
683.848623734211,1165.89974086882,1007.01126645748,3095.53543006354,-4930.10126969067,-5307.92139951964,-8.90733226020309,-14.9969944110745,"nonveg_856","absence"
519.542369526642,542.236621920893,837.656768911224,1945.84055534038,-2782.94882467024,-2228.63910013558,13.3050775358907,-0.495881880442252,"nonveg_816","absence"
522.597685149532,646.89331653478,861.835123439216,1349.72895313218,-2411.2332713926,-2110.20261377897,8.87619758025493,-11.6609745305196,"nonveg_576","absence"
312.355344707596,217.456679309928,420.987559613208,1028.48599489382,-535.608892498076,-763.994364276052,14.7441370296771,-4.29539662463408,"nonveg_1889","absence"
2134.51925798379,2829.00295535659,1407.25161313873,5317.3045572841,-6318.40438973476,-6214.82870896762,-21.7732441270213,9.16312677983786,"Norway.Javrresduottar.EC-Salix","presence"
13.6611170234017,599.926856726137,265.694098112208,1264.1932306643,-1825.26875786803,-1342.79136805377,-15.8429751032477,-9.88398823189281,"nonveg_673","absence"
-239.385229545934,-119.671103794281,315.138149440106,516.174817523171,-1694.59706226185,-1489.72825084255,15.3151800084802,-5.61197246112448,"nonveg_1499","absence"
2485.36620063208,3640.93864492898,2070.09522794759,4665.24177277808,-5432.68967622785,-4735.82861515505,7.92172620397275,15.3146267609699,"Russia.Tazovsky.Unburned28","presence"
1183.20678841607,1097.74823606946,615.308904762481,2039.57843957295,-2801.11886404118,-2885.82215786921,170.846566609521,12.8178567233173,"USA.NorthSlope.HoweIsland-C13","presence"
1174.41599611209,757.26272259828,1077.52266843315,1652.95976969455,-1454.35533038769,-1388.01698638063,53.3044907428841,2.89876565210307,"nonveg_568","absence"
2765.87609835348,3988.5307084744,2270.94018098509,5472.35812551324,-6017.99426867192,-6298.33106621381,-23.2829716072633,-0.594960176252168,"USA.NorthSlope.HappyValley-C19","presence"
1780.79776016714,2320.22886692981,1508.12655236104,6354.75805464692,-6020.00769121249,-6529.1480380002,-16.0626457867533,-0.0376124860806379,"USA.InteriorAlaska.1","presence"
150.311469621814,571.168007027304,-526.958949332003,25.7694618268945,-389.787729420268,61.0206132825871,-9.63828363183386,10.0598123379763,"nonveg_1927","absence"
816.794918140214,579.569933289599,1020.64359395698,1450.50501232423,-2911.68107604902,-2895.76017255476,19.8836435855287,-16.6858727369752,"nonveg_746","absence"
1799.20071871234,2314.96201235377,911.038832551033,3613.67964273376,-4942.39903192577,-4765.51746778179,-27.8142647012288,33.9017817251726,"Canada.BanksIsland.GreenCabin-C11","presence"
831.773228921517,864.447099519522,511.299280902528,2225.21534459973,-2659.19390804352,-3000.03997797459,19.8410399238768,9.49962299149703,"Canada.Ivujivik.TP10","presence"
-193.849694195023,-641.90215305339,-377.303082210398,-930.998952561427,-266.314533486114,-575.182485786004,15.4633547963829,-9.37743806305334,"nonveg_592","absence"
988.782534437292,659.008144195566,999.511430908282,2285.8268549939,-2441.69080290857,-2825.2201801825,12.3735605692217,-0.838756614373317,"nonveg_575","absence"
2096.30889495837,3222.38642697748,1577.5086823845,4179.54773069338,-5667.90518244838,-5550.62966455443,12.9615413060144,7.18006968753494,"USA.NorthSlope.Sagwon-C15","presence"
1098.75890941155,1155.37021244768,682.439537483939,1685.96809704314,-2700.50687038983,-2830.16364067631,1.62670770835247,-3.30563155931275,"Canada.PrincePatrickIsland.MouldBay-C00","presence"
1080.86844459049,-187.730487761943,-740.184634703935,1044.31887314351,-1683.62626380334,-1188.10724588521,487.792973951967,20.6502580464298,"nonveg_1888","absence"
2729.69949827957,3187.01615796671,1838.87423921869,4992.2877840411,-5757.7088855267,-6173.10018081003,-47.9531444878844,14.076076954197,"Canada.PayneLake.TDA2","presence"
760.805894835486,742.575671415849,285.760742470638,2174.95587680174,-1844.53597988835,-985.681107743705,51.9612978544186,28.4431086708692,"nonveg_715","absence"
2083.94686246832,3002.06966503046,1484.43612125738,4238.74999298267,-5475.98847038743,-5559.00392886004,10.5468499628441,-0.0939829138182348,"Canada.CoutureLake.TDO4","presence"
3768.30642202255,5187.86297439676,1946.88234223788,6886.12963443742,-6981.76560703142,-7218.27614100015,-96.3557158528996,6.46208746593109,"USA.Kougaork.TallShrub","presence"
2010.0926488625,3948.31483237046,2407.5883420548,5064.43247300251,-5402.95627336257,-5455.45452659604,-76.9665952939349,2.30828436076346,"USA.NorthSlope.10","presence"
1287.16009154759,5638.6323730666,1150.78019790344,5968.71986317662,-5989.01831577287,-7280.9233829503,-59.1467048655565,9.6611803763105,"Canada.KluaneLake.Outpost-ShrubTundra","presence"
2075.91287011582,3588.30406863674,1434.39879431321,5845.11685972137,-6821.96438504935,-6876.03422798372,-56.7750705133139,7.93496287704589,"USA.InteriorAlaska.5","presence"
2183.65831374506,3490.78590304217,1801.48556698829,6075.46117860991,-5837.19980503137,-6589.40557972212,-44.5181447048529,41.7213600064537,"Russia.Kolyma.T2","presence"
3375.30221224962,4776.05634937052,2164.08177147181,6766.05818361494,-6959.35384538862,-7090.0222397342,-53.3732414539985,21.3163519789288,"Finland.Kilpisjarvi.15","presence"
3338.79216005348,3998.16451203364,2495.54615017422,5629.25428543902,-6224.82870270162,-6323.92973335837,-25.4067519889206,-5.57059264919098,"Sweden.Abisko.NT-MesicHeath","presence"
1522.88610520165,1197.948270557,126.182232805332,2179.34261541364,-2882.99876111379,-2797.89509055731,40.2214509589156,34.4468014663784,"nonveg_680","absence"
2898.93053419943,3356.31302772373,2590.81138307922,5891.28755476947,-6217.20133429075,-6689.17857846333,-11.4742126005624,0.863377677253425,"Russia.Yamal.Nadym-1","presence"
3067.17863148196,3330.38541538223,1908.6226028595,4664.40177187822,-5862.76748395459,-5859.05361264487,-23.1254542170024,17.7175487037205,"Russia.Tiksi.DryFen","presence"
1453.53705048727,4071.05649410424,1555.04180482346,4677.39040668905,-5829.73617735802,-5723.77094031781,-13.5583091998654,6.21787763086639,"Canada.KluaneLake.Quill-MixedTundra","presence"
411.285859362997,-54.4039650339651,374.557181089654,1061.93710546715,-1529.35531652116,-2018.09859043937,1.27613591968399,12.1586797377478,"nonveg_733","absence"
3115.33827850214,3525.95472426622,1889.16619555836,5649.87947090884,-6448.92538391251,-6498.84379634621,-14.32390943128,4.86105560405453,"Sweden.Abisko.VJ-DryHeath","presence"
-362.327398670914,188.298710972033,335.762020138913,1848.25085783114,4508.98390321197,2906.09583333827,-28.0111605487421,-3.49244950377348,"nonveg_1736","absence"
2873.47736239043,4314.61593240669,2063.75958433925,6096.34040973613,-6626.92447175334,-7358.73662983583,-41.6644736703234,17.2018704047491,"Sweden.Abisko.VJ-SalixShrub","presence"
3128.50609096604,3611.90846124355,1334.83499916649,3997.14150596873,-5996.32317957733,-5973.40180005638,-124.816880175502,14.7314275771419,"Russia.Tiksi.WetFen","absence"
4276.68032979686,4568.00664692624,2880.20043820698,7037.15902745598,-6595.10764488764,-7562.12304933909,-10.3913795842769,1.38119440870091,"Finland.Kevo.2","presence"
