"spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","trees_presence","site_code","presence_absence"
387.66253822344,262.336062470148,-111.475345528416,-597.719813524903,-1110.0702068523,-1350.65439934266,-813.335623667081,0,"nonveg_932","absence"
985.491373400136,962.795998176917,424.005481931499,-2808.90999880929,-2697.56215951573,-2794.49824303209,-1303.90397844411,0,"Canada.EllefRingnesIsland.Isachsen-C01","absence"
332.093052071431,101.467396152225,156.217064243624,-1995.41803117782,-1941.6110747263,-2467.23642070526,-1117.78172773762,0,"nonveg_979","absence"
-721.599296758342,419.928585492882,-532.03598114338,4425.88659149929,7150.60257341427,7036.29458686773,5050.68472335786,0,"nonveg_1290","absence"
3207.90828306252,3413.62952569209,2144.09807360555,-5956.99380790865,-6225.04996063098,-6323.21360251312,-4977.34736237702,0,"Canada.CoutureLake.TD7","presence"
3944.84785531779,4450.72586899229,2183.93636721922,-6211.81881464043,-6963.75147309001,-7037.39258900554,-5114.7388626257,1,"Norway.Javrresduottar.A-Hummock","presence"
403.701405683286,189.18497885304,5.52815255340221,-1537.86241768379,-1832.93333898263,-2327.06257636552,-945.024723442149,0,"nonveg_1654","absence"
1176.92415751492,1134.04187491869,-178.885836633265,-2170.16311774862,-649.713072928618,-659.485986393678,-1484.49074185517,0,"nonveg_733","absence"
539.685098917102,466.735958086576,1255.0528882668,-1396.1126837898,-926.448587262099,-1202.08785090642,326.785783862458,0,"nonveg_958","absence"
4364.80065367776,4399.95894565886,2630.27975934998,-5940.67967394527,-6193.98264022054,-6764.34903890291,-4942.81322221882,0,"USA.YukonKuskokwimDelta.2","presence"
3558.75236939524,4124.03457220193,1978.18311024395,-5442.73446839466,-6124.81456037626,-6260.37868845098,-4976.24536734707,0,"USA.NorthSlope.Oumalik2","presence"
