"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_lateSummer","spectral_blue_endSnowfree","trees_presence","spectral_EVI2b_annualRange","spectral_NDWI_annualMean","spectral_NDWI_changeSSES","spectral_SWIR1_changeLSES","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
2221.3044900958,3516.71026539986,4057.93757724652,1980.26507381192,6777.94142860513,3722.18048154166,-5686.93434680627,-6127.97816430229,397.507427014607,0,1716.01579404488,-5941.06336566414,-41.2874976972448,-9.50030672596146,"USA.InteriorAlaska.EXCELSIOR","presence",0,0,0,1,0
3225.85393467567,3652.48962071431,3768.43418274235,2211.32119960854,6719.22529650383,3882.76948958226,-5722.28665437642,-6350.21287010622,209.310494831509,0,1285.61926240029,-5812.52288415876,-66.7273279800732,-6.07688964775086,"Sweden.Abisko.VJ-DryHeath","presence",0,0,0,1,0
-352.992220928919,216.459133590942,1110.37779479042,678.381001533724,1787.77123504847,-186.66436359243,-491.868573752285,-1566.66226589711,511.479161440788,0,1463.37001571934,-757.157832781212,-34.9635553904843,-24.644222322808,"nonveg_1473","absence",0,0,0,1,0
-1603.4879441728,-525.495843020906,-195.877360281186,-291.331132985556,-2203.64967404012,-1669.7535262354,2961.40316948102,4092.48066919304,1166.08645870757,0,1407.61058389162,3495.17111253696,-27.8761636284707,-10.1880010867537,"nonveg_1367","absence",1,0,0,0,0
670.784257788395,378.806197601888,-3.39705646456866,647.301025532441,738.340331297759,1247.94182704381,-1329.37393201715,-1397.45256720389,829.589179931775,0,674.181314252964,-1274.54613634027,-18.8440393739622,0.00314857600443474,"nonveg_681","absence",0,0,0,1,0
2795.61724108733,3730.01305883666,4039.41360482179,2475.97019636907,6379.49737857449,4297.3719149408,-5929.71419320579,-6303.84399429514,455.241542347407,0,1636.73134169359,-5898.53357615019,-4.98331013591818,-17.5862993464403,"USA.YukonKuskokwimDelta.72B1","presence",0,0,1,0,0
1765.08459250799,2447.89009268129,2652.87317628346,1245.8669393582,5027.87735268655,2619.73814164189,-4524.6167909901,-5316.16317777703,506.04153309589,0,1915.02153240288,-4403.27616095841,-17.8051788270953,-56.046747341773,"USA.NorthSlope.15","absence",0,0,1,0,0
171.134553859892,418.794612845158,-262.662084874513,75.3101279296489,1667.60964557754,1626.80980171246,-423.217209337143,-152.593458803001,364.24284042153,0,681.456697719671,706.979874112729,-7.56900348290728,-24.5856624580005,"nonveg_851","absence",0,0,0,1,0
732.892171851094,589.620654847762,520.605418278787,177.330444443101,899.791121621773,307.136153679681,-2748.03544459729,-925.396954286399,1630.8743166898,0,1303.74778280259,-1225.98828866796,-72.2892336542715,12.9424420805843,"nonveg_997","absence",1,0,0,0,0
268.856950027501,508.99787731216,-112.424475311513,763.73133588179,613.230075806245,1302.84883370623,-1230.47685848458,-1648.36089801094,606.458727771104,0,876.155811193303,-1522.6690199865,-31.9929866494536,-20.1266888290068,"nonveg_979","absence",0,0,1,0,0
-276.931663806233,-583.583465951627,788.940867097556,-1271.18463612408,2169.29514654021,-1237.38905408907,-936.906189496682,-3936.36590447748,506.080512541398,0,2217.5015528454,-2327.5440690907,25.9077036683211,22.0657296025094,"nonveg_532","absence",0,0,1,0,0
2430.92916958642,3223.53235806877,3178.97505016908,1889.36269793716,6212.74664481943,4285.59734034531,-5457.60765720467,-6220.71128424913,326.801924472006,0,1841.27681012473,-6345.04317206317,-18.1545670140665,-33.5131263138816,"Finland.Javrresduottar.A-Betula","presence",0,1,0,0,0
962.527498021502,342.815493070492,864.958562961998,523.65619334184,1216.76057462654,730.376217565757,-1555.30583875853,-3143.0264025362,1701.70769509656,0,619.71200495101,-1744.01136972312,-24.1031281743529,50.7858432386572,"nonveg_861","absence",0,0,1,0,0
-293.096715338739,-166.776533947219,199.027961583156,-142.095610320769,478.111906919099,-1106.53284329599,4190.07359799666,8550.74275328665,1437.27071244513,0,492.124676921895,6345.94043432687,-8.79549387814884,8.6664506757031,"nonveg_1344","absence",0,0,0,1,0
134.344115457848,-44.038105804722,-15.8004960594211,562.521496213287,1590.94376466829,1252.54621905901,-1215.31988287123,-2308.87063747171,210.839002556349,0,606.559602018009,-1622.61589148807,-22.1119715296539,5.00029470871092,"nonveg_1654","absence",0,0,1,0,0
3124.06119011445,4070.53386614509,4611.44523672429,2432.06343348927,7045.17649365506,4145.6126583665,-6019.87640857197,-6595.65799785344,444.479729495803,0,2374.28201539495,-6275.84068367118,-34.2766440431955,-11.887485632413,"USA.InteriorAlaska.DEW","presence",0,0,1,0,0
2351.20964953819,3009.43941706339,3425.30591524154,1898.19944963697,6555.63263083824,4313.08515145944,-5621.02310890462,-6447.69354479587,303.857914175433,0,1642.95087176404,-6475.47885711056,-12.1214698272226,-46.3290306074811,"Finland.Javrresduottar.A-Sedge","absence",0,1,0,0,0
852.578235232111,1033.39538728569,629.133387435426,675.085744720337,1239.42415644353,1189.94195191352,-2053.03590274767,-1780.58575644698,1099.01952128528,0,404.261999850264,-1948.78954943483,-15.4848971078582,-66.3607019495328,"nonveg_899","absence",1,0,0,0,0
1284.29791836088,383.913630005121,1007.12055159444,1289.58928960222,1387.71039657828,1635.40274373001,-1104.06952932911,-1812.52000453982,1738.88786558541,0,905.675659597096,-990.869558479161,-32.126088800213,53.5100401601082,"nonveg_568","absence",1,0,0,0,0
3632.12810874107,2897.03087460918,3097.60559613408,2170.91449637117,5550.49767295678,4017.09329358938,-5542.68632118083,-5662.62807020169,885.347763422417,0,2496.67102125173,-5038.62022550032,15.6505113507255,49.6364240425204,"Finland.Kevo.10","presence",0,0,0,1,0
1608.92930508089,2184.85471232641,2477.33222840246,1121.124273947,4716.03543171347,2508.18467357726,-4460.90930152127,-4980.62636768439,514.905230742149,0,2020.96446176246,-4576.01966429554,-12.7301883217428,-4.59220471973487,"USA.YukonKuskokwimDelta.1","presence",0,0,1,0,0
2829.17567846908,3908.35201578293,4432.92928105816,2243.91619681347,7153.64049383542,4268.699195428,-6001.79915594013,-6356.15448937486,545.085870864226,0,1668.6752631726,-6183.62630554985,-36.4037687690151,-0.449434744854034,"Canada.Yukon.PAGE","presence",0,0,1,0,0
1114.51805005295,-38.7989424557526,569.822641715006,300.884033583072,1125.21328708101,796.175772454426,-1134.33131214998,-1876.52287574633,991.448038430899,0,1153.31699250871,-1104.39287060334,41.7564863778092,18.1037255154357,"nonveg_972","absence",0,0,0,1,0
2300.92012357028,3575.51953927607,4206.96712221272,2061.914982834,6719.08620011811,3539.20623070172,-5674.62456395747,-5849.14572107826,494.995330893126,0,2608.11870997868,-5445.73025269762,-44.9327334227111,11.4187939284024,"Russia.Kolyma.OW1","presence",0,0,1,0,0
222.443927604146,550.024111575281,393.516152175267,783.621735995039,825.956594876686,1284.35516569326,-769.152741612082,-1005.98881634263,815.887744575167,0,561.177808390893,-1004.73580887562,-6.34846371852187,-11.0467004599178,"nonveg_900","absence",1,0,0,0,0
-527.71063360284,362.962807631401,909.992069526203,352.437548553172,1347.24393280447,-902.633298563815,-646.930829357885,-1274.64803764048,807.742823772054,0,1437.70270312904,-680.139913833891,-119.608814339538,-41.2817452929355,"nonveg_1834","absence",1,0,0,0,0
561.808192540217,499.979337798773,967.646888932918,865.807023711974,1920.15848237937,1469.52616399985,-1407.71821143423,-2228.66957282875,924.129192354418,0,467.667551134145,-1579.95928150506,-14.2651770064573,3.84171286088332,"nonveg_1968","absence",0,0,0,1,0
555.793694673137,1535.78640073492,1786.204381379,920.818936600573,5147.29184773293,2333.13045868626,-2408.5188203005,-3359.76412020671,283.680596690739,1,1316.75189378249,-2984.66040308225,-33.1983258427422,-38.2712031541212,"nonveg_856","absence",0,0,0,1,0
509.031880987142,73.2601108876041,736.988366026717,152.538048447237,1340.9727727439,500.142443547156,-2537.30388012602,-2108.91493095978,870.373548892633,0,870.884773579513,-1877.22152521533,-18.0610461089768,-1.08678559955297,"nonveg_695","absence",0,0,0,1,0
-298.194488684401,31.4245721392291,342.548116303765,123.648646060693,595.981920585061,142.963082435599,-916.956099987489,-1983.54950324917,940.201357192341,0,714.001338182269,-1501.44350413341,-7.64256832636586,-35.4974687567478,"nonveg_806","absence",1,0,0,0,0
2013.45127938125,2129.19661110482,2238.07881027666,1388.69245136996,4170.76992098441,2690.32522742465,-3936.98178480926,-4324.47329007776,671.289188490574,0,633.002833218696,-3647.12962918341,-33.5990808413992,-38.2772951191205,"Russia.Tiksi.LichenTundra","presence",0,0,1,0,0
680.146336517153,590.189222288906,842.497561363087,-89.8466817198764,980.637364273343,-362.666380326071,-2941.55564876394,-2453.33226750418,2045.11619159581,0,932.344243082963,-2386.07938083543,-20.8883669521456,-1.14785490307611,"nonveg_855","absence",1,0,0,0,0
292.216980420765,-222.742735308818,25.5290789965634,188.871276064789,-72.6218667653503,-1607.19505522977,3375.66137974498,4442.45655485411,378.730913792916,0,542.438482489752,5432.60136720913,-348.649401066054,20.1936571565276,"nonveg_1720","absence",0,0,1,0,0
2993.13833670895,3413.90623122337,3609.93508065146,2120.75433333395,6258.20113233125,4177.72219473214,-5614.46194983694,-5900.7906111316,451.89399011457,0,1017.29206641009,-5111.84509123589,-46.6196808264083,-2.21288152214247,"Sweden.Abisko.NT-SparseVeg","presence",0,0,0,1,0
805.750733146534,1057.89075406865,1051.31127805082,632.273006471516,2443.81783439547,1034.94596543523,-2384.89462727101,-2505.87926296897,646.719453630898,0,1692.94982168918,-2127.07627952803,-78.8318270347636,-81.006752837442,"Canada.Ivujivik.TP10","presence",0,0,1,0,0
789.740878537635,1094.26362099835,674.40811366153,856.994370863898,1308.58156400592,1390.83094787642,-1829.91707590056,-2260.31759469316,921.901594053145,0,732.723852507119,-2345.16787054003,24.9195553466542,-20.6523437776219,"nonveg_561","absence",1,0,0,0,0
4337.96811758541,4585.52141704863,4676.59778788404,2824.96678415731,8301.61504134476,6091.12257386189,-6983.85540499531,-7349.03275389144,389.420226398036,1,3238.53133085532,-7074.08155809033,-55.8054702646908,9.07102926282606,"Finland.Kevo.14","presence",0,1,0,0,0
2728.10859725073,3947.48336637848,4568.90002659388,2198.18360200721,7876.68425445269,4276.43729698887,-6322.87939172685,-7018.30297188582,384.440363114786,1,2473.08987077686,-6341.68683237836,-62.6973378065783,-10.8422829471077,"Canada.ClearwaterLake.AB2","presence",0,1,0,0,0
