"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NDWI_annualMean","site_code","presence_absence"
239.042459205766,-593.334721566672,503.478913586778,-1619.99559885697,-1630.48591466477,-1238.73509104975,7433.38048327484,10000,8145.67896554948,6896.48413315613,8014.41783878252,0,44.4194506201106,1096.81363515345,8097.99228415259,"nonveg_1695","absence"
1077.89589471862,1331.94365475849,595.823387389275,2481.29106202417,2596.04298499424,1324.93261532164,-2582.85768589659,-3003.22473943215,-3101.01291443421,-3047.22024078507,-1389.59495838609,0,1514.62445114161,895.481557599103,-2890.13052672213,"USA.NorthSlope.HoweIsland-C12","absence"
2921.81990494245,3599.19823041273,2420.86051369318,5734.71333009687,6336.97306862268,4708.94440345627,-5925.9132974482,-5924.7004911483,-6266.11033634156,-6510.86477157776,-4887.84950113134,1,3005.67085692726,1256.78893677065,-5999.01201698826,"Sweden.Abisko.NF-DryHeath","presence"
1043.76369554213,892.800117638697,381.98446927442,2043.02789045629,1746.24584540222,710.02775351799,-1948.53856991139,-2431.83746057254,-2782.00773716199,-2864.99797835984,-1383.81013885869,0,1074.13733646887,2204.0485588518,-2460.58225844867,"Canada.EllefRingnesIsland.Isachsen-C02","presence"
1077.89589471862,1331.94365475849,595.823387389275,2481.29106202417,2596.04298499424,1324.93261532164,-2582.85768589659,-3003.22473943215,-3101.01291443421,-3047.22024078507,-1389.59495838609,0,1514.62445114161,895.481557599103,-2890.13052672213,"USA.NorthSlope.HoweIsland-C12","absence"
486.164246183804,619.340461105526,-348.123834298242,1365.95382268176,1882.42254426237,-481.696259716228,-1491.66447625708,-1541.29890781563,-1010.03627783333,-1494.54401142957,-1358.23634047341,0,486.164246183804,1199.12113960484,-1379.1560027618,"nonveg_779","absence"
0.902800369862547,192.890061142116,164.139552757489,-79.2000594621416,346.168566085777,-17.5119667161056,-825.447187498253,-902.20753801132,-553.296890856985,-618.046839515888,94.1382100503072,0,164.139552757489,879.646443408541,-560.972049166428,"nonveg_875","absence"
318.715981963925,1375.07484511871,755.272670153851,513.127855283067,1836.16629549673,1115.00914458296,-3493.40152586063,-3402.55336610044,-2732.903991708,-2860.57581224726,-2050.26814069367,0,755.272670153851,1056.35886315479,-2907.940567322,"nonveg_507","absence"
791.403997487796,944.197968989607,684.557688026398,1705.97563385457,1542.14131863431,1347.69390136346,-1046.96100293331,-1042.22452228894,-1664.00993244919,-1194.21209996725,-613.262796549161,0,791.403997487796,393.524649712941,-1112.13407083757,"nonveg_684","absence"
2561.09749365208,3795.68447770549,2297.37341761698,4818.75991982507,5710.08829108334,4283.35586278887,-5847.67135074693,-5907.52080710897,-6181.95698225563,-6231.59080294411,-5287.2832509335,0,3342.43313353891,1812.64779355141,-5898.42584239218,"USA.NorthSlope.HappyValley-C18","presence"
2436.80014676049,2900.21407355143,2315.11458446583,4445.53259424354,5168.61699270373,4238.63459513414,-4960.03932850191,-5588.25705377867,-6369.23555918723,-6802.54640244995,-4762.64723504139,0,2920.60527235844,1396.90845973023,-5655.67947971547,"USA.NorthSlope.10","presence"
1508.56473742001,2156.49250541133,1225.97763081138,3674.1167702274,5178.12101443922,2892.04947485246,-4303.73493385132,-4776.17295733797,-4420.70495571378,-5162.65109172976,-3587.75302606708,0,1229.93714625312,1707.86506555665,-5191.6331534509,"Canada.LeRoyLake.TD1","presence"
2438.22222169269,4186.9769567421,1753.20753942412,4337.45360239322,5649.14681952305,2971.65118986221,-5426.48013875415,-5318.96823129437,-6111.59092803045,-6250.44549820982,-4307.05725872634,0,2926.30878082548,2163.67135250689,-5689.43186252685,"Russia.Kolyma.OW1","presence"
2872.51136456144,3772.26403445049,1107.74197646224,6435.51207804361,6761.80932132132,1972.65495957,-6324.23758790165,-5140.52014994523,-6017.13595411919,-6254.95217548117,-1747.36746894838,0,3540.46292643329,1808.6159921103,-5839.82509033443,"Sweden.Abisko.KJ-MesicHeath","presence"
1162.10079916165,810.890776515679,482.076824432874,2476.72532340513,2208.84227316888,938.638578921216,-2354.66399402945,-2103.1322705346,-2567.79457872928,-2825.79541469217,-997.003687444651,0,1345.03516366519,1146.56121076048,-2633.37217308018,"Canada.Ivujivik.RTP12","presence"
144.558565052288,-268.387388690799,1231.75671567738,295.932916177263,-169.682099708114,1747.93808433064,-905.794822111621,39.1218430116521,-1664.6478006709,-1949.63391175023,141.652131069188,0,144.558565052288,1619.2281251543,-867.860512090384,"nonveg_931","absence"
2829.89434520392,3626.13867992351,2233.71790258285,5095.55179868595,5733.09160042861,4225.08943334613,-5792.52536033099,-5794.62956559539,-6094.73339480488,-5947.04724364093,-4992.43594266567,0,3486.72900814627,1471.84527945182,-5785.06195176246,"Russia.Kytalyk.T1","presence"
239.042459205766,-593.334721566672,503.478913586778,-1619.99559885697,-1630.48591466477,-1238.73509104975,7433.38048327484,10000,8145.67896554948,6896.48413315613,8014.41783878252,0,44.4194506201106,1096.81363515345,8097.99228415259,"nonveg_1695","absence"
2937.95156265326,4531.18970655853,2257.33367329162,5171.37849843879,6545.76278607015,4094.34664218963,-5682.19693126296,-6033.89027118042,-6416.59196361665,-6545.44083691827,-4558.48204934984,0,3601.89001474857,2475.87084567014,-5534.76998617855,"USA.Kougaork.GraminoidShrub","presence"
3280.90554132578,4309.81910807497,1840.90948029619,5812.41263349049,6698.17026603109,4036.22797562745,-5913.21658048062,-5830.64690910808,-6425.37443820288,-6523.11416212094,-3650.68989943227,0,3248.89134344659,3093.99102685896,-5178.35615998128,"Sweden.Abisko.KJ-SalixShrub","presence"
878.856436789391,265.389806819351,284.526414695445,1200.86237218491,35.7455389890091,487.671182472923,-1043.34427006227,-1028.68411006381,-2190.61222826197,-1771.98631856004,-1647.7362236274,0,284.526414695445,970.937279097616,-1536.4726301151,"nonveg_876","absence"
695.933675590274,567.590797143212,-529.892178290959,616.960793877947,103.640886116135,-2354.15470204629,-245.335162310883,385.510989792419,-174.181302567577,-75.6722642786922,1693.88010430901,0,242.991632964428,1225.82585388123,316.840472988855,"nonveg_1642","absence"
601.853626003387,728.754419788792,712.625879554913,833.306113871878,1807.49388391406,967.602462501222,-1797.5924982528,-2047.92448896462,-908.895531607927,-1917.05280970971,-920.017702047719,0,712.625879554913,677.615832236999,-1518.29660611655,"nonveg_825","absence"
