"spectral_EVI2b_earlySummer","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","trees_presence","spectral_EVI2b_annualMedian","site_code","presence_absence"
887.845198367852,685.523747171608,976.73774948905,-2851.45026883301,-2070.78125221954,-2051.61169686173,0,887.845198367852,"nonveg_985","absence"
1067.25177265639,689.712103047163,854.517282764451,-2377.89013339381,-2978.9201827422,-1470.54999544202,0,689.712103047163,"nonveg_975","absence"
3174.17966650289,3880.46604185335,2409.12066560736,-5546.66763318808,-6217.6647626422,-4187.32442485732,0,3282.14280937223,"Russia.Yamal.VaskinyDachi-1","presence"
877.046797860427,-165.954021956429,-50.1862052363967,-1422.80819268346,-2833.4409511187,-331.942096820649,0,260.362422837471,"nonveg_532","absence"
1399.46248525893,1345.15860324807,511.982848798028,-3323.46624702227,-3921.34360620922,-3209.12044870662,0,942.683783240133,"nonveg_996","absence"
275.20218460581,795.901084362616,-254.305982364097,-2175.90063527269,-1433.34804468273,-1186.75324564396,0,275.20218460581,"nonveg_779","absence"
-26.4959258360969,-65.3082555053186,472.603264395925,5951.57706899341,2721.19241511419,10000,0,-27.6068498117611,"nonveg_1720","absence"
1766.79195704659,2031.53812360226,1236.16596794506,-4348.79108297137,-4369.62809586071,-3067.22208263154,1,1895.89768476977,"Canada.ClearwaterLake.LS1","presence"
2096.59806501251,2341.53123339731,1023.47055717101,-4878.43331373367,-5047.17343764787,-2960.05998100084,0,1841.94776061545,"USA.NorthSlope.Deadhorse-C15","presence"
2037.36770672389,2386.96896368636,969.149119765401,-4383.4779063274,-5339.10687406995,-3772.63372982264,0,1931.71890716463,"USA.NorthSlope.FranklinBluffs-C16","presence"
385.059008898225,292.06622786793,-91.3025653532665,6187.28481543604,-1265.4944657536,-568.80783405743,0,251.402875551623,"nonveg_851","absence"
1043.13422127453,1034.58898245494,383.305837036577,-1904.61196016738,-1782.1584697488,-894.731804018454,0,1034.58898245494,"nonveg_725","absence"
39.4530349559507,416.925861888259,0.976927174874561,-936.102209078312,-864.954880158425,84.0135046119226,0,135.492835787568,"nonveg_582","absence"
2288.35557450066,2610.18156992452,1879.4206040251,-5100.25190162731,-5488.98748554947,-4239.33333331405,0,2338.45230231597,"USA.YukonKuskokwimDelta.5","presence"
1188.12473239534,2006.48761781414,816.754834802243,-2747.84764851964,-3360.47645168093,-2820.19585963718,0,2006.48761781414,"nonveg_1177","absence"
2832.88094588048,3108.6005580786,1890.94771568867,-5702.72248204599,-5807.80426560311,-3278.26750696387,0,2277.09376837275,"Canada.BonifaceRiver.LSA6","presence"
947.778111162824,173.34834567281,244.604681290252,-2128.55422321693,-1484.81090878292,-1695.02544437173,0,244.604681290252,"nonveg_876","absence"
-258.092162768502,-177.625092428277,-347.880390790374,-5.10802908477484,-454.817651285175,304.26996143885,0,-258.092162768502,"nonveg_1161","absence"
1303.96261717034,1469.99204535344,675.43629754859,-4878.3491307244,-5630.71223546385,-261.440294046819,0,1469.99204535344,"nonveg_1607","absence"
-290.11064686479,320.697935289189,1248.0388855051,969.968216944092,-237.345068445515,2766.07807720433,0,320.697935289189,"nonveg_593","absence"
616.816540920927,410.144356613672,349.67434278897,-1087.84157060636,-1915.43945912706,-1271.2712374407,0,410.144356613672,"nonveg_1037","absence"
558.282766585494,199.6460254498,-201.008066411604,-2039.83512533974,-1177.20672149353,-1161.86680726443,0,199.6460254498,"nonveg_946","absence"
4271.16940175965,4820.68903029643,2614.92806885568,-6823.57235008255,-7317.13116477565,-5642.01813492299,1,4389.21477204611,"Finland.Kevo.11","presence"
358.284605633737,8.64269523356508,-244.662155725899,-38.8674627893367,-599.212579152856,-336.302310142422,0,8.64269523356508,"nonveg_822","absence"
1531.42490930676,971.600390034721,408.421716427746,-2869.96207830399,-2432.00029467459,-1920.78486284171,0,971.600390034721,"nonveg_612","absence"
1478.44882996184,316.296813694538,98.6793426015591,-2870.3687443043,-2695.03713795529,-2754.1829191885,0,854.697776336478,"nonveg_680","absence"
3017.95478756763,3547.22414857696,2153.9923860504,-6067.38719576786,-6135.28502955635,-4196.90442607115,0,3079.5472398088,"Russia.Yamal.VaskinyDachi-2","presence"
1165.31300105444,630.705610528411,711.356010738201,-2706.24413745617,-1929.98290836281,-1391.11834252983,0,630.705610528411,"nonveg_760","absence"
2671.84138894942,3876.57664912992,2015.81865344004,-5165.79984595305,-5882.08915270426,-4298.2443335352,0,2599.98917029622,"USA.NorthSlope.12","presence"
435.238684153041,182.022310362289,360.511095175734,-2045.74148964292,-2074.73672057883,-718.641374784412,0,194.546965006195,"nonveg_936","absence"
2720.56511874559,2660.91549167402,1759.42755949177,-5416.53701377668,-5927.73585203548,-4413.26304270384,0,2109.79661119185,"Canada.ChukotkaRiver.TH1","presence"
1180.08835315373,1702.97115381926,1526.38433493106,-2338.78713704041,-2562.35953824772,-844.156155625676,0,1702.97115381926,"nonveg_706","absence"
2429.29553480115,2638.79632492086,2139.71629268258,-6249.90322590526,-6483.72397023452,-5746.98969092704,1,2303.64995853667,"USA.InteriorAlaska.22","presence"
-47.4179824421534,250.764961062162,801.314051083486,150.274965065357,-465.411336369611,1782.29355232589,0,-47.4179824421534,"nonveg_592","absence"
3215.37972682209,3831.05114019964,1984.66504199149,-6119.83166054866,-6537.8995998065,-4495.58419283854,0,3216.59470065554,"USA.Kougaork.GraminoidShrub","presence"
2822.44589736843,3297.02473809253,2418.11175767425,-6147.85072412514,-6982.80280392733,-4356.34636075126,0,3202.20399308284,"Finland.Kevo.5","presence"
-258.092162768502,-177.625092428277,-347.880390790374,-5.10802908477484,-454.817651285175,304.26996143885,0,-258.092162768502,"nonveg_1161","absence"
