"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NBR_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_lateSummer","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_NIR_peakSummer","spectral_green_lateSummer","topo_eastness","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changeESPS","spectral_EVI2b_changeLSES","spectral_NBR_changeSSES","spectral_NBR_changeLSES","spectral_NDVI_annualMedian","spectral_NDVI_changeLSES","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NDWI_changeSSES","spectral_SWIR1_changePSLS","spectral_blue_changePSLS","spectral_red_changePSLS","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
2956.06385581758,2562.42122799395,3267.58967540673,4136.33613910274,1923.061236262,1423.29122238997,4792.50195312603,4896.3267262213,5451.83917612961,6539.08888809105,3332.86428144339,-5987.64044967704,-5151.36029448548,-6329.48722836536,-6205.41610928802,-4896.3245576836,3076.88002346205,634.092775172859,0.0107196814691027,0,2957.97100340125,3220.17169740241,1998.53259276038,16.4134449794346,33.9602059640608,-29.8293075139533,1.01381384756396,-16.8388946863511,5326.19733338114,-28.8778501559076,-5723.50840444959,-5370.55327610302,-41.8333426736278,-3.62464669163494,-0.10304212332452,1.38248108659286,"USA.InteriorAlaska.24","presence",0,0,0,1,0
767.475565533774,-272.392662546491,600.15922490501,-44.2861434915356,589.531822454135,-1947.53377569952,1455.91626886206,-177.589075840781,1248.59040732381,400.928472955977,1194.42785668754,-1177.22028781173,-1862.14594930167,-961.023542224074,-2458.76110796906,-1280.16259177472,852.498961633708,876.973080200178,-0.215740889310837,0,589.531822454135,328.097561370978,1039.86822808026,8.08835195816537,-36.8982595011504,-39.6614494296137,8.20767713982279,-41.6710674867976,1194.42785668754,-64.8263401438451,-1280.16259177472,-1547.86269581625,4.67919563468122,19.4432341984497,15.0921364646425,11.5389129970318,"nonveg_757","absence",0,0,0,1,0
544.008413231945,372.65533392091,540.983445070133,589.041643143008,550.349605107397,-1613.15638853761,1613.3975661478,1361.7622731804,1715.43438579983,1823.23090378319,1593.85659256701,-2092.88307270727,-2534.1755977682,-2121.7632540517,-1964.79934037554,-1761.46389532996,1125.79361623982,732.27690141621,0.00241452804766595,0,544.008413231945,519.407688094679,216.386309222098,-0.198162246107859,1.40728843472071,-24.0468730213175,-25.7079764822158,-73.6746829114461,1613.3975661478,-50.5245875170617,-2092.88307270727,-2095.01703204653,-10.3568492930408,4.45795434061997,-4.90130512810848,-4.37961893097859,"nonveg_760","absence",1,0,0,0,0
398.842701350709,552.041140906933,1220.97657693012,1173.57567317102,1172.73289815874,-956.609152346062,1570.67349482167,1859.89991981935,2796.61321278479,2754.15377451732,2168.6974154202,-2788.04365014415,-2773.52159861128,-2314.24036506068,-2497.36240835445,-1106.41366827827,1466.12198647593,833.646300267827,0.0441852025687695,0,1172.73289815874,903.633798103504,822.133875579416,-22.7614763767068,22.7862638770679,-35.2071282117469,-61.6613658725508,-63.4514229701532,2168.6974154202,-49.3006996297603,-2497.36240835445,-2295.91633808977,-49.4597053489964,-1.09642065572459,1.73452824775961,1.04469128970879,"nonveg_612","absence",0,0,1,0,0
3296.62503617478,2492.65850268791,3277.90589025878,4211.54484471804,2170.55158675973,1586.7118560102,5028.47226230498,4206.36559000817,5665.09738069592,6644.46260807527,2849.98420942859,-5729.46314943404,-5399.92856081483,-6214.26838108891,-6756.62280033117,-4035.63902795209,3321.48028120991,715.778140561162,-0.128047391606702,0,3084.69452184905,2977.71569647905,1747.84796862351,26.5590269279923,18.2575876520976,-15.1328244350713,16.3786228327237,-11.5081902350813,4552.86496262032,-24.5174570552813,-5906.57832388231,-5695.31989805984,-72.55718948758,8.08145933365566,2.46627160427555,5.56117285578966,"USA.InteriorAlaska.AMSUMMIT","presence",0,0,0,1,0
3764.43039536984,2764.76448546218,4021.02245552104,4366.05707023079,1750.9132650944,1664.45366255056,6118.75938046389,4829.47863517093,6652.49988851635,6947.53833593357,3402.73915541336,-5508.69360601295,-5907.90760293878,-6090.48161767451,-6570.55617095103,-4636.02243099325,3109.82210542567,657.663566555715,0.0463929176330566,0,4034.5036956319,3203.93340366499,3353.83749731325,84.2181644089512,1.77766885549095,37.6551567459388,127.792388677113,120.590911550242,6259.28702780442,42.4626987079678,-5344.43158976486,-5595.16245153721,12.6330606160344,-17.7811886446395,-3.22954900205949,-4.65193290845488,"USA.Kougaork.GraminoidShrub","presence",0,0,1,0,0
2637.80416343698,2382.66086476782,3304.3608283642,3638.48603590492,1445.82862197136,2239.42874233822,4300.22925057037,3952.06781752387,5416.49394426664,5967.76132282827,2376.93759184348,-4675.02235507062,-5392.44355032848,-5933.36671815675,-6229.39176489325,-2868.77196561166,2842.43266407328,707.507327602299,0.0398925104075008,0,3082.43032418951,3118.62272078444,2047.3771174451,24.7832031008298,11.8454519908145,-78.3145036184754,14.1939883204495,-88.7787071749091,4892.37320813042,-119.254619109314,-4885.90450299642,-4672.91288733505,-45.0995227597173,22.3485422663644,28.5659704818072,29.5982308905467,"Canada.DeceptionBay.TH8","presence",0,0,1,0,0
2122.56809319421,1308.97760296982,1766.46545118856,2195.61159772244,1160.66343818765,2007.69168623869,5062.59994400383,3791.08773471812,4938.14783191131,5622.11367758987,3667.50426857379,-4972.86466779136,-5221.6005064874,-5489.01614579302,-5497.6323184661,-4188.82338181582,1882.28182177571,545.982714724096,-0.0834896390636762,0,1718.00052476276,1612.08244407363,1445.78330139912,55.6070500538125,-13.6087544269648,-12.8906467039743,54.1400912506377,-12.5217517545437,4888.56036083975,-42.7288928766681,-4636.20660586534,-4930.47430145081,-1.98245925240179,-4.45559910595112,1.50824155943345,2.58944730960221,"Canada.ChukotkaRiver.TH5","presence",0,0,1,0,0
240.452437566905,254.203265115135,242.905465065308,-15.5802483011848,-20.0443949090394,8959.02187417899,-171.576143426504,140.483237474303,103.547940126819,-96.1356065817649,-1804.20156274957,298.068967026968,-6.32124360842366,-174.257736880359,-592.967899291449,2146.13512438364,1096.35399353655,1021.04981715883,-0.00313713634386659,0,240.452437566905,140.387304907425,274.247660024174,10.0191089413825,-9.48269206918853,0.753186669988433,-302.944049318927,-18.4294444404945,-96.1356065817649,2.46235315649892,-6.32124360842366,334.131442326075,-71.0794675906411,4.70684217448653,5.7169284758006,4.10686163125417,"nonveg_1642","absence",0,0,1,0,0
3016.9326409519,2434.94185580665,3267.27632963557,3798.08253517691,1923.08060100245,1638.20347272769,5616.13398776064,4664.60873195611,6175.54799725636,6989.03953677847,3778.12835452089,-6208.1720791906,-5590.86403958335,-6067.44238291005,-6159.81141958894,-5354.03185766852,2590.64138685339,585.341343686196,0.0241140071302652,1,3062.5273951929,2854.53340750417,1986.70915472748,68.507212231982,-21.2875218287478,-27.2619462126998,148.468646573944,0.51224858823277,5824.0242675386,-50.9857600910445,-5658.50830710635,-5942.73116811841,29.0166792201529,21.0124030520522,6.32082126427062,9.47372556874439,"Russia.Kolyma.T1","presence",0,0,1,0,0
2618.22525851211,2695.79459149758,2853.76103496451,2977.05397673657,1784.31447502689,2902.37750519202,4401.57477689757,4878.42237621107,5014.73628636889,5115.68268737704,3063.88421080336,-5502.89185256085,-5686.08945543418,-5928.35296456411,-5952.43436424817,-4654.58773382903,2556.94704897361,654.075863158038,-0.000371219404041767,0,2492.91504148886,2350.17990656242,856.513198287715,31.8527522600286,-4.80822414945481,-85.1974493106203,-5.662450656838,-61.150682945515,4252.15013792485,-137.956639992084,-6010.61116454488,-5877.56812688221,-47.4408167858119,-6.33278588537064,16.6894840394799,14.1327038135012,"Russia.Yamal.OstrovBelyy-1","presence",1,0,0,0,0
3582.91734705875,3455.9955535211,4047.67457416797,4440.15230705521,2282.46773750586,2006.82281956113,6852.4706539657,6526.51440770622,7614.75363519961,8031.77334728072,5128.7834617494,-6737.5935749054,-6216.09962654768,-6977.74341704347,-7454.88085254483,-5400.85123906926,2706.70001659801,498.203806468642,-0.0233328826725483,1,3353.41375795754,3438.67149719964,2187.45339192973,31.1052018511143,21.8927183770563,-76.8359775813597,65.8085218000821,-94.6195628924929,6514.83016574144,-119.519004550153,-7138.38280376583,-6838.54900538252,-57.8136567156999,26.9774254997827,20.2477341653525,19.0797024543349,"Finland.Kilpisjarvi.15","presence",0,1,0,0,0
945.988410759713,1407.29646620707,693.619282488751,1161.50915424817,399.128402434541,-242.889413884627,1194.6672582003,1688.01601625712,787.327104716675,1628.43929841576,444.492963874484,-1726.4599312209,-1557.12218246245,-2782.67836694089,-2020.24044197713,-1282.99282014343,2611.5028680635,1186.7183951266,0.152310863137245,0,945.988410759713,921.508343227649,1008.16806377253,22.7858336802155,8.62082973953836,59.4730986431931,-0.855634464899887,87.4604012335081,1194.6672582003,75.0574092950368,-1726.4599312209,-1873.89874854896,-18.4777962948946,-32.0319275106866,-40.5991783122033,-51.7003947462739,"nonveg_880","absence",1,0,0,0,0
-603.000764731232,-15.8174771620518,51.3637742180962,338.652370066874,41.5700378570647,-786.238035247326,-207.03826777884,598.207203354863,710.052384626993,1116.53782023369,321.811895272637,-3009.40735500517,-1693.84424691804,-1912.60095477305,-1733.24242561331,-767.419225181032,1194.01825230041,794.040727308267,-0.149255111813545,0,41.5700378570647,-37.4464119502497,941.653134798106,-21.4856934196099,30.3759075741325,-4.47875009200986,-86.1034327707446,0.751841188280711,598.207203354863,-7.45634541814197,-1733.24242561331,-1823.30284149812,-74.7329376608046,-13.3418930418345,-7.64050785776592,-7.69785505210523,"nonveg_946","absence",0,0,0,1,0
854.173981777307,230.760708132005,776.438055641845,1387.9791945286,-301.725929925191,-1512.63643796147,2069.69958616889,1280.88337656681,2127.38471720362,2960.33866703568,-210.973743122756,-2303.77938243714,-3200.67765388894,-2597.03378253541,-2068.35667076259,-1233.63210667853,1638.37819592032,755.071274552196,-0.0511166006326675,0,776.438055641845,589.525202030913,1689.70512445379,21.8094322962735,10.0717964670055,-25.9846355957067,-21.8413562115489,-37.7843222284422,2069.69958616889,-40.309587649372,-2303.77938243714,-2280.69591926052,-20.1914580331814,-20.9786748839228,-6.42753192514393,-8.3715465658271,"nonveg_619","absence",0,0,0,1,0
