"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_startSnowfree","spectral_EVI2b_annualMedian","spectral_NDWI_annualMean","site_code","presence_absence"
885.761578425021,880.157014888748,510.35997948774,-2500.87632897756,-2679.17542765213,-1004.93406973727,718.590869134438,-1939.48911662695,"Canada.Ivujivik.RTP12","presence"
179.983557890767,940.893881874983,351.612809623269,-1482.31494270148,-448.286272851225,-707.488080210506,263.038903358615,-1242.59072917987,"nonveg_775","absence"
2005.72645200624,3486.12634825872,1990.65491900062,-5784.72229700632,-5697.78232365327,-4563.70231321262,2519.34511350528,-5955.02129352498,"USA.InteriorAlaska.24","presence"
346.795567869957,29.8094838133888,438.627243501601,-1355.53918985239,-1947.07810730955,-297.622020839982,386.822080797893,-1207.65839209332,"nonveg_578","absence"
2393.7496873008,2578.42453143224,1452.34548908696,-5238.08425220177,-5335.66579625068,-3517.81718338832,2463.23851869326,-5394.45765808313,"USA.NorthSlope.Barrow","presence"
301.921065663243,-201.87914495532,-52.0174419425351,10000,8244.1852511739,7385.59867464572,-52.0174419425351,8102.30286885082,"nonveg_1695","absence"
2638.54712102824,3704.54582102277,2467.44772197369,-6018.90269071608,-6458.16224638013,-5163.87598973071,3164.11058616502,-6057.02041260332,"USA.YukonKuskokwimDelta.72B4","presence"
1997.66504724362,2472.49298042144,1515.52995807469,-5112.209960472,-5323.34371917259,-4269.01076434729,1708.08667623791,-4987.68265045193,"USA.YukonKuskokwimDelta.15B3","presence"
657.933536602856,1511.13212543387,-35.3538138167017,-1227.33382643225,196.57802452322,-786.545878836171,657.933536602856,-1076.74154353401,"nonveg_779","absence"
2958.70588572358,3515.31912295972,2367.49771705047,-6981.62160804915,-6905.81467590254,-5751.57410672515,3215.24002947727,-6660.44560196489,"Finland.Kevo.6","presence"
-184.914215190799,421.664486994524,-493.33218716781,-851.922741399535,-708.449656634248,619.307132764876,-184.914215190799,-570.570791056808,"nonveg_1172","absence"
1894.09264273758,2545.11358539256,1478.47097467085,-4931.24122933568,-5553.83265269682,-3965.49124854447,2135.88827343646,-5341.09071243156,"USA.NorthSlope.Sagwon-C16","presence"
778.877256479906,792.42196396405,461.124804962846,-1536.87168703648,-2021.08025055312,-1036.45882115789,778.877256479906,-1665.99539828732,"nonveg_861","absence"
2960.2616977471,3425.25501483103,2365.90733671376,-6069.56583866692,-6293.76150824302,-5205.01185184404,2907.63747908557,-6120.87832119068,"Sweden.Abisko.NF-DryHeath","presence"
481.091266837748,271.811289662122,249.598830836423,-894.904166973669,-1109.60036435474,-65.8782486801715,249.598830836423,-900.024201651703,"nonveg_1416","absence"
885.761578425021,880.157014888748,510.35997948774,-2500.87632897756,-2679.17542765213,-1004.93406973727,718.590869134438,-1939.48911662695,"Canada.Ivujivik.RTP12","presence"
2936.81712697566,4039.22654030578,2726.63680600727,-6117.83368729493,-6299.22148640393,-5281.67331209269,3706.19558544912,-5971.73610789623,"USA.YukonKuskokwimDelta.72B2","presence"
86.9547517385149,46.1417349262018,-308.960868170665,233.269957336734,161.140162007504,25.3411860416142,46.1417349262018,78.439081073059,"nonveg_536","absence"
374.591195832468,731.374550679747,301.76637837368,-2784.50293041531,-2737.80584557318,-1398.70857888133,672.890524962152,-2227.22290636411,"nonveg_880","absence"
2926.81482769713,3585.22363384974,2310.26758234321,-5403.49274526585,-6156.25325713145,-4580.6534731309,3378.40448896916,-5711.48289329933,"USA.YukonKuskokwimDelta.B","presence"
2530.70365474453,3279.45531968776,2251.56281632647,-5418.21105613894,-5350.37104584094,-4594.24941495124,2967.63521626513,-5105.32401528885,"USA.YukonKuskokwimDelta.6","presence"
1596.09553039523,2560.1274543239,1067.52888849718,-4167.76140575303,-4607.03234629354,-3628.2341541835,1751.20735393705,-4461.44718948297,"USA.NorthSlope.FranklinBluffs-C16","presence"
868.662796029505,1065.61546187423,843.984041482547,-2558.33425001098,-2579.98884245484,-2006.90275556376,868.662796029505,-2558.07149210793,"nonveg_758","absence"
670.400373850448,684.189709990145,428.420785681875,-1499.3777154816,-1723.67044407008,-1380.08169194201,684.189709990145,-1410.72858138965,"nonveg_866","absence"
1041.67236760538,642.738562349879,-172.59960437984,-1018.84285122333,-1791.25251674456,-1525.40455850223,642.738562349879,-1329.31089134412,"nonveg_941","absence"
3462.14275987361,4812.85033624575,2430.13438751652,-6681.58259575169,-7109.54292706425,-4169.43349059492,3904.43605575948,-5666.11429747713,"Canada.ClearwaterLake.AB1","presence"
81.4554821688663,929.854851985941,81.7083766773791,-1612.28070021793,-628.640230488839,-1647.37678184978,235.260775018135,-1334.26335813294,"nonveg_681","absence"
2340.46273883094,3595.0913737922,1839.24956516987,-5430.51603604189,-5860.27476173169,-4229.68890128778,2614.87785895657,-5826.18246698254,"Russia.Kolyma.WT1","presence"
-317.249174223557,117.200413139957,-536.440340413145,-1086.9010911421,-651.970182995457,23.8896614206756,117.200413139957,-457.271785394282,"nonveg_558","absence"
2787.37342320367,3715.93469161701,2303.50675263797,-6015.51390296061,-6525.1341928697,-4421.60432611101,3608.49266758254,-5947.42088046152,"Canada.ClearwaterLake.AB3","presence"
336.627429458523,769.440582202787,415.835025698418,-1994.58091522389,-1458.70415447248,-673.361188996947,415.835025698418,-1433.12124181314,"nonveg_645","absence"
2739.1421814011,3823.73521329029,2006.4267972187,-6586.23661021485,-6650.04084167443,-4928.58904622474,2887.8325569197,-6309.20920952676,"USA.Kougaork.GraminoidShrub","presence"
4322.82661668092,4778.53827885865,2648.10770163776,-6562.8878424409,-7400.33913956376,-5855.20751350793,4472.15773908765,-6801.03300044401,"Finland.Kevo.14","presence"
272.270341049452,901.55070930662,307.908226500742,-1191.50849448353,-705.06332877396,-528.583951988362,272.270341049452,-1184.50355854756,"nonveg_542","absence"
2928.31480822625,3180.8832858756,2294.4430738121,-5095.12912466518,-5429.77340867227,-4376.69878016792,2697.88978838109,-5518.91212957965,"Finland.Kevo.8","presence"
1383.83984902283,1424.4553675636,699.622441406508,-2141.43986008518,-2762.18207083613,-2001.45369374907,1195.34432055891,-2273.62030949013,"Canada.BanksIsland.GreenCabin-C07","absence"
1858.97437499517,2418.98115677013,1391.66499737689,-4442.80140739854,-4477.20132625185,-3664.27653511516,1545.70000989403,-3854.47973842767,"Sweden.Abisko.NF-Wetland","presence"
1142.73576477369,1262.32400343626,785.274987822057,-2825.47076263174,-2778.52041757255,-1116.437174597,1390.49478563182,-2935.33278108778,"USA.NorthSlope.HoweIsland-C12","absence"
2365.20297975918,2579.33301684314,1589.61371920314,-4844.18092122814,-4997.69703052713,-3618.00485005975,2399.22501939253,-4700.82764422946,"Canada.BonifaceRiver.LSA2","presence"
1433.73761888077,1915.22037433007,1161.05734475814,-5335.98738699765,-5630.80066083791,-3937.71101659124,1861.98377131549,-5135.6582163341,"USA.YukonKuskokwimDelta.1","presence"
1782.14567467787,2677.44040819314,779.580548365782,-4860.74941856353,-5298.66814450028,-4484.6124526371,2562.02295146699,-4759.33264539529,"USA.NorthSlope.15","presence"
3287.38467023354,3957.03433389935,2608.41379093239,-6324.55712019669,-6602.0972661846,-4979.71374813062,3436.46742228925,-6143.7222533397,"USA.YukonKuskokwimDelta.2","presence"
2501.17825824495,3714.31893098546,2311.21274551694,-5699.49736383554,-6156.34036591538,-5178.82548972567,3222.60217627993,-6075.22876122757,"USA.NorthSlope.Ivotuk3","presence"
709.449340387442,580.055806400837,914.441689519172,-1395.70695502292,-1586.4588705202,-636.910567793014,795.840145469559,-1180.59404545306,"nonveg_568","absence"
778.877256479906,792.42196396405,461.124804962846,-1536.87168703648,-2021.08025055312,-1036.45882115789,778.877256479906,-1665.99539828732,"nonveg_861","absence"
-57.6559511349532,-364.662880610896,-917.057400978612,-1198.9402974643,-1795.29387452094,-1165.25340370873,-251.665498915832,-1222.34874970847,"nonveg_582","absence"
2883.79855260299,4062.69000235809,2564.82190543393,-6075.66960967051,-6442.43297977469,-5469.59883925302,3091.79664757314,-6113.86498243748,"USA.NorthSlope.Ivotuk1","presence"
2393.7496873008,2578.42453143224,1452.34548908696,-5238.08425220177,-5335.66579625068,-3517.81718338832,2463.23851869326,-5394.45765808313,"USA.NorthSlope.Barrow","presence"
1067.41527624531,471.776253038105,355.570095907694,-803.993756327386,-1455.82707369518,-873.509120441045,471.776253038105,-1169.26044937073,"nonveg_733","absence"
1630.07051039543,2233.19970756536,1250.85526241611,-4477.29226684806,-4594.8241671701,-3548.71916742719,2047.19402220695,-4406.78470756211,"Canada.BanksIsland.GreenCabin-C11","presence"
3726.67610664476,4593.30575943835,2685.17129965371,-6614.15226197018,-7002.04470445048,-5473.02262455328,4503.38022224167,-6261.65341591265,"Norway.Javrresduottar.A-Sphagnum","presence"
-481.421073791911,50.5653423589191,-156.19670283311,-2278.26178795103,-3205.04082044835,-454.197528111974,50.5653423589191,-1996.88823931804,"nonveg_532","absence"
2683.18274610037,3192.28170709055,1888.46209441247,-5591.510592013,-5448.8484414044,-3736.21577756386,2975.55857098766,-5154.21523052939,"Russia.Yamal.Kharasavey-1","presence"
84.1109732017387,220.81772542964,64.5650843635087,-1531.35416667699,-1637.05794345558,-730.027802234152,84.1109732017387,-1504.27969247936,"nonveg_946","absence"
840.168741130593,963.252769419665,767.188800887475,-2466.5225338463,-2588.84428294972,-1538.51964662465,963.252769419665,-2041.45535562332,"nonveg_612","absence"
3644.59601221021,3714.15315880724,2412.7625828007,-5923.56837180903,-6056.4061249682,-4855.88898607939,3490.44373640708,-5932.25256555735,"Finland.Kevo.1","presence"
1893.0509786919,2212.06833311412,1722.84591649369,-4554.34194994677,-4864.92197910675,-3323.05737162266,1921.14986906071,-4215.68648417449,"Canada.LeRoyLake.TD4","presence"
2547.34700448305,3465.36213724483,2124.65495639964,-5822.11446470444,-6207.10152920037,-5178.01870508648,3070.81133950812,-5758.97208984989,"USA.NorthSlope.HappyValley-C19","presence"
550.898288117359,560.622933064942,168.013224290579,-1732.18216024579,-2358.58641197129,-1188.24663853504,174.146068967308,-2207.7210253533,"nonveg_666","absence"
602.915003589402,947.836561220279,442.074997820809,-1584.91367391883,-946.716979976797,-1156.60422207694,486.798192136808,-1448.08677033168,"nonveg_809","absence"
783.289013511401,1014.62478809482,365.405196478859,-2857.65482489063,-2669.2899877253,-1296.04268495986,770.564734501521,-2506.11270428856,"Canada.Ivujivik.TP10","presence"
3290.63946344558,4177.12587707223,1941.0065960063,-6525.01893839924,-6978.73230642732,-5877.8382203117,4093.68117867599,-6060.14036296559,"Finland.Kilpisjarvi.15","presence"
1041.67236760538,642.738562349879,-172.59960437984,-1018.84285122333,-1791.25251674456,-1525.40455850223,642.738562349879,-1329.31089134412,"nonveg_941","absence"
1953.9953497926,1948.95994546038,1319.86709524,-3662.30590045486,-3787.15130621844,-3085.58786643458,1822.69506636712,-3642.00972522329,"Finland.Kevo.3","presence"
761.073492343731,1181.49886022252,574.611846961735,-2512.09697858542,-2154.36657765745,-2439.52490526958,1070.5785558529,-2262.48561873243,"nonveg_746","absence"
650.070573107314,669.150932494337,130.224620091707,-2327.69292665124,-3194.14254914294,512.203678875432,650.070573107314,-1981.91637099712,"nonveg_804","absence"
2177.56208316109,2557.97865981455,1484.13046007984,-5299.03034979362,-5538.91426696823,-4096.23500228539,2403.72634467566,-5223.80671890808,"USA.YukonKuskokwimDelta.4","presence"
607.627616704638,367.663846529791,358.45956719612,-1349.96774309226,-1646.02244665523,-1560.15883480404,506.568730087136,-1403.92133946082,"nonveg_876","absence"
2812.77897223741,3960.55768722127,2036.41001054869,-5768.69051555124,-6776.71655506694,-4599.62498349294,2578.39876163122,-5916.04325702226,"Canada.ClearwaterLake.AB2","presence"
2204.46665133404,2002.54156520941,1423.57942157612,-4603.78498498024,-5634.73882966315,-2328.69359243808,2365.50891975778,-4105.52119107985,"Canada.PrincePatrickIsland.MouldBay-C06","presence"
1008.49404542006,3586.86184776302,1255.600492557,-3981.42648837843,-5859.01057646642,-3250.74814250976,3114.60676646735,-5575.62739200039,"Canada.KluaneLake.Outpost-ShrubTundra","presence"
355.257061442679,462.984027909199,445.092273950708,-1211.94147539671,-1100.9731901977,-445.509605133294,445.092273950708,-937.294838705039,"nonveg_994","absence"
3290.63946344558,4177.12587707223,1941.0065960063,-6525.01893839924,-6978.73230642732,-5877.8382203117,4093.68117867599,-6060.14036296559,"Finland.Kilpisjarvi.15","presence"
-227.269758605212,417.372615568613,-440.092800961009,-1280.58997130617,-613.719618511741,-1411.59051776164,-227.269758605212,-1143.79634217052,"nonveg_1316","absence"
762.309680457509,125.324264175297,473.389238534884,-1249.42551077639,-1838.16091643738,664.708545682797,444.560054839456,-1049.63200762939,"nonveg_897","absence"
126.758956466761,72.2569559261921,385.83187935871,-1093.45574745913,-1266.98787198494,-270.815266004789,72.2569559261921,-1094.20275447673,"nonveg_1499","absence"
2787.37342320367,3715.93469161701,2303.50675263797,-6015.51390296061,-6525.1341928697,-4421.60432611101,3608.49266758254,-5947.42088046152,"Canada.ClearwaterLake.AB3","presence"
2875.45060230188,3451.71659181317,1296.837441396,-6414.5858960105,-6329.05551831814,-2952.53914036989,3415.71375790198,-5239.8193108675,"Sweden.Abisko.KJ-MesicHeath","presence"
717.600588437614,482.010364909428,846.375205366833,-1646.68781801504,-2089.72205005066,-963.231999480143,717.600588437614,-1454.36842848324,"nonveg_583","absence"
1403.15808370366,277.12551384717,827.855001126588,-1118.43662701849,-2636.20847153513,-1662.27791766395,827.855001126588,-1809.54248336113,"nonveg_543","absence"
445.308565805011,520.349655398235,879.570981713862,-2945.36963005023,-2989.00021975309,-1275.55194633915,520.349655398235,-2606.76742394626,"nonveg_600","absence"
488.205814880802,784.918032433941,547.113519315015,-1770.72098203027,-1497.47303050679,-898.861539618671,748.42080356152,-1422.61749264248,"nonveg_769","absence"
1433.73761888077,1915.22037433007,1161.05734475814,-5335.98738699765,-5630.80066083791,-3937.71101659124,1861.98377131549,-5135.6582163341,"USA.YukonKuskokwimDelta.1","presence"
2569.38573040353,2764.59569946813,1195.09655558234,-5231.20631671367,-6027.01470644757,-4692.81186862223,3079.53133383508,-5461.78252746688,"Finland.Javrresduottar.EC-Betula","presence"
2227.97639080862,2453.84101200335,679.17002048673,-4370.50643796292,-5020.07916643404,-3411.0649217018,2337.24963432445,-4543.91904620079,"USA.NorthSlope.Deadhorse-C16","presence"
24.9139389268506,-75.0017062979852,390.52347761058,-2208.95326566521,-2311.34284271378,-1365.67582439739,390.52347761058,-1832.53019904957,"nonveg_714","absence"
-649.850279814314,-974.432821474144,634.913395787965,-3073.97091710398,-3780.17727407802,-1965.35048410769,-620.16162443812,-2766.5037683375,"nonveg_606","absence"
-521.090792833139,328.427301342561,-334.794759973939,5738.61999454872,5005.47945092295,10000,-334.794759973939,5345.8501542604,"nonveg_1720","absence"
2501.17825824495,3714.31893098546,2311.21274551694,-5699.49736383554,-6156.34036591538,-5178.82548972567,3222.60217627993,-6075.22876122757,"USA.NorthSlope.Ivotuk3","presence"
2890.43404620805,3267.05372290695,2078.85590526085,-5603.19315785921,-5488.42218623839,-3926.03410628187,2381.65462369382,-4978.47880190719,"Sweden.Abisko.NT-DryHeath","presence"
886.43542872023,775.201963698222,767.423887537507,-1620.76163391196,-1998.32852057819,-773.657631927977,775.201963698222,-1603.5067404765,"nonveg_882","absence"
455.017715515531,642.508270925221,602.60809186399,-2278.33477881995,-2321.68080488843,-1795.03594187841,642.508270925221,-2049.6500057732,"nonveg_975","absence"
2452.11888022618,2546.98247058667,1687.28872821043,-4507.11131614733,-4849.1888199063,-3297.15763675372,2328.61956889771,-4787.30307614434,"Canada.BonifaceRiver.LSA4","presence"
455.017715515531,642.508270925221,602.60809186399,-2278.33477881995,-2321.68080488843,-1795.03594187841,642.508270925221,-2049.6500057732,"nonveg_975","absence"
2385.08654018219,2829.87444718639,2417.33343416424,-5325.35921741515,-6285.05364657015,-4625.61251452036,3023.42700900302,-5211.64744699389,"USA.NorthSlope.10","presence"
717.600588437614,482.010364909428,846.375205366833,-1646.68781801504,-2089.72205005066,-963.231999480143,717.600588437614,-1454.36842848324,"nonveg_583","absence"
2777.70170772497,3392.76046340333,2000.21782772764,-5803.72895328065,-6182.94032837243,-4010.86271821487,3129.097865522,-4778.46821905482,"Canada.BonifaceRiver.AB1","presence"
