"spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDVI_peakSummer","spectral_NDWI_lateSummer","topo_slope","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NDWI_annualMean","site_code","presence_absence"
2433.50205274141,1834.50427122234,5943.58517493691,-5682.12891358323,0.885280537605287,2431.646033465,2160.98964845493,-5695.65660017851,"Russia.Yamal.Laborovaya-2","presence"
669.539978414178,570.578242431145,2199.06257145452,-1693.09801450145,0.099735900759697,669.539978414178,1031.71553082204,-1231.96363816577,"nonveg_894","absence"
3816.19161021554,2182.45541193786,7561.35320630267,-8350.23025891102,7.32164943218232,3924.76837966961,2963.59209183082,-6689.88284713202,"USA.Kougaork.TallShrub","presence"
853.567691309111,633.612364434172,1444.36551355896,-1577.48489811077,7.42058801651001,633.612364434172,469.005861463222,-1310.86495960896,"nonveg_535","absence"
-194.32018875254,-194.982412041055,-267.953681090018,2339.17397182786,0.0540956482291222,-187.719906785611,453.082906792207,1926.17541432442,"nonveg_1677","absence"
277.641920838836,-232.031746149519,672.701181951569,270.400567730739,0.472099512815476,10.1357966799604,976.01578688142,312.558287577181,"nonveg_1547","absence"
2299.53675257522,2209.3974474921,6214.46515609092,-6168.69384166253,1.40355360507965,3407.27249025577,2257.56834282038,-5298.118382216,"USA.InteriorAlaska.24","presence"
560.710748194966,189.610632539582,531.321174583836,-512.401468684172,27.3541851043701,560.710748194966,747.203094934238,-821.306888128111,"nonveg_560","absence"
3263.66948029607,2700.25164678994,6374.58897910311,-6565.46433763495,1.45158195495606,3008.42044386774,1373.07848773511,-6117.28240610505,"USA.YukonKuskokwimDelta.72B2","presence"
825.618197999218,216.907521764201,1201.32502611861,-1825.27382966176,3.06557130813599,614.838081294028,650.993982364711,-1726.51570819145,"nonveg_624","absence"
2979.60441999748,2431.4640749484,5773.58376984635,-5725.96487382382,0.0702147260308266,3498.13225085393,1733.77454247247,-5291.91030897071,"USA.YukonKuskokwimDelta.B","absence"
2202.04374623834,1547.54760107984,6653.054005932,-6475.20384009676,3.16284227371216,2680.38747613547,1655.95314174059,-6104.47543129004,"Norway.Javrresduottar.EC-Hummock","presence"
687.913951241165,362.502497593116,1522.30359556607,-1713.64016486342,0.621461749076843,888.785806339131,902.707425194966,-2171.57434004971,"nonveg_508","absence"
2683.30741334016,1766.808091916,5871.8645052374,-6085.83984344604,0.113810499509176,2764.48080317864,907.851451614714,-5200.50653672664,"Russia.Yamal.Nadym-2-H","presence"
416.267675492911,-715.238042676298,588.215513954609,-731.738835923598,7.82624244689941,153.995850526727,1838.31869739926,-1465.79410023996,"nonveg_659","absence"
1478.17937439405,679.734223995753,4887.03246143278,-4954.15594691688,0.366300493478775,1722.12061946365,2646.96998066752,-4254.00233665302,"USA.NorthSlope.WestDock-C14","presence"
2610.13851362044,1790.00042934344,5286.7270584335,-5656.73697784766,2.05867942174276,2760.20110325469,896.268775569667,-4809.18718173387,"Canada.ChukotkaRiver.TPO2","presence"
1912.46964256642,1440.28908184897,5300.3288952034,-5208.59347432811,1.38867788314819,2961.93726379738,1134.2143826094,-4619.23806242661,"USA.NorthSlope.Sagwon-C15","presence"
1343.170175329,944.682865925772,6573.35606568314,-5558.13649522552,5.20338249206543,1911.80168838177,2303.87320904094,-4720.99240659655,"Canada.KluaneLake.Quill-ShrubTundra","presence"
3216.40081159235,2275.52537868652,7993.88894552196,-6725.70203451106,1.4296231508255,3571.54002432475,2394.45475377356,-6411.33972500445,"Finland.Kilpisjarvi.15","presence"
2722.88952377142,1539.33902811006,6349.95455525505,-6269.48757911287,1.33379426598549,3208.95785517105,1736.72563906193,-5907.36604204893,"Finland.Javrresduottar.A-Sphagnum","absence"
1359.6925513794,1399.46614413429,2412.62188091026,-3001.42789733554,11.9502487182617,1359.6925513794,664.383216873196,-2547.53320290125,"nonveg_701","absence"
2601.10209021334,2000.01723536074,6418.305772836,-6240.15368153986,2.73678874969483,2589.92453293518,1395.2026345428,-5818.40833236541,"Norway.Javrresduottar.EC-Betula","presence"
-356.624217948529,723.544441417679,1372.96531570644,-1069.93480995303,1.25611102581024,493.612885383187,1210.14350628876,-1144.05578355946,"nonveg_900","absence"
-109.883688946911,1113.82782835732,783.342696289745,-977.805812593473,13.1733207702637,529.328640707872,1223.71151730423,-1293.20562258666,"nonveg_757","absence"
3116.88221139846,1980.91546603623,7059.37830014992,-7165.98007284404,3.46640507380168,3073.64045336078,2326.3372795932,-6353.8206219531,"Sweden.Abisko.VJ-Wetland","presence"
1637.02260143727,1585.05820001375,5660.26078920027,-5568.35889835316,0.646398842334747,2856.21182462056,1881.83910104572,-4433.5309911647,"USA.NorthSlope.15","absence"
1504.75619500852,1883.48766256891,6369.68285009405,-5560.23651031518,9.43141765594483,2795.9671872764,3238.40883202667,-5647.24125963419,"Canada.KluaneLake.Outpost-MixedTundra","presence"
2386.13150743972,1783.86704700521,6060.9963689161,-6063.38250248772,0.844325002282858,2956.30345611673,1371.73023456123,-5540.84569871383,"Russia.Kytalyk.T1","presence"
