"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_endSnowfree","spectral_NDVI_peakSummer","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_blue_earlySummer","texture_NDVI_peakSummer","topo_eastness","topo_tpi","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_EVI2b_changeESPS","spectral_EVI2b_changeLSES","spectral_NDVI_annualMedian","spectral_NDVI_annualMean","spectral_NDVI_annualRange","spectral_NDVI_changeLSES","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","spectral_NDWI_annualRange","spectral_NDWI_changeESPS","spectral_NDWI_changePSLS","spectral_NIR_changeESPS","spectral_SWIR1_annualRange","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
-267.269957291055,887.963822640013,412.532915210708,250.499703591292,431.77748511611,-547.360202544912,1738.87665096855,478.206810928203,710.603215835986,-3177.73267850258,-435.410984753541,-1625.1679527854,-2051.45163893709,-1517.69570025817,407.741607429352,-970.282613108364,0.491915643215179,-1.97170054912567,0,412.532915210708,343.100793853414,1155.23377993107,-24.9659800859702,18.491773602941,29.7144317143315,710.603215835986,636.151361774488,2286.23685351346,58.6528948302459,-1625.1679527854,-1761.49179104736,2742.32169374904,40.2243228416247,26.6427303844805,13.5942859107199,898.903052119996,"nonveg_790","absence",0,0,0,1,0
2657.68323448828,2372.35541972786,3038.75082854746,3529.88551940542,1498.09327577902,5836.18685327398,5343.27132386108,7010.39074752348,4088.77367314166,-5652.74515092073,-6392.2322272586,-6533.0930086996,-6350.28316269855,-4976.10500542444,423.845367332168,61.8844801404561,0.0248452112078667,-0.167108681797981,0,2637.69891638085,2286.18214470428,1600.18941348401,28.1490244262893,10.6976316577407,-98.2008057704797,5874.85044793791,5370.3941556155,2394.44878689783,-145.310798225625,-6144.56237644071,-5954.269428705,2496.11408776366,-24.035290205462,-7.6895075461067,3.74551920390452,1075.24329938493,"Norway.Javrresduottar.EC-Sphagnum","presence",0,1,0,0,0
1946.84066633365,1481.81626941874,1731.10280189135,1945.55922601463,541.973056729331,3653.93492394211,3421.63028779835,4163.86040117332,1317.81835945732,-3531.05041892338,-3847.7128468488,-4606.63062018973,-4945.52446731248,-2302.1642700262,764.698564883449,256.835833494853,0.00582498712465167,0.347696095705032,0,1562.73627212495,1306.04944457456,1343.49715237658,46.3274880129855,-5.85699636896273,-38.2225478746873,3616.48071475239,3017.70184240322,2534.10636803125,-63.5047977122884,-3689.50696300269,-3563.76443403834,2442.47920309102,-41.8758272096629,32.0032662416578,-7.96233942334663,447.413739166318,"USA.NorthSlope.WestDock-C14","presence",1,0,0,0,0
437.56374441373,747.364295592471,471.662689887466,615.725679746557,722.871432119682,464.269854499566,1136.6158864384,701.936897910149,1141.88179565149,-2426.88632804304,-1615.50900098568,-2821.50163360815,-2684.64945271354,-383.297356311694,1461.5860415123,-17.5303703037724,-0.0365933030843735,-0.411716520786285,0,615.725679746557,599.037568351981,309.800551178741,-10.1895602752126,6.36292626188667,17.2313503565628,701.936897910149,778.850372930884,692.334365496666,42.9417785177236,-2426.88632804304,-1986.36875433242,2438.20427729645,-9.2058258810893,-8.55326130591311,-3.76527362434976,454.81254293491,"nonveg_861","absence",0,0,1,0,0
1833.00498175811,1216.22743765612,880.401756917078,1191.18260267012,1566.70715348543,2563.91402128076,1888.5390366228,1875.06881429714,2141.28833316991,-920.457536029345,-1677.45670314223,-2353.40087761678,-2046.75481175948,-590.637522799139,1799.44183187341,-445.193768221333,-0.00441957311704755,0.263908177614212,0,1216.22743765612,1337.50478649737,952.60322484103,11.0957428446947,-26.7425991286659,25.8327446722337,1888.5390366228,1996.42048249724,1050.62181416518,28.8651407313241,-1677.45670314223,-1517.74149026939,1762.76335481764,-46.9290531554224,-23.5881589120995,-25.5164243817896,763.962723408125,"nonveg_540","absence",1,0,0,0,0
3256.79655019464,2209.65648485007,3603.50732641686,4522.19169953239,1816.34371817406,6571.54990717523,5339.36131420908,8289.97165517116,4548.27657047565,-5784.07254133242,-5613.26891460202,-6137.08217327489,-6038.2567651759,-4981.49599951413,358.353058037675,266.852924137858,0.00272043701261282,-1.29741458098094,1,3157.52935683372,3015.38031284304,3166.2224858857,46.06271679794,37.2589275674731,-59.084709508971,6310.17069169071,6191.59596305603,4509.39749234747,-79.7863176983847,-6024.92268934241,-5979.06783824406,520.36808940208,-2.92077041103597,6.30642675277217,18.2094233434473,407.50046322223,"USA.InteriorAlaska.2","presence",0,1,0,0,0
861.679896876747,574.822844543372,95.2823192538587,-86.3816081461288,-44.9764809202841,1736.74893452853,1400.67573312964,648.063099961631,221.180723262588,-907.94464245229,-1294.79493066099,-2334.16559748931,-2778.6284566847,-1451.29463555695,898.81548382352,-252.295148386347,0.00849623885005713,1.69325041770935,0,95.2823192538587,280.085394321513,948.061505022876,25.904467937058,-27.0874715720822,31.9693683526342,856.539058287153,972.641509833907,1515.56821126594,36.2757783228322,-1451.29463555695,-1753.36565256885,1870.68381423241,-53.4481089780688,29.6308572796926,-22.6679913509641,1123.19817389916,"nonveg_979","absence",0,0,1,0,0
3708.88002371752,3179.30308833895,4040.82639549438,4480.02478405321,2502.65815251254,6510.36055282368,5855.30729549103,7274.96651575706,4888.39509673184,-6105.50181745224,-6494.3474844181,-6867.64012343129,-7102.15259995356,-5166.33437915872,449.270412218927,55.560341820909,0.00120448242560087,-0.274549999833107,1,3245.22274051588,3302.79607128209,1885.99597543039,31.6320822599458,28.2937945428772,-69.7791457443048,6117.8347834003,6191.21984193435,2469.63919772896,-87.66507106673,-6514.32054470995,-6319.36459202571,2118.15405284641,-29.5567583076918,38.7951559264413,12.0020294444878,405.867812964565,"Norway.Javrresduottar.A-Hummock","presence",0,1,0,0,0
345.907435413202,1086.46688540946,60.3631236732687,308.63079120538,-497.53752303395,2702.21488186355,4004.82761376447,3665.64862087747,1737.27705779044,-2280.90812373503,-2238.68442326414,-3714.13886148504,-3377.39583889084,-2453.77583647423,1430.57201679721,-970.863173090072,0.308656215667725,4.63065624237061,0,308.63079120538,260.766142533473,1584.00440844341,17.571769967649,-0.776596754329631,73.2931258382996,3129.19452223539,3047.83253930626,2267.55055597403,62.5452208235061,-2453.77583647423,-2812.98061676986,1475.45443822091,-22.8434940657462,-25.903309430323,-10.5051373469285,1458.89081919361,"nonveg_730","absence",0,0,1,0,0
1889.03961057053,1852.38565859001,1897.26722977641,2081.81353646838,1520.90011058282,4354.80311856485,4307.00829842708,4780.71797275089,3392.59703828487,-4405.44547054397,-4391.54408505688,-5304.77685000844,-5490.98175916321,-3469.28389050054,578.254950294119,-45.4128404946126,0.0290352277871635,-0.109733723931842,0,2194.45938102435,2102.229454446,1237.96368239212,-0.86387586421285,20.5564918067309,0.34963950514829,4842.94597188526,4693.89685728517,2060.41883499406,-3.42990382374157,-4058.17662445894,-4148.64616362048,2060.45166520704,-7.86127272155101,51.735309894127,10.3977598759191,1369.43260622973,"Canada.LeRoyLake.TD1","presence",0,0,0,1,0
