"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_lateSummer","spectral_red_peakSummer","spectral_EVI2b_annualRange","spectral_NDWI_annualRange","site_code","presence_absence"
889.289451395821,1075.84498060778,-53.0101535368488,-378.90024818125,-1249.11432093523,723.65635395012,1128.85513414463,1994.88347734979,"nonveg_903","absence"
2970.62085026875,4593.34478552384,2575.36487233458,-5899.41052338772,-6488.18565358958,576.969808704798,1723.19664457125,1891.86441469983,"Canada.Yukon.SWEDE","presence"
845.996138545405,1332.40220563558,1339.25611605269,-3169.89047166323,-3367.03646290503,805.455237936504,1209.00244463415,1128.0050307804,"nonveg_1069","absence"
2359.47277574421,3486.99007343983,2083.78545391145,-5414.94440072723,-6583.66803034677,456.027217705678,1021.20849683879,3359.46599254277,"Canada.DaringLake.Tower3-DwarfShrub-2","presence"
2381.38101046335,2516.72326769648,1125.96583209166,-5405.64947935646,-5477.447535616,388.526663815606,2587.43608185981,1351.67487841787,"Finland.Javrresduottar.EC-Betula","presence"
3067.70365271162,4687.49773837041,2351.75156135231,-6047.62931968399,-6933.05739102539,521.977467404108,1640.8085167038,2739.02740112697,"Norway.Javrresduottar.A-Salix","presence"
3020.87514416534,2828.99794604793,2376.31981810992,-5975.01965459713,-5896.98630596482,623.542803252476,1792.02192612842,1984.83506427194,"Finland.Kevo.10","presence"
100.227910594859,-6.83794658622296,47.0483877464963,-1229.46558619333,-622.023713085123,1115.13621976806,717.024798563427,948.936240693807,"nonveg_729","absence"
2381.01827406624,3399.46371042713,1804.43837293741,-5310.21467696083,-6009.53492181035,411.663402477478,1267.9186983255,3386.88016867408,"Sweden.Abisko.NF-Wetland","presence"
546.815958834955,-7.74638806622363,655.490155599331,-1839.35409796944,-1053.08266836971,2116.70934562948,875.972167769422,1042.4466607634,"nonveg_876","absence"
2789.73902736147,4078.88245748329,2094.876896361,-5887.84593780566,-6280.83805526769,729.943095169613,1968.22606169038,1340.65311449317,"USA.SewardPeninsula.QuartzCreek3","presence"
3388.39492151831,4687.32386619104,2190.20081392694,-6247.97701836604,-6944.86935364107,491.505588854087,1997.04644046937,1834.71816659318,"Norway.Javrresduottar.A-Hummock","presence"
2359.47277574421,3486.99007343983,2083.78545391145,-5414.94440072723,-6583.66803034677,456.027217705678,1021.20849683879,3359.46599254277,"Canada.DaringLake.Tower3-DwarfShrub-2","presence"
2889.53722095901,3820.54596631667,2432.23707678391,-5669.96649170926,-6019.30152869494,675.352670228755,2065.05666287487,1537.7385661996,"Russia.Kytalyk.T2","presence"
3185.4569998059,3971.91654359416,2155.11744055374,-5380.00853150056,-6408.39242254219,425.735840423407,1206.41794210934,3500.77122457113,"Canada.BonifaceRiver.AB2","presence"
2962.97808671456,5029.35149219214,2360.10070686026,-6005.60275457637,-6581.65352608168,641.923754902837,3597.73455295701,2392.95638891633,"USA.InteriorAlaska.BLOWRIVER","presence"
466.153154774137,292.135397723964,-39.2409122211386,-1639.91847447034,-2255.69747914567,773.346956933623,1092.28076019318,1528.88911001375,"nonveg_986","absence"
934.652995380996,551.222851714517,611.499690344107,-722.274567966957,-1531.02874212347,763.997826704497,1042.38458421341,1479.47575909986,"nonveg_745","absence"
3327.90752433273,4243.78849944309,2357.79187569347,-6219.69800188482,-6496.4358857588,622.164049727714,2534.1145700241,2032.89652176266,"Sweden.Abisko.VJ-MesicHeath","presence"
290.256458438024,610.423450019299,157.368824239276,-2062.2128153666,-1720.17432138806,1824.57255147353,494.914823362871,1284.37534978649,"nonveg_752","absence"
1992.82745418101,3747.8160313805,1708.78088618289,-5614.60898508091,-5581.76972776706,719.973531500642,2249.09259603808,1688.12083502377,"USA.Toolik.S2","presence"
3015.31131621556,4056.45685547818,2249.76746354958,-5427.84030086762,-5795.04742815353,677.920951812107,1112.99932262938,3333.11727966974,"Sweden.Abisko.NT-DryHeath","presence"
