"spectral_EVI2b_earlySummer","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_endSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","spectral_green_lateSummer","topo_tpi","trees_presence","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","site_code","presence_absence"
2492.96423639704,3230.00112695835,2212.84794086773,4703.6440001928,-5754.06606494538,-5537.83422336927,-5708.63655041971,-4618.07981617238,721.682314958919,1.0929839849472,0,2089.46454689902,36.6803410441809,-5677.95925635124,-5536.6260494073,"USA.NorthSlope.Sagwon-C18","presence"
664.029061246091,840.308710915574,483.282974421877,1204.72847394124,-2172.37491822313,-2185.89114934538,-1225.72375570284,-1821.36061075224,1505.91201911594,0.340071231126785,0,1276.2560456386,7.22984347296859,-2172.37491822313,-1916.5789564201,"nonveg_628","absence"
-302.174809229834,-16.5039872652443,-593.073589264261,-2956.37086612551,5485.21911350098,4848.60463166359,4309.99848318855,8345.62373706028,328.015069172148,-0.0220759995281696,0,809.189923419914,9.69662600114758,4848.60463166359,5454.10140562146,"nonveg_1810","absence"
861.959489432052,553.648496206512,319.433295624552,719.662158344242,-1423.0113270931,-1741.4032789339,-1306.50468062943,-1812.98202209937,2130.57863652354,1.01000094413757,0,672.408493391488,17.5008449615323,-1741.4032789339,-1609.79496100671,"nonveg_1261","absence"
768.072221294083,583.600610512671,549.777949578297,1360.45249166639,-1885.24975544307,-1557.51672608152,-2400.7893353514,-1525.01684429775,1430.6369260487,0.820266723632813,0,283.622122333288,7.04175070050922,-1885.24975544307,-1943.11138005883,"nonveg_849","absence"
2840.7951314966,2602.98077425222,1812.10007598764,4831.97401186909,-5074.91347567146,-5190.87565436237,-5765.64027482912,-4390.57252031466,585.985509155352,-0.341863647931152,0,1286.61803995113,18.6333596142176,-5190.87555569444,-5086.15837277683,"Canada.ChukotkaRiver.TH1","presence"
4251.883877872,4791.96249644067,2063.73453428886,5802.0472117765,-6394.98806693451,-6697.60273343131,-7586.30153351979,-4810.80955601505,573.738194684097,2.35811191052199,0,3486.92694227358,84.2261503340907,-7241.68685307336,-6632.91518362002,"USA.Kougaork.TallShrub","presence"
3704.97163246025,4343.2714830673,1232.92766553239,6207.70692748673,-6494.6452522809,-6208.19141934546,-7712.92748579797,-4639.04904753974,444.013656180555,-0.741203200817108,1,4021.76811759915,81.929431186635,-6926.23754379853,-6730.84792411084,"Finland.Kilpisjarvi.19","presence"
3115.63548987083,3847.63803157393,1815.03807429622,5774.02036177897,-5780.47744630042,-6158.37720595205,-7063.30828770884,-3756.59020354936,627.65910607474,-1.33599531650543,0,2129.0977132015,27.2177290074561,-6076.49783977277,-5887.56950819632,"Canada.DeceptionBay.BEGL3","presence"
3158.53364569892,3760.94511846206,2159.40124982935,5356.35620348254,-5606.56514289204,-6157.11311563919,-6020.99247529226,-4798.85125864059,670.481257207247,1.57798489502498,0,1996.55699556243,30.6487044395803,-5701.97383888451,-5592.68747886036,"Sweden.Abisko.NT-DryHeath","presence"
