"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_peakSummer","spectral_blue_endSnowfree","spectral_EVI2b_annualRange","spectral_NBR_changeLSES","site_code","presence_absence"
2180.899586884,3570.22264160659,1828.11318413644,-5234.41781259153,-5899.92897145445,386.598839278702,1545.51618806731,-74.4875169554043,"USA.NorthSlope.Sagwon-C19","presence"
2158.65097879456,4394.52030077853,1655.8537140236,-5470.61133059129,-5824.75914545112,429.256256760785,3710.22673010725,-150.562300054189,"Russia.Kolyma.WT1","presence"
881.364137870626,1263.14021388128,394.00769876157,-2201.1958357714,-1953.331221804,1239.33193538244,869.13251511971,48.5962697513157,"nonveg_540","absence"
2063.31279017316,3289.83024896916,1712.95111200938,-4943.01953943545,-5577.54680030378,525.78244021754,2271.4175361152,-37.8460924728084,"USA.InteriorAlaska.BROWNSCREEK","presence"
-710.184822585265,250.230210051604,-505.936022904133,3274.45636077048,6885.76545897244,1372.14843361528,960.415032636869,35.5250287832259,"nonveg_1290","absence"
1074.03768979034,807.661149950827,598.369950557154,-1788.59612131956,-2440.79240451196,917.574721288579,878.144133999608,-22.0472233916158,"nonveg_880","absence"
1944.60539212249,2748.60230669591,1122.86757498262,-3486.04014720729,-2606.62946246624,521.279477984865,1625.73473171329,-92.2665489685804,"nonveg_1177","absence"
-71.641881326632,294.643413249025,5942.60952035338,-1159.24840859088,-2143.94637026544,236.406039794993,7455.50169040072,-1.69187786451325,"nonveg_1353","absence"
-40.8994609168927,-340.475891237154,-94.7791444851345,-885.676662043877,-2255.6099436461,786.023539591904,742.013145161424,14.522481475882,"nonveg_897","absence"
1024.39233141736,1217.91121096509,205.911889238116,-1919.21097520919,-2271.56960718418,803.823633484018,1140.52292457135,63.2887093500137,"nonveg_619","absence"
2660.91998495955,3332.88658995575,2127.85733902498,-5824.69276339247,-6425.97599407202,433.264840848452,1319.20251635367,-10.7686414367724,"Canada.LeRoyLake.TDA6","presence"
233.28947111255,701.974451224697,-18.5656469061414,-1847.60750201735,-1459.12178599587,436.503611170514,910.32301010377,-18.4449171065311,"nonveg_608","absence"
1903.21670197193,3697.61001542358,2583.20852172339,-6629.11131591871,-6357.53565749614,229.631379890325,2216.91006455318,-77.3988487026972,"Russia.Kolyma.T1","presence"
192.998783872013,-57.3273454993974,173.37495194953,-1643.42597246983,-2575.56992610942,648.891675716903,792.63797177043,-40.1488392310518,"nonveg_736","absence"
1411.69765226416,2463.39677003818,1120.03966063331,-4528.8186845915,-5267.95785930058,422.199948596432,1531.49910032486,-15.437921376246,"USA.YukonKuskokwimDelta.1","absence"
2136.85384448546,2427.77217592812,1613.72008412637,-4693.48709052514,-5299.88774352503,622.822882803402,680.543577040957,22.3948617780847,"Canada.PayneLake.TD4","presence"
-275.68950353836,173.791835197329,-170.039146620396,-2761.24977054566,-3542.16135231642,913.94501630165,701.722773460317,-97.7955317392923,"nonveg_730","absence"
-156.677293472651,815.266909124003,998.531861500462,-2286.64482685853,-1841.28973186299,389.485541377838,1155.20915497311,-16.2315121372441,"nonveg_745","absence"
-12.7814724893842,913.33883524035,315.339836715349,-2266.64016166793,-1241.490518097,1271.18621508023,926.120307729735,-98.4690478204513,"nonveg_916","absence"
736.517363051406,613.625612293152,293.118430516188,-1112.29955427701,-1136.71255494056,854.585717472037,1007.60148498506,86.4967249319858,"nonveg_681","absence"
2487.11672401169,3597.2931021625,1603.40753347558,-5645.96392999954,-6173.63448473367,450.738979239413,3401.47572419801,-28.5672672538533,"Canada.LeRoyLake.TDA3","presence"
2711.0113902907,4430.06319060428,1920.78128045076,-5961.09806983915,-5977.01410400701,493.354373804211,2766.61907991424,0,"Canada.Yukon.UPPERQUARRY","presence"
3051.92239529567,4528.24346440215,2532.67244706512,-6067.57410474639,-7013.53022533772,418.951745640672,1847.48291527198,45.3554993835981,"Canada.ClearwaterLake.AB3","presence"
236.895185288071,332.457834377323,224.693115210314,-2310.94088364062,-1396.5849338474,707.53558532966,520.826133556892,-462.208466734419,"nonveg_785","absence"
888.955901203938,978.578254705807,-739.551811898876,-1782.56964980008,-2101.48667933469,1237.96154799282,1751.18935547771,6.32546758031946,"nonveg_628","absence"
151.07534356267,803.977286545276,-434.146723004796,-2064.82026675366,-796.416571065422,1112.30656591402,1238.12400955007,-21.6381537895361,"nonveg_956","absence"
707.567162128721,32.6361261399198,582.549612079483,-2047.7930499354,-2552.57957052545,1123.5027296518,674.931035988802,19.583806110248,"nonveg_790","absence"
1596.1799017723,2675.55891340567,1604.09774566396,-4638.72978206969,-4988.0913850666,600.909516542352,2915.27524722196,-85.3016536506252,"Canada.Yukon.WHEATEAR","presence"
384.29433303116,759.949431758202,448.941228545433,-1644.74375238265,-1435.69356688557,734.249469725896,651.658688716547,60.1021590596137,"nonveg_919","absence"
3632.14747870703,3707.84371704032,2501.44375727288,-6232.3616553193,-7076.91843634605,443.25519591726,1580.23064616374,20.4629717939634,"Finland.Kevo.6","presence"
2962.69922971624,3628.30487143063,1864.28744684518,-5237.46473756881,-5773.00371724967,498.759028545968,2762.86124036253,-218.364105467199,"Russia.Tiksi.GraminoidTundra","presence"
-597.239034150981,563.160252661977,-494.82501043829,2558.98652064832,3314.14046411856,14.0363895454546,1160.39928681296,-173.256253186758,"nonveg_1736","absence"
-157.775771441079,761.79180599108,-1099.05173148897,2820.52036768407,3287.97586737605,172.311741002762,1860.84353748005,69.0099502570526,"nonveg_1854","absence"
3056.11141133162,3330.59592580362,1819.52008150409,-5960.65236087303,-6759.2980399246,489.071026173229,1743.87489922536,10.8302877645684,"Finland.Kilpisjarvi.20","presence"
2011.7829142596,2888.66228005331,1008.15511648217,-4970.47636241894,-5549.07192136848,546.144899981585,1821.91662118966,-151.253773083409,"USA.NorthSlope.15","absence"
2385.61217519201,4371.10656757718,2154.63272696142,-5694.50188505973,-6683.28709805912,470.28829505838,2654.42811959919,36.4101899062305,"USA.InteriorAlaska.AMSUMMIT","presence"
3106.39967461878,4090.87812178299,2449.35489716663,-5648.52675041032,-6311.36030341783,517.162166360963,1573.08643998507,-44.2905177740846,"Russia.Yamal.VaskinyDachi-1","presence"
3003.35410772543,4131.58581702464,1767.63245821029,-5816.59986158079,-7200.84478135219,345.353558592271,3370.80179241688,-22.2469501171121,"Finland.Kilpisjarvi.19","presence"
2789.46581237071,3982.3016373865,2099.03546929451,-5763.2651667971,-6458.39743837459,478.607944120965,1505.06707487613,-25.1805844141494,"USA.SewardPeninsula.QuartzCreek3","presence"
1752.87959755677,1562.6014482017,1687.65679880255,-2429.24798681777,-3040.42046604861,664.941322215378,342.643473148118,76.4172745548267,"nonveg_706","absence"
2385.61217519201,4371.10656757718,2154.63272696142,-5694.50188505973,-6683.28709805912,470.28829505838,2654.42811959919,36.4101899062305,"USA.InteriorAlaska.AMSUMMIT","presence"
512.746247515947,619.146414683612,24.7252010032974,-2162.26517300552,-1632.92956402406,1159.60464060897,911.558443209146,262.36600293007,"nonveg_645","absence"
297.203919109763,185.1880067779,92.0569716900771,-1512.82697479291,-1169.56319777434,817.705855929498,239.472065185507,-18.480488438874,"nonveg_729","absence"
658.151477130931,936.073125795765,-799.598127143011,-1119.13698934072,-2812.2879592667,807.602069864021,1887.96763378413,-9.71369423110543,"nonveg_532","absence"
139.498479980964,560.359619630671,651.883079257721,-2021.07440800261,-1888.02353584198,467.588159591003,512.384599276757,-28.9249585618315,"nonveg_968","absence"
1163.00867528134,79.9255545728328,497.197433193582,-1564.971019171,-2238.03158729463,1716.10555846047,1083.0831207085,86.2675836961189,"nonveg_1261","absence"
3695.09438425189,3904.85628785374,2430.84506194469,-5979.09913241248,-6289.79806931437,447.718191230184,1441.89654255859,-0.893856143801941,"Sweden.Abisko.VJ-BirchShrub","presence"
