"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_startSnowfree","spectral_green_endSnowfree","trees_presence","spectral_EVI2b_annualMean","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","site_code","presence_absence"
2576.98768199369,2192.49866435033,3003.58650049951,3048.83952570307,2141.46790424336,-5527.3216345438,-5601.75422502556,-4018.01939155299,598.244397274325,0,2152.81649039054,1191.25266359812,11.7324681114716,-5064.26020584824,-4876.20658141865,"Canada.DaringLake.LowBirch","presence"
789.327325470888,589.167323664496,999.377403012297,953.670321176805,359.088941483168,-2188.90919238763,-2139.12841865453,-1564.81117108143,1429.83066420391,0,738.126262961531,640.288461529129,15.36565657099,-2139.12841865453,-2084.1035643741,"nonveg_998","absence"
-781.900679544969,-260.841201779002,-20.4477118757296,159.400697769467,-343.977234719055,8748.87779553614,8676.03965499579,4500.96069144035,1265.38599281437,0,-249.553226029858,941.301377314436,-7.96224445138026,5559.87005889818,6233.89297044251,"nonveg_1344","absence"
3039.69270317563,3014.57541530217,3465.9659558705,3642.19220392221,2252.68592107508,-5817.27770589935,-5813.56367514666,-4789.08208840898,584.254458362558,0,3075.21571916132,1488.54815745537,31.4347655529981,-5371.91783922077,-5234.91468471569,"Sweden.Abisko.NT-BirchShrub","presence"
2410.31958831446,2238.67768443756,2839.25899664096,3155.67153907688,1545.06477335456,-5078.3031501226,-5151.29755394351,-4687.268633036,739.543005018755,0,2394.23458135745,1542.53646124855,3.04766374290086,-5339.35312112781,-5160.19453047846,"USA.YukonKuskokwimDelta.5","presence"
-124.949850662471,94.2182723218065,-620.876217051314,826.235507152953,-297.256350153891,4028.30214592476,2484.56681005195,4603.24273101794,297.931295116554,0,-24.5257276785833,1447.11172420427,8.61532497457099,2835.28745981136,3249.14631842385,"nonveg_1646","absence"
117.325138118462,34.4285618631259,505.938541050457,451.404600935403,284.501866250553,-1912.69152711843,-1711.42434541699,-1267.07601647827,1363.76788726394,0,278.7197416436,471.509979187331,-9.2875960073384,-1910.23082684223,-1771.45115214677,"nonveg_922","absence"
2782.40918975183,2322.73572953313,2816.83774008737,3181.52925400262,1667.40578556788,-5545.36246900605,-5867.78785450946,-4602.06796276281,614.718797945952,0,2619.95453052898,2837.79571721378,52.4245580943363,-5870.2633907635,-5867.71179301353,"Canada.ChukotkaRiver.TH1","presence"
180.049018629391,750.674547708069,380.62165754539,765.728087745272,-252.557406294236,-857.361169489038,-2824.40703343368,-565.324441278549,972.296054353483,0,364.903181066777,1018.28549403951,13.9550459652783,-1820.59614935619,-1815.28505595689,"nonveg_532","absence"
3348.82622714987,2352.87887358526,3597.78679733718,4233.66643047006,1702.14647917355,-6039.50857174787,-6616.65043601267,-4499.97331106768,526.318132089338,0,3079.7689527202,2488.73389588756,31.7384845634483,-5926.92495309432,-5841.6944445314,"USA.SewardPeninsula.19","presence"
470.026197202262,609.227048176165,249.820720762843,84.0237215473715,68.5513440230874,-1348.07313928949,-1785.61331890104,-1903.56912268108,2004.79648968965,0,296.329806342346,540.675704153078,17.4554283990946,-1785.61331890104,-1703.32514201106,"nonveg_876","absence"
-175.746953567705,307.798036028513,-223.853421043726,170.675815332023,23.240390869916,-483.36497451576,-1190.41746632907,-718.767539990163,1952.15272212283,0,20.4227735238043,531.651457072239,-6.41894659476196,-718.767539990163,-842.480998618533,"nonveg_995","absence"
420.884305992921,-241.387442237885,793.894990237707,-179.049868481275,542.91566284344,-2292.65073827425,-1233.53111028784,-1069.14148001296,694.875724220047,0,267.451529670982,1035.28243247559,-3.48661019572912,-1559.88683104503,-1744.19192556453,"nonveg_871","absence"
730.016725486867,547.299302851849,390.058972398978,423.191198471192,506.942723107598,-1219.00459027529,-1676.86232321495,-1344.80126474643,1117.42869452942,0,519.501784463297,339.957753087889,7.96692865640246,-1344.80126474643,-1355.73574596359,"nonveg_790","absence"
