"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","topo_slope","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_SWIR1_changePSLS","spectral_red_changeLSES","site_code","presence_absence"
2471.10721163723,2579.61905496622,3427.93654558663,2088.47975066179,3710.28383908609,-5211.57360606447,-6006.69662642637,-5885.72658363125,-3343.23223847694,1.83251081572638,2980.4125646728,1287.54162717858,20.2467759418556,-21.6596837836838,15.8795026975215,"Canada.PayneLake.TDA2","presence"
3289.69173744558,3245.81057282173,4272.68863007372,2033.11245476043,4208.56807770489,-6651.28773733221,-6438.63549730784,-7483.70667754235,-5279.5599925804,2.68463142712911,3193.47621862206,2654.88582946579,47.5981869381634,35.8739767985645,-14.9432181659299,"Sweden.Abisko.VJ-SalixShrub","presence"
3831.20877383949,2890.48433980222,4894.64208475284,2832.54457868382,5841.3484237584,-6470.87829423073,-7245.56694516546,-6471.29689198593,-5691.90617986094,0.0751434316237769,4082.6601611746,1952.61947266493,41.6344327866929,1.62193954375138,-4.05973769928744,"USA.InteriorAlaska.21","presence"
2929.61026444358,3229.86860392779,3722.54180099622,2459.6538114351,3947.16137875791,-5713.81649513584,-5790.33215977202,-6109.56321240437,-3590.11362745571,1.82514967918396,3747.80664068135,1550.36066685373,22.8442587984794,-16.6911753951945,12.5351477817893,"Russia.Yamal.VaskinyDachi-2","presence"
1481.91455171893,1443.59068374011,1329.71415381674,969.523089226805,1395.84751817831,-2520.3781056426,-3152.93934520653,-3562.36458779368,-1554.84852433527,4.27234416007995,1719.6442584929,815.839628195107,15.7432531113221,44.0772261969055,-3.07987571157287,"Canada.PrincePatrickIsland.MouldBay-C04","presence"
2612.17651385221,2368.83571961012,2747.32926628164,1838.75977300344,3451.39934487366,-4914.12424970357,-5220.20840066145,-5667.41112558632,-3229.6619733808,7.66235342025757,2483.64635428999,784.241656768064,9.99114127866395,7.01370968613293,-7.92312587433392,"Finland.Kilpisjarvi.18","presence"
-85.1790944085426,741.450283904956,-601.271725879727,-525.360295280273,-2047.71241404214,1392.4422524095,2664.73126522686,785.992174533541,2461.65458252158,0.0540956482291222,-85.1790944085426,1342.72200978468,8.46502309368713,14.7969287608795,4.31412366244828,"nonveg_1677","absence"
-32.075224724975,373.96809131696,341.508588028756,325.103190345035,450.911030207442,-1573.8981568215,-1053.38362340856,-1162.16133746264,-456.893793921186,3.63399982452393,341.508588028756,409.772905745127,-13.2288301877781,4.38090537950129,3.83542130538702,"nonveg_976","absence"
354.193388125153,302.710697670866,305.189665327158,-321.203305530652,-330.384539965063,-297.324965450944,-1517.52008074432,-1219.99679585299,-449.066842437779,10.1515512466431,302.710697670866,675.396693655805,19.2970483901659,-66.3506729630114,62.8179856412963,"nonveg_1234","absence"
3564.66197419797,2798.0685747176,3926.57428839527,2745.90134637115,4437.63522900219,-5256.01681377793,-5903.76163817029,-6611.9957031447,-5177.33502223261,1.48435473442077,3514.98426099201,1222.01286509628,28.2905415596432,6.71104067174467,4.99931066687855,"USA.BrooksRange.6","presence"
2648.28919338931,2745.44466670082,3300.99245570087,1736.18515280561,3100.72643784943,-5054.29271831161,-6431.18191990615,-6345.7515641063,-3000.93327448879,5.29586251576741,2052.35603398597,2376.61517076858,34.7285950056092,-62.0215069445716,47.2339553892536,"Canada.CoutureLake.TDA7","presence"
3346.74801673974,2574.59282226317,4008.87121444217,2493.35687601514,4539.36404728657,-5553.99648207261,-6137.96588476475,-5992.32006237305,-5057.26121018358,2.80783150196076,3614.6256997024,1584.83301759544,46.7873110092842,15.2274239825717,-2.66918147718333,"USA.NorthSlope.HappyValley-C18","presence"
-323.96131895614,69.3410368407463,453.266194673607,-394.122625136709,41.3180351879664,-1856.77619674392,-728.60968366816,-1207.40997323946,-1634.29508873999,22.3764839172363,69.3410368407463,1221.96391942665,2.59856689557663,20.2666807928294,-29.7579520034195,"nonveg_907","absence"
727.256118626017,839.560133511739,1433.98327607092,363.14536686181,542.764309267782,-1484.55864982425,-1137.23998385792,-657.246281429029,-1787.94205803384,0.099735900759697,839.560133511739,1070.83790920911,18.2055375882104,-25.2868536154756,-4.70315855433224,"nonveg_894","absence"
3022.47872167188,2865.41246382566,3544.62845776489,2307.03652473951,4836.1366677739,-5858.16451855642,-6772.55754166766,-6753.42301850672,-4979.98062756943,1.02422599660026,3307.76452468864,1873.22914561253,27.2883939204159,-17.8818068376537,7.46557521151424,"Canada.LeRoyLake.TDA6","presence"
4050.43333637481,4227.88955386655,4615.75419145281,2282.20585806229,5075.92660488404,-6561.17930389835,-7571.36309719642,-8010.18324680808,-6172.93543726002,12.0054864883423,4361.51861021942,3458.04490460351,76.675036477058,12.4096187957728,-0.827209706776898,"Finland.Kevo.9","presence"
3341.67768138081,2683.2350281638,3825.81116017011,2478.66488120241,3935.5491200255,-5201.36374915019,-6235.77879445276,-6207.81297531545,-4812.35368100808,0.998570680618287,3188.16115674033,1897.76413362522,16.1950749815651,-7.00500403690726,5.84882594839121,"USA.YukonKuskokwimDelta.UB7","presence"
925.690732762082,214.461288064831,573.210721396851,-357.305638773243,-539.571729137192,-2000.65737929208,-2374.82987132779,-981.970768441676,-2077.55774682045,19.4433040618897,214.461288064831,1282.99637153532,40.0936366104789,-655.21496768363,146.493134781754,"nonveg_785","absence"
