"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_EVI2b_changeESPS","spectral_NDMI_changeLSES","site_code","presence_absence"
3371.49767165466,3376.61742880618,3665.44080206776,2413.29667433705,-6053.83982074099,-6344.22583765073,8.26398324006123,14.5362530083565,"Russia.Tiksi.Bog","presence"
1204.70709094093,652.089366038955,1504.53356867347,680.810866963029,-502.567993048589,-1827.80757865586,-18.5276848321189,-157.609302808623,"nonveg_825","absence"
2587.64210108573,2314.20805063126,1941.10368770986,610.626075305847,-3127.47049939273,-3396.77392149847,-25.3204643945299,-69.321390108778,"nonveg_1177","absence"
3055.36799452581,2442.40447037059,3627.20560885267,2022.13296875908,-6087.90530074848,-6294.61517184381,68.3212676163509,75.7028013156713,"USA.NorthSlope.Oumalik2","presence"
1548.58674738796,1244.7640173874,1520.37537120999,816.166239173887,-3956.71986781891,-3658.82517886031,30.2079903659403,16.5851775873488,"Canada.BanksIsland.GreenCabin-C00","absence"
-143.739655240178,82.9806060765043,-466.038034022661,-92.6369338005736,7945.15867760736,7138.82747672215,-16.8221369871708,227.767561381494,"nonveg_1695","absence"
687.373674616526,1158.89437808199,1030.74432066382,144.243865492318,-2333.57052373102,-2261.62359865109,20.7871106114214,24.8321076526441,"nonveg_561","absence"
527.010282216525,446.170287313488,384.551172736134,874.574258826802,-1877.2886577442,-567.047896020875,43.5825560288307,32.6851832069418,"nonveg_674","absence"
1211.58343049753,524.35627375117,689.384579707688,1015.20865534264,-2164.80768188754,-2961.89059891241,-26.3651250707001,-3.69978516494936,"nonveg_849","absence"
883.078749328971,-339.081654727574,23.0774392688792,105.341767898904,-1359.59602522285,-2365.70220799875,-30.5529109218343,59.6931855695981,"nonveg_919","absence"
1043.69951792693,155.068064101739,655.150299063041,-117.323799786788,-1874.70432151012,-2720.41878176966,-41.4254577176044,-16.9172288867641,"nonveg_869","absence"
338.799502667051,594.38799666288,278.204685402268,556.695254549922,-1896.11112288055,-1685.86165542284,3.46625362616858,77.4363723053441,"nonveg_936","absence"
2918.89979807615,3063.73235543264,3300.91034749758,2391.05397755933,-6260.80278706411,-5944.73170030826,17.7301167825748,-1.26701931535946,"Sweden.Abisko.NT-BirchShrub","presence"
1081.39328689335,581.336072288743,1277.93897727443,862.874424108131,-3224.00089306227,-3068.36514440411,15.0808850811917,-38.7799534394809,"nonveg_996","absence"
2440.14478264795,2595.91041827784,3106.81070668585,1630.22020759602,-5394.2171634583,-5527.45682177552,18.0982439609429,-27.9645063887506,"Canada.BonifaceRiver.LSA6","presence"
2356.38755516393,1730.68245534327,2526.04819125165,1416.43412599754,-5305.31917117767,-5740.83622069484,25.1457211055542,-43.6269913066909,"USA.InteriorAlaska.AUFEIS","presence"
2041.16577255407,2049.49541963348,1868.70519407516,1659.83406426638,-5142.30475059639,-4751.78011598067,13.4776043641409,36.4735736698686,"Canada.ChukotkaRiver.TPO5","presence"
2482.25598397304,2278.99202429523,2915.18922985181,1472.02559646865,-5872.39402815179,-6179.10020186158,47.8329639785862,-25.8631100957663,"Canada.DaringLake.Tower1-SedgeHollow","presence"
875.996797282658,1190.42237402895,1233.6554856459,625.571130075684,-2671.20022248849,-2952.48102658789,35.335794756986,28.4226505481936,"USA.NorthSlope.HoweIsland-C12","absence"
190.265165234252,217.607281384227,524.60721515298,588.900913091716,-2075.92342536529,-1922.40628076013,17.9223169885456,-24.5935821101746,"nonveg_769","absence"
-13.7594106879207,-485.452843510934,548.113980884847,-272.762411352458,-2733.20875905607,-2856.02646852438,18.134607305251,-115.381933023832,"nonveg_1626","absence"
-54.0043459475781,-216.556424026254,316.297178794343,59.6066084641055,-309.77563832159,-882.358171873174,4.31325273632227,9.16794770098878,"nonveg_1889","absence"
2030.88381707133,1561.05679613792,2255.17296584851,989.020281051199,-5061.45231057192,-5342.3685650803,35.911834314646,-80.2946604836146,"USA.NorthSlope.FranklinBluffs-C16","presence"
1548.58674738796,1244.7640173874,1520.37537120999,816.166239173887,-3956.71986781891,-3658.82517886031,30.2079903659403,16.5851775873488,"Canada.BanksIsland.GreenCabin-C00","absence"
443.971387765114,605.754318197229,426.281008874075,-45.0089364714984,-2191.17397173383,-2122.89232866632,1.34527036542396,64.4302950254756,"nonveg_935","absence"
-13.7594106879207,-485.452843510934,548.113980884847,-272.762411352458,-2733.20875905607,-2856.02646852438,18.134607305251,-115.381933023832,"nonveg_1626","absence"
586.723807552522,1514.32700218106,968.030522930052,885.984634323005,-1836.65946038444,-2030.76549899549,11.4760955497447,27.4430511317991,"nonveg_915","absence"
3701.38232529387,3121.73302893405,4468.14092351787,2070.64950840868,-6751.15700437643,-7243.2648941354,31.8748524414484,-49.3178375516934,"Canada.BonifaceRiver.AB8","presence"
443.971387765114,605.754318197229,426.281008874075,-45.0089364714984,-2191.17397173383,-2122.89232866632,1.34527036542396,64.4302950254756,"nonveg_935","absence"
1907.48294455003,2119.94667708718,2103.80535422233,1386.41698632963,-4919.98273988311,-4828.61476445595,-7.16440475441314,-54.2963951106933,"USA.NorthSlope.Atqasuk","absence"
2738.40428448388,3331.93636163446,3509.34526386554,1684.95791400936,-5826.47445461766,-5939.68567822708,34.6789905936054,56.0595966231914,"Russia.Tiksi.WetFen","absence"
1548.58674738796,1244.7640173874,1520.37537120999,816.166239173887,-3956.71986781891,-3658.82517886031,30.2079903659403,16.5851775873488,"Canada.BanksIsland.GreenCabin-C00","absence"
