"spectral_EVI2b_endSnowfree","spectral_NDVI_lateSummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","topo_slope","trees_presence","spectral_EVI2b_annualRange","spectral_NDWI_annualMean","site_code","presence_absence"
3172.17024793013,7062.02901382,-5767.07552119058,-6708.04984987588,13.1043479707506,0,2031.72540577353,-6105.38940779331,"Canada.DeceptionBay.BEGL3","presence"
3072.17191955099,3413.7988797109,-2500.36620958769,-3310.38489682318,18.7420558929443,0,2223.27503276395,-2840.12512158279,"nonveg_1177","absence"
439.247152750436,744.196851694568,-1075.36819094802,-1131.10854590557,21.8847503662109,0,532.952638322198,-977.7090416384,"nonveg_994","absence"
588.775318019166,1145.79339919417,-787.261013419421,-1252.67298191956,5.99322652816773,0,407.991605995915,-1037.09535685638,"nonveg_542","absence"
3355.83840315235,7757.27274557528,-6019.78622767142,-6641.83410540888,3.90778883298238,1,2977.16647287446,-6177.76028903196,"Canada.BonifaceRiver.AB8","presence"
3370.45546752704,6865.06780110745,-6719.06133858523,-6807.88863341614,0.948750831186772,0,2146.6769382673,-6514.02993762073,"Norway.Javrresduottar.A-Betula","presence"
1698.3033774773,4402.17344153744,-3675.53590383895,-4921.51198682205,12.7124852180481,0,2104.82577548072,-4778.02357616683,"Canada.KluaneLake.Gladstone-MixedTundra","presence"
2722.83851332774,6206.80571406983,-6012.49547106445,-6379.19906729521,6.19749466096512,0,2916.2867990063,-5867.95930550636,"USA.SewardPeninsula.QuartzCreek2","presence"
1934.95745342813,6784.30845300408,-6019.13336492161,-6608.16654217032,2.70577359199524,1,1490.19006091616,-6244.64900816014,"USA.InteriorAlaska.17","presence"
681.568291384004,2250.17782722074,-1818.99482399692,-898.544440821201,1.70387876033783,0,876.565992800264,-1765.42306441529,"nonveg_849","absence"
-125.805811981587,723.39374001934,-2151.75259116484,-1983.07684121234,4.8420672416687,0,1009.6999903789,-1709.8036150308,"nonveg_871","absence"
3172.17024793013,7062.02901382,-5767.07552119058,-6708.04984987588,13.1043479707506,0,2031.72540577353,-6105.38940779331,"Canada.DeceptionBay.BEGL3","presence"
2904.91307878111,6209.37015118483,-5809.12804582009,-6523.26273329983,1.44930097460746,0,1950.11635647854,-6240.91554472202,"Finland.Javrresduottar.A-Hummock","presence"
-222.28697718715,-1280.23138092031,6665.05884748382,4636.14361488803,2.03024411201477,0,587.492856471902,4485.56744399421,"nonveg_1637","absence"
2275.56038884906,6145.9041987766,-5779.30677485501,-5958.84544524307,3.75965224372016,0,2505.72982622312,-5557.09498597826,"USA.InteriorAlaska.LOWERQUARRY","presence"
2188.21914549484,6209.36865815987,-6096.49122322383,-5484.0564798938,0.732014119625092,0,1711.66989467623,-4621.64717933733,"Russia.Kolyma.T2","presence"
1028.40211424336,3078.8415958032,-1819.59585143319,-2599.26784342126,20.6634216308594,0,489.080573143048,-2873.83851411714,"nonveg_1132","absence"
2315.23863100697,5108.35435446913,-5096.1333892362,-5492.94510053474,1.25028928120931,0,735.453382860482,-5108.65607494716,"USA.YukonKuskokwimDelta.15B7","presence"
369.520724977893,841.372081501984,209.32047583294,16.6789633597095,31.5680522918701,0,888.670810089421,-253.745440284179,"nonveg_1089","absence"
1910.92909745957,4797.65548777244,-4480.1697289005,-4720.48871355968,1.69749614927504,1,1100.5533589459,-3471.49363024554,"Canada.LeRoyLake.TD4","presence"
2473.91967221997,5694.31645854405,-5559.28934951751,-5937.91204125053,0.562272865739133,0,1125.12456345487,-6095.79239797603,"Canada.DaringLake.Tower1-Shrub","presence"
2128.90998831244,4945.44948161079,-5060.57441554166,-5446.54813011933,7.24302306705049,0,1112.4611070942,-5617.31580148305,"USA.InteriorAlaska.BROWNSCREEK","presence"
1978.40496374725,2093.50969504842,-303.250242937223,-738.383783136077,13.7921733856201,0,1467.58918176909,-1294.04517348741,"nonveg_602","absence"
1718.41419941354,4572.05516620303,-4389.7956551449,-4849.41336061803,1.68046164512634,0,1147.7987329796,-4357.25664136794,"Canada.LeRoyLake.TD1","presence"
2419.89487044622,6119.009478665,-6096.55463410633,-5851.45425234988,2.9596240401268,0,1217.0858645045,-5995.56301500472,"USA.NorthSlope.HappyValley-C18","presence"
3577.54930793683,6936.19036353549,-6659.67723420319,-6667.09037512878,1.10292699933052,0,2270.26338559133,-6471.99226163849,"Norway.Javrresduottar.A-Sphagnum","absence"
2664.51264014031,5618.51443673859,-5531.93796870958,-5480.40872902497,0.206820579866568,0,2124.82408375798,-5128.78001733578,"USA.YukonKuskokwimDelta.U","presence"
281.518601095793,820.157162946958,-1333.15653807904,-1807.0002825257,11.2518472671509,0,1172.21687433318,-1211.97282861077,"nonveg_681","absence"
