"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDVI_lateSummer","spectral_NDWI_earlySummer","spectral_NDWI_lateSummer","spectral_NDWI_startSnowfree","texture_NDVI_peakSummer","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NIR_changeLSES","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
1359.96416402086,1915.32829951988,1487.1530347692,1730.38860918965,2148.51244827638,2724.78600600728,2995.34245185652,-3392.87385017026,-3680.8190222845,-1394.37746508961,1300.43226233494,788.548284255526,-21.904119007098,21.3608408009109,"nonveg_662","absence",0,0,1,0,0
71.0148280817737,-177.595561898713,-677.153634343001,7.07658977286798,-34.9708778417891,-1100.73641189131,-2339.5617131704,9125.97016051408,4317.69465460493,8601.70598425377,793.079387962885,748.168462424775,52.9928529617814,4.4048478683455,"nonveg_1994","absence",0,0,1,0,0
2932.6463144951,2163.85953529904,2475.65861129858,3428.47855937541,1876.303901629,6291.00153529737,5672.96031301169,-5619.77966000131,-6852.89249874152,-5455.09269969647,118.908996865151,1505.52565212631,33.2845697750262,-0.977754321735216,"USA.InteriorAlaska.4","presence",0,1,0,0,0
2099.02063411399,1591.04948698995,2169.59694456755,2426.6978780552,1093.73042536504,3790.90763022293,4333.79634026478,-3615.39150525679,-4530.91527996287,-1582.7982130905,-78.8922737920063,453.36406057495,9.28288155035217,-0.529889753149099,"USA.NorthSlope.WestDock-C14","presence",1,0,0,0,0
2559.50458827391,2068.21058586337,3146.75758825182,3864.56253066301,1637.74954599806,4707.77472139469,5469.43036230251,-5229.41177947739,-5878.28529066281,-3635.52835873497,145.825509869393,2169.46947399202,19.2745200996663,38.3578279486927,"Canada.Yukon.SPRINGRIVER","presence",0,0,1,0,0
2428.38049829521,2614.26865898279,3092.90842832629,3040.61561332865,1667.58183313924,4447.63477626897,5439.50106317417,-4919.05492466006,-5286.40444549868,-3136.92245586938,-64.8216370956411,2497.0131345894,14.7120596036687,-12.9693397954526,"Canada.BonifaceRiver.LSA6","presence",0,1,0,0,0
2543.23464933247,2717.17012234476,2851.79817594252,3364.68283846064,1848.81454141987,5516.69680551162,5943.85241630122,-5715.62369898172,-6498.13981734743,-4792.95867024276,-37.2712859915992,1194.57870719928,14.812705114775,-7.17440835703998,"Norway.Javrresduottar.EC-Betula","presence",0,1,0,0,0
3531.84825259578,3391.03262628925,3999.43921018098,4409.04200425679,2223.76770332099,6727.76254921835,7112.04978600987,-6159.22961392391,-7027.82767295389,-5607.06279345951,119.039222103611,2105.79285559606,32.6492822025114,-14.8128432823383,"Sweden.Abisko.VJ-SalixShrub","presence",0,0,0,1,0
3161.10843227367,2545.21381608218,3544.54719481242,3995.64385070181,2146.18929134622,5458.12376226873,6043.37870422022,-5712.43602437164,-6112.77756281452,-5064.8207832749,-89.8709762374161,2125.75741400737,47.3402673706363,-5.19416624066372,"USA.Toolik.S1","presence",0,0,1,0,0
2871.87740399066,2474.89383395052,3186.11065362843,2853.46052059628,2422.03728175087,4529.23547535221,5128.79976325602,-5007.74342681116,-5416.58868723703,-4546.06219788214,562.233818345452,1385.59295553501,10.6656961928819,-22.4889352600885,"USA.YukonKuskokwimDelta.UB5","presence",0,0,1,0,0
