"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_lateSummer","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","topo_slope","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","site_code","presence_absence"
508.281854439989,643.184359375523,889.976632617459,684.925180287525,935.819291708735,-2193.29383653964,-2328.65977295475,-2806.79593085382,-2973.49524495092,1141.74807046863,0.182796254754066,643.184359375523,381.69477817747,-2328.65977295475,-1832.0993429661,"nonveg_1672","absence"
142.515393606159,318.449768167564,-51.4524731827919,323.911473525683,821.636600295203,-953.278292543692,-878.51684031775,-681.926164141803,-1806.16324406178,575.101992228436,24.4778156280518,318.449768167564,449.054612534864,-878.51684031775,-748.956509767317,"nonveg_761","absence"
2626.1927593347,2479.57090426253,3443.59092773072,1627.62398700912,6177.17594473541,-5632.24104059549,-6373.47640149412,-6810.09886789638,-6481.10958500776,-4809.38728804262,3.13160438537598,2715.79810900657,1555.84888177868,-6061.77742474681,-5897.63217978215,"Finland.Javrresduottar.EC-Spring","presence"
3014.91353337379,2850.78308330972,3762.07260497627,2404.74362400183,5645.20506596949,-5509.64168320659,-5930.19178898628,-5964.70488101032,-6222.16485283512,-4923.03040106468,0.133764052970542,2488.06628984008,1748.40344094886,-5625.47990272825,-5540.6532642573,"USA.YukonKuskokwimDelta.15B4","presence"
228.158954536731,-486.224052639385,47.1889733185084,-739.734840920172,-719.780740200339,3864.32936274574,5774.23654068688,4855.3098894062,2797.59671533433,10000,0.138568818569183,47.1889733185084,967.893795456902,4855.3098894062,5458.29450163463,"nonveg_1720","absence"
269.906041288576,1048.04622590339,-284.69605907269,81.9331696930442,1178.92932724824,-1760.03850910213,-822.508626395866,-1602.30507521706,-2713.83377539884,-1351.42876915383,13.9480972290039,269.906041288576,1332.74228497608,-1602.30507521706,-1650.02295105354,"nonveg_984","absence"
888.147339075071,886.279233105065,870.569348886316,1082.17913984169,1090.91926381636,-2066.01192049183,-1798.98319422693,-2185.81931915227,-2046.88319232807,-1735.19720729642,25.4662761688232,886.279233105065,428.97780534069,-2046.88319232807,-1966.5789666991,"nonveg_915","absence"
3196.00743247335,3197.17966335892,4133.78334167542,2171.23768104555,6132.50559593557,-5542.89888163515,-5390.56942640136,-5964.08120936465,-6247.76133949539,-4572.2994549844,0.056265115737915,3470.32671171005,1850.71278514686,-5183.68221630094,-5363.98525315222,"Russia.Yamal.VaskinyDachi-1","presence"
-115.819745508717,-19.097145039197,1018.28751410405,565.309717809737,2295.8220538201,-2752.35270145045,-3215.38450024197,-1497.82476159753,-1823.83654135585,-1621.28712806706,0.584501802921295,565.309717809737,1561.17175390098,-1823.83654135585,-2182.13712654257,"nonveg_663","absence"
2557.33358991605,2257.8144693818,3289.07251370046,1856.15778424428,5146.24607232518,-5301.83975852683,-5504.89871977816,-5404.80032226582,-5681.49086289455,-5068.80766090138,1.02030289173126,2405.01663508234,1495.48589164863,-5448.15642345425,-5499.57768625432,"USA.YukonKuskokwimDelta.UB5","presence"
