"threshold","metric","estimator","estimate","outer_fold","model","mtry","max.depth","feat_thresh"
0.7,"f_meas_beta2","binary",1,"24","rf",7,13,90
0.75,"f_meas_beta2","binary",1,"24","rf",7,13,90
0.8,"f_meas_beta2","binary",1,"24","rf",7,13,90
0.85,"f_meas_beta2","binary",0.555555555555556,"24","rf",7,13,90
0.9,"f_meas_beta2","binary",0.555555555555556,"24","rf",7,13,90
0.95,"f_meas_beta2","binary",NA,"24","rf",7,13,90
1,"f_meas_beta2","binary",NA,"24","rf",7,13,90
0,"j_index","binary",0,"24","rf",7,13,90
0.05,"j_index","binary",1,"24","rf",7,13,90
0.1,"j_index","binary",1,"24","rf",7,13,90
0.15,"j_index","binary",1,"24","rf",7,13,90
0.2,"j_index","binary",1,"24","rf",7,13,90
0.25,"j_index","binary",1,"24","rf",7,13,90
0.3,"j_index","binary",1,"24","rf",7,13,90
0.35,"j_index","binary",1,"24","rf",7,13,90
0.4,"j_index","binary",1,"24","rf",7,13,90
0.45,"j_index","binary",1,"24","rf",7,13,90
0.5,"j_index","binary",1,"24","rf",7,13,90
0.55,"j_index","binary",1,"24","rf",7,13,90
0.6,"j_index","binary",1,"24","rf",7,13,90
0.65,"j_index","binary",1,"24","rf",7,13,90
0.7,"j_index","binary",1,"24","rf",7,13,90
0.75,"j_index","binary",1,"24","rf",7,13,90
0.8,"j_index","binary",1,"24","rf",7,13,90
0.85,"j_index","binary",0.5,"24","rf",7,13,90
0.9,"j_index","binary",0.5,"24","rf",7,13,90
0.95,"j_index","binary",0,"24","rf",7,13,90
1,"j_index","binary",0,"24","rf",7,13,90
0,"mcc","binary",NA,"24","rf",7,13,90
0.05,"mcc","binary",1,"24","rf",7,13,90
0.1,"mcc","binary",1,"24","rf",7,13,90
0.15,"mcc","binary",1,"24","rf",7,13,90
0.2,"mcc","binary",1,"24","rf",7,13,90
0.25,"mcc","binary",1,"24","rf",7,13,90
0.3,"mcc","binary",1,"24","rf",7,13,90
0.35,"mcc","binary",1,"24","rf",7,13,90
0.4,"mcc","binary",1,"24","rf",7,13,90
0.45,"mcc","binary",1,"24","rf",7,13,90
0.5,"mcc","binary",1,"24","rf",7,13,90
0.55,"mcc","binary",1,"24","rf",7,13,90
0.6,"mcc","binary",1,"24","rf",7,13,90
0.65,"mcc","binary",1,"24","rf",7,13,90
0.7,"mcc","binary",1,"24","rf",7,13,90
0.75,"mcc","binary",1,"24","rf",7,13,90
0.8,"mcc","binary",1,"24","rf",7,13,90
0.85,"mcc","binary",0.577350269189626,"24","rf",7,13,90
