"threshold","metric","estimator","estimate","outer_fold","model","mtry","max.depth","feat_thresh"
0,"accuracy","binary",0.857142857142857,"65","rf",42,3,50
0.05,"accuracy","binary",1,"65","rf",42,3,50
0.1,"accuracy","binary",1,"65","rf",42,3,50
0.15,"accuracy","binary",1,"65","rf",42,3,50
0.2,"accuracy","binary",1,"65","rf",42,3,50
0.25,"accuracy","binary",1,"65","rf",42,3,50
0.3,"accuracy","binary",1,"65","rf",42,3,50
0.35,"accuracy","binary",1,"65","rf",42,3,50
0.4,"accuracy","binary",1,"65","rf",42,3,50
0.45,"accuracy","binary",1,"65","rf",42,3,50
0.5,"accuracy","binary",1,"65","rf",42,3,50
0.55,"accuracy","binary",1,"65","rf",42,3,50
0.6,"accuracy","binary",0.714285714285714,"65","rf",42,3,50
0.65,"accuracy","binary",0.714285714285714,"65","rf",42,3,50
0.7,"accuracy","binary",0.571428571428571,"65","rf",42,3,50
0.75,"accuracy","binary",0.571428571428571,"65","rf",42,3,50
0.8,"accuracy","binary",0.285714285714286,"65","rf",42,3,50
0.85,"accuracy","binary",0.142857142857143,"65","rf",42,3,50
0.9,"accuracy","binary",0.142857142857143,"65","rf",42,3,50
0.95,"accuracy","binary",0.142857142857143,"65","rf",42,3,50
1,"accuracy","binary",0.142857142857143,"65","rf",42,3,50
0,"bal_accuracy","binary",0.5,"65","rf",42,3,50
0.05,"bal_accuracy","binary",1,"65","rf",42,3,50
0.1,"bal_accuracy","binary",1,"65","rf",42,3,50
0.15,"bal_accuracy","binary",1,"65","rf",42,3,50
0.2,"bal_accuracy","binary",1,"65","rf",42,3,50
0.25,"bal_accuracy","binary",1,"65","rf",42,3,50
0.3,"bal_accuracy","binary",1,"65","rf",42,3,50
0.35,"bal_accuracy","binary",1,"65","rf",42,3,50
0.4,"bal_accuracy","binary",1,"65","rf",42,3,50
0.45,"bal_accuracy","binary",1,"65","rf",42,3,50
0.5,"bal_accuracy","binary",1,"65","rf",42,3,50
0.55,"bal_accuracy","binary",1,"65","rf",42,3,50
0.6,"bal_accuracy","binary",0.833333333333333,"65","rf",42,3,50
0.65,"bal_accuracy","binary",0.833333333333333,"65","rf",42,3,50
0.7,"bal_accuracy","binary",0.75,"65","rf",42,3,50
0.75,"bal_accuracy","binary",0.75,"65","rf",42,3,50
0.8,"bal_accuracy","binary",0.583333333333333,"65","rf",42,3,50
0.85,"bal_accuracy","binary",0.5,"65","rf",42,3,50
0.9,"bal_accuracy","binary",0.5,"65","rf",42,3,50
0.95,"bal_accuracy","binary",0.5,"65","rf",42,3,50
1,"bal_accuracy","binary",0.5,"65","rf",42,3,50
0,"kap","binary",0,"65","rf",42,3,50
0.05,"kap","binary",1,"65","rf",42,3,50
0.1,"kap","binary",1,"65","rf",42,3,50
0.15,"kap","binary",1,"65","rf",42,3,50
0.2,"kap","binary",1,"65","rf",42,3,50
0.25,"kap","binary",1,"65","rf",42,3,50
0.3,"kap","binary",1,"65","rf",42,3,50
0.35,"kap","binary",1,"65","rf",42,3,50
0.4,"kap","binary",1,"65","rf",42,3,50
0.45,"kap","binary",1,"65","rf",42,3,50
0.5,"kap","binary",1,"65","rf",42,3,50
0.55,"kap","binary",1,"65","rf",42,3,50
0.6,"kap","binary",0.363636363636364,"65","rf",42,3,50
0.65,"kap","binary",0.363636363636364,"65","rf",42,3,50
0.7,"kap","binary",0.222222222222222,"65","rf",42,3,50
0.75,"kap","binary",0.222222222222222,"65","rf",42,3,50
