"threshold","metric","estimator","estimate","outer_fold","model","mtry","max.depth","feat_thresh"
0,"accuracy","binary",0.956521739130435,"138","rf",1,15,95
0.05,"accuracy","binary",0.956521739130435,"138","rf",1,15,95
0.1,"accuracy","binary",0.956521739130435,"138","rf",1,15,95
0.15,"accuracy","binary",0.956521739130435,"138","rf",1,15,95
0.2,"accuracy","binary",0.956521739130435,"138","rf",1,15,95
0.25,"accuracy","binary",0.956521739130435,"138","rf",1,15,95
0.3,"accuracy","binary",0.956521739130435,"138","rf",1,15,95
0.35,"accuracy","binary",0.956521739130435,"138","rf",1,15,95
0.4,"accuracy","binary",0.956521739130435,"138","rf",1,15,95
0.45,"accuracy","binary",0.956521739130435,"138","rf",1,15,95
0.5,"accuracy","binary",0.956521739130435,"138","rf",1,15,95
0.55,"accuracy","binary",0.956521739130435,"138","rf",1,15,95
0.6,"accuracy","binary",0.956521739130435,"138","rf",1,15,95
0.65,"accuracy","binary",0.956521739130435,"138","rf",1,15,95
0.7,"accuracy","binary",0.956521739130435,"138","rf",1,15,95
0.75,"accuracy","binary",0.956521739130435,"138","rf",1,15,95
0.8,"accuracy","binary",0.565217391304348,"138","rf",1,15,95
0.85,"accuracy","binary",0.521739130434783,"138","rf",1,15,95
0.9,"accuracy","binary",0.347826086956522,"138","rf",1,15,95
0.95,"accuracy","binary",0.0434782608695652,"138","rf",1,15,95
1,"accuracy","binary",0.0434782608695652,"138","rf",1,15,95
0,"bal_accuracy","binary",0.5,"138","rf",1,15,95
0.05,"bal_accuracy","binary",0.5,"138","rf",1,15,95
0.1,"bal_accuracy","binary",0.5,"138","rf",1,15,95
0.15,"bal_accuracy","binary",0.5,"138","rf",1,15,95
0.2,"bal_accuracy","binary",0.5,"138","rf",1,15,95
0.25,"bal_accuracy","binary",0.5,"138","rf",1,15,95
0.3,"bal_accuracy","binary",0.5,"138","rf",1,15,95
0.35,"bal_accuracy","binary",0.5,"138","rf",1,15,95
0.4,"bal_accuracy","binary",0.5,"138","rf",1,15,95
0.45,"bal_accuracy","binary",0.5,"138","rf",1,15,95
0.5,"bal_accuracy","binary",0.5,"138","rf",1,15,95
0.55,"bal_accuracy","binary",0.5,"138","rf",1,15,95
0.6,"bal_accuracy","binary",0.5,"138","rf",1,15,95
0.65,"bal_accuracy","binary",0.5,"138","rf",1,15,95
0.7,"bal_accuracy","binary",0.5,"138","rf",1,15,95
0.75,"bal_accuracy","binary",0.5,"138","rf",1,15,95
0.8,"bal_accuracy","binary",0.295454545454545,"138","rf",1,15,95
0.85,"bal_accuracy","binary",0.272727272727273,"138","rf",1,15,95
0.9,"bal_accuracy","binary",0.181818181818182,"138","rf",1,15,95
0.95,"bal_accuracy","binary",0.0227272727272727,"138","rf",1,15,95
1,"bal_accuracy","binary",0.5,"138","rf",1,15,95
0,"kap","binary",0,"138","rf",1,15,95
0.05,"kap","binary",0,"138","rf",1,15,95
0.1,"kap","binary",0,"138","rf",1,15,95
0.15,"kap","binary",0,"138","rf",1,15,95
0.2,"kap","binary",0,"138","rf",1,15,95
0.25,"kap","binary",0,"138","rf",1,15,95
0.3,"kap","binary",0,"138","rf",1,15,95
0.35,"kap","binary",0,"138","rf",1,15,95
0.4,"kap","binary",0,"138","rf",1,15,95
0.45,"kap","binary",0,"138","rf",1,15,95
0.5,"kap","binary",0,"138","rf",1,15,95
0.55,"kap","binary",0,"138","rf",1,15,95
0.6,"kap","binary",0,"138","rf",1,15,95
0.65,"kap","binary",0,"138","rf",1,15,95
0.7,"kap","binary",0,"138","rf",1,15,95
0.75,"kap","binary",0,"138","rf",1,15,95
0.8,"kap","binary",-0.0849056603773586,"138","rf",1,15,95
0.85,"kap","binary",-0.0858369098712446,"138","rf",1,15,95
0.9,"kap","binary",-0.0883280757097791,"138","rf",1,15,95
0.95,"kap","binary",-0.0905172413793105,"138","rf",1,15,95
1,"kap","binary",0,"138","rf",1,15,95
0,"f_meas","binary",0.977777777777778,"138","rf",1,15,95
0.05,"f_meas","binary",0.977777777777778,"138","rf",1,15,95
0.1,"f_meas","binary",0.977777777777778,"138","rf",1,15,95
0.15,"f_meas","binary",0.977777777777778,"138","rf",1,15,95
0.2,"f_meas","binary",0.977777777777778,"138","rf",1,15,95
0.25,"f_meas","binary",0.977777777777778,"138","rf",1,15,95
0.3,"f_meas","binary",0.977777777777778,"138","rf",1,15,95
0.35,"f_meas","binary",0.977777777777778,"138","rf",1,15,95
0.4,"f_meas","binary",0.977777777777778,"138","rf",1,15,95
0.45,"f_meas","binary",0.977777777777778,"138","rf",1,15,95
0.5,"f_meas","binary",0.977777777777778,"138","rf",1,15,95
0.55,"f_meas","binary",0.977777777777778,"138","rf",1,15,95
0.6,"f_meas","binary",0.977777777777778,"138","rf",1,15,95
0.65,"f_meas","binary",0.977777777777778,"138","rf",1,15,95
0.7,"f_meas","binary",0.977777777777778,"138","rf",1,15,95
0.75,"f_meas","binary",0.977777777777778,"138","rf",1,15,95
0.8,"f_meas","binary",0.722222222222222,"138","rf",1,15,95
0.85,"f_meas","binary",0.685714285714286,"138","rf",1,15,95
0.9,"f_meas","binary",0.516129032258064,"138","rf",1,15,95
0.95,"f_meas","binary",0.0833333333333333,"138","rf",1,15,95
1,"f_meas","binary",NA,"138","rf",1,15,95
